Token,Lemma,POS
Die,der,DET
Schwanjungfrau,Schwanjungfrau,NOUN
Hochlandsbild,Hochlandsbild,NOUN
von,von,ADP
Maximilian,Maximilian,PROPN
Schmidt,Schmidt,PROPN
[,[,PROPN
s000,s000,PROPN
],],PROPN
Leipzig,Leipzig,PROPN
H.,H.,PROPN
Haessel,Haessel,PROPN
Verlag,Verlag,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Seiner,sein,DET
Majestät,Majestät,NOUN
König,König,NOUN
Ludwig,Ludwig,PROPN
II.,II.,PROPN
von,von,ADP
Bayern,Bayern,PROPN
",",--,PUNCT
dem,der,DET
großsinnigen,großsinnig,ADJ
Beschützer,Beschützer,NOUN
volkstümlicher,volkstümlich,ADJ
Dichtung,Dichtung,NOUN
in,in,ADP
allertiefster,allertiefst,ADJ
Ehrfurcht,Ehrfurcht,NOUN
und,und,CCONJ
Dankbarkeit,Dankbarkeit,NOUN
gewidmet,widmen,VERB
.,--,PUNCT
[,[,PROPN
s008,s008,PROPN
],],PROPN
I.,I.,NOUN
DasZum,DasZum,ADJ
Dialekte,Dialekt,NOUN
:,--,PUNCT
Die,der,DET
richtige,richtig,ADJ
Aussprache,Aussprache,NOUN
des,der,DET
Dialektes,Dialekt,NOUN
besteht,bestehen,VERB
hauptsächlich,hauptsächlich,ADV
in,in,ADP
der,der,DET
Betonung,Betonung,NOUN
des,der,DET
hohen,hoch,ADJ
und,und,CCONJ
tiefen,tief,ADJ
a,a,PROPN
sowie,sowie,CCONJ
in,in,ADP
der,der,DET
Anwendung,Anwendung,NOUN
von,von,ADP
Nasallauten,Nasallaut,NOUN
.,--,PUNCT
Die,der,DET
hohen,hoch,ADJ
a,a,PROPN
sind,sein,AUX
durch,durch,ADP
aa,aa,NOUN
bezeichnet,bezeichnen,VERB
",",--,PUNCT
die,der,DET
Nasallaute,Nasallaute,NOUN
durch,durch,ADP
einen,ein,DET
Accent,Accent,NOUN
?,--,PUNCT
Außerdem,außerdem,ADV
ist,sein,AUX
folgendes,folgender,PRON
zu,zu,PART
bemerken,bemerken,VERB
:,--,PUNCT
a,--,PROPN
und,und,CCONJ
an,an,ADP
',--,PUNCT
steht,stehen,VERB
statt,statt,ADP
des,der,DET
unbestimmten,unbestimmt,ADJ
Artikels,Artikel,NOUN
ein,ein,ADV
und,und,CCONJ
einen,einer,PRON
",",--,PUNCT
wobei,wobei,SCONJ
das,der,DET
a,a,PROPN
ebenfalls,ebenfalls,ADV
hochtönig,hochtönig,ADV
ist,sein,AUX
",",--,PUNCT
gleichwie,gleichwie,ADV
in,in,ADP
da,da,ADV
",",--,PUNCT
welches,welches,PRON
statt,statt,ADP
des,der,DET
bestimmten,bestimmt,ADJ
Artikels,Artikel,NOUN
der,der,PRON
oder,oder,CCONJ
statt,statt,SCONJ
dir,dir,PRON
steht,stehen,VERB
",",--,PUNCT
wie,wie,ADP
ma,ma,PROPN
statt,statt,ADP
mir,mir,PRON
.,--,PUNCT
–,--,PUNCT
aa,aa,NOUN
(,--,PUNCT
hochtönig,hochtönig,PROPN
),--,PUNCT
steht,stehen,VERB
statt,statt,ADV
auch,auch,ADV
",",--,PUNCT
au,au,PROPN
",",--,PUNCT
ä,ä,X
und,und,CCONJ
anderen,anderer,ADJ
Doppellauten,Doppellaut,NOUN
.,--,PUNCT
Die,der,DET
durch,durch,ADP
Apostroph,Apostroph,NOUN
gekürzten,gekürzt,ADJ
Worte,Wort,NOUN
mei,mei,X
',--,PUNCT
",",--,PUNCT
dei,dei,X
',--,PUNCT
",",--,PUNCT
sei,sein,AUX
',--,PUNCT
",",--,PUNCT
scho,Scho,PROPN
',--,PUNCT
",",--,PUNCT
no,No,PROPN
',--,PUNCT
",",--,PUNCT
ma,ma,PROPN
',--,PUNCT
",",--,PUNCT
na,na,INTJ
',--,PUNCT
",",--,PUNCT
(,--,PUNCT
mein,mein,PRON
",",--,PUNCT
dein,dein,ADV
",",--,PUNCT
sein,sein,AUX
",",--,PUNCT
schon,schon,ADV
",",--,PUNCT
noch,noch,ADV
",",--,PUNCT
man,man,PRON
",",--,PUNCT
nein,nein,PART
),--,PUNCT
sind,sein,AUX
mit,mit,ADP
einem,ein,DET
Nasallaut,Nasallaut,NOUN
auszusprechen,aussprechen,NOUN
",",--,PUNCT
ähnlich,ähnlich,ADV
wie,wie,ADP
das,der,DET
französische,französisch,ADJ
non,non,NOUN
.,--,PUNCT
I,I,NUM
hon,hon,CCONJ
steht,stehen,VERB
statt,statt,SCONJ
ich,ich,PRON
habe,haben,VERB
.,--,PUNCT
Alles,alle,PRON
übrige,übrig,ADJ
erklärt,erklären,VERB
sich,sich,PRON
wohl,wohl,ADV
selbst,selbst,ADV
oder,oder,CCONJ
ist,sein,AUX
eigens,eigens,ADV
angeführt,anführen,VERB
.,--,PUNCT
Berchtesgadenerlandl,Berchtesgadenerlandl,PROPN
ist,sein,AUX
das,der,DET
an,an,ADP
Naturschönheiten,Naturschönheit,NOUN
reichste,reich,ADJ
Gebiet,Gebiet,NOUN
",",--,PUNCT
die,der,DET
Perle,Perle,NOUN
der,der,DET
nördlichen,nördlich,ADJ
Alpen,Alpen,NOUN
;,--,PUNCT
ihm,ihm,PRON
gebührt,gebühren,VERB
unter,unter,ADP
allen,aller,DET
Punkten,Punkt,NOUN
der,der,DET
deutschen,deutsch,ADJ
und,und,CCONJ
helvetischen,helvetisch,ADJ
Alpen,Alpen,NOUN
unbedingt,unbedingt,ADV
der,der,DET
erste,erster,ADJ
Preis,Preis,NOUN
.,--,PUNCT
Man,man,PRON
versteht,verstehen,VERB
10,10,NUM
darunter,darunter,ADV
den,der,DET
von,von,ADP
der,der,DET
Bischofswieser-,Bischofswieser,X
",",--,PUNCT
Ramsauer-,Ramsauer,X
und,und,CCONJ
Königssee-Ache,Königssee-Ache,NOUN
durchrauschten,durchrauschen,VERB
",",--,PUNCT
von,von,ADP
mächtigen,mächtig,ADJ
Gebirgen,Gebirge,NOUN
und,und,CCONJ
Felswänden,Felswände,NOUN
rings,rings,ADV
umschlossenen,umschlossen,ADJ
Thalkessel,Thalkessel,NOUN
",",--,PUNCT
dessen,der,DET
unvergleichlicher,unvergleichlich,ADJ
Reiz,Reiz,NOUN
der,der,DET
harmonische,harmonisch,ADJ
Einklang,Einklang,NOUN
ist,sein,AUX
",",--,PUNCT
zu,zu,ADP
dem,der,PRON
sich,sich,PRON
hier,hier,ADV
alles,alle,PRON
vereint,vereinen,VERB
hat,haben,AUX
.,--,PUNCT
Berchtesgaden,Berchtesgade,NOUN
mit,mit,ADP
der,der,DET
ehemaligen,ehemalig,ADJ
fürstlichen,fürstlich,ADJ
Propstei,Propstei,NOUN
und,und,CCONJ
den,der,DET
prächtigen,prächtig,NOUN
Spitztürmen,Spitztürmen,NOUN
seiner,sein,DET
Stiftskirche,Stiftskirche,NOUN
selbst,selbst,ADV
liegt,liegen,VERB
auf,auf,ADP
schluchtigen,Schluchtig,NOUN
",",--,PUNCT
hügeligen,Hügelig,VERB
Halden,Hald,NOUN
",",--,PUNCT
deren,der,DET
immer,immer,ADV
wechselnde,wechselnd,ADJ
Gestaltung,Gestaltung,NOUN
das,der,DET
Auge,Auge,NOUN
stets,stets,ADV
von,von,ADP
neuem,neu,ADJ
fesselt,Fesselt,NOUN
.,--,PUNCT
Seine,sein,DET
Häuser,Haus,NOUN
kauern,kauern,VERB
malerisch,malerisch,ADV
auf,auf,ADP
den,der,DET
Höhen,Höhe,NOUN
oder,oder,CCONJ
verbergen,verbergen,VERB
sich,sich,PRON
geschämig,geschämig,ADV
in,in,ADP
den,der,DET
Tiefen,Tiefe,NOUN
.,--,PUNCT
Die,der,DET
Berghänge,Berghäng,NOUN
rings,rings,ADV
um,um,ADP
den,der,DET
schönen,schön,ADJ
Markt,Markt,NOUN
sind,sein,AUX
mit,mit,ADP
saftigen,saftig,ADJ
Wiesen,Wiese,NOUN
belegt,belegen,VERB
und,und,CCONJ
von,von,ADP
laubfrischen,laubfrisch,ADJ
Buchen-,Buche,X
und,und,CCONJ
Ahorngruppen,Ahorngruppe,NOUN
beschattet,beschatten,VERB
",",--,PUNCT
welche,welcher,PRON
hoch,hoch,ADV
hinauf,hinauf,ADV
die,der,DET
Gehänge,Gehang,NOUN
tannendunkler,tannendunkl,ADJ
Vorberge,Vorberge,NOUN
umsäumen,umsäumen,VERB
",",--,PUNCT
aus,aus,ADP
denen,der,PRON
rauschende,rauschende,NOUN
Bergwasser,Bergwasser,NOUN
niedertosen,niedertosen,VERB
und,und,CCONJ
über,über,ADP
welche,welcher,PRON
im,in,ADP
flimmernden,flimmernd,ADJ
Hochduft,Hochduft,NOUN
rings,rings,ADV
11,11,NUM
in,in,ADP
der,der,DET
Runde,Runde,NOUN
die,der,DET
imposante,imposant,ADJ
Bergwelt,Bergwelt,NOUN
in,in,ADP
eigenartiger,eigenartig,ADJ
Schönheit,Schönheit,NOUN
emporragt,emporragen,VERB
.,--,PUNCT
Teils,Teils,ADV
bis,bis,ADP
zum,zu,ADP
Gipfel,Gipfel,NOUN
hinauf,hinauf,ADV
begrünt,Begrünt,PROPN
und,und,CCONJ
bewaldet,bewalden,VERB
",",--,PUNCT
teils,teils,ADV
als,als,ADP
schauerliche,schauerlich,ADJ
Wände,Wand,NOUN
mit,mit,ADP
hoch,hoch,ADV
hinauf,hinauf,ADV
ins,in,ADP
Wolkenreich,Wolkenreich,NOUN
strebenden,strebend,ADJ
Felsenzinken,Felsenzink,NOUN
reihen,reihen,VERB
sich,sich,PRON
an,an,ADP
den,der,DET
sagenhaften,sagenhafen,VERB
Untersberg,Untersberg,PROPN
und,und,CCONJ
das,der,DET
grüne,grün,ADJ
Hochthal,Hochthal,NOUN
der,der,DET
Zill,Zill,NOUN
die,der,DET
majestätischen,majestätisch,ADJ
Gebirgsgruppen,Gebirgsgruppe,NOUN
des,der,DET
Göll,Göll,NOUN
mit,mit,ADP
dem,der,DET
Schwarzort,Schwarzort,NOUN
",",--,PUNCT
Hochbrett,Hochbrett,NOUN
und,und,CCONJ
Jenner,Jenner,NOUN
",",--,PUNCT
dann,dann,ADV
die,der,DET
Funtenseetauern,Funtenseetauer,NOUN
",",--,PUNCT
die,der,DET
Schönfeldspitze,Schönfeldspitze,NOUN
",",--,PUNCT
der,der,DET
Hochkalter,Hochkalter,NOUN
",",--,PUNCT
das,der,DET
Lattengebirg,Lattengebirg,PROPN
",",--,PUNCT
die,der,PRON
Reitalp,Reitalp,PROPN
und,und,CCONJ
alle,alle,PRON
überragend,überragend,ADV
wie,wie,ADP
die,der,DET
Tiara,Tiara,NOUN
des,der,DET
Hohenpriesters,Hohenpriester,NOUN
",",--,PUNCT
die,der,PRON
herrlichen,herrlich,ADJ
Hörner,Hörner,NOUN
des,der,DET
Bergkönigs,Bergkönig,NOUN
",",--,PUNCT
des,der,DET
hohen,hoch,ADJ
Watzmanns,Watzmann,NOUN
.,--,PUNCT
Wohl,wohl,ADV
mochte,mögen,VERB
der,der,DET
alte,alt,ADJ
Riesenkönig,Riesenkönig,NOUN
oft,oft,ADV
sein,sein,DET
schneebedecktes,schneebedeckt,ADJ
Haupt,Haupt,NOUN
schütteln,schütteln,VERB
über,über,ADP
das,der,DET
wechselvolle,wechselvoll,ADJ
Schicksal,Schicksal,NOUN
des,der,DET
zu,zu,ADP
seinen,sein,DET
Füßen,Fuß,NOUN
liegenden,liegend,ADJ
",",--,PUNCT
etwa,etwa,ADV
vier,vier,NUM
Quadratmeilen,Quadratmeile,NOUN
umfassenden,umfassend,ADJ
Ländchens,Ländchen,NOUN
.,--,PUNCT
Oft,oft,ADV
zuckt,zucken,VERB
aus,aus,ADP
dräuenden,dräuend,ADJ
