Token,Lemma,POS
Michael,Michael,PROPN
Georg,Georg,PROPN
Conrad,Conrad,PROPN
Anna-Mia,Anna-Mia,NOUN
Aus,aus,ADP
einer,ein,DET
fränkischen,fränkisch,ADJ
Dorfgeschichte,Dorfgeschicht,NOUN
Wie,wie,ADV
viel,viel,DET
Uhr,Uhr,NOUN
wohl,wohl,ADV
?,--,PUNCT
Der,der,DET
Schatten,Schatten,NOUN
vom,von,ADP
Galgenholz,Galgenholz,NOUN
fiel,fallen,VERB
herüber,Herüber,ADV
auf,auf,ADP
seinen,sein,DET
Acker,Acker,NOUN
.,--,PUNCT
Die,der,DET
Sonne,Sonne,NOUN
mußte,müssen,AUX
also,also,ADV
schon,schon,ADV
tief,tief,ADV
stehen,stehen,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
so,so,ADV
weit,weit,ADV
vom,von,ADP
Dorfe,Dorfen,NOUN
weg,weg,ADV
",",--,PUNCT
und,und,CCONJ
die,der,DET
Flur,Flur,NOUN
vertiefte,vertiefen,VERB
sich,sich,PRON
hier,hier,ADV
so,so,ADV
sehr,sehr,ADV
zu,zu,ADP
Mulden,Mulden,PROPN
",",--,PUNCT
daß,daß,SCONJ
kein,kein,DET
Glockenschlag,Glockenschlag,NOUN
zu,zu,PART
hören,hören,VERB
war,sein,AUX
.,--,PUNCT
Vielleicht,vielleicht,ADV
noch,noch,ADV
zehn,zehn,NUM
bis,bis,CCONJ
zwölf,zwölf,NUM
Furchen,Furchen,NOUN
waren,sein,AUX
im,in,ADP
zähen,zäh,ADJ
braunen,braun,ADJ
Boden,Boden,NOUN
zu,zu,PART
ziehen,ziehen,VERB
",",--,PUNCT
dann,dann,ADV
konnte,können,AUX
er,er,PRON
Feierabend,Feierabend,NOUN
machen,machen,VERB
",",--,PUNCT
der,der,DET
alte,alt,ADJ
Sebastian,Sebastian,NOUN
.,--,PUNCT
Ermüdender,Ermüdender,NOUN
als,als,ADP
je,je,ADV
dünkte,dünken,VERB
ihm,ihm,PRON
heute,heute,ADV
die,der,DET
Arbeit,Arbeit,NOUN
in,in,ADP
der,der,DET
Luft,Luft,NOUN
des,der,DET
Vorfrühlings,Vorfrühling,NOUN
",",--,PUNCT
die,der,PRON
lau,Lau,ADV
anschlug,anschlug,NOUN
und,und,CCONJ
doch,doch,ADV
mit,mit,ADP
Schauern,Schauer,NOUN
über,über,ADP
die,der,DET
Haut,Haut,NOUN
ging,gehen,VERB
",",--,PUNCT
sobald,sobald,SCONJ
die,der,DET
Hand,Hand,NOUN
den,der,DET
Pflug,Pflug,NOUN
ließ,lassen,VERB
und,und,CCONJ
das,der,DET
Zweigespann,Zweigespann,NOUN
von,von,ADP
Ochs,Ochs,PROPN
und,und,CCONJ
Kuh,Kuh,NOUN
stehen,stehen,VERB
blieb,bleiben,VERB
",",--,PUNCT
bei,bei,ADP
der,der,DET
Umkehr,Umkehr,NOUN
und,und,CCONJ
mitten,mitten,ADV
in,in,ADP
der,der,DET
Furche,Furche,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
nicht,nicht,PART
ein,ein,DET
Ruck,Ruck,NOUN
am,an,ADP
Leitseil,Leitseil,NOUN
oder,oder,CCONJ
ein,ein,DET
Schlag,Schlag,NOUN
mit,mit,ADP
der,der,DET
Peitsche,Peitsche,NOUN
zum,zu,ADP
Gehen,gehen,NOUN
mahnte,mahnen,VERB
.,--,PUNCT
Es,es,PRON
reimte,reimen,VERB
sich,sich,PRON
heut,heut,ADV
überhaupt,überhaupt,ADV
nichts,nichts,PRON
zusammen,zusammen,ADV
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
dem,der,DET
alten,alt,ADJ
Sebastian,Sebastian,NOUN
hätte,haben,AUX
behaglich,behaglich,ADV
werden,werden,AUX
