Token,Lemma,POS
Michael,Michael,PROPN
Georg,Georg,PROPN
Conrad,Conrad,PROPN
Die,der,DET
bayrische,bayrisch,ADJ
Königstragödie,Königstragödie,NOUN
im,in,ADP
Bürgerhause,Bürgerhause,PROPN
(,--,PUNCT
1886,1886,NUM
),--,PUNCT
Die,der,DET
Abendmahlzeit,Abendmahlzeit,NOUN
war,sein,AUX
still,still,ADV
beendet,beenden,VERB
worden,werden,AUX
;,--,PUNCT
der,der,DET
große,groß,ADJ
eichene,eichen,ADJ
Tisch,Tisch,NOUN
wurde,werden,AUX
abgeräumt,abräumen,VERB
",",--,PUNCT
das,der,DET
Fenster,Fenster,NOUN
mit,mit,ADP
den,der,DET
Butzenscheiben,Butzenscheib,NOUN
im,in,ADP
Erker,Erker,NOUN
der,der,DET
altdeutschen,Altdeutsche,ADJ
Speisestube,Speisestube,NOUN
geöffnet,öffnen,VERB
",",--,PUNCT
damit,damit,SCONJ
erfrischende,erfrischend,ADJ
Luft,Luft,NOUN
hereinströme,hereinströmen,VERB
und,und,CCONJ
das,der,DET
Gemach,Gemach,NOUN
vom,von,ADP
letzten,letzter,ADJ
Dunst,Dunst,NOUN
der,der,DET
Speisen,Speise,NOUN
reinige,reinigen,VERB
.,--,PUNCT
An,an,ADP
der,der,DET
dunkeln,dunkeln,ADJ
getäfelten,getäfelt,ADJ
Decke,Decke,NOUN
zuckten,zucken,VERB
die,der,DET
Flammen,Flamme,NOUN
des,der,DET
Lüsterweibchens,Lüsterweibchen,NOUN
.,--,PUNCT
Draußen,draußen,ADV
rauschte,rauschen,VERB
die,der,DET
Isar,Isar,PROPN
und,und,CCONJ
der,der,DET
Regen,Regen,NOUN
strömte,strömn,VERB
wie,wie,ADP
eine,ein,DET
Sündflut,Sündflut,NOUN
hernieder,hernied,ADV
",",--,PUNCT
klatschte,klatschen,VERB
auf,auf,ADP
die,der,DET
wildwogenden,wildwogend,ADJ
Gebirgswasser,Gebirgswasser,NOUN
und,und,CCONJ
erfüllte,erfüllen,VERB
die,der,DET
Straße,Straße,NOUN
mit,mit,ADP
grauen,grau,ADJ
Pfützen,Pfütze,NOUN
.,--,PUNCT
Von,von,ADP
der,der,DET
Mariahilfkirche,Mariahilfkirche,NOUN
in,in,ADP
der,der,DET
Au,Au,NOUN
klangen,klingen,VERB
die,der,DET
Abendglocken,Abendglocke,NOUN
herüber,herüber,VERB
",",--,PUNCT
so,so,ADV
verweint,verweinen,VERB
",",--,PUNCT
so,so,ADV
tieftraurig,tieftraurig,ADV
wie,wie,ADP
ein,ein,DET
grauzerwühltes,grauzerwühlt,ADJ
Chopin'sches,Chopin'sch,ADJ
Notturno,Notturno,NOUN
...,--,PUNCT
Schweigend,schweigend,ADV
hatte,haben,AUX
sich,sich,PRON
die,der,DET
Familie,Familie,NOUN
mit,mit,ADP
den,der,DET
Gästen,Gast,NOUN
aus,aus,ADP
der,der,DET
Provinz,Provinz,NOUN
",",--,PUNCT
dem,der,PRON
fränkischen,fränkisch,ADJ
Deputierten,deputierter,NOUN
",",--,PUNCT
einem,ein,DET
alten,alt,ADJ
Freund,Freund,NOUN
des,der,DET
Hauses,Haus,NOUN
",",--,PUNCT
dem,der,DET
Schwiegersohne,Schwiegersohne,NOUN
",",--,PUNCT
einem,ein,DET
Nürnberger,Nürnberger,ADJ
Fabrikanten,Fabrikant,NOUN
",",--,PUNCT
dem,der,DET
jugendlichen,jugendlich,ADJ
Reallehrer,Reallehrer,NOUN
",",--,PUNCT
einem,ein,DET
hoffnungsvollen,hoffnungsvoll,ADJ
Verehrer,Verehrer,NOUN
der,der,DET
einzigen,einzig,ADJ
Tochter,Tochter,NOUN
des,der,DET
Hauses,Haus,NOUN
",",--,PUNCT
der,der,DET
schönen,schön,ADJ
