Token,Lemma,POS
Moritz,Moritz,PROPN
Hartmann,Hartmann,PROPN
Das,der,DET
Schloß,Schloß,NOUN
im,in,ADP
Gebirge,Gebirge,NOUN
Von,von,ADP
Genf,Genf,PROPN
kommend,kommend,ADV
",",--,PUNCT
sollte,sollen,AUX
ich,ich,PRON
in,in,ADP
St.,St.,PROPN
Jean,Jean,PROPN
de,de,PROPN
Maurienne,Maurienne,PROPN
",",--,PUNCT
am,an,ADP
Fuße,Fuß,NOUN
des,der,DET
Mont-Cenis,Mont-Ceni,NOUN
",",--,PUNCT
mit,mit,ADP
Herrn,Herr,NOUN
B,B,X
...,--,PUNCT
aus,aus,ADP
Paris,Paris,PROPN
zusammentreffen,zusammentreffen,VERB
",",--,PUNCT
um,um,SCONJ
mit,mit,ADP
ihm,ihm,PRON
über,über,ADP
den,der,DET
Berg,Berg,NOUN
und,und,CCONJ
nach,nach,ADP
Turin,Turin,PROPN
weiter,weiter,ADV
zu,zu,PART
reisen,reisen,VERB
.,--,PUNCT
Bei,bei,ADP
meiner,mein,DET
Ankunft,Ankunft,NOUN
an,an,ADP
diesem,dieser,DET
letzten,letzter,ADJ
Ende,Ende,NOUN
der,der,DET
Eisenbahn,Eisenbahn,NOUN
erkundigte,erkundigen,VERB
ich,ich,PRON
mich,sich,PRON
sogleich,sogleich,ADV
beim,bei,ADP
Chef,Chef,NOUN
de,de,PROPN
gare,Gare,PROPN
nach,nach,ADP
meinem,mein,DET
Reisegefährten,Reisegefährt,NOUN
.,--,PUNCT
Er,er,PRON
war,sein,AUX
nicht,nicht,PART
da,da,ADV
.,--,PUNCT
Ein,ein,DET
Telegramm,Telegramm,NOUN
hatte,haben,AUX
gemeldet,melden,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
erst,erst,ADV
in,in,ADP
zwei,zwei,NUM
oder,oder,CCONJ
drei,drei,NUM
Tagen,Tag,NOUN
kommen,kommen,VERB
könne,können,AUX
",",--,PUNCT
und,und,CCONJ
mich,mich,PRON
gebeten,bitten,VERB
",",--,PUNCT
entweder,entweder,CCONJ
die,der,DET
Reise,Reise,NOUN
allein,allein,ADV
fortzusetzen,fortsetzen,VERB
oder,oder,CCONJ
Herrn,Herr,NOUN
B,B,NOUN
...,--,PUNCT
in,in,ADP
St.,St.,PROPN
Jean,Jean,PROPN
zu,zu,PART
erwarten,erwarten,VERB
",",--,PUNCT
und,und,CCONJ
endlich,endlich,ADV
den,der,DET
Chef,Chef,NOUN
de,de,PROPN
gare,Gare,PROPN
ersucht,ersuchen,VERB
",",--,PUNCT
mich,mich,PRON
freundlich,freundlich,ADV
aufzunehmen,aufnehmen,VERB
und,und,CCONJ
mir,mir,PRON
alle,aller,DET
möglichen,möglich,ADJ
Aufmerksamkeiten,Aufmerksamkeit,NOUN
zu,zu,PART
erweisen,erweisen,VERB
.,--,PUNCT
Herr,Herr,NOUN
B,--,NOUN
...,--,PUNCT
ist,sein,AUX
einer,einer,PRON
der,der,DET
großen,groß,ADJ
Unternehmer,Unternehmer,NOUN
und,und,CCONJ
Eisenbahnkönige,Eisenbahnkönig,NOUN
Frankreichs,Frankreich,PROPN
;,--,PUNCT
auf,auf,ADP
dieser,dieser,DET
Eisenbahn,Eisenbahn,NOUN
hatte,haben,AUX
er,er,PRON
als,als,ADP
einer,einer,PRON
der,der,DET
ersten,erster,ADJ
Verwaltungsräte,Verwaltungsrat,NOUN
noch,noch,ADV
besondern,besondern,ADV
Einfluß,Einfluß,NOUN
",",--,PUNCT
und,und,CCONJ
so,so,ADV
reichte,reichen,VERB
das,der,DET
Telegramm,Telegramm,NOUN
hin,hin,ADV
",",--,PUNCT
um,um,SCONJ
mir,mir,PRON
die,der,DET
gesamte,gesamt,ADJ
Beamtenwelt,Beamtenwelt,NOUN
dieses,dieser,DET
Bahnhofes,Bahnhof,NOUN
zur,zu,ADP
Verfügung,Verfügung,NOUN
zu,zu,PART
stellen,stellen,VERB
.,--,PUNCT
Meine,mein,DET
Anwesenheit,Anwesenheit,NOUN
in,in,ADP
Turin,Turin,PROPN
war,sein,AUX
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
ohne,ohne,ADP
B,B,NOUN
...,--,PUNCT
dahin,dahin,ADV
kam,kommen,VERB
",",--,PUNCT
nutzlos,nutzlos,ADV
;,--,PUNCT
ich,ich,PRON
verspürte,verspürn,VERB
wenig,wenig,DET
Lust,Lust,NOUN
",",--,PUNCT
die,der,DET
Reise,Reise,NOUN
über,über,ADP
den,der,DET
öden,öde,ADJ
Mont-Cenis,Mont-Cenis,NOUN
allein,allein,ADV
zu,zu,PART
machen,machen,VERB
",",--,PUNCT
und,und,CCONJ
so,so,ADV
beschloß,beschließen,VERB
ich,ich,PRON
",",--,PUNCT
die,der,PRON
durch,durch,ADP
das,der,DET
Ausbleiben,ausbleiben,NOUN
meines,mein,DET
Reisegefährten,Reisegefährt,NOUN
gewährte,gewährt,ADJ
Frist,Frist,NOUN
zu,zu,PART
benutzen,benutzen,VERB
",",--,PUNCT
um,um,SCONJ
diesen,dieser,DET
wilden,wild,ADJ
und,und,CCONJ
in,in,ADP
seinen,sein,DET
Seitentälern,Seitentäler,NOUN
wenig,wenig,ADV
bekannten,bekannt,ADJ
Teil,Teil,NOUN
Savoyens,Savoyen,PROPN
kennen,kennen,VERB
zu,zu,PART
lernen,lernen,VERB
.,--,PUNCT
Das,der,DET
Elend,Elend,NOUN
",",--,PUNCT
das,der,PRON
hier,hier,ADV
überall,überall,ADV
aus,aus,ADP
den,der,DET
erblindeten,erblindet,ADJ
oder,oder,CCONJ
