Token,Lemma,POS
Nataly,Nataly,NOUN
von,von,ADP
Eschstruth,Eschstruth,PROPN
Jung,Jung,PROPN
gefreit,gefreit,NOUN
Band,Band,NOUN
I,I,NUM
Mit,mit,ADP
Bildern,Bild,NOUN
von,von,ADP
Wilh,Wilh,PROPN
.,--,PUNCT
Claudius,Claudius,NOUN
[,[,ADJ
Bild,Bild,NOUN
],],X
I.,I.,NOUN
Hast,Hast,VERB
du,du,PRON
auch,auch,ADV
alles,aller,DET
Handgepäck,Handgepäck,NOUN
",",--,PUNCT
Salome,Salome,NOUN
?,--,PUNCT
Vier,vier,NUM
Stück,Stück,NOUN
zählte,zählen,VERB
der,der,DET
Portier,Portier,NOUN
in,in,ADP
die,der,DET
Droschke,droschke,PROPN
–,--,PUNCT
laß,laß,PROPN
sehen,sehen,VERB
",",--,PUNCT
ein,ein,DET
Schirmpaket,Schirmpaket,NOUN
–,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Hier,hier,ADV
–,--,PUNCT
Tante,tant,ADJ
Klärchen,Klärch,NOUN
sitzt,sitzen,VERB
darauf,darauf,ADV
!,--,PUNCT
«,--,PUNCT
Ein,ein,DET
leiser,leise,ADJ
Schrei,Schrei,NOUN
im,in,ADP
höchsten,hoch,ADJ
Diskant,Diskant,NOUN
.,--,PUNCT
Tante,Tante,ADJ
Klärchen,Klärch,NOUN
schnellte,schnellen,VERB
empor,empor,ADV
",",--,PUNCT
daß,daß,SCONJ
sich,sich,PRON
ihr,ihr,DET
stolzer,stolz,ADJ
Schellenbaum,Schellenbaum,NOUN
von,von,ADP
Straußfedern,Straußfeder,NOUN
auf,auf,ADP
dem,der,DET
Hut,Hut,NOUN
an,an,ADP
dem,der,DET
Wagendach,Wagendach,PROPN
rund,rund,ADV
wie,wie,ADP
eine,ein,DET
Neune,Neune,NOUN
bog,bogn,VERB
.,--,PUNCT
»,--,PUNCT
Ich,ich,PRON
sitze,sitzen,VERB
darauf,darauf,ADV
?,--,PUNCT
–,--,PUNCT
Gott,Gott,NOUN
sei,sein,AUX
Dank,Dank,NOUN
",",--,PUNCT
es,es,PRON
hat,haben,AUX
kein,kein,DET
Malheur,Malheur,NOUN
gegeben,geben,VERB
!,--,PUNCT
«,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Nein,nein,PART
",",--,PUNCT
alles,alle,PRON
in,in,ADP
Ordnung,Ordnung,NOUN
",",--,PUNCT
deine,dein,VERB
fünfundfünfzig,fünfundfünfzig,ADV
Pfund,Pfund,NOUN
knicken,knicken,VERB
keinen,kein,DET
Bambus,Bambus,NOUN
!,--,PUNCT
«,--,PUNCT
–,--,PUNCT
Die,der,DET
Sprecherin,Sprecherin,NOUN
",",--,PUNCT
eine,ein,DET
stolze,stolz,ADJ
",",--,PUNCT
imposant,imposant,ADV
wuchtige,wuchtig,ADJ
Erscheinung,Erscheinung,NOUN
mit,mit,ADP
leicht,leicht,ADV
ergrautem,ergraut,ADJ
Lockenhaar,lockenhaar,NOUN
über,über,ADP
der,der,DET
Stirn,Stirn,NOUN
",",--,PUNCT
sah,sehen,VERB
mit,mit,ADP
einem,ein,DET
leicht,leicht,ADV
spöttischen,spöttisch,ADJ
Lächeln,Lächel,NOUN
auf,auf,ADP
die,der,DET
hagere,hag,ADJ
Schwester,Schwester,NOUN
nieder,nieder,ADV
",",--,PUNCT
die,der,PRON
sie,sie,PRON
ihr,ihr,DET
Leben,Leben,NOUN
lang,lang,ADV
als,als,ADP
»,--,PUNCT
Nestputtch,Nestputtch,NOUN
«,--,PUNCT
–,--,PUNCT
oder,oder,CCONJ
»,--,PUNCT
sitzengebliebenen,sitzengeblieben,ADJ
Pudding,Pudding,NOUN
«,--,PUNCT
verhöhnte,verhöhnen,VERB
.,--,PUNCT
Klärchen,klärchen,ADJ
streckte,strecken,VERB
die,der,DET
spitze,spitz,ADJ
Nase,Nase,NOUN
und,und,CCONJ
das,der,DET
spitze,spitz,ADJ
Kinn,Kinn,NOUN
noch,noch,ADV
spitzer,spitzer,ADV
vor,vor,ADP
und,und,CCONJ
bemerkte,bemerken,VERB
anzüglich,anzüglich,ADV
:,--,PUNCT
»,--,PUNCT
Nein,nein,PART
",",--,PUNCT
ebensowenig,ebensowenig,ADV
wie,wie,ADP
deine,dein,VERB
zweihundertfünfundfünfzig,zweihundertfünfundfünfzig,NUM
Pfund,Pfund,NOUN
jemals,jemals,ADV
eine,ein,DET
Linde,Linde,NOUN
oder,oder,CCONJ
Eiche,Eiche,NOUN
knicken,knicken,VERB
konnten,können,AUX
",",--,PUNCT
liebe,lieb,ADJ
Erna,Erna,PROPN
!,--,PUNCT
«,--,PUNCT
–,--,PUNCT
Die,der,DET
liebe,lieb,ADJ
Erna,Erna,PROPN
wurde,werden,AUX
kirschrot,Kirschrot,ADV
vor,vor,ADP
Zorn,Zorn,NOUN
",",--,PUNCT
sowohl,sowohl,CCONJ
im,in,ADP
Gedanken,Gedanke,NOUN
an,an,ADP
ihre,ihr,DET
ehemaligen,ehemalig,ADJ
treulosen,treulos,ADJ
Verehrer,Verehrer,NOUN
",",--,PUNCT
den,der,DET
Leutnant,Leutnant,NOUN
von,von,ADP
Linde,Linde,PROPN
und,und,CCONJ
den,der,DET
Assessor,Assessor,NOUN
Eichberg,Eichberg,PROPN
",",--,PUNCT
als,als,CCONJ
auch,auch,ADV
über,über,ADP
die,der,DET
Taktlosigkeit,Taktlosigkeit,NOUN
der,der,DET
Schwester,Schwester,NOUN
",",--,PUNCT
an,an,ADP
diese,dieser,DET
schmerzlichen,schmerzlich,ADJ
Punkte,Punkt,NOUN
ihres,ihr,DET
Lebens,Leben,NOUN
zu,zu,PART
rühren,rühren,VERB
.,--,PUNCT
Sie,sie,PRON
steckte,stecken,VERB
die,der,DET
Hände,Hand,NOUN
mit,mit,ADP
strammem,stramm,ADJ
Ruck,Ruck,NOUN
in,in,ADP
die,der,DET
Taschen,Tasche,NOUN
ihres,ihr,DET
Sportjacketts,Sportjackett,PROPN
und,und,CCONJ
warf,werfen,VERB
den,der,DET
alten,alt,ADJ
Kopf,Kopf,NOUN
mit,mit,ADP
dem,der,DET
jugendlichen,jugendlich,ADJ
Jägerhütchen,Jägerhütchen,NOUN
herausfordernd,herausfordernd,ADV
in,in,ADP
den,der,DET
Nacken,Nack,NOUN
.,--,PUNCT
»,--,PUNCT
Knicken,Knick,NOUN
konnte,können,AUX
?,--,PUNCT
Nicht,nicht,PART
knicken,knicken,VERB
wollte,wollen,AUX
",",--,PUNCT
meinst,meinst,ADV
du,du,PRON
wohl,wohl,ADV
",",--,PUNCT
kleine,klein,ADJ
Giftkröte,Giftkröte,NOUN
?,--,PUNCT
«,--,PUNCT
–,--,PUNCT
fuhr,fahren,VERB
sie,sie,PRON
mit,mit,ADP
ihrer,ihr,DET
tiefen,tief,ADJ
Stimme,Stimme,NOUN
auf,auf,ADP
:,--,PUNCT
»,--,PUNCT
Es,es,PRON
ist,sein,AUX
allerdings,allerdings,ADV
ein,ein,DET
billiges,billig,ADJ
Mittel,Mittel,NOUN
für,für,ADP
den,der,DET
Neid,Neid,NOUN
–,--,PUNCT
–,--,PUNCT
–,--,PUNCT
«,--,PUNCT
Sie,sie,PRON
verstummte,verstummen,VERB
und,und,CCONJ
schnellte,schnellen,VERB
nach,nach,ADP
der,der,DET
andern,anderer,ADJ
Seite,Seite,NOUN
herum,herum,ADV
.,--,PUNCT
Ihre,ihr,DET
Nachbarin,Nachbarin,NOUN
",",--,PUNCT
eine,ein,DET
tief,tief,ADV
verschleierte,verschleiert,ADJ
nonnenhaft,nonnenhaft,NOUN
in,in,ADP
grau,grau,ADV
gehüllte,gehüllt,ADJ
Erscheinung,Erscheinung,NOUN
",",--,PUNCT
hatte,haben,AUX
sie,sie,PRON
in,in,ADP
den,der,DET
Arm,Arm,NOUN
gekniffen,kniffen,VERB
.,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Menagiert,Menagiert,VERB
euch,euch,PRON
–,--,PUNCT
«,--,PUNCT
klang,klingen,VERB
es,es,PRON
tonlos,tonlos,ADV
hinter,hinter,ADP
der,der,DET
undurchsichtigen,undurchsichtig,ADJ
Gaze,Gaze,PROPN
hervor,hervor,ADV
",",--,PUNCT
»,--,PUNCT
wir,wir,PRON
sind,sein,AUX
nicht,nicht,PART
allein,allein,ADV
.,--,PUNCT
«,--,PUNCT
Und,und,CCONJ
der,der,DET
Kopf,Kopf,NOUN
der,der,DET
Sprecherin,Sprecherin,NOUN
machte,machen,VERB
eine,ein,DET
feierliche,feierlich,ADJ
Bewegung,Bewegung,NOUN
gegen,gegen,ADP
das,der,DET
junge,jung,ADJ
",",--,PUNCT
zuerst,zuerst,ADV
angeredete,angeredet,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
das,der,PRON
neben,neben,ADP
Tante,Tante,NOUN
Klärchen,Klärch,NOUN
auf,auf,ADP
dem,der,DET
Vordersitz,Vordersitz,NOUN
der,der,DET
Droschke,droschke,ADV
saß,sitzen,VERB
.,--,PUNCT
Salome,Salome,NOUN
schien,scheinen,VERB
aber,aber,ADV
gar,gar,ADV
nicht,nicht,PART
beachtet,beachten,VERB
zu,zu,PART
haben,haben,AUX
",",--,PUNCT
welch,welcher,PRON
ein,ein,DET
Kampf,Kampf,NOUN
neben,neben,ADP
ihr,ihr,PRON
zu,zu,PART
entbrennen,entbrennen,VERB
drohte,drohen,VERB
",",--,PUNCT
sie,sie,PRON
neigte,neigen,VERB
das,der,DET
rosige,rosig,ADJ
Gesichtchen,Gesichtchen,NOUN
unter,unter,ADP
dem,der,DET
eleganten,elegant,ADJ
",",--,PUNCT
sehr,sehr,ADV
einfachen,einfach,ADJ
Reisehut,Reisehut,NOUN
dicht,dicht,ADV
an,an,ADP
das,der,DET
Wagenfenster,Wagenfenster,NOUN
",",--,PUNCT
und,und,CCONJ
schien,scheinen,VERB
in,in,ADP
schwärmerisches,schwärmerisch,ADJ
Bewundern,Bewunder,NOUN
der,der,DET
prächtigen,prächtig,ADJ
Magazine,Magazine,NOUN
und,und,CCONJ
Ladenfenster,Ladenfenster,NOUN
versunken,versinken,VERB
.,--,PUNCT
»,--,PUNCT
Also,also,ADV
das,der,DET
Schirmpaket,Schirmpaket,NOUN
ist,sein,AUX
da,da,ADV
!,--,PUNCT
«,--,PUNCT
fuhr,fahren,VERB
Erna,Erna,PROPN
",",--,PUNCT
die,der,DET
Waffen,Waffe,NOUN
streckend,streckend,ADV
fort,fort,ADV
",",--,PUNCT
warf,werfen,VERB
ihrem,ihrer,DET
Gegenüber,gegenüber,ADP
Klärchen,Klärch,NOUN
noch,noch,ADV
einen,ein,DET
vernichtenden,vernichtend,ADJ
Blick,Blick,NOUN
zu,zu,ADP
",",--,PUNCT
und,und,CCONJ
nahm,nehmen,VERB
sich,sich,PRON
vor,vor,ADP
",",--,PUNCT
sie,sie,PRON
nachher,nachher,ADV
beim,bei,ADP
Aussteigen,aussteigen,NOUN
tüchtig,tüchtig,ADV
auf,auf,ADP
die,der,DET
Füße,Füße,NOUN
zu,zu,PART
treten,treten,VERB
.,--,PUNCT
»,--,PUNCT
Nr.,Nr.,NOUN
2,2,NUM
war,sein,AUX
eine,ein,DET
kleine,klein,ADJ
Handtasche,Handtasche,PROPN
",",--,PUNCT
wo,wo,SCONJ
ist,sein,AUX
sie,sie,PRON
?,--,PUNCT
«,--,PUNCT
Salome,Salome,NOUN
schlug,schlagen,VERB
die,der,DET
blauen,blau,ADJ
Augen,Auge,NOUN
sinnend,sinnend,ADV
auf,auf,ADP
.,--,PUNCT
»,--,PUNCT
Hier,hier,ADV
unten,unten,ADV
",",--,PUNCT
vor,vor,ADP
meinen,mein,DET
Füßen,Fuß,NOUN
steht,stehen,VERB
sie,sie,PRON
",",--,PUNCT
liebe,lieb,ADJ
Tante,Tante,NOUN
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
sie,sie,PRON
",",--,PUNCT
weich,weich,ADV
und,und,CCONJ
mild,mild,ADV
wie,wie,ADP
Frühlingswehen,Frühlingswehen,NOUN
.,--,PUNCT
»,--,PUNCT
Bon,Bon,PROPN
",",--,PUNCT
und,und,CCONJ
die,der,DET
Hutschachtel,Hutschachtel,NOUN
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Bei,bei,ADP
dem,der,DET
Kutscher,Kutscher,NOUN
draußen,draußen,ADV
auf,auf,ADP
dem,der,DET
Bock,Bock,NOUN
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Aber,aber,CCONJ
es,es,PRON
waren,sein,AUX
vier,vier,NUM
Gepäckstücke,Gepäckstück,NOUN
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Gewiß,gewiß,ADV
!,--,PUNCT
Das,der,DET
Paket,Paket,NOUN
aus,aus,ADP
der,der,DET
Buchhandlung,Buchhandlung,NOUN
",",--,PUNCT
das,der,PRON
du,du,PRON
für,für,ADP
Tante,Tante,ADJ
Sidonie,Sidonie,NOUN
mitbringen,mitbringen,VERB
solltest,solltest,X
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Richtig,richtig,ADV
–,--,PUNCT
ein,ein,DET
kleines,klein,ADJ
Buch,Buch,NOUN
schien,scheinen,VERB
es,es,PRON
...,--,PUNCT
mein,mein,DET
Gott,Gott,NOUN
",",--,PUNCT
wo,wo,SCONJ
mag,mögen,AUX
es,es,PRON
hingeraten,hingeraten,VERB
sein,sein,AUX
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Steht,stehen,VERB
mal,mal,ADV
alle,alle,PRON
auf,auf,ADP
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
