Token,Lemma,POS
Oskar,Oskar,PROPN
Meding,Meding,PROPN
(,--,PUNCT
Gregor,Gregor,PROPN
Samarow,Samarow,PROPN
),--,PUNCT
Zwei,zwei,NUM
Kaiserkronen,Kaiserkron,NOUN
Zeitroman,zeitroman,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Ein,ein,DET
reges,reg,ADJ
Leben,Leben,NOUN
herrschte,herrschen,VERB
am,an,ADP
18.,18.,ADJ
Februar,Februar,NOUN
1868,1868,NUM
auf,auf,ADP
den,der,DET
Straßen,Straße,NOUN
von,von,ADP
Hietzing,Hietzing,PROPN
",",--,PUNCT
dieses,dieser,DET
kleinen,klein,ADJ
Fleckchens,Fleckchen,NOUN
",",--,PUNCT
der,der,PRON
die,der,DET
große,groß,ADJ
kaiserliche,kaiserlich,ADJ
Residenz,Residenz,NOUN
Schönbrunn,Schönbrunn,PROPN
umgibt,umgiben,VERB
und,und,CCONJ
sich,sich,PRON
aus,aus,ADP
freundlichen,freundlich,NOUN
und,und,CCONJ
eleganten,elegant,ADJ
Sommerwohnungen,Sommerwohnung,NOUN
für,für,ADP
das,der,DET
Wiener,Wiener,ADJ
Publikum,Publikum,NOUN
zusammensetzt,zusammensetzen,VERB
.,--,PUNCT
Zu,zu,ADP
anderen,anderer,ADJ
Zeiten,Zeit,NOUN
war,sein,AUX
um,um,ADP
diese,dieser,DET
Jahreszeit,Jahreszeit,NOUN
Hietzing,Hietzing,PROPN
verödet,veröden,VERB
und,und,CCONJ
still,still,ADV
",",--,PUNCT
denn,denn,CCONJ
seine,sein,DET
Saison,Saison,NOUN
beginnt,beginnen,VERB
erst,erst,ADV
mit,mit,ADP
dem,der,DET
Mai,Mai,NOUN
und,und,CCONJ
Juni,Juni,NOUN
",",--,PUNCT
und,und,CCONJ
während,während,ADP
der,der,DET
Winterzeit,Winterzeit,NOUN
sieht,sehen,VERB
man,man,PRON
nur,nur,ADV
die,der,DET
Eingeborenen,Eingeboren,NOUN
über,über,ADP
die,der,DET
Straßen,Straße,NOUN
gehen,gehen,VERB
und,und,CCONJ
sich,sich,PRON
abends,abends,ADV
in,in,ADP
kleinem,klein,DET
Zirkel,Zirkel,NOUN
im,in,ADP
Hinterzimmer,Hinterzimmer,NOUN
von,von,ADP
Dommayers,Dommayers,PROPN
Kasino,Kasino,PROPN
versammeln,versammeln,VERB
",",--,PUNCT
um,um,SCONJ
in,in,ADP
Gruppen,Gruppe,NOUN
",",--,PUNCT
welche,welcher,DET
einen,ein,DET
würdigen,würdig,ADJ
Vorwurf,Vorwurf,NOUN
für,für,ADP
Hogarths,Hogarth,PROPN
Griffel,Griffel,NOUN
abgeben,abgeben,VERB
würden,werden,AUX
",",--,PUNCT
die,der,PRON
einfachen,einfach,ADJ
Tagesereignisse,Tagesereigniß,NOUN
des,der,DET
winterlichen,winterlich,ADJ
Stillebens,Stilleben,NOUN
zu,zu,PART
besprechen,besprechen,VERB
bei,bei,ADP
einem,ein,DET
Glase,Glase,NOUN
Schwechater,Schwechater,PROPN
Bier,Bier,NOUN
oder,oder,CCONJ
einem,ein,DET
Schoppen,Schoppen,NOUN
Vöslauer,Vöslauer,PROPN
.,--,PUNCT
Anders,anders,ADV
war,sein,AUX
es,es,PRON
an,an,ADP
jenem,jener,DET
hellen,hell,ADJ
",",--,PUNCT
schönen,schön,ADJ
Februartage,Februartage,NOUN
des,der,DET
Jahres,Jahr,NOUN
1868.,1868.,PROPN
Auf,auf,ADP
der,der,DET
großen,groß,ADJ
Hauptstraße,Hauptstraße,NOUN
von,von,ADP
Hietzing,Hietzing,PROPN
",",--,PUNCT
welche,welcher,PRON
in,in,ADP
langer,lang,ADJ
Windung,Windung,NOUN
