Token,Lemma,POS
Oskar,Oskar,PROPN
Panizza,Panizza,PROPN
Der,der,DET
Goldregen,Goldregen,PROPN
Wenn's,Wenn's,X
Zehn-Mark-Stück'l,Zehn-Mark-Stück'l,PROPN
regent,Regent,NOUN
Und,und,CCONJ
Zwanz'g-Mark-Stück'l,Zwanz'g-Mark-Stück'l,NOUN
schneibt,schneiben,VERB
",",--,PUNCT
Na,na,X
bitt,beten,VERB
',--,PUNCT
i,i,X
unser'n,unser'n,PROPN
Herrgott,Herrgott,NOUN
",",--,PUNCT
Daß's,Daß's,PROPN
Wetter,Wetter,PROPN
so,so,ADV
bleibt,bleiben,VERB
.,--,PUNCT
Altbayrischer,Altbayrischer,NOUN
Vierzeiler,Vierzeiler,PROPN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
an,an,ADP
einem,ein,DET
Samstagnachmittag,Samstagnachmittag,NOUN
",",--,PUNCT
und,und,CCONJ
wahrhaftig,wahrhaftig,ADV
nichts,nichts,DET
Besonderes,besondere,NOUN
in,in,ADP
der,der,DET
Welt,Welt,NOUN
los,los,ADV
.,--,PUNCT
Es,es,PRON
war,sein,AUX
auch,auch,ADV
nichts,nichts,PRON
angekündigt,ankündigen,VERB
",",--,PUNCT
weder,weder,CCONJ
was,wer,PRON
Politisches,Politisch,NOUN
",",--,PUNCT
noch,noch,ADV
was,was,PRON
Kommunales,Kommunal,NOUN
",",--,PUNCT
nichts,nichts,PRON
am,an,ADP
Hofe,Hof,NOUN
",",--,PUNCT
und,und,CCONJ
nichts,nichts,PRON
in,in,ADP
der,der,DET
Stadt,Stadt,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
auch,auch,ADV
sonst,sonst,ADV
kein,kein,DET
hervorragender,hervorragend,ADJ
Tag,Tag,NOUN
;,--,PUNCT
ich,ich,PRON
meine,meinen,VERB
keine,kein,DET
Gedenkfeier,Gedenkfeier,NOUN
",",--,PUNCT
kein,kein,DET
kritischer,kritisch,ADJ
Tag,Tag,NOUN
nach,nach,ADP
Falb,Falb,PROPN
",",--,PUNCT
kein,kein,DET
29.,29.,ADJ
Februar,Februar,NOUN
;,--,PUNCT
es,es,PRON
war,sein,AUX
auch,auch,ADV
kein,kein,DET
Komet,Komet,NOUN
am,an,ADP
Himmel,Himmel,NOUN
.,--,PUNCT
Mit,mit,ADP
einem,ein,DET
Wort,Wort,NOUN
",",--,PUNCT
es,es,PRON
war,sein,AUX
ein,ein,DET
ganz,ganz,ADV
gewöhnlicher,gewöhnlich,ADJ
Samstag,Samstag,NOUN
",",--,PUNCT
und,und,CCONJ
es,es,PRON
regnete,regnen,VERB
.,--,PUNCT
Ich,ich,PRON
sage,sagen,VERB
dies,dieser,PRON
ausdrücklich,ausdrücklich,ADV
",",--,PUNCT
damit,damit,SCONJ
nicht,nicht,PART
hinterher,hinterher,ADV
einer,einer,PRON
kommt,kommen,VERB
",",--,PUNCT
und,und,CCONJ
mir,mir,PRON
vorwirft,vorwerfen,VERB
",",--,PUNCT
ich,ich,PRON
hätte,haben,AUX
auf,auf,ADP
billige,billig,ADJ
Art,Art,NOUN
eine,ein,DET
gewisse,gewiß,ADJ
Spannung,Spannung,NOUN
im,in,ADP
