Token,Lemma,POS
Oskar,Oskar,PROPN
Panizza,Panizza,PROPN
Der,der,DET
Korsetten-Fritz,Korsetten-Fritz,NOUN
Aus,aus,ADP
alten,alt,ADJ
Märchen,Märche,NOUN
winkt,winken,VERB
es,es,PRON
Hervor,hervor,ADV
mit,mit,ADP
weißer,weiß,ADJ
Hand,Hand,NOUN
",",--,PUNCT
Da,da,ADV
singt,singen,VERB
es,es,PRON
und,und,CCONJ
da,da,ADV
klingt,klingen,VERB
es,es,PRON
Von,von,ADP
einem,ein,DET
Zauberland,Zauberland,NOUN
.,--,PUNCT
Heine,Heine,NOUN
.,--,PUNCT
Ich,ich,PRON
bin,sein,AUX
der,der,DET
Sohn,Sohn,NOUN
eines,ein,DET
protestantischen,protestantisch,ADJ
Pfarrers,Pfarrer,NOUN
.,--,PUNCT
Ich,ich,PRON
wuchs,wachsen,VERB
in,in,ADP
einem,ein,DET
ganz,ganz,ADV
kleinen,klein,ADJ
Städtchen,Städtche,NOUN
auf,auf,ADP
.,--,PUNCT
Wir,wir,PRON
waren,sein,AUX
vielleicht,vielleicht,ADV
achthundert,achthundert,ADV
Seelen,Seele,NOUN
.,--,PUNCT
Jedes,jeder,PRON
kannte,kennen,VERB
das,der,DET
andere,anderer,PRON
;,--,PUNCT
fast,fast,ADV
bis,bis,ADP
auf,auf,ADP
die,der,DET
Gedanken,Gedanke,NOUN
.,--,PUNCT
Von,von,ADP
früh,früh,ADV
auf,auf,ADP
leitete,leiten,VERB
mein,mein,DET
Vater,Vater,NOUN
selbst,selbst,ADV
meine,mein,DET
Erziehung,Erziehung,NOUN
;,--,PUNCT
ich,ich,PRON
mußte,müssen,AUX
Lateinisch,Lateinisch,NOUN
lernen,lernen,VERB
",",--,PUNCT
wogegen,wogegen,SCONJ
sich,sich,PRON
mein,mein,DET
Kopf,Kopf,NOUN
",",--,PUNCT
wie,wie,ADP
gegen,gegen,ADP
ein,ein,DET
exotisches,exotisch,ADJ
Gift,Gift,NOUN
",",--,PUNCT
sträubte,sträuben,VERB
.,--,PUNCT
Die,der,DET
sicherste,sicher,ADJ
und,und,CCONJ
intensivste,intensiv,ADJ
Erinnerung,Erinnerung,NOUN
aus,aus,ADP
dieser,dieser,DET
Zeit,Zeit,NOUN
ist,sein,AUX
ein,ein,DET
gewisser,gewiß,ADJ
Zustand,Zustand,NOUN
",",--,PUNCT
eine,ein,DET
Disposition,Disposition,NOUN
meines,mein,DET
Kopfes,Kopf,NOUN
",",--,PUNCT
eine,ein,DET
Art,Art,NOUN
psychischer,psychisch,ADJ
Anfall,Anfall,NOUN
",",--,PUNCT
der,der,PRON
mich,mich,PRON
jedesmal,jedesmal,ADV
in,in,ADP
der,der,DET
Kirche,Kirche,NOUN
überraschte,überraschen,VERB
.,--,PUNCT
Mein,mein,DET
Vater,Vater,NOUN
predigte,predigen,VERB
ganz,ganz,ADV
anders,anders,ADV
",",--,PUNCT
als,als,SCONJ
er,er,PRON
zu,zu,ADP
Hause,Haus,NOUN
sprach,sprechen,VERB
.,--,PUNCT
Auf,auf,ADP
der,der,DET
Kanzel,Kanzel,PROPN
hatte,haben,AUX
er,er,PRON
eine,ein,DET
plärrende,plärrend,ADJ
",",--,PUNCT
