Token,Lemma,POS
Oskar,Oskar,PROPN
Panizza,Panizza,PROPN
Indianer-Gedanken,Indianer-Gedank,NOUN
Nehmet,Nehmet,PROPN
wahr,wahr,ADV
der,der,DET
Raben,Raben,NOUN
;,--,PUNCT
sie,sie,PRON
säen,säen,VERB
nicht,nicht,PART
",",--,PUNCT
sie,sie,PRON
ernten,ernten,VERB
auch,auch,ADV
nicht,nicht,PART
",",--,PUNCT
und,und,CCONJ
euer,eu,ADV
himmlischer,himmlisch,ADJ
Vater,Vater,NOUN
nähret,nähret,ADV
sie,sie,PRON
doch,doch,ADV
.,--,PUNCT
Lucas,Lucas,PROPN
;,--,PUNCT
"12,24","12,24",NUM
Wer,wer,PRON
in,in,ADP
den,der,DET
letzten,letzter,ADJ
fünf,fünf,NUM
oder,oder,CCONJ
sechs,sechs,NUM
Jahren,Jahr,NOUN
in,in,ADP
einer,einer,PRON
der,der,DET
größeren,groß,ADJ
Städte,Stadt,NOUN
des,der,DET
Kontinents,Kontinent,NOUN
seinen,sein,DET
Aufenthalt,Aufenthalt,NOUN
hatte,haben,VERB
oder,oder,CCONJ
gelegentlich,gelegentlich,ADV
dort,dort,ADV
verweilte,verweilten,VERB
",",--,PUNCT
erinnert,erinnern,VERB
sich,sich,PRON
vielleicht,vielleicht,ADV
einer,ein,DET
farbigen,farbig,ADJ
Truppe,Truppe,NOUN
",",--,PUNCT
die,der,PRON
unter,unter,ADP
der,der,DET
Aufsicht,Aufsicht,NOUN
eines,ein,DET
weißen,weiß,ADJ
Unternehmers,Unternehmer,NOUN
von,von,ADP
Ort,Ort,NOUN
zu,zu,ADP
Ort,Ort,NOUN
zog,ziehen,VERB
",",--,PUNCT
ihre,ihr,DET
Zelte,Zelt,NOUN
aufschlug,aufschlagen,VERB
",",--,PUNCT
in,in,ADP
einem,ein,DET
abgeschlossenen,abgeschlossen,ADJ
Raum,Raum,NOUN
ihre,ihr,DET
Künste,Kunst,NOUN
",",--,PUNCT
Kriegs-Tänze,Kriegs-Tänze,NOUN
und,und,CCONJ
sonstige,sonstig,ADJ
absonderliche,absonderlich,ADJ
Gewohnheiten,Gewohnheit,NOUN
vorführte,vorführen,VERB
und,und,CCONJ
unter,unter,ADP
denen,der,PRON
ein,ein,DET
geschlossenes,geschlossen,ADJ
Kontingent,Kontingent,NOUN
von,von,ADP
etwa,etwa,ADV
fünfzig,fünfzig,NUM
bis,bis,ADP
sechzig,sechzig,NUM
Indianern,Indianer,NOUN
des,der,DET
Sioux-,Sioux,X
und,und,CCONJ
Cheyennes-Stammes,Cheyennes-Stammes,NOUN
das,der,DET
Haupt-Interesse,Haupt-Interesse,NOUN
des,der,DET
Publikums,Publikum,NOUN
herausforderte,herausforderen,VERB
.,--,PUNCT
Als,als,ADP
junger,jung,ADJ
Arzt,Arzt,NOUN
in,in,ADP
einer,ein,DET
größeren,groß,ADJ
Stadt,Stadt,NOUN
Mittel-Deutschlands,Mittel-Deutschland,PROPN
ansässig,ansässig,ADV
",",--,PUNCT
hatte,haben,VERB
ich,ich,PRON
damals,damals,ADV
",",--,PUNCT
um,um,SCONJ
Beschäftigung,Beschäftigung,NOUN
zu,zu,PART
erhalten,erhalten,VERB
",",--,PUNCT
