Token,Lemma,POS
Ottilie,Ottilie,PROPN
Wildermuth,Wildermuth,PROPN
Eine,ein,DET
Königin,Königin,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
Auf,auf,ADP
einem,ein,DET
freien,frei,ADJ
Wiesenplatz,Wiesenplatz,NOUN
stand,stehen,VERB
das,der,DET
Haus,Haus,NOUN
des,der,DET
Tannenbauern,Tannenbauer,NOUN
",",--,PUNCT
das,der,DET
schönste,schön,ADJ
und,und,CCONJ
stattlichste,stattlich,ADJ
Bauernhaus,Bauernhaus,NOUN
weit,weit,ADV
in,in,ADP
die,der,DET
Runde,Runde,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
Samstag,Samstag,NOUN
Abend,Abend,NOUN
",",--,PUNCT
der,der,DET
Vorabend,Vorabend,NOUN
des,der,DET
Sabbats,Sabbat,NOUN
",",--,PUNCT
und,und,CCONJ
in,in,ADP
Häusern,Haus,NOUN
",",--,PUNCT
wo,wo,SCONJ
man,man,PRON
noch,noch,ADV
