Token,Lemma,POS
Ottilie,Ottilie,PROPN
Wildermuth,Wildermuth,PROPN
Aus,aus,ADP
dem,der,DET
Frauenleben,Frauenlebe,NOUN
.,--,PUNCT
Zweiter,zweiter,ADJ
Band,Band,NOUN
.,--,PUNCT
1862,1862,NUM
Mädchenbriefe,Mädchenbrief,NOUN
Und,und,CCONJ
schlummern,schlummern,VERB
alle,aller,DET
Kinder,Kind,NOUN
",",--,PUNCT
So,so,ADV
träumen,träumen,VERB
sie,sie,PRON
nicht,nicht,PART
minder,minder,ADV
Von,von,ADP
Luft,Luft,NOUN
und,und,CCONJ
holden,hold,ADJ
Scherzen,Scherz,NOUN
",",--,PUNCT
Von,von,ADP
bittersüßen,bittersüß,ADJ
Schmerzen,Schmerzen,NOUN
.,--,PUNCT
Und,und,CCONJ
wenn,wenn,SCONJ
sie,sie,PRON
dann,dann,ADV
erwachen,erwachen,VERB
",",--,PUNCT
Wie,wie,ADV
große,groß,ADJ
Augen,Auge,NOUN
machen,machen,VERB
.,--,PUNCT
Viel,viel,ADV
anders,anders,ADV
ist,sein,AUX
es,es,PRON
aufgekeimt,aufgekeimt,ADP
Als,als,SCONJ
sich,sich,PRON
ihr,ihr,DET
thöricht,thörichen,ADJ
Herz,Herz,NOUN
geträumt,träumen,VERB
.,--,PUNCT
Und,und,CCONJ
immer,immer,ADV
doch,doch,ADV
hielt,halten,VERB
weich,weich,ADV
und,und,CCONJ
warm,warm,ADV
Die,der,DET
ew'ge,ew'ge,ADJ
Liebe,Liebe,NOUN
sie,sie,PRON
im,in,ADP
',--,PUNCT
Arm,Arm,NOUN
.,--,PUNCT
Drum,drum,ADV
schlaf,schlaf,VERB
",",--,PUNCT
mein,mein,DET
Kindlein,Kindlein,NOUN
",",--,PUNCT
schlaf,schlaf,VERB
!,--,PUNCT
Den,der,DET
Kindlein,Kindlein,NOUN
wird's,wird's,AUX
im,in,ADP
Schlaf,Schlaf,NOUN
.,--,PUNCT
Wiegenlied,Wiegenlied,NOUN
.,--,PUNCT
*,*,NOUN
1.,1.,ADV
Liebste,Liebste,ADJ
