Token,Lemma,POS
Ottilie,Ottilie,PROPN
Wildermuth,Wildermuth,PROPN
Aus,aus,ADP
dem,der,DET
Frauenleben,Frauenlebe,NOUN
.,--,PUNCT
Erster,erst,ADJ
Band,Band,NOUN
.,--,PUNCT
1862,1862,NUM
Unabhängigkeit,Unabhängigkeit,NOUN
Erzählung,Erzählung,NOUN
in,in,ADP
Briefen,Brief,NOUN
*,*,NOUN
Es,es,PRON
wird,werden,AUX
des,der,DET
Glaubens,Glauben,NOUN
heil'ge,heil'ge,PROPN
Flamme,Flamme,NOUN
Erst,erst,ADV
hell,hell,ADV
im,in,ADP
Herzen,Herz,NOUN
angefacht,angefacht,VERB
",",--,PUNCT
Wenn,wenn,SCONJ
wir,wir,PRON
des,der,DET
Herzens,Herzen,NOUN
liebste,liebst,ADJ
Träume,Traum,NOUN
Als,als,ADP
stilles,still,ADJ
Opfer,Opfer,NOUN
dargebracht,dargebrachen,VERB
.,--,PUNCT
Drum,Drum,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
das,der,DET
stille,still,ADJ
Leid,Leid,NOUN
dir,dir,PRON
nahet,nahet,NOUN
",",--,PUNCT
So,so,ADV
werde,werden,AUX
dir,dir,PRON
recht,recht,ADV
innig,innig,ADV
kund,kund,ADV
.,--,PUNCT
Es,es,PRON
ruht,ruhen,VERB
die,der,DET
edelste,edelste,ADJ
der,der,DET
Perlen,Perle,NOUN
Auf,auf,ADP
der,der,DET
Entsagung,Entsagung,NOUN
dunklem,dunklem,DET
Grund,Grund,NOUN
",",--,PUNCT
Und,und,CCONJ
Hast,Hast,AUX
die,der,DET
Perle,Perle,NOUN
du,du,PRON
errungen,erringen,VERB
",",--,PUNCT
Erblühe,Erblühe,PROPN
freundlich,freundlich,ADV
dein,dein,DET
Geschick,Geschick,NOUN
;,--,PUNCT
Weit,weit,ADV
über,über,ADP
Bitten,Bitte,NOUN
und,und,CCONJ
Verstehen,verstehen,NOUN
Gibt,geben,VERB
uns,uns,PRON
der,der,DET
Herr,Herr,NOUN
das,der,DET
rechte,recht,ADJ
Glück,Glück,NOUN
