Token,Lemma,POS
Otto,Otto,PROPN
Julius,Julius,PROPN
Bierbaum,Bierbaum,PROPN
Die,der,DET
Lavendel-Ehe,Lavendel-Ehe,NOUN
Sie,sie,PRON
war,sein,AUX
klein,klein,ADV
und,und,CCONJ
schmächtig,schmächtig,ADV
und,und,CCONJ
hatte,haben,AUX
ganz,ganz,ADV
hellblaue,hellblau,ADJ
Augen,Auge,NOUN
",",--,PUNCT
so,so,ADV
hellblau,hellblau,ADV
",",--,PUNCT
wie,wie,ADV
an,an,ADP
Vorfrühlingsabenden,Vorfrühlingsabend,NOUN
manchmal,manchmal,ADV
der,der,DET
Himmel,Himmel,NOUN
ist,sein,AUX
",",--,PUNCT
–,--,PUNCT
viel,viel,DET
Sehnsucht,Sehnsucht,NOUN
ist,sein,AUX
in,in,ADP
solchem,solcher,DET
Blau,blaue,NOUN
.,--,PUNCT
Und,und,CCONJ
eine,ein,DET
zage,zag,ADJ
Stimme,Stimme,NOUN
hatte,haben,AUX
sie,sie,PRON
",",--,PUNCT
richtig,richtig,ADV
noch,noch,ADV
die,der,DET
Stimme,Stimme,NOUN
eines,ein,DET
kleinen,klein,ADJ
Mädchens,Mädchen,NOUN
",",--,PUNCT
das,der,PRON
so,so,ADV
schreckliche,schrecklich,ADJ
Angst,Angst,NOUN
vorm,vor,ADP
Herrn,Herr,NOUN
Schullehrer,Schullehrer,NOUN
hat,haben,VERB
und,und,CCONJ
doch,doch,ADV
so,so,ADV
artig,artig,ADV
ist,sein,AUX
",",--,PUNCT
–,--,PUNCT
eigentlich,eigentlich,ADV
zu,zu,PART
artig,artig,ADV
.,--,PUNCT
Und,und,CCONJ
ihre,ihr,DET
Bewegungen,Bewegung,NOUN
waren,sein,AUX
gleitend,gleitend,ADV
",",--,PUNCT
unhörbar,unhörbar,ADV
beinahe,beinahe,ADV
",",--,PUNCT
wie,wie,SCONJ
wenn,wenn,SCONJ
sie,sie,PRON
immer,immer,ADV
fürchtete,fürchten,VERB
",",--,PUNCT
