Token,Lemma,POS
Otto,Otto,PROPN
Julius,Julius,PROPN
Bierbaum,Bierbaum,PROPN
Die,der,DET
Schlangendame,Schlangendame,NOUN
Humoreske,Humoreske,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
1.,1.,ADJ
Kapitel,Kapitel,NOUN
Er,er,PRON
hatte,haben,AUX
nie,nie,ADV
den,der,DET
Ehrgeiz,Ehrgeiz,NOUN
besessen,besessen,VERB
ein,ein,DET
Gelehrter,gelehrter,NOUN
zu,zu,PART
werden,werden,AUX
.,--,PUNCT
2.,2.,ADJ
Kapitel,Kapitel,NOUN
Haben,Haben,AUX
Sie,sie,PRON
schon,schon,ADV
einmal,einmal,ADV
junge,jung,ADJ
Stiere,Stier,NOUN
gesehen,sehen,VERB
?,--,PUNCT
3.,3.,ADJ
Kapitel,Kapitel,NOUN
Ein,ein,DET
aufdringliches,aufdringlich,ADJ
thörichtes,thöricht,ADJ
infames,infam,NOUN
",",--,PUNCT
ein,ein,DET
überflüssiges,überflüssig,ADJ
Fremdwort,Fremdwort,NOUN
.,--,PUNCT
4.,4.,ADJ
Kapitel,Kapitel,NOUN
Das,der,PRON
grenzt,grenzen,VERB
schon,schon,ADV
an,an,ADP
Pommern,Pommern,NOUN
!,--,PUNCT
5.,5.,ADJ
Kapitel,Kapitel,NOUN
Ein,ein,DET
solcher,solcher,DET
Stier,Stier,NOUN
geht,gehen,VERB
ruhig,ruhig,ADV
fürbaß,fürbaß,VERB
.,--,PUNCT
6.,6.,NUM
Kapitel,Kapitel,NOUN
Er,er,PRON
war,sein,AUX
nicht,nicht,PART
happig,happig,ADV
.,--,PUNCT
7.,7.,ADJ
Kapitel,Kapitel,NOUN
Ist,sein,AUX
sie,sie,PRON
nicht,nicht,PART
wie,wie,ADP
die,der,DET
Morgenröte,Morgenröte,NOUN
lieblich,lieblich,ADV
?,--,PUNCT
8.,8.,ADJ
Kapitel,Kapitel,NOUN
Ich,ich,PRON
denke,denken,VERB
:,--,PUNCT
