Token,Lemma,POS
Otto,Otto,PROPN
Julius,Julius,PROPN
Bierbaum,Bierbaum,PROPN
To-lu-to-lo,To-lu-to-lo,NOUN
oder,oder,CCONJ
Wie,wie,ADV
Emil,Emil,PROPN
Türke,Türke,PROPN
wurde,werden,AUX
Mein,mein,DET
Freund,Freund,NOUN
Emil,Emil,PROPN
war,sein,AUX
ein,ein,DET
merkwürdiger,merkwürdig,ADJ
Referendar,Referendar,NOUN
:,--,PUNCT
Es,es,PRON
genügte,genügen,VERB
ihm,ihm,PRON
nicht,nicht,PART
",",--,PUNCT
Referendar,referendar,PROPN
zu,zu,PART
sein,sein,AUX
.,--,PUNCT
Er,er,PRON
wollte,wollen,AUX
durchaus,durchaus,ADV
nach,nach,ADP
China,China,PROPN
.,--,PUNCT
Nicht,nicht,PART
etwa,etwa,ADV
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
an,an,ADP
einer,ein,DET
Stangenschen,stangensch,ADJ
Weltreise,Weltreise,NOUN
hätte,haben,AUX
teilnehmen,teilnehmen,VERB
wollen,wollen,AUX
.,--,PUNCT
Nein,nein,PART
",",--,PUNCT
es,es,PRON
war,sein,AUX
nicht,nicht,PART
eitle,eitel,ADJ
Vergnügungssucht,Vergnügungssucht,NOUN
oder,oder,CCONJ
seichte,seicht,ADJ
Neugierde,Neugierd,NOUN
;,--,PUNCT
es,es,PRON
war,sein,AUX
Ehrgeiz,Ehrgeiz,NOUN
.,--,PUNCT
Emil,Emil,PROPN
hatte,haben,AUX
es,es,PRON
sich,sich,PRON
in,in,ADP
den,der,DET
Kopf,Kopf,NOUN
gesetzt,setzen,VERB
",",--,PUNCT
schnell,schnell,ADV
Karriere,Karriere,NOUN
zu,zu,PART
machen,machen,VERB
und,und,CCONJ
auf,auf,ADP
ungewöhnliche,ungewöhnlich,ADJ
Weise,Weise,NOUN
.,--,PUNCT
Aber,aber,CCONJ
es,es,PRON
war,sein,AUX
ihm,ihm,PRON
nicht,nicht,PART
