Token,Lemma,POS
Otto,Otto,PROPN
Ludwig,Ludwig,PROPN
Die,der,DET
Heiterethei,Heiterethei,NOUN
und,und,CCONJ
ihr,ihr,DET
Widerspiel,Widerspiel,NOUN
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Die,der,DET
Heiterethei,Heiterethei,NOUN
Aus,aus,ADP
dem,der,DET
Regen,Regen,NOUN
in,in,ADP
die,der,DET
Traufe,Traufe,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Die,der,DET
Heiterethei,Heiterethei,NOUN
Auch,auch,ADV
zum,zu,ADP
Gründer,Gründer,ADJ
Markt,Markt,NOUN
",",--,PUNCT
Dorle,Dorle,PROPN
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Noch,noch,ADV
e,e,X
',--,PUNCT
bißle,bißle,ADV
weiter,weiter,ADV
;,--,PUNCT
bis,bis,ADP
zum,zu,ADP
Zainhammer,Zainhammer,NOUN
.,--,PUNCT
Und,und,CCONJ
sagt,sagen,VERB
",",--,PUNCT
Frau,Frau,NOUN
Dotin,Dotin,PROPN
",",--,PUNCT
ob,ob,SCONJ
Ihr,ihr,PRON
was,was,PRON
hin,hin,ADV
zu,zu,PART
bestellen,bestellen,VERB
habt,haben,AUX
.,--,PUNCT
Vielleicht,vielleicht,ADV
wieder,wieder,ADV
was,was,PRON
an,an,ADP
den,der,DET
Herrn,Herr,NOUN
Faktor,Faktor,NOUN
?,--,PUNCT
Und,und,CCONJ
dann,dann,ADV
gebt's,gebt's,ADV
schnell,schnell,ADV
.,--,PUNCT
Dort,dort,ADV
wird,werden,AUX
man,man,PRON
auch,auch,ADV
immer,immer,ADV
länger,lang,ADV
aufgehalten,aufhalten,VERB
als,als,ADP
nötig,nötig,ADV
war,sein,AUX
.,--,PUNCT
Und,und,CCONJ
zu,zu,PART
spät,spät,ADV
in,in,ADP
die,der,DET
Nacht,Nacht,NOUN
mag,mögen,AUX
ich,ich,PRON
nicht,nicht,PART
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Was,was,PRON
das,der,PRON
für,für,ADP
ein,ein,DET
Hastigtun,Hastigtun,NOUN
ist,sein,AUX
!,--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
die,der,DET
Wirtin,Wirtin,NOUN
",",--,PUNCT
vor,vor,ADP
deren,der,DET
Tür,Tür,NOUN
dieses,dieser,DET
Gespräch,Gespräch,NOUN
stattfand,stattfinden,VERB
.,--,PUNCT
»,--,PUNCT
Man,man,PRON
sollt,sollen,VERB
meinen,meinen,VERB
",",--,PUNCT
die,der,DET
Mädle,Mädle,NOUN
von,von,ADP
jetzt,jetzt,ADV
",",--,PUNCT
das,der,PRON
wären,sein,AUX
erst,erst,ADV
Mädle,Mädle,NOUN
.,--,PUNCT
Na,na,INTJ
",",--,PUNCT
ich,ich,PRON
bin,sein,AUX
auch,auch,ADV
eins,eins,NUM
gewest,Gewest,NOUN
",",--,PUNCT
und,und,CCONJ
nicht,nicht,PART
das,der,PRON
langsamst,Langsamst,VERB
;,--,PUNCT
aber,aber,CCONJ
Zeit,Zeit,NOUN
zum,zu,ADP
Atemholen,Atemhol,NOUN
hab,hab,AUX
ich,ich,PRON
mir,mir,PRON
alleweil,Alleweil,NOUN
noch,noch,ADV
gegönnt,gönnen,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Ihr,ihr,PRON
seid,sein,AUX
auch,auch,ADV
ein,ein,DET
Mädle,Mädle,NOUN
gewest,wesen,VERB
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
Dorle,Dorle,PROPN
wie,wie,ADP
von,von,ADP
Verwunderung,Verwunderung,NOUN
überwältigt,überwältigen,VERB
;,--,PUNCT
denn,denn,CCONJ
die,der,DET
Wirtin,Wirtin,NOUN
war,sein,AUX
eine,einer,PRON
jener,jener,DET
Gestalten,Gestalt,NOUN
",",--,PUNCT
die,der,PRON
man,man,PRON
sich,sich,PRON
nicht,nicht,PART
jung,jung,ADV
denken,denken,VERB
kann,können,AUX
.,--,PUNCT
Die,der,DET
umherstehenden,umherstehend,ADJ
Männer,Mann,NOUN
brachen,brechen,VERB
in,in,ADP
ein,ein,DET
Gelächter,Gelächter,NOUN
aus,aus,ADP
.,--,PUNCT
Das,der,DET
Mädchen,Mädchen,NOUN
erschien,erscheinen,VERB
in,in,ADP
seiner,sein,DET
treuherzigen,treuherzig,ADJ
Verwunderung,Verwunderung,NOUN
noch,noch,ADV
frischer,frisch,ADV
als,als,ADP
sonst,sonst,ADV
.,--,PUNCT
Was,was,PRON
für,für,ADP
gottlose,gottlos,ADJ
braune,braun,ADJ
Augen,Auge,NOUN
sie,sie,PRON
im,in,ADP
Kopfe,Kopf,NOUN
hat,haben,VERB
!,--,PUNCT
dachte,denken,VERB
der,der,DET
Schneider,Schneider,NOUN
",",--,PUNCT
und,und,CCONJ
ohne,ohne,ADP
Umstände,Umstand,NOUN
hätte,haben,AUX
er,er,PRON
ihr,ihr,PRON
einen,ein,DET
Kuß,Kuß,NOUN
gegeben,geben,VERB
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
gewußt,wissen,VERB
hätte,haben,AUX
",",--,PUNCT
wie,wie,SCONJ
das,der,PRON
anfangen,anfangen,VERB
.,--,PUNCT
Er,er,PRON
hatte,haben,AUX
schon,schon,ADV
während,während,ADP
des,der,DET
ganzen,ganz,ADJ
Gesprächs,Gespräch,NOUN
darüber,darüber,ADV
nachgesonnen,nachgesonnen,VERB
",",--,PUNCT
allein,allein,ADV
vergebens,vergebens,ADV
.,--,PUNCT
Das,der,DET
Mädchen,Mädchen,NOUN
war,sein,AUX
hoch,hoch,ADV
aufgeschossen,aufgeschossen,VERB
",",--,PUNCT
eines,ein,DET
ganzen,ganz,ADJ
Kopfes,Kopf,NOUN
länger,lang,ADV
",",--,PUNCT
als,als,SCONJ
der,der,DET
kleine,klein,ADJ
Mann,Mann,NOUN
.,--,PUNCT
Selbst,selbst,ADV
auf,auf,ADP
den,der,DET
Zehen,Zeh,NOUN
stehend,stehend,ADV
",",--,PUNCT
hätte,haben,AUX
er,er,PRON
nicht,nicht,PART
über,über,ADP
das,der,DET
Grübchen,Grübchen,NOUN
unter,unter,ADP
ihrem,ihr,DET
Halse,Hals,NOUN
hinauf,hinauf,ADV
gereicht,reichen,VERB
.,--,PUNCT
Und,und,CCONJ
ihren,ihr,DET
Kopf,Kopf,NOUN
zu,zu,ADP
sich,sich,PRON
herabziehen,herabziehen,VERB
zu,zu,PART
können,können,AUX
",",--,PUNCT
hätte,haben,AUX
er,er,PRON
viel,viel,ADV
stärker,stark,ADV
sein,sein,AUX
müssen,müssen,AUX
oder,oder,CCONJ
sie,sie,PRON
viel,viel,ADV
schwächer,schwach,ADV
.,--,PUNCT
Des,der,DET
Mädchens,Mädchen,NOUN
Augen,Auge,NOUN
lachten,lachen,VERB
jetzt,jetzt,ADV
so,so,ADV
ehrlich,ehrlich,ADV
",",--,PUNCT
wie,wie,ADV
vorhin,vorhin,ADV
schalkhaft,schalkhaft,ADV
",",--,PUNCT
als,als,SCONJ
es,es,PRON
sagte,sagen,VERB
:,--,PUNCT
»,--,PUNCT
Nichts,nichts,PRON
für,für,ADP
ungut,ungut,ADV
",",--,PUNCT
Frau,Frau,NOUN
Dotin,Dotin,PROPN
.,--,PUNCT
Hab's,Hab's,ADV
nicht,nicht,PART
schlimm,schlimm,ADV
gemeint,meinen,VERB
.,--,PUNCT
Ihr,ihr,PRON
müßt,müßt,VERB
denken,denken,VERB
",",--,PUNCT
heut,heut,ADV
ist,sein,AUX
der,der,DET
Gründer,Gründer,ADJ
Markt,Markt,NOUN
;,--,PUNCT
da,da,ADV
wird,werden,AUX
aus,aus,ADP
manchem,mancher,DET
ehrlicher,ehrlich,ADJ
Leute,Leute,NOUN
Kind,Kind,NOUN
ein,ein,DET
Spitzbub,Spitzbub,PROPN
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Du,du,PRON
bist,sein,AUX
ein,ein,DET
Spitzbub,Spitzbub,PROPN
das,der,DET
ganze,ganz,ADJ
Jahr,Jahr,NOUN
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
die,der,DET
Wirtin,Wirtin,NOUN
.,--,PUNCT
»,--,PUNCT
Kann,können,AUX
sein,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
was,was,PRON
da,da,ADV
ist,sein,AUX
für,für,ADP
den,der,DET
Herrn,Herr,NOUN
Faktor,Faktor,NOUN
.,--,PUNCT
«,--,PUNCT
Und,und,CCONJ
sie,sie,PRON
hinkte,hinken,VERB
durch,durch,ADP
Einfahrt,Einfahrt,NOUN
und,und,CCONJ
Hof,Hof,PROPN
in,in,ADP
ihr,ihr,PRON
Wirtshaus,Wirtshaus,NOUN
hinein,hinein,ADV
.,--,PUNCT
Des,der,DET
Schneiders,Schneider,PROPN
Augen,Auge,NOUN
ließen,lassen,VERB
den,der,DET
blonden,blond,ADJ
Zopf,Zopf,NOUN
und,und,CCONJ
die,der,DET
vollen,voll,ADJ
Lippen,Lippe,NOUN
des,der,DET
Mädchens,Mädchen,NOUN
los,los,ADV
und,und,CCONJ
senkten,senken,VERB
sich,sich,PRON
auf,auf,ADP
ihren,ihr,DET
Schiebkarren,Schiebkarr,NOUN
herab,herab,ADV
und,und,CCONJ
",",--,PUNCT
verwundert,verwundern,VERB
über,über,ADP
die,der,PRON
Tüchtigkeit,Tüchtigkeit,NOUN
des,der,DET
Fuhrwerks,Fuhrwerk,NOUN
und,und,CCONJ
des,der,DET
Strickes,Strick,NOUN
darauf,darauf,ADV
",",--,PUNCT
fragte,fragen,VERB
er,er,PRON
:,--,PUNCT
»,--,PUNCT
Aber,aber,CCONJ
was,was,PRON
willst,willen,VERB
du,du,PRON
dir,dir,PRON
nur,nur,ADV
holen,holen,VERB
damit,damit,ADV
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Einen,ein,DET
Mann,Mann,NOUN
",",--,PUNCT
«,--,PUNCT
lachte,lachen,VERB
der,der,DET
Schmied,Schmied,NOUN
.,--,PUNCT
»,--,PUNCT
Einen,ein,DET
Schmied,Schmied,NOUN
",",--,PUNCT
«,--,PUNCT
entgegnete,entgegnen,VERB
das,der,DET
Mädchen,Mädchen,NOUN
ernsthaft,ernsthaft,ADV
.,--,PUNCT
»,--,PUNCT
Die,der,PRON
muß,müssen,AUX
man,man,PRON
mit,mit,ADP
Stricken,Strick,NOUN
binden,binden,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
vom,von,ADP
Markt,Markt,NOUN
heim,heim,ADV
nicht,nicht,PART
in,in,ADP
jedem,jeder,DET
Wirtshaus,Wirtshaus,NOUN
einkehren,einkehren,VERB
sollen,sollen,AUX
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Die,der,DET
Schneider,Schneider,NOUN
nicht,nicht,PART
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
der,der,DET
Schneider,Schneider,NOUN
fast,fast,ADV
neidisch,neidisch,ADV
.,--,PUNCT
»,--,PUNCT
Auch,auch,ADV
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
das,der,DET
Mädchen,Mädchen,NOUN
;,--,PUNCT
»,--,PUNCT
nicht,nicht,PART
wegen,wegen,ADP
der,der,DET
Wirtshäuser,Wirtshäuser,NOUN
",",--,PUNCT
nur,nur,ADV
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
der,der,DET
Wind,Wind,NOUN
nicht,nicht,PART
vom,von,ADP
Schiebkarren,Schiebkarren,NOUN
bläst,blasen,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Du,du,PRON
mußt,mußt,VERB
den,der,DET
Holder-Fritz,Holder-Fritz,NOUN
frein,frein,ADV
",",--,PUNCT
«,--,PUNCT
hustete,husten,VERB
der,der,DET
Weber,Weber,NOUN
.,--,PUNCT
»,--,PUNCT
Wenn,wenn,SCONJ
ihr,ihr,PRON
einen,ein,DET
Jungen,Junge,NOUN
kriegt,kriegen,VERB
",",--,PUNCT
der,der,PRON
jagt,jagen,VERB
den,der,DET
Kirchturm,Kirchturm,NOUN
von,von,ADP
der,der,DET
Kirch,Kirch,NOUN
',--,PUNCT
und,und,CCONJ
zur,zu,ADP
Stadt,Stadt,NOUN
hinaus,hinaus,ADP
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Das,der,DET
käm,käm,X
zu,zu,PART
spät,spät,ADV
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
das,der,DET
Mädchen,Mädchen,NOUN
ruhig,ruhig,ADV
.,--,PUNCT
»,--,PUNCT
Bis,bis,ADP
dahin,dahin,ADV
habt,haben,AUX
Ihr,ihr,PRON
ihn,ihn,PRON
hinausgehustet,hinausgehusteen,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Wo,wo,ADV
stellt,stellen,VERB
Ihr,ihr,PRON
ein,ein,DET
auf,auf,ADP
dem,der,DET
Markt,Markt,NOUN
",",--,PUNCT
Annedorle,Annedorle,PROPN
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
der,der,DET
Schmied,Schmied,NOUN
.,--,PUNCT
»,--,PUNCT
Heimwärts,Heimwärt,ADV
führen,führen,VERB
wir,wir,PRON
uns,sich,PRON
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Ihr,ihr,PRON
werdet,werden,VERB
wohl,wohl,ADV
einen,ein,DET
brauchen,brauchen,VERB
",",--,PUNCT
der,der,PRON
Euch,euch,PRON
führt,führen,VERB
",",--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
das,der,DET
Mädchen,Mädchen,NOUN
;,--,PUNCT
»,--,PUNCT
ich,ich,PRON
nicht,nicht,PART
.,--,PUNCT
«,--,PUNCT
Die,der,DET
