Token,Lemma,POS
Otto,Otto,PROPN
Ludwig,Ludwig,PROPN
Zwischen,zwischen,ADP
Himmel,Himmel,NOUN
und,und,CCONJ
Erde,Erde,NOUN
.,--,PUNCT
Das,der,DET
Gärtchen,gärtche,NOUN
liegt,liegen,VERB
zwischen,zwischen,ADP
dem,der,DET
Wohnhause,Wohnhause,NOUN
und,und,CCONJ
dem,der,DET
Schieferschuppen,Schieferschuppe,NOUN
;,--,PUNCT
wer,wer,PRON
von,von,ADP
dem,der,DET
einen,ein,DET
zum,zu,ADP
anderen,anderer,PRON
geht,gehen,VERB
",",--,PUNCT
muß,müssen,AUX
daran,daran,ADV
vorbei,vorbei,ADV
.,--,PUNCT
Vom,von,ADP
Wohnhaus,Wohnhaus,NOUN
zum,zu,ADP
Schuppen,Schuppen,NOUN
gehend,gehend,ADV
hat,haben,AUX
man's,man's,NOUN
zur,zu,ADP
linken,linker,ADJ
Seite,Seite,NOUN
;,--,PUNCT
zur,zu,ADP
rechten,rechter,NOUN
sieht,sehen,VERB
man,man,PRON
dann,dann,ADV
ein,ein,DET
Stück,Stück,NOUN
Hofraum,Hofraum,NOUN
mit,mit,ADP
Holzremise,Holzremise,PROPN
und,und,CCONJ
Stallung,Stallung,NOUN
",",--,PUNCT
vom,von,ADP
Nachbarhause,Nachbarhause,PROPN
durch,durch,ADP
einen,ein,DET
Lattenzaun,Lattenzaun,NOUN
getrennt,trennen,VERB
.,--,PUNCT
Das,der,PRON
Wohnhaus,Wohnhaus,NOUN
öffnet,öffnen,VERB
jeden,jeder,DET
Morgen,Morgen,NOUN
zweimal,zweimal,ADV
sechs,sechs,NUM
grünangestrichene,grünangestrichen,ADJ
Fensterladen,Fensterlad,NOUN
nach,nach,ADP
einer,einer,PRON
der,der,DET
lebhaftesten,lebhaftest,ADJ
Straßen,Straße,NOUN
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
der,der,DET
Schuppen,Schuppe,NOUN
ein,ein,DET
großes,groß,ADJ
graues,grau,ADJ
Thor,Thor,NOUN
nach,nach,ADP
einer,ein,DET
Nebengasse,Nebengasse,NOUN
;,--,PUNCT
die,der,DET
Rosen,Rose,NOUN
an,an,ADP
den,der,DET
baumartig,baumartig,ADV
hochgezogenen,hochgezogen,ADJ
Büschen,Büsch,NOUN
des,der,DET
Gärtchens,Gärtchen,PROPN
können,können,AUX
in,in,ADP
das,der,DET
Gäßchen,Gäßche,NOUN
hinausschauen,hinausschauen,VERB
",",--,PUNCT
das,der,PRON
den,der,DET
Vermittler,Vermittler,NOUN
macht,machen,VERB
zwischen,zwischen,ADP
den,der,DET
beiden,beide,DET
größeren,groß,ADJ
Schwestern,Schwester,NOUN
.,--,PUNCT
Jenseits,jenseits,ADP
des,der,DET
Gäßchens,Gäßchen,NOUN
steht,stehen,VERB
ein,ein,DET
hohes,hoch,ADJ
Haus,Haus,NOUN
",",--,PUNCT
das,der,PRON
vornehm,vornehm,ADV
abgeschlossen,abschließen,VERB
",",--,PUNCT
das,der,DET
Enge,Enge,NOUN
keines,kein,DET
Blickes,Blick,NOUN
würdigt,würdigen,VERB
.,--,PUNCT
Es,es,PRON
hat,haben,AUX
nur,nur,ADV
für,für,ADP
das,der,DET
Treiben,treiben,NOUN
der,der,DET
Hauptstraße,Hauptstraße,NOUN
offene,offen,ADJ
Augen,Auge,NOUN
und,und,CCONJ
sieht,sehen,VERB
man,man,PRON
die,der,DET
geschlossenen,geschlossen,ADJ
nach,nach,ADP
dem,der,DET
Gäßchen,Gäßche,NOUN
zu,zu,PART
genauer,genau,ADV
an,an,ADP
",",--,PUNCT
so,so,ADV
findet,finden,VERB
man,man,PRON
bald,bald,ADV
die,der,DET
Ursache,Ursache,NOUN
ihres,ihr,DET
ewigen,ewig,ADJ
Schlafes,Schlaf,NOUN
;,--,PUNCT
sie,sie,PRON
sind,sein,AUX
nur,nur,ADV
Scheinwerk,Scheinwerk,NOUN
",",--,PUNCT
nur,nur,ADV
auf,auf,ADP
die,der,DET
äußere,äußerer,ADJ
Wand,Wand,NOUN
gemalt,malen,VERB
.,--,PUNCT
Das,der,DET
Wohnhaus,Wohnhaus,NOUN
",",--,PUNCT
das,der,PRON
zu,zu,ADP
dem,der,DET
Gärtchen,gärtche,NOUN
gehört,gehören,VERB
",",--,PUNCT
sieht,sehen,VERB
nicht,nicht,PART
nach,nach,ADP
allen,aller,DET
Seiten,Seite,NOUN
so,so,ADV
geschmückt,schmücken,VERB
aus,aus,ADP
",",--,PUNCT
als,als,SCONJ
nach,nach,ADP
der,der,DET
Hauptstraße,Hauptstraße,NOUN
hin,hin,ADV
.,--,PUNCT
Hier,hier,ADV
sticht,stechen,VERB
eine,ein,DET
blaß,Blaß,NOUN
rosenfarbene,rosenfarben,ADJ
Tünche,Tünch,NOUN
nicht,nicht,PART
zu,zu,PART
grell,grell,ADV
von,von,ADP
den,der,DET
grünen,grün,ADJ
Fensterladen,Fensterlad,NOUN
und,und,CCONJ
dem,der,DET
blauen,blau,ADJ
Schieferdache,Schieferdache,NOUN
ab,ab,ADP
;,--,PUNCT
nach,nach,ADP
dem,der,DET
Gäßchen,Gäßche,NOUN
zu,zu,ADP
",",--,PUNCT
die,der,DET
Wetterseite,Wetterseite,NOUN
des,der,DET
Hauses,Haus,NOUN
erscheint,erscheinen,VERB
von,von,ADP
Kopf,Kopf,NOUN
zu,zu,ADP
Fuß,Fuß,NOUN
mit,mit,ADP
Schiefer,Schiefer,NOUN
geharnischt,harnischen,ADV
;,--,PUNCT
mit,mit,ADP
der,der,DET
anderen,anderer,ADJ
Giebelwand,Giebelwand,NOUN
schließt,schließen,VERB
es,es,PRON
sich,sich,PRON
an,an,ADP
die,der,DET
Häuserreihe,Häuserreihe,NOUN
",",--,PUNCT
deren,der,DET
Beginn,Beginn,NOUN
oder,oder,CCONJ
Ende,Ende,NOUN
es,es,PRON
bildet,bilden,VERB
",",--,PUNCT
unmittelbar,unmittelbar,ADV
an,an,ADP
;,--,PUNCT
nach,nach,ADP
hinten,hinten,ADV
aber,aber,ADV
giebt,gieben,VERB
es,es,PRON
einen,ein,DET
Beleg,Beleg,NOUN
zu,zu,ADP
dem,der,DET
Sprichwort,Sprichwort,NOUN
",",--,PUNCT
daß,daß,SCONJ
alles,alle,PRON
seine,sein,DET
schwache,schwach,ADJ
Seite,Seite,NOUN
habe,haben,VERB
.,--,PUNCT
Hier,hier,ADV
ist,sein,AUX
dem,der,DET
Hause,Haus,NOUN
eine,ein,DET
Emporlaube,Emporlaube,NOUN
angebaut,anbauen,VERB
",",--,PUNCT
einer,ein,DET
halben,halb,ADJ
Dornenkrone,Dornenkrone,NOUN
nicht,nicht,PART
unähnlich,unähnlich,ADV
.,--,PUNCT
Von,von,ADP
roh,roh,PROPN
behauenen,behauen,ADJ
Holzstämmen,Holzstämme,NOUN
gestützt,stützen,VERB
",",--,PUNCT
zieht,ziehen,VERB
sie,sie,PRON
sich,sich,PRON
längs,längs,ADV
des,der,DET
oberen,oberer,ADJ
Stockes,Stocke,NOUN
hin,hin,ADV
und,und,CCONJ
erweitert,erweitern,VERB
sich,sich,PRON
nach,nach,ADP
links,links,ADV
in,in,ADP
ein,ein,DET
kleines,klein,ADJ
Zimmer,Zimmer,NOUN
.,--,PUNCT
Dahin,dahin,ADV
führt,führen,VERB
kein,kein,DET
unmittelbarer,unmittelbar,ADJ
Durchgang,Durchgang,NOUN
aus,aus,ADP
dem,der,DET
oberen,oberer,ADJ
Stock,Stock,NOUN
des,der,DET
Hauses,Haus,NOUN
.,--,PUNCT
Wer,wer,PRON
von,von,ADP
da,da,ADV
nach,nach,ADP
der,der,DET
»,--,PUNCT
Gangkammer,Gangkammer,NOUN
«,--,PUNCT
will,wollen,AUX
",",--,PUNCT
muß,müssen,AUX
aus,aus,ADP
der,der,DET
hinteren,hinterer,ADJ
Hausthüre,Hausthüre,NOUN
heraus,heraus,ADV
und,und,CCONJ
an,an,ADP
der,der,DET
Wand,Wand,NOUN
hin,hin,ADV
wohl,wohl,ADV
sechs,sechs,NUM
Schritte,Schritt,NOUN
an,an,ADP
der,der,DET
Hundehütte,Hundehütte,NOUN
vorbei,vorbei,ADV
bis,bis,ADP
zu,zu,ADV
der,der,DET
hölzernen,hölzern,ADJ
",",--,PUNCT
hühnersteigartigen,hühnersteigartig,ADJ
Treppe,Treppe,NOUN
",",--,PUNCT
dann,dann,ADV
",",--,PUNCT
ist,sein,AUX
er,er,PRON
diese,dieser,PRON
hinaufgestiegen,hinaufgestiegen,VERB
",",--,PUNCT
die,der,DET
ganze,ganz,ADJ
Länge,Länge,NOUN
der,der,DET
Emporlaube,Emporlaube,NOUN
nach,nach,ADP
links,links,ADV
wandeln,wandeln,VERB
.,--,PUNCT
Der,der,DET
letzte,letzter,ADJ
Teil,Teil,NOUN
der,der,DET
Reise,Reise,NOUN
wird,werden,AUX
freilich,freilich,ADV
aufgeheitert,aufgeheiteren,VERB
durch,durch,ADP
den,der,DET
Blick,Blick,NOUN
in,in,ADP
das,der,DET
Gärtchen,Gärtchen,NOUN
hinab,hinab,ADV
.,--,PUNCT
Wenigstens,wenigstens,ADV
im,in,ADP
Sommer,Sommer,NOUN
.,--,PUNCT
Und,und,CCONJ
vorausgesetzt,voraussetzen,VERB
",",--,PUNCT
die,der,PRON
der,der,DET
Länge,Länge,NOUN
des,der,DET
Ganges,Gang,NOUN
nach,nach,ADP
doppelt,doppelt,ADV
aufgezogene,aufgezogen,ADJ
Leine,Leine,NOUN
ist,sein,AUX
nicht,nicht,PART
durchaus,durchaus,ADV
mit,mit,ADP
Wäsche,Wäsche,NOUN
behängt,behängen,VERB
.,--,PUNCT
Denn,denn,CCONJ
im,in,ADP
Winter,Winter,NOUN
schließen,schließen,VERB
sich,sich,PRON
die,der,DET
Laden,Laden,NOUN
",",--,PUNCT
die,der,PRON
man,man,PRON
im,in,ADP
Frühjahre,Frühjahre,NOUN
wieder,wieder,ADV
abnimmt,abnehmen,VERB
",",--,PUNCT
mit,mit,ADP
der,der,DET
Barriere,Barriere,NOUN
zu,zu,ADP
einer,ein,DET
undurchdringlichen,undurchdringlich,ADJ
Bretterwand,Bretterwand,PROPN
zusammen,zusammen,ADV
",",--,PUNCT
deren,der,DET
lichteinlassende,lichteinlassend,ADJ
Luken,Luken,NOUN
über,über,ADP
dem,der,DET
Bereiche,Bereich,NOUN
",",--,PUNCT
den,der,PRON
eine,ein,DET
gewöhnliche,gewöhnlich,ADJ
Menschenlänge,Menschenläng,NOUN
beherrscht,beherrschen,VERB
",",--,PUNCT
angebracht,angebracht,ADV
erscheinen,erscheinen,VERB
.,--,PUNCT
Ist,sein,AUX
die,der,DET
Zier,Zier,NOUN
der,der,DET
Baulichkeiten,Baulichkeit,NOUN
nicht,nicht,PART
überall,überall,ADV
die,der,DET
gleiche,gleich,ADJ
und,und,CCONJ
stechen,stechen,NOUN
Emporlaube,Emporlaube,NOUN
",",--,PUNCT
Stall,Stall,NOUN
und,und,CCONJ
Schuppen,Schuppe,NOUN
bedeutend,bedeutend,ADV
gegen,gegen,ADP
das,der,DET
Wohnhaus,Wohnhaus,NOUN
ab,ab,ADP
",",--,PUNCT
so,so,ADV
vermißt,vermissen,VERB
man,man,PRON
doch,doch,CCONJ
nirgends,nirgends,ADV
",",--,PUNCT
was,was,PRON
noch,noch,ADV
mehr,mehr,ADV
ziert,zieren,VERB
als,als,ADP
Schönheit,Schönheit,NOUN
der,der,DET
Gestalt,Gestalt,NOUN
und,und,CCONJ
glänzender,glänzend,ADJ
Putz,Putz,NOUN
.,--,PUNCT
Die,der,DET
äußerste,äußer,ADJ
Sauberkeit,Sauberkeit,NOUN
lächelt,lächeln,VERB
dem,der,DET
Beschauer,Beschauer,NOUN
aus,aus,ADP
dem,der,DET
verstecktesten,verstecktester,NOUN
Winkel,Winkel,NOUN
entgegen,entgegen,ADP
.,--,PUNCT
Im,in,ADP
Gärtchen,gärtche,NOUN
ist,sein,AUX
sie,sie,PRON
fast,fast,ADV
zu,zu,PART
ängstlich,ängstlich,ADV
",",--,PUNCT
um,um,SCONJ
lächeln,lächeln,VERB
zu,zu,PART
können,können,AUX
.,--,PUNCT
Das,der,DET
Gärtchen,gärtche,NOUN
scheint,scheinen,VERB
nicht,nicht,PART
mit,mit,ADP
Hacke,Hack,NOUN
und,und,CCONJ
Besen,Besen,NOUN
gereinigt,reinigen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
gebürstet,bürsten,VERB
.,--,PUNCT
Dazu,dazu,ADV
haben,haben,AUX
die,der,DET
kleinen,klein,ADJ
Beetchen,Beetche,NOUN
",",--,PUNCT
die,der,PRON
so,so,ADV
scharf,scharf,ADV
von,von,ADP
dem,der,DET
gelben,gelb,ADJ
Kies,Kies,NOUN
der,der,DET
Wege,Weg,NOUN
abstechen,abstechen,VERB
",",--,PUNCT
das,der,DET
Ansehen,ansehen,NOUN
",",--,PUNCT
als,als,SCONJ
wären,sein,AUX
sie,sie,PRON
nicht,nicht,PART
mit,mit,ADP
der,der,DET
Schnur,Schnur,NOUN
",",--,PUNCT
als,als,SCONJ
wären,sein,AUX
sie,sie,PRON
mit,mit,ADP
Lineal,Lineal,PROPN
und,und,CCONJ
Zirkel,Zirkel,PROPN
auf,auf,ADP
den,der,DET
Boden,Boden,NOUN
hingezeichnet,hingezeichnet,VERB
",",--,PUNCT
die,der,DET
Buchsbaumeinfassung,Buchsbaumeinfassung,NOUN
",",--,PUNCT
als,als,ADP
würde,werden,AUX
sie,sie,PRON
von,von,ADP
Tag,Tag,NOUN
zu,zu,ADP
Tag,Tag,NOUN
von,von,ADP
dem,der,DET
accuratesten,accuratest,ADJ
Barbier,Barbier,NOUN
der,der,DET
Stadt,Stadt,NOUN
mit,mit,ADP
Kamm,Kamm,NOUN
und,und,CCONJ
Schermesser,Schermesser,PROPN
bedient,bedienen,VERB
.,--,PUNCT
Und,und,CCONJ
doch,doch,ADV
ist,sein,AUX
der,der,DET
blaue,blau,ADJ
Rock,Rock,NOUN
",",--,PUNCT
den,der,PRON
man,man,PRON
täglich,täglich,ADV
zweimal,zweimal,ADV
in,in,ADP
das,der,DET
Gärtchen,gärtche,NOUN
treten,treten,VERB
sehen,sehen,VERB
kann,können,AUX
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
auf,auf,ADP
der,der,DET
Emporlaube,Emporlaube,NOUN
steht,stehen,VERB
",",--,PUNCT
und,und,CCONJ
zwar,zwar,ADV
einen,ein,DET
Tag,Tag,NOUN
wie,wie,ADP
den,der,DET
anderen,anderer,PRON
zu,zu,ADP
derselben,derselbe,DET
Minute,Minute,NOUN
",",--,PUNCT
noch,noch,ADV
sauberer,sauber,ADV
gehalten,halten,VERB
als,als,ADP
das,der,DET
Gärtchen,Gärtche,NOUN
.,--,PUNCT
Der,der,DET
weiße,weiß,ADJ
Schurz,Schurz,NOUN
darüber,darüber,ADV
glänzt,glänzt,VERB
",",--,PUNCT
verläßt,verlassen,VERB
der,der,DET
alte,alt,ADJ
Herr,Herr,NOUN
nach,nach,ADP
mannigfacher,mannigfach,ADJ
Arbeit,Arbeit,NOUN
das,der,DET
Gärtchen,gärtche,NOUN
wieder,wieder,ADV
–,--,PUNCT
und,und,CCONJ
das,der,PRON
geschieht,geschehen,VERB
täglich,täglich,ADV
so,so,ADV
pünktlich,pünktlich,ADV
um,um,ADP
dieselbe,derselbe,DET
Zeit,Zeit,NOUN
wie,wie,ADP
sein,sein,DET
Kommen,kommen,NOUN
–,--,PUNCT
in,in,ADP
so,so,ADV
untadelhafter,untadelhaft,ADJ
Weihe,Weihe,NOUN
",",--,PUNCT
daß,daß,SCONJ
eigentlich,eigentlich,ADV
nicht,nicht,PART
einzusehen,einsehen,VERB
ist,sein,AUX
",",--,PUNCT
wozu,wozu,SCONJ
der,der,DET
alte,alt,ADJ
Herr,Herr,NOUN
ihn,ihn,PRON
umgenommen,umgenommen,VERB
hat,haben,AUX
.,--,PUNCT
Geht,gehen,VERB
