Token,Lemma,POS
Otto,Otto,PROPN
Roquette,Roquette,PROPN
Das,der,DET
Eulenzeichen,Eulenzeichen,NOUN
Otto,Otto,PROPN
Roquette,Roquette,PROPN
–,--,PUNCT
Von,von,ADP
Heinrich,Heinrich,PROPN
Löbner,Löbner,PROPN
.,--,PUNCT
»,--,PUNCT
Als,als,SCONJ
bei,bei,ADP
der,der,DET
schönen,schön,ADJ
Säkularfeier,Säkularfeier,NOUN
der,der,DET
Universität,Universität,NOUN
Heidelberg,Heidelberg,PROPN
1886,1886,NUM
",",--,PUNCT
wobei,wobei,SCONJ
ich,ich,PRON
mit,mit,ADP
Versen,Vers,NOUN
und,und,CCONJ
Prosa,Prosa,NOUN
für,für,ADP
die,der,DET
Festzeitung,Festzeitung,NOUN
reichlich,reichlich,ADV
beigesteuert,beigesteuern,VERB
hatte,haben,AUX
",",--,PUNCT
ich,ich,PRON
mir,sich,PRON
die,der,DET
Karten,Karte,NOUN
löste,lösen,VERB
für,für,ADP
die,der,DET
verschiedenen,verschieden,ADJ
Abteilungen,Abteilung,NOUN
des,der,DET
Festes,Fest,NOUN
",",--,PUNCT
wußten,wissen,VERB
die,der,DET
Studenten,Student,NOUN
",",--,PUNCT
welche,welcher,PRON
die,der,DET
Karten,Karte,NOUN
ausstellten,ausstellen,VERB
",",--,PUNCT
meinen,mein,DET
Namen,Name,NOUN
",",--,PUNCT
den,der,PRON
sie,sie,PRON
nie,nie,ADV
gehört,gehören,VERB
zu,zu,ADP
haben,haben,AUX
schienen,scheinen,VERB
",",--,PUNCT
nicht,nicht,PART
zu,zu,PART
schreiben,schreiben,VERB
",",--,PUNCT
und,und,CCONJ
ich,ich,PRON
mußte,müssen,AUX
ihnen,ihnen,PRON
denselben,derselbe,PRON
",",--,PUNCT
Buchstaben,Buchstabe,NOUN
für,für,ADP
Buchstaben,Buchstabe,NOUN
in,in,ADP
die,der,DET
Feder,Feder,NOUN
diktieren,diktieren,VERB
.,--,PUNCT
Das,der,DET
Fest,Fest,NOUN
brachte,bringen,VERB
mir,mir,PRON
ein,ein,DET
frohes,froh,ADJ
Wiedersehen,Wiedersehe,NOUN
alter,alt,ADJ
Kameraden,Kamerad,NOUN
aus,aus,ADP
der,der,DET
Studienzeit,Studienzeit,NOUN
",",--,PUNCT
die,der,PRON
denn,denn,ADV
freilich,freilich,ADV
meinen,mein,DET
Namen,Name,NOUN
kannten,kennen,VERB
",",--,PUNCT
aber,aber,CCONJ
doch,doch,ADV
eingestanden,eingestehen,VERB
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
",",--,PUNCT
außer,außer,ADP
dem,der,DET
alten,alt,ADJ
Rheingedicht,Rheingedicht,NOUN
(,--,PUNCT
Waldmeisters,Waldmeister,NOUN
Brautfahrt,Brautfahrt,NOUN
1851,1851,NUM
),--,PUNCT
",",--,PUNCT
in,in,ADP
der,der,DET
Zeit,Zeit,NOUN
von,von,ADP
fast,fast,ADV
vierzig,vierzig,NUM
Jahren,Jahr,NOUN
nichts,nichts,PRON
von,von,ADP
meinen,meinen,AUX
sonstigen,sonstig,ADJ
Dichtungen,Dichtung,NOUN
gelesen,lesen,VERB
hatten,haben,AUX
.,--,PUNCT
Ich,ich,PRON
faßte,fassen,VERB
das,der,PRON
nicht,nicht,PART
mehr,mehr,PRON
als,als,ADP
besondere,besonderer,ADJ
Enttäuschungen,Enttäuschung,NOUN
",",--,PUNCT
denn,denn,CCONJ
ich,ich,PRON
war,sein,AUX
an,an,ADP
viel,viel,PRON
gewöhnt,gewöhnen,VERB
",",--,PUNCT
auch,auch,ADV
in,in,ADP
meinen,mein,DET
nächsten,nächster,ADJ
Umgebungen,Umgebung,NOUN
.,--,PUNCT
Ich,ich,PRON
spreche,sprechen,VERB
es,es,PRON
aber,aber,ADV
aus,aus,ADP
",",--,PUNCT
um,um,SCONJ
zu,zu,PART
zeigen,zeigen,VERB
",",--,PUNCT
daß,daß,SCONJ
ein,ein,DET
sogenannter,sogenannter,ADJ
›öffentlicher,›öffentlicher,NOUN
Name‹,Name‹,PROPN
gar,gar,ADV
nicht,nicht,PART
auf,auf,ADP
der,der,DET
allgemeinen,allgemein,ADJ
Kenntnis,Kenntnis,NOUN
dessen,der,PRON
beruht,beruhen,VERB
",",--,PUNCT
was,wer,PRON
den,der,DET
Namen,Name,NOUN
zu,zu,ADP
einem,ein,DET
öffentlichen,öffentlich,ADJ
gemacht,machen,VERB
hat,haben,AUX
.,--,PUNCT
«,--,PUNCT
So,so,ADV
berichtet,berichten,VERB
Otto,Otto,PROPN
Roquette,Roquette,PROPN
in,in,ADP
dem,der,DET
schlichten,schlicht,ADJ
",",--,PUNCT
ehrlichen,ehrlich,ADJ
und,und,CCONJ
liebenswürdigen,Liebenswürdig,NOUN
Buche,Buch,NOUN
»,--,PUNCT
Siebzig,Siebzig,NUM
Jahre,Jahr,NOUN
«,--,PUNCT
",",--,PUNCT
welches,welcher,PRON
die,der,DET
Geschichte,Geschichte,NOUN
seines,sein,DET
Lebens,Leben,NOUN
ausführlich,ausführlich,ADV
und,und,CCONJ
doch,doch,CCONJ
anspruchslos,anspruchslos,ADV
erzählt,erzählen,VERB
.,--,PUNCT
Ich,ich,PRON
bezweifle,bezweifle,VERB
",",--,PUNCT
ob,ob,SCONJ
es,es,PRON
der,der,DET
überwiegenden,überwiegend,ADJ
Mehrzahl,Mehrzahl,NOUN
deutscher,deutsch,ADJ
Bücherleser,Bücherleser,NOUN
noch,noch,ADV
heute,heute,ADV
mit,mit,ADP
Roquette,Roquette,NOUN
wesentlich,wesentlich,ADV
besser,gut,ADV
geht,gehen,VERB
als,als,ADP
ihm,ihm,PRON
selbst,selbst,ADV
damals,damals,ADV
in,in,ADP
Heidelberg,Heidelberg,PROPN
.,--,PUNCT
Er,er,PRON
ist,sein,AUX
der,der,DET
liebenswürdige,liebenswürdig,ADJ
Sänger,Sänger,NOUN
von,von,ADP
Waldmeisters,Waldmeister,PROPN
Brautfahrt,Brautfahrt,NOUN
",",--,PUNCT
etwas,etwas,DET
anderes,anderer,PRON
zu,zu,ADP
sein,sein,AUX
hat,haben,AUX
ihn,ihn,PRON
das,der,DET
deutsche,deutsch,ADJ
Publikum,Publikum,NOUN
nicht,nicht,PART
gestatten,gestatten,VERB
wollen,wollen,AUX
.,--,PUNCT
»,--,PUNCT
Spätere,Spätere,ADJ
Werke,Werk,NOUN
