Token,Lemma,POS
Otto,Otto,PROPN
Ruppius,Ruppius,PROPN
Der,der,DET
Pedlar,Pedlar,NOUN
Roman,Roman,NOUN
aus,aus,ADP
dem,der,DET
amerikanischen,amerikanisch,ADJ
Leben,Leben,NOUN
Mit,mit,ADP
des,der,DET
Dichters,Dichter,NOUN
Bildnis,Bildnis,NOUN
und,und,CCONJ
einer,ein,DET
Einleitung,Einleitung,NOUN
von,von,ADP
Dr.,Dr.,NOUN
L.,L.,PROPN
Fürstenwerth,Fürstenwerth,PROPN
.,--,PUNCT
Leipzig,Leipzig,PROPN
.,--,PUNCT
Hesse,Hes,NOUN
&,&,CCONJ
Becker,Becker,ADJ
Verlag,Verlag,NOUN
.,--,PUNCT
Titelblatt,Titelblatt,NOUN
Otto,Otto,PROPN
Ruppius,Ruppius,PROPN
',--,PUNCT
Leben,Leben,NOUN
und,und,CCONJ
Werke,Werk,NOUN
Von,von,ADP
Dr.,Dr.,NOUN
L.,L.,PROPN
Fürstenwerth,Fürstenwerth,PROPN
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
leider,leider,ADV
oder,oder,CCONJ
Gott,Gott,NOUN
sei,sein,AUX
Dank,Dank,NOUN
noch,noch,ADV
heute,heute,ADV
so,so,ADV
wie,wie,ADP
vor,vor,ADP
fünfzig,fünfzig,NUM
Jahren,Jahr,NOUN
in,in,ADP
Deutschland,Deutschland,PROPN
und,und,CCONJ
wohl,wohl,ADV
auch,auch,ADV
in,in,ADP
anderen,anderer,ADJ
Kulturländern,Kulturländer,NOUN
.,--,PUNCT
Die,der,DET
große,groß,ADJ
Menge,Menge,NOUN
des,der,DET
nicht,nicht,PART
nur,nur,ADV
genießenden,genießenden,VERB
",",--,PUNCT
sondern,sondern,CCONJ
arbeitenden,arbeitend,ADJ
Volkes,Volk,NOUN
sucht,suchen,VERB
nach,nach,ADV
wie,wie,CCONJ
vor,vor,ADV
in,in,ADP
dem,der,PRON
was,was,PRON
sie,sie,PRON
liest,lesen,VERB
",",--,PUNCT
Abspannung,Abspannung,NOUN
",",--,PUNCT
interessante,interessanen,VERB
und,und,CCONJ
leichte,leicht,ADJ
",",--,PUNCT
nicht,nicht,PART
seichte,seicht,ADJ
Unterhaltung,Unterhaltung,NOUN
.,--,PUNCT
Sie,sie,PRON
kann,können,AUX
die,der,DET
steilen,steil,ADJ
Höhen,Höhe,NOUN
streng,streng,ADV
klassischer,klassisch,ADJ
Kunst,Kunst,NOUN
nicht,nicht,PART
erklimmen,erklimmen,VERB
",",--,PUNCT
oder,oder,CCONJ
wenn,wenn,SCONJ
sie,sie,PRON
es,es,PRON
vermag,vermögen,VERB
",",--,PUNCT
will,wollen,AUX
sie,sie,PRON
nicht,nicht,PART
ständig,ständig,ADV
dort,dort,ADV
verweilen,verweilen,VERB
",",--,PUNCT
noch,noch,ADV
weniger,weniger,PRON
aber,aber,ADV
will,wollen,AUX
sie,sie,PRON
ständig,ständig,ADV
in,in,ADP
den,der,DET
Tiefen,Tiefe,NOUN
weilen,weilen,VERB
",",--,PUNCT
welche,welcher,PRON
die,der,DET
fortgesetzt,fortsetzen,ADV
wechselnden,wechselnd,ADJ
Experimente,Experiment,NOUN
moderner,modern,ADJ
und,und,CCONJ
modernster,modern,ADJ
Kunst,Kunst,NOUN
mit,mit,ADP
fabelhaftem,fabelhaft,ADJ
Geschick,Geschick,NOUN
zu,zu,PART
schildern,schildern,VERB
und,und,CCONJ
auszuwählen,auswählen,VERB
verstehen,verstehen,VERB
.,--,PUNCT
Diese,dieser,DET
neue,neu,ADJ
Kunst,Kunst,NOUN
hat,haben,AUX
es,es,PRON
unter,unter,ADP
anderem,anderer,PRON
auch,auch,ADV
verstanden,verstehen,VERB
",",--,PUNCT
die,der,DET
alten,alt,ADJ
Erzähler,Erzähler,NOUN
",",--,PUNCT
welche,welcher,PRON
",",--,PUNCT
ohne,ohne,SCONJ
höhere,hoch,ADJ
Kunst,Kunst,NOUN
",",--,PUNCT
als,als,ADP
vortreffliche,vortrefflich,ADJ
Fabulierer,Fabulierer,NOUN
die,der,DET
Familie,Familie,NOUN
erfreuten,erfreuen,VERB
",",--,PUNCT
vollständig,vollständig,ADV
in,in,ADP
Acht,Acht,NUM
und,und,CCONJ
Bann,Bann,NOUN
zu,zu,PART
tun,tun,VERB
;,--,PUNCT
in,in,ADP
die,der,DET
heiligen,heilig,ADJ
Hallen,Halle,NOUN
der,der,DET
Literaturgeschichte,Literaturgeschichte,NOUN
sind,sein,AUX
sie,sie,PRON
ja,ja,ADV
überhaupt,überhaupt,ADV
nur,nur,ADV
selten,selten,ADV
und,und,CCONJ
vereinzelt,vereinzelt,ADV
gelangt,gelangen,VERB
.,--,PUNCT
Aber,aber,CCONJ
gestorben,sterben,VERB
sind,sein,AUX
sie,sie,PRON
doch,doch,ADV
nicht,nicht,PART
",",--,PUNCT
sie,sie,PRON
leben,leben,VERB
noch,noch,ADV
in,in,ADP
der,der,DET
Erinnerung,Erinnerung,NOUN
vieler,vieler,PRON
",",--,PUNCT
wenn,wenn,SCONJ
