Token,Lemma,POS
Paul,Paul,PROPN
Heyse,Heyse,PROPN
Anfang,Anfang,NOUN
und,und,CCONJ
Ende,Ende,NOUN
(,--,PUNCT
1857,1857,NUM
),--,PUNCT
In,in,ADP
der,der,DET
tiefen,tief,ADJ
Fensternische,Fensternische,NOUN
des,der,DET
lichterhellen,lichterhell,ADJ
Saals,Saal,NOUN
brannte,brennen,VERB
nur,nur,ADV
eine,ein,DET
einzelne,einzeln,ADJ
Kerze,Kerze,NOUN
auf,auf,ADP
silbernem,silbern,ADJ
Leuchter,Leuchter,NOUN
",",--,PUNCT
den,der,PRON
eine,ein,DET
geflügelte,geflügelt,ADJ
Figur,Figur,NOUN
mit,mit,ADP
beiden,beide,DET
Armen,arme,NOUN
emporhielt,emporhielt,VERB
.,--,PUNCT
Der,der,DET
bescheidene,bescheiden,ADJ
Glanz,Glanz,NOUN
wurde,werden,AUX
noch,noch,ADV
gedämpft,dämpfen,VERB
durch,durch,ADP
schattige,schattig,ADJ
Gewächse,Gewächs,NOUN
mit,mit,ADP
breiten,breit,ADJ
Blättern,Blatt,NOUN
und,und,CCONJ
den,der,DET
letzten,letzter,ADJ
Blüten,Blüte,NOUN
des,der,DET
Jahres,Jahr,NOUN
",",--,PUNCT
und,und,CCONJ
eine,ein,DET
schlanke,schlank,ADJ
Palme,Palm,NOUN
überwölbte,überwölben,VERB
zierlich,Zierlich,ADV
mit,mit,ADP
ihren,ihr,DET
leichten,leicht,ADJ
Zweigen,Zweig,NOUN
den,der,DET
Eingang,Eingang,NOUN
in,in,ADP
die,der,DET
dämmrige,dämmrig,ADJ
Laube,Laube,NOUN
.,--,PUNCT
Zwei,zwei,NUM
Sessel,Sessel,NOUN
standen,stehen,VERB
darin,darin,ADV
traulich,traulich,ADV
einander,einander,PRON
gegenüber,gegenüber,ADP
.,--,PUNCT
Aber,aber,CCONJ
der,der,DET
eine,einer,PRON
war,sein,AUX
leer,leer,ADV
.,--,PUNCT
In,in,ADP
dem,der,DET
andern,anderer,NOUN
ruhte,ruhen,VERB
eine,ein,DET
schlanke,schlank,ADJ
Frauengestalt,Frauengestalt,NOUN
",",--,PUNCT
das,der,DET
Haupt,Haupt,NOUN
auf,auf,ADP
die,der,DET
Hand,Hand,NOUN
gestützt,stützen,VERB
",",--,PUNCT
die,der,DET
Augen,Auge,NOUN
geschlossen,schließen,VERB
.,--,PUNCT
Wer,wer,PRON
sie,sie,PRON
im,in,ADP
Verdacht,Verdacht,NOUN
hatte,haben,VERB
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
sich,sich,PRON
aus,aus,ADP
der,der,DET
muntern,muntern,ADJ
Gesellschaft,Gesellschaft,NOUN
in,in,ADP
dies,dieser,PRON
grüne,grün,ADJ
Versteck,Versteck,NOUN
zurückgezogen,zurückziehen,VERB
habe,haben,AUX
",",--,PUNCT
um,um,SCONJ
nur,nur,ADV
desto,desto,ADV
mehr,mehr,ADV
bemerkt,bemerken,VERB
und,und,CCONJ
aufgesucht,aufsuchen,VERB
zu,zu,PART
werden,werden,AUX
",",--,PUNCT
that,that,VERB
ihr,ihr,DET
Unrecht,Unrecht,NOUN
.,--,PUNCT
Sie,sie,PRON
dachte,denken,VERB
durchaus,durchaus,ADV
nicht,nicht,PART
daran,daran,ADV
",",--,PUNCT
wie,wie,ADV
zart,zart,ADV
das,der,DET
Helldunkel,Helldunkel,NOUN
der,der,DET
Palme,Palm,NOUN
über,über,ADP
ihre,ihr,DET
schöne,schön,ADJ
Stirne,Stirne,NOUN
fiel,fallen,VERB
",",--,PUNCT
wie,wie,ADV
weich,weich,ADV
und,und,CCONJ
mondscheinhaft,Mondscheinhaft,NOUN
der,der,DET
Schein,Schein,NOUN
der,der,DET
Kerze,Kerze,NOUN
in,in,ADP
den,der,DET
Ringen,Ringe,NOUN
ihres,ihr,DET
schwarzen,schwarz,ADJ
Haares,Haar,NOUN
spielte,spielen,VERB
.,--,PUNCT
Noch,noch,ADV
auch,auch,ADV
benutzte,benutzen,VERB
sie,sie,PRON
",",--,PUNCT
während,während,SCONJ
am,an,ADP
andern,anderer,ADJ
Ende,Ende,NOUN
des,der,DET
Saals,Saal,ADV
eine,ein,DET
sanfte,sanft,ADJ
Mädchenstimme,Mädchenstimm,NOUN
zum,zu,ADP
Klaviere,Klaviere,NOUN
sang,singen,VERB
",",--,PUNCT
die,der,DET
verstohlene,verstohlen,ADJ
Einsamkeit,Einsamkeit,NOUN
dazu,dazu,ADV
",",--,PUNCT
Gedanken,Gedanke,NOUN
nachzuhängen,nachzuhängen,VERB
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
wohl,wohl,ADV
in,in,ADP
der,der,DET
Sommerblüte,Sommerblüte,NOUN
des,der,DET
Lebens,Leben,NOUN
hinter,hinter,ADP
geschlossenen,geschlossen,ADJ
Augenlidern,Augenlider,NOUN
ihr,ihr,DET
Wesen,Wesen,NOUN
treiben,treiben,VERB
.,--,PUNCT
Denn,denn,CCONJ
",",--,PUNCT
um,um,SCONJ
es,es,PRON
kurz,kurz,ADV
zu,zu,PART
sagen,sagen,VERB
:,--,PUNCT
die,der,DET
Musik,Musik,NOUN
",",--,PUNCT
der,der,PRON
sie,sie,PRON
Anfangs,Anfangs,ADV
mit,mit,ADP
halbem,halb,ADJ
Ohr,Ohr,NOUN
gefolgt,folgen,VERB
war,sein,AUX
",",--,PUNCT
hatte,haben,AUX
sie,sie,PRON
endlich,endlich,ADV
wie,wie,ADP
ein,ein,DET
müdes,müd,ADJ
Kind,Kind,NOUN
in,in,ADP
Schlaf,Schlaf,NOUN
versenkt,versenken,VERB
.,--,PUNCT
Auch,auch,ADV
erwachte,erwachen,VERB
sie,sie,PRON
nicht,nicht,PART
",",--,PUNCT
als,als,SCONJ
das,der,DET
Lied,Lied,NOUN
zu,zu,ADP
Ende,Ende,NOUN
war,sein,AUX
",",--,PUNCT
die,der,DET
alten,alt,ADJ
Herrn,Herr,NOUN
ihr,ihr,DET
aufmunterndes,aufmunternd,ADJ
Bravo,Bravo,NOUN
riefen,rufen,VERB
",",--,PUNCT
der,der,DET
Stuhl,Stuhl,NOUN
am,an,ADP
Klavier,Klavier,NOUN
gerückt,rücken,VERB
wurde,werden,AUX
und,und,CCONJ
die,der,DET
unterbrochenen,unterbrochen,ADJ
Gespräche,Gespräch,NOUN
mit,mit,ADP
neuer,neu,ADJ
Lebhaftigkeit,Lebhaftigkeit,NOUN
durch,durch,ADP
den,der,DET
Saal,Saal,NOUN
schwirrten,schwirren,VERB
.,--,PUNCT
Niemand,niemand,PRON
kam,kommen,VERB
",",--,PUNCT
sie,sie,PRON
zu,zu,PART
stören,stören,VERB
.,--,PUNCT
Denn,denn,CCONJ
sie,sie,PRON
war,sein,AUX
fremd,fremd,ADV
in,in,ADP
diesem,dieser,DET
Kreise,Kreis,NOUN
",",--,PUNCT
und,und,CCONJ
überdies,überdies,ADV
lag,liegen,VERB
ein,ein,DET
Zug,Zug,NOUN
von,von,ADP
gehaltenem,gehalten,ADJ
Ernst,Ernst,NOUN
auf,auf,ADP
ihrem,ihr,DET
Gesicht,Gesicht,NOUN
",",--,PUNCT
der,der,DET
neuen,neu,ADJ
Bekanntschaften,Bekanntschaft,NOUN
nicht,nicht,PART
gerade,gerade,ADV
entgegenkam,entgegenkommen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ihr,ihr,DET
Schicksal,Schicksal,NOUN
",",--,PUNCT
für,für,ADP
stolz,stolz,ADV
zu,zu,PART
gelten,gelten,VERB
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
wußte,wissen,VERB
es,es,PRON
.,--,PUNCT
Daß,daß,SCONJ
sie,sie,PRON
nichts,nichts,PRON
that,that,VERB
",",--,PUNCT
den,der,DET
irrigen,irrig,ADJ
Glauben,Glaube,NOUN
zu,zu,PART
zerstören,zerstören,VERB
",",--,PUNCT
entsprang,entspringen,VERB
mehr,mehr,PRON
aus,aus,ADP
Bequemlichkeit,Bequemlichkeit,NOUN
",",--,PUNCT
als,als,SCONJ
aus,aus,ADP
Geringschätzung,Geringschätzung,NOUN
.,--,PUNCT
Eine,ein,DET
bekannte,bekannt,ADJ
Stimme,Stimme,NOUN
",",--,PUNCT
die,der,PRON
ihren,ihr,DET
Namen,Name,NOUN
nannte,nennen,VERB
",",--,PUNCT
drang,Drang,NOUN
durch,durch,ADP
ihren,ihr,DET
Schlaf,Schlaf,NOUN
.,--,PUNCT
Als,als,SCONJ
sie,sie,PRON
verwirrt,verwirren,VERB
die,der,DET
Augen,Auge,NOUN
aufschlug,aufschlagen,VERB
",",--,PUNCT
stand,stehen,VERB
der,der,DET
Hausherr,Hausherr,NOUN
vor,vor,ADP
ihr,ihr,PRON
",",--,PUNCT
einen,ein,DET
Fremden,fremde,NOUN
an,an,ADP
der,der,DET
Hand,Hand,NOUN
haltend,haltend,ADV
",",--,PUNCT
dessen,der,DET
hohe,hoch,ADJ
Stirn,Stirn,NOUN
an,an,ADP
die,der,DET
Palmenzweige,Palmenzweige,NOUN
stieß,stoßen,VERB
.,--,PUNCT
Erlauben,erlauben,VERB
Sie,sie,PRON
mir,mir,PRON
",",--,PUNCT
Ihre,ihr,DET
Meditation,Meditation,NOUN
zu,zu,PART
stören,stören,VERB
",",--,PUNCT
