Token,Lemma,POS
Paul,Paul,PROPN
Heyse,Heyse,PROPN
Barbarossa,Barbarossa,PROPN
(,--,PUNCT
1869,1869,NUM
),--,PUNCT
Nur,nur,ADV
einen,ein,DET
Tag,Tag,NOUN
hatte,haben,AUX
ich,ich,PRON
droben,droben,PRON
in,in,ADP
den,der,DET
Bergen,Berg,NOUN
bleiben,bleiben,VERB
wollen,wollen,AUX
",",--,PUNCT
und,und,CCONJ
aus,aus,ADP
dem,der,DET
einen,ein,PRON
Tag,Tag,NOUN
wurden,werden,AUX
zwei,zwei,NUM
Wochen,Woche,NOUN
",",--,PUNCT
die,der,PRON
mir,mir,PRON
in,in,ADP
dem,der,DET
hochgelegenen,hochgelegen,ADJ
",",--,PUNCT
verfallenen,verfallen,ADJ
Nest,Nest,NOUN
auf,auf,ADP
der,der,DET
Grenze,Grenze,NOUN
des,der,DET
Albaner-,Albaner,X
und,und,CCONJ
Sabinergebirgs,Sabinergebirg,PROPN
–,--,PUNCT
den,der,DET
Namen,Name,NOUN
darf,dürfen,AUX
ich,ich,PRON
nicht,nicht,PART
nennen,nennen,VERB
–,--,PUNCT
rascher,rasch,ADV
vergingen,vergingen,VERB
",",--,PUNCT
als,als,SCONJ
oft,oft,ADV
im,in,ADP
bunten,bunt,ADJ
Getümmel,Getümmel,NOUN
großer,groß,ADJ
Städte,Stadt,NOUN
.,--,PUNCT
Was,was,PRON
ich,ich,PRON
eigentlich,eigentlich,ADV
den,der,DET
lieben,lieb,ADJ
langen,lang,ADJ
Tag,Tag,NOUN
anfing,anfing,VERB
",",--,PUNCT
wüßte,wissen,VERB
ich,ich,PRON
kaum,kaum,ADV
zu,zu,PART
sagen,sagen,VERB
.,--,PUNCT
In,in,ADP
Rom,Rom,PROPN
hatte,haben,AUX
mich,mich,PRON
ein,ein,DET
Heißhunger,Heißhunger,PROPN
nach,nach,ADP
Einsamkeit,Einsamkeit,NOUN
überfallen,überfallen,VERB
;,--,PUNCT
den,der,PRON
konnte,können,AUX
ich,ich,PRON
hier,hier,ADV
stillen,still,ADJ
",",--,PUNCT
nach,nach,ADP
Herzenslust,Herzenslust,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
im,in,ADP
ersten,erster,ADJ
Frühling,Frühling,NOUN
",",--,PUNCT
das,der,DET
Laub,Laub,NOUN
der,der,DET
Kastanien,Kastanie,NOUN
glänzte,glänzen,VERB
in,in,ADP
der,der,DET
üppigsten,üppig,VERB
Frische,Frisch,NOUN
",",--,PUNCT
die,der,DET
Schluchten,Schlucht,NOUN
waren,sein,AUX
voll,voll,ADP
Vogelgesang,Vogelgesang,NOUN
und,und,CCONJ
Quellenrauschen,Quellenrauschen,NOUN
",",--,PUNCT
und,und,CCONJ
da,da,ADV
erst,erst,ADV
kürzlich,kürzlich,ADV
eine,ein,DET
große,groß,ADJ
Räuberbande,Räuberbande,NOUN
",",--,PUNCT
die,der,PRON
diese,dieser,DET
Wildniß,Wildniß,NOUN
unsicher,unsicher,ADV
gemacht,machen,VERB
",",--,PUNCT
zum,zu,ADP
Theil,Theil,NOUN
aufgehoben,aufheben,VERB
",",--,PUNCT
zum,zu,ADP
Theil,Theil,NOUN
in,in,ADP
die,der,DET
Abruzzen,Abruzze,NOUN
gejagt,jagen,VERB
worden,werden,AUX
war,sein,AUX
",",--,PUNCT
konnte,können,AUX
ein,ein,DET
einsamer,einsam,ADJ
Wanderer,Wanderer,NOUN
die,der,DET
verlorensten,verlorenst,ADJ
Klippenwege,Klippenweg,NOUN
sorgenfrei,sorgenfrei,ADV
erklettern,erklettern,VERB
und,und,CCONJ
sich,sich,PRON
ungestört,ungestört,ADV
den,der,DET
tiefsinnigsten,tiefsinnigst,ADJ
Betrachtungen,Betrachtung,NOUN
hingeben,hingeben,VERB
.,--,PUNCT
Mit,mit,ADP
den,der,DET
deutschen,deutsch,ADJ
Malern,Maler,NOUN
",",--,PUNCT
die,der,PRON
in,in,ADP
ansehnlicher,ansehnlich,ADJ
Zahl,Zahl,NOUN
die,der,DET
beiden,beide,DET
elenden,elend,ADJ
Herbergen,Herberg,NOUN
des,der,DET
Städtchens,Städtchen,NOUN
bevölkerten,bevölkeren,VERB
",",--,PUNCT
hatte,haben,VERB
ich,ich,PRON
jeden,jeder,DET
Verkehr,Verkehr,NOUN
von,von,ADP
vornherein,vornherein,ADV
vermieden,vermeiden,VERB
",",--,PUNCT
und,und,CCONJ
das,der,DET
Bedürfniß,Bedürfniß,NOUN
",",--,PUNCT
dann,dann,ADV
und,und,CCONJ
wann,wann,SCONJ
seine,sein,DET
eigene,eigen,ADJ
Stimme,Stimme,NOUN
zu,zu,PART
hören,hören,VERB
",",--,PUNCT
das,der,PRON
auch,auch,ADV
den,der,DET
Einsiedler,Einsiedler,NOUN
treibt,treiben,VERB
",",--,PUNCT
mit,mit,ADP
seinen,sein,DET
Haustieren,Haustier,NOUN
zu,zu,PART
plaudern,plaudern,VERB
",",--,PUNCT
befriedigte,befriedigen,VERB
ich,ich,PRON
zur,zu,ADP
Genüge,Genug,NOUN
im,in,ADP
eigenen,eigen,ADJ
Hause,Haus,NOUN
.,--,PUNCT
Ich,ich,PRON
wohnte,wohnen,VERB
nämlich,nämlich,ADV
bei,bei,ADP
dem,der,DET
Apotheker,Apotheker,NOUN
des,der,DET
Ortes,Ort,NOUN
",",--,PUNCT
der,der,PRON
mit,mit,ADP
meinem,mein,DET
sehr,sehr,ADV
mangelhaften,mangelhaft,ADJ
Italienisch,Italienisch,NOUN
die,der,DET
größte,groß,ADJ
Nachsicht,Nachsicht,NOUN
hatte,haben,VERB
.,--,PUNCT
Er,er,PRON
entschädigte,entschädigen,VERB
sich,sich,PRON
freilich,freilich,ADV
für,für,ADP
seinen,sein,DET
Aufwand,Aufwand,NOUN
an,an,ADP
Geduld,Geduld,NOUN
",",--,PUNCT
indem,indem,SCONJ
er,er,PRON
die,der,DET
meinige,meinig,ADJ
häufig,häufig,ADV
mißbrauchte,mißbrauchen,VERB
;,--,PUNCT
denn,denn,CCONJ
bald,bald,ADV
nachdem,nachdem,SCONJ
die,der,DET
erste,erster,ADJ
Fremdheit,Fremdheit,NOUN
überwunden,überwinden,VERB
war,sein,AUX
",",--,PUNCT
schüttete,schütten,VERB
er,er,PRON
ein,ein,DET
reiches,reich,ADJ
Füllhorn,Füllhorn,NOUN
eigener,eigen,ADJ
Verse,Vers,NOUN
über,über,ADP
mich,mich,PRON
aus,aus,ADP
und,und,CCONJ
gestand,gestehen,VERB
mir,mir,PRON
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
trotz,trotz,ADP
seiner,sein,DET
Fünfundfünfzig,Fünfundfünfzig,NOUN
noch,noch,ADV
immer,immer,ADV
diese,dieser,DET
Kinderkrankheit,Kinderkrankheit,NOUN
nicht,nicht,PART
ganz,ganz,ADV
loswerden,loswerden,VERB
könne,können,AUX
.,--,PUNCT
Was,was,PRON
wollt,wollt,VERB
Ihr,ihr,PRON
?,--,PUNCT
sagte,sagen,VERB
er,er,PRON
.,--,PUNCT
Wenn,wenn,SCONJ
ich,ich,PRON
Abends,Abends,ADV
so,so,ADV
ans,an,ADP
Fenster,Fenster,NOUN
trete,tren,VERB
",",--,PUNCT
und,und,CCONJ
der,der,DET
Mond,Mond,NOUN
kommt,kommen,VERB
über,über,ADP
die,der,DET
Felsen,Fels,NOUN
herauf,herauf,ADV
",",--,PUNCT
und,und,CCONJ
die,der,DET
Leuchtkäfer,Leuchtkäfer,NOUN
fliegen,fliegen,VERB
über,über,ADP
mein,mein,DET
Gärtchen,gärtch,NOUN
–,--,PUNCT
eine,ein,DET
Bestie,Bestie,NOUN
müßte,müssen,AUX
ich,ich,PRON
sein,sein,AUX
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
nicht,nicht,PART
zu,zu,PART
dichten,dichten,VERB
anfinge,anfingen,VERB
!,--,PUNCT
–,--,PUNCT
Er,er,PRON
war,sein,AUX
auch,auch,ADV
sonst,sonst,ADV
durchaus,durchaus,ADV
keine,kein,DET
Bestie,Bestie,NOUN
",",--,PUNCT
der,der,DET
gute,gut,ADJ
Signor,Signor,NOUN
Angelo,Angelo,PROPN
",",--,PUNCT
den,der,PRON
seine,sein,DET
Freunde,Freund,NOUN
wegen,wegen,ADP
einer,ein,DET
natürlichen,natürlich,ADJ
Tonsur,Tonsur,NOUN
",",--,PUNCT
eines,ein,DET
Kranzes,Kranz,NOUN
schwarzer,schwarz,ADJ
Härchen,Härche,NOUN
",",--,PUNCT
der,der,PRON
auf,auf,ADP
dem,der,DET
spiegelblanken,spiegelblank,ADJ
Kahlkopf,Kahlkopf,NOUN
stehen,stehen,VERB
geblieben,bleiben,VERB
war,sein,AUX
",",--,PUNCT
scherzweise,scherzweise,ADV
Fra,Fra,PROPN
Angelico,Angelico,PROPN
nannten,nennen,VERB
.,--,PUNCT
Aus,aus,ADP
seinem,sein,DET
Geburtsort,Geburtsort,NOUN
war,sein,AUX
er,er,PRON
freilich,freilich,ADV
nur,nur,ADV
zweimal,zweimal,ADV
in,in,ADP
seinem,sein,DET
Leben,Leben,NOUN
hinausgekommen,hinauskommen,VERB
",",--,PUNCT
beide,beide,DET
Mal,Mal,NOUN
nur,nur,ADV
bis,bis,ADP
Rom,Rom,PROPN
.,--,PUNCT
