Token,Lemma,POS
Paul,Paul,PROPN
Heyse,Heyse,PROPN
Ein,ein,DET
Ring,Ring,NOUN
Novelle,Novelle,NOUN
(,--,PUNCT
1904,1904,NUM
),--,PUNCT
Wie,wie,ADV
bist,sein,AUX
du,du,PRON
zu,zu,ADP
dem,der,DET
seltsamen,seltsam,ADJ
Ringe,Ring,NOUN
gekommen,kommen,VERB
",",--,PUNCT
liebe,lieb,ADJ
Tante,Tante,NOUN
?,--,PUNCT
Einen,ein,DET
so,so,ADV
massiven,massiv,ADJ
",",--,PUNCT
mit,mit,ADP
großen,groß,ADJ
schwarzen,schwarz,ADJ
Buchstaben,Buchstabe,NOUN
habe,haben,AUX
ich,ich,PRON
nie,nie,ADV
gesehen,sehen,VERB
.,--,PUNCT
Ist's,Ist's,NOUN
ein,ein,DET
Trauerring,Trauerring,NOUN
?,--,PUNCT
Und,und,CCONJ
was,was,PRON
steht,stehen,VERB
in,in,ADP
der,der,DET
Inschrift,Inschrift,NOUN
?,--,PUNCT
Die,der,DET
kleine,klein,ADJ
alte,alt,ADJ
Frau,Frau,NOUN
",",--,PUNCT
an,an,ADP
die,der,PRON
ich,ich,PRON
diese,dieser,DET
Fragen,Frage,NOUN
richtete,richten,VERB
",",--,PUNCT
war,sein,AUX
eine,ein,DET
ältere,alt,ADJ
Schwester,Schwester,NOUN
meiner,mein,DET
Mutter,Mutter,NOUN
",",--,PUNCT
nur,nur,ADV
Tante,Tant,ADJ
Klärchen,Klärch,NOUN
von,von,ADP
uns,uns,PRON
genannt,nennen,VERB
.,--,PUNCT
Vor,vor,ADP
siebzehn,siebzehn,NUM
Jahren,Jahr,NOUN
hatte,haben,AUX
sie,sie,PRON
ihren,ihr,DET
Mann,Mann,NOUN
verloren,verlieren,VERB
",",--,PUNCT
den,der,DET
Bankier,Bankier,NOUN
Herz,Herz,NOUN
",",--,PUNCT
dessen,der,DET
große,groß,ADJ
",",--,PUNCT
schwerfällige,schwerfällig,ADJ
Figur,Figur,NOUN
mit,mit,ADP
dem,der,DET
feinen,fein,ADJ
jüdischen,jüdisch,ADJ
Kopfe,Kopf,NOUN
mir,mir,PRON
noch,noch,ADV
aus,aus,ADP
meiner,mein,DET
frühesten,frühest,ADJ
Kinderzeit,Kinderzeit,NOUN
vor,vor,ADP
Augen,Auge,NOUN
steht,stehen,VERB
",",--,PUNCT
da,da,SCONJ
meine,mein,DET
Eltern,Eltern,NOUN
",",--,PUNCT
als,als,SCONJ
ich,ich,PRON
zwei,zwei,NUM
Jahre,Jahr,NOUN
alt,alt,ADV
war,sein,AUX
",",--,PUNCT
die,der,DET
Frankfurter,Frankfurter,ADJ
Verwandten,verwandte,NOUN
besucht,besuchen,VERB
hatten,haben,AUX
.,--,PUNCT
Nun,nun,ADV
war,sein,AUX
diese,dieser,PRON
Lieblingsschwester,Lieblingsschwester,NOUN
meiner,mein,DET
Mutter,Mutter,NOUN
nach,nach,ADP
einem,ein,DET
glänzenden,glänzend,ADJ
Leben,Leben,NOUN
an,an,ADP
der,der,DET
Seite,Seite,NOUN
des,der,DET
wohlhabenden,wohlhabend,ADJ
Gatten,Gatt,NOUN
",",--,PUNCT
dem,der,PRON
sie,sie,PRON
schöne,schön,ADJ
Töchter,Tochter,NOUN
geboren,gebären,VERB
",",--,PUNCT
in,in,ADP
eine,ein,DET
unscheinbare,unscheinbar,ADJ
Dunkelheit,dunkelheit,NOUN
versunken,versinken,VERB
",",--,PUNCT
hatte,haben,AUX
aber,aber,ADV
ihre,ihr,DET
Wohnung,Wohnung,NOUN
an,an,ADP
der,der,DET
»,--,PUNCT
Schönen,schöne,NOUN
Aussicht,Aussicht,NOUN
«,--,PUNCT
behalten,behalten,VERB
und,und,CCONJ
sie,sie,PRON
nur,nur,ADV
selten,selten,ADV
verlassen,verlassen,VERB
",",--,PUNCT
teils,teils,ADV
weil,weil,SCONJ
ihre,ihr,DET
äußere,äußerer,ADJ
Lage,Lage,NOUN
ihr,ihr,PRON
den,der,DET
früheren,früh,ADJ
Aufwand,Aufwand,NOUN
nicht,nicht,PART
mehr,mehr,ADV
gestattete,gestatten,VERB
und,und,CCONJ
zunehmende,zunehmend,ADJ
Kränklichkeit,Kränklichkeit,NOUN
sie,sie,PRON
oft,oft,ADV
ans,an,ADP
Bett,Bett,NOUN
fesselte,fesselen,VERB
",",--,PUNCT
teils,teils,ADV
weil,weil,SCONJ
sie,sie,PRON
in,in,ADP
diesem,dieser,DET
Hause,Haus,NOUN
die,der,DET
freundliche,freundlich,ADJ
Pflege,Pflege,NOUN
und,und,CCONJ
Gesellschaft,Gesellschaft,NOUN
ihres,ihr,DET
ältesten,alt,ADJ
Bruders,Bruder,NOUN
genoß,Genoß,PROPN
",",--,PUNCT
meines,mein,DET
Onkels,Onkel,NOUN
Louis,Louis,PROPN
Saaling,Saaling,PROPN
und,und,CCONJ
seiner,sein,DET
Frau,Frau,NOUN
",",--,PUNCT
von,von,ADP
denen,der,PRON
ich,ich,PRON
in,in,ADP
meinen,mein,DET
»,--,PUNCT
Jugenderinnerungen,Jugenderinnerungen,NOUN
«,--,PUNCT
ein,ein,DET
mehreres,mehreres,NOUN
erzählt,erzählen,VERB
habe,haben,AUX
.,--,PUNCT
Als,als,SCONJ
ich,ich,PRON
nun,nun,ADV
in,in,ADP
meinem,mein,DET
neunzehnten,neunzehnt,ADJ
Jahre,Jahr,NOUN
als,als,ADP
fahrender,fahrend,ADJ
Schüler,Schüler,NOUN
von,von,ADP
Bonn,Bonn,PROPN
aus,aus,ADP
den,der,DET
Rhein,Rhein,PROPN
hinauf,hinauf,ADV
wallfahrtete,wallfahrten,VERB
und,und,CCONJ
einige,einiger,DET
Tage,Tag,NOUN
von,von,ADP
meinem,mein,DET
Onkel,Onkel,NOUN
beherbergt,beherbergen,VERB
wurde,werden,AUX
",",--,PUNCT
ehe,ehe,SCONJ
ich,ich,PRON
in,in,ADP
die,der,DET
Schweiz,Schweiz,PROPN
weiterzog,weiterziehen,VERB
",",--,PUNCT
faßte,fassen,VERB
ich,ich,PRON
eine,ein,DET
lebhafte,lebhaft,ADJ
Neigung,Neigung,NOUN
zu,zu,ADP
dieser,dieser,DET
Tante,tant,ADJ
Klärchen,Klärch,NOUN
",",--,PUNCT
die,der,PRON
auch,auch,ADV
mich,mich,PRON
",",--,PUNCT
schon,schon,ADV
um,um,ADP
meiner,mein,DET
Mutter,Mutter,NOUN
willen,willen,ADP
",",--,PUNCT
mit,mit,ADP
einer,ein,DET
rührenden,rührend,ADJ
Zärtlichkeit,Zärtlichkeit,NOUN
ins,in,ADP
Herz,Herz,NOUN
schloß,schließen,VERB
.,--,PUNCT
Sie,sie,PRON
lag,liegen,VERB
damals,damals,ADV
schon,schon,ADV
fest,fest,ADV
auf,auf,ADP
dem,der,DET
Krankenbette,Krankenbett,NOUN
",",--,PUNCT
das,der,PRON
sie,sie,PRON
nicht,nicht,PART
mehr,mehr,ADV
verlassen,verlassen,VERB
sollte,sollen,AUX
.,--,PUNCT
Aber,aber,CCONJ
wer,wer,PRON
von,von,ADP
ihren,ihr,DET
Schmerzen,Schmerz,NOUN
nichts,nichts,PRON
wußte,wissen,VERB
und,und,CCONJ
das,der,DET
feine,fein,ADJ
",",--,PUNCT
edelgebildete,edelgebilden,VERB
Gesichtchen,Gesichtchen,VERB
unter,unter,ADP
dem,der,DET
kostbaren,kostbar,ADJ
Spitzentuch,Spitzentuch,NOUN
betrachtete,betrachten,VERB
",",--,PUNCT
noch,noch,ADV
von,von,ADP
schwarzen,schwarze,NOUN
",",--,PUNCT
glänzenden,glänzend,ADJ
Locken,Locke,NOUN
trotz,trotz,ADP
ihrer,ihr,DET
sechzig,sechzig,NUM
Jahre,Jahr,NOUN
eingefaßt,einfassen,VERB
",",--,PUNCT
die,der,DET
Augen,Auge,NOUN
von,von,ADP
einer,ein,DET
seltsamen,seltsam,ADJ
Onyxfarbe,Onyxfarbe,NOUN
in,in,ADP
dem,der,DET
bläulichen,bläulich,ADJ
Weiß,weiße,NOUN
unter,unter,ADP
den,der,DET
breiten,breit,ADJ
Lidern,Lider,NOUN
",",--,PUNCT
dazu,dazu,ADV
das,der,DET
Grübchen,Grübch,NOUN
in,in,ADP
der,der,DET
glatten,glatt,ADJ
linken,linker,ADJ
Wange,Wange,NOUN
",",--,PUNCT
das,der,PRON
bei,bei,ADP
jedem,jeder,DET
Lächeln,lächeln,NOUN
sich,sich,PRON
vertiefte,vertieft,ADJ
–,--,PUNCT
konnte,können,AUX
sich,sich,PRON
nicht,nicht,PART
vorstellen,vorstellen,VERB
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Tage,Tag,NOUN
dieser,dieser,DET
lieblichen,lieblich,ADJ
alten,alt,ADJ
Frau,Frau,NOUN
gezählt,zählen,VERB
sein,sein,AUX
sollten,sollen,AUX
.,--,PUNCT
Klärchen,klärchen,NOUN
hat,haben,VERB
immer,immer,ADV
einen,ein,DET
»,--,PUNCT
Chain,Chain,PROPN
«,--,PUNCT
gehabt,haben,VERB
",",--,PUNCT
pflegte,pflegen,VERB
meine,mein,DET
Mutter,Mutter,NOUN
zu,zu,PART
sagen,sagen,VERB
–,--,PUNCT
der,der,DET
jüdische,jüdisch,ADJ
Ausdruck,Ausdruck,NOUN
für,für,ADP
das,der,PRON
