Token,Lemma,POS
Paul,Paul,PROPN
Heyse,Heyse,PROPN
Maria,Maria,PROPN
Francisca,Francisca,PROPN
(,--,PUNCT
1858,1858,NUM
),--,PUNCT
Wir,wir,PRON
hatten,haben,VERB
den,der,DET
sommerheißen,sommerheiß,ADJ
Tag,Tag,NOUN
in,in,ADP
der,der,DET
engen,eng,ADJ
",",--,PUNCT
trägen,träg,ADJ
Postkutsche,Postkutsch,NOUN
fast,fast,ADV
ganz,ganz,ADV
verschlafen,verschlafen,VERB
.,--,PUNCT
Denn,denn,CCONJ
die,der,DET
Fenster,Fenster,NOUN
waren,sein,AUX
zu,zu,PART
schmal,schmal,ADV
",",--,PUNCT
um,um,SCONJ
uns,uns,PRON
bequem,bequem,ADV
an,an,ADP
den,der,DET
wolkenlosen,wolkenlosen,ADJ
Linien,Linie,NOUN
des,der,DET
Gebirges,Gebirg,NOUN
",",--,PUNCT
dem,der,PRON
wir,wir,PRON
entgegenfuhren,entgegenfuhren,VERB
",",--,PUNCT
zu,zu,PART
weiden,weiden,VERB
",",--,PUNCT
und,und,CCONJ
Sonnenbrand,Sonnenbrand,PROPN
und,und,CCONJ
Staub,Staub,NOUN
hatten,haben,AUX
das,der,DET
flache,flach,ADJ
Vorland,Vorland,PROPN
seit,seit,ADP
Wochen,Woche,NOUN
übel,übel,ADV
heimgesucht,heimsuchen,VERB
.,--,PUNCT
In,in,ADP
einer,ein,DET
Art,Art,NOUN
von,von,ADP
trotziger,trotzig,ADJ
Müdigkeit,Müdigkeit,NOUN
und,und,CCONJ
wehmütiger,wehmütig,ADJ
Verstocktheit,Verstocktheit,NOUN
aller,aller,DET
Sinne,Sinn,NOUN
saß,sitzen,VERB
mein,mein,DET
Freund,Freund,NOUN
",",--,PUNCT
der,der,DET
Maler,Maler,NOUN
",",--,PUNCT
mir,mir,PRON
gegenüber,gegenüber,ADP
",",--,PUNCT
und,und,CCONJ
mit,mit,ADP
einem,ein,DET
kräftigen,kräftig,ADJ
Freudenfluch,Freudenfluch,NOUN
sprang,springen,VERB
er,er,PRON
Abends,Abends,ADV
aus,aus,ADP
dem,der,DET
schwülen,schwül,ADJ
Kasten,Kasten,NOUN
",",--,PUNCT
als,als,SCONJ
wir,wir,PRON
vor,vor,ADP
dem,der,DET
Posthause,Posthause,NOUN
des,der,DET
letzten,letzter,ADJ
Städtchens,Städtchen,NOUN
an,an,ADP
der,der,DET
Schwelle,Schwelle,NOUN
des,der,DET
Gebirges,Gebirg,NOUN
hielten,halten,VERB
.,--,PUNCT
Er,er,PRON
warf,werfen,VERB
seinen,sein,DET
Mantelsack,Mantelsack,NOUN
neben,neben,ADP
den,der,DET
meinigen,meinigen,NOUN
in,in,ADP
einen,ein,DET
Winkel,Winkel,NOUN
der,der,DET
Gaststube,Gaststube,NOUN
und,und,CCONJ
zog,ziehen,VERB
mich,mich,PRON
sogleich,sogleich,ADV
wieder,wieder,ADV
auf,auf,ADP
die,der,DET
kühle,kühl,ADJ
Straße,Straße,NOUN
hinaus,hinaus,ADV
.,--,PUNCT
Der,der,DET
Ort,Ort,NOUN
hatte,haben,AUX
jenes,jener,DET
gemischte,gemischt,ADJ
Ansehen,ansehen,NOUN
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
es,es,PRON
nur,nur,ADV
bei,bei,ADP
solchen,solcher,DET
an,an,ADP
das,der,DET
Vorgebirge,Vorgebirge,NOUN
gerückten,gerücken,VERB
Vorposten,Vorposten,NOUN
der,der,DET
Ebene,Ebene,NOUN
findet,finden,VERB
.,--,PUNCT
Die,der,DET
Häuser,Haus,NOUN
zeigten,zeigen,VERB
sich,sich,PRON
gegen,gegen,ADP
das,der,DET
Hochlands-Klima,Hochlands-Klima,NOUN
wohl,wohl,ADV
verwahrt,verwahren,VERB
",",--,PUNCT
manche,mancher,PRON
ganz,ganz,ADV
in,in,ADP
einen,ein,DET
Schuppenpanzer,Schuppenpanzer,NOUN
von,von,ADP
Schindeln,Schindel,NOUN
gekleidet,kleiden,VERB
",",--,PUNCT
die,der,DET
Dächer,Dach,NOUN
mit,mit,ADP
Felsstücken,Felsstück,NOUN
beschwert,beschweren,VERB
",",--,PUNCT
andere,anderer,PRON
wiederum,wiederum,ADV
mit,mit,ADP
aller,aller,DET
flachen,flach,ADJ
Zierlichkeit,Zierlichkeit,NOUN
großstädtischer,großstädtisch,ADJ
Bauten,Bau,NOUN
ausgerüstet,ausrüsten,VERB
.,--,PUNCT
Mitten,mitten,ADV
aber,aber,ADV
durch,durch,ADP
die,der,DET
Stadt,Stadt,NOUN
lief,laufen,VERB
ein,ein,DET
rascher,rasch,ADJ
Bach,Bach,NOUN
",",--,PUNCT
so,so,ADV
klar,klar,ADV
",",--,PUNCT
daß,daß,SCONJ
wir,wir,PRON
der,der,DET
Lockung,Lockung,NOUN
nicht,nicht,PART
widerstanden,widerstehen,VERB
",",--,PUNCT
die,der,DET
staubigen,staubig,ADJ
Hände,Hand,NOUN
darin,darin,ADV
zu,zu,PART
kühlen,kühlen,VERB
.,--,PUNCT
Dabei,dabei,ADV
nahm,nehmen,VERB
sich,sich,PRON
mein,mein,DET
Freund,Freund,NOUN
sehr,sehr,ADV
befremdlich,befremdlich,ADV
und,und,CCONJ
gefährlich,gefährlich,ADV
aus,aus,ADP
",",--,PUNCT
da,da,SCONJ
ihm,ihm,PRON
beim,bei,ADP
Bücken,bücken,NOUN
die,der,DET
Haare,Haar,NOUN
tief,tief,ADV
übers,über,ADP
Gesicht,Gesicht,NOUN
fielen,fallen,VERB
und,und,CCONJ
mit,mit,ADP
dem,der,DET
Bart,Bart,NOUN
zusammenflossen,zusammenflossen,VERB
",",--,PUNCT
wie,wie,SCONJ
ein,ein,DET
mächtiger,mächtig,ADJ
Stromgott,Stromgott,NOUN
",",--,PUNCT
von,von,ADP
dessen,der,PRON
Haupt,Haupt,NOUN
und,und,CCONJ
Angesicht,Angesicht,NOUN
die,der,DET
Quellen,Quelle,NOUN
entspringen,entspringen,VERB
.,--,PUNCT
Bei,bei,ADP
näherer,näher,ADJ
Betrachtung,Betrachtung,NOUN
erkannte,erkennen,VERB
man,man,PRON
freilich,freilich,ADV
",",--,PUNCT
daß,daß,SCONJ
dieser,dieser,DET
einschüchternde,einschüchternd,ADJ
Haarwuchs,Haarwuchs,PROPN
zu,zu,ADP
dem,der,DET
kindlich-sinnlichen,kindlich-sinnlich,ADJ
Ausdruck,Ausdruck,NOUN
seines,sein,DET
Gesichts,Gesicht,NOUN
nicht,nicht,PART
paßte,passen,VERB
.,--,PUNCT
Er,er,PRON
hätte,haben,AUX
",",--,PUNCT
geschoren,Geschor,NOUN
",",--,PUNCT
trotz,trotz,ADP
seiner,sein,DET
sechsunddreißig,sechsunddreißig,NUM
Jahre,Jahr,NOUN
noch,noch,ADV
immer,immer,ADV
ein,ein,DET
ganz,ganz,ADV
artiges,artig,ADJ
Mädchen,Mädchen,NOUN
vorstellen,vorstellen,VERB
können,können,AUX
.,--,PUNCT
Und,und,CCONJ
so,so,ADV
war,sein,AUX
es,es,PRON
auch,auch,ADV
mit,mit,ADP
seinem,sein,DET
inneren,innerer,ADJ
Wesen,Wesen,NOUN
bestellt,bestellen,VERB
.,--,PUNCT
Man,man,PRON
konnte,können,AUX
wohl,wohl,ADV
sagen,sagen,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
Haare,Haar,NOUN
auf,auf,ADP
den,der,DET
Zähnen,Zahn,NOUN
hatte,haben,VERB
",",--,PUNCT
denn,denn,CCONJ
wo,wo,SCONJ
es,es,PRON
galt,gelten,VERB
",",--,PUNCT
sich,sich,PRON
nach,nach,ADP
außen,außen,ADV
hin,hin,ADV
Respect,Respect,PROPN
zu,zu,PART
verschaffen,verschaffen,VERB
",",--,PUNCT
war,sein,AUX
er,er,PRON
allezeit,allezeit,ADV
unverlegen,unverlegen,VERB
.,--,PUNCT
Im,in,ADP
Uebrigen,Uebrig,NOUN
theilte,theilen,VERB
er,er,PRON
mit,mit,ADP
jenem,jener,DET
alten,alt,ADJ
lockenberühmten,lockenberühmt,ADJ
Helden,Held,NOUN
die,der,DET
Schwäche,Schwäche,NOUN
",",--,PUNCT
daß,daß,SCONJ
manch,mancher,DET
ein,ein,DET
Philister,Philister,NOUN
ihn,ihn,PRON
zu,zu,PART
überlisten,überlisten,VERB
und,und,CCONJ
manche,mancher,DET
Delila,Delila,NOUN
seine,sein,DET
arglose,arglos,ADJ
Seele,Seele,NOUN
zu,zu,PART
schädigen,schädigen,VERB
verstanden,verstehen,VERB
hatte,haben,AUX
.,--,PUNCT
Als,als,SCONJ
er,er,PRON
nun,nun,ADV
den,der,DET
Tagesstaub,Tagesstaub,NOUN
von,von,ADP
sich,sich,PRON
gethan,Gethan,PROPN
hatte,haben,VERB
und,und,CCONJ
sich,sich,PRON
aufrichtend,aufrichtend,ADV
den,der,DET
reinen,rein,ADJ
",",--,PUNCT
heiteren,heiter,ADJ
Abendwind,Abendwind,NOUN
empfand,empfinden,VERB
",",--,PUNCT
der,der,PRON
durch,durch,ADP
die,der,DET
Gassen,Gasse,NOUN
streifte,streifen,VERB
",",--,PUNCT
wurde,werden,AUX
er,er,PRON
ganz,ganz,ADV
aufgeräumt,aufräumen,VERB
und,und,CCONJ
lachte,lachen,VERB
über,über,ADP
