Token,Lemma,POS
Paul,Paul,PROPN
Heyse,Heyse,PROPN
Unheilbar,unheilbar,ADV
(,--,PUNCT
1862,1862,NUM
),--,PUNCT
Meran,Meran,PROPN
",",--,PUNCT
den,der,DET
6.,6.,NUM
October,October,NOUN
186,186,NUM
*,*,X
Seit,seit,ADP
acht,acht,NUM
Tagen,Tag,NOUN
",",--,PUNCT
die,der,PRON
ich,ich,PRON
nun,nun,ADV
hier,hier,ADV
bin,sein,AUX
",",--,PUNCT
keine,kein,DET
Zeile,Zeile,NOUN
geschrieben,schreiben,VERB
!,--,PUNCT
Ich,ich,PRON
war,sein,AUX
zu,zu,PART
erschöpft,erschöpfen,VERB
und,und,CCONJ
aufgeregt,aufgeregt,ADV
von,von,ADP
der,der,DET
langen,lang,ADJ
Reise,Reise,NOUN
.,--,PUNCT
Wenn,wenn,SCONJ
ich,ich,PRON
mich,sich,PRON
niedersetzte,niedersetzen,VERB
und,und,CCONJ
auf,auf,ADP
die,der,DET
weißen,weiß,ADJ
Blätter,Blatt,NOUN
starrte,starren,VERB
",",--,PUNCT
war,sein,AUX
mir's,mir's,ADV
",",--,PUNCT
als,als,SCONJ
blickte,blicken,VERB
ich,ich,PRON
in,in,ADP
eine,ein,DET
Camera,Camera,NOUN
obscura,obscura,ADV
.,--,PUNCT
Alle,aller,DET
Bilder,Bild,NOUN
",",--,PUNCT
die,der,PRON
mir,mir,PRON
unterwegs,unterwegs,ADV
entgegen,entgegen,ADP
geflogen,fliegen,VERB
waren,sein,AUX
",",--,PUNCT
tauchten,tauchen,VERB
ganz,ganz,ADV
deutlich,deutlich,ADV
und,und,CCONJ
farbig,farbig,ADV
wieder,wieder,ADV
auf,auf,ADP
und,und,CCONJ
jagten,jagen,VERB
sich,sich,PRON
wie,wie,ADP
im,in,ADP
Fiebertraume,Fiebertraume,NOUN
",",--,PUNCT
bis,bis,SCONJ
mir,mir,PRON
die,der,DET
Augen,Auge,NOUN
übergingen,übergingen,VERB
.,--,PUNCT
Unterwegs,unterwegs,ADV
fühlte,fühlen,VERB
ich,ich,PRON
auch,auch,ADV
mehr,mehr,PRON
als,als,ADP
ein,ein,DET
Mal,Mal,NOUN
",",--,PUNCT
daß,daß,SCONJ
mir,mir,PRON
die,der,DET
Thränen,Thrän,NOUN
nahe,nahe,VERB
waren,sein,AUX
;,--,PUNCT
aber,aber,CCONJ
ich,ich,PRON
war,sein,AUX
nicht,nicht,PART
allein,allein,ADV
",",--,PUNCT
und,und,CCONJ
von,von,ADP
den,der,DET
fremden,fremd,ADJ
Herren,Herr,NOUN
",",--,PUNCT
die,der,PRON
mitfuhren,mitfuhren,NOUN
",",--,PUNCT
bemitleidet,bemitleiden,VERB
und,und,CCONJ
ausgefragt,ausgefragen,VERB
zu,zu,PART
werden,werden,AUX
",",--,PUNCT
hatte,haben,VERB
ich,ich,PRON
wahrlich,wahrlich,ADV
keine,kein,DET
Lust,Lust,NOUN
.,--,PUNCT
Hier,hier,ADV
ist's,ist's,VERB
anders,anders,ADV
;,--,PUNCT
ich,ich,PRON
bin,sein,AUX
einsam,einsam,ADV
und,und,CCONJ
frei,frei,ADV
;,--,PUNCT
ich,ich,PRON
habe,haben,AUX
es,es,PRON
schon,schon,ADV
erfahren,erfahren,VERB
",",--,PUNCT
daß,daß,SCONJ
nur,nur,ADV
die,der,DET
Einsamen,Einsame,NOUN
frei,frei,ADV
sein,sein,AUX
können,können,AUX
.,--,PUNCT
Warum,warum,ADV
schäme,schämen,VERB
ich,ich,PRON
mich,sich,PRON
denn,denn,ADV
auch,auch,ADV
jetzt,jetzt,ADV
noch,noch,ADV
",",--,PUNCT
zu,zu,ADP
weinen,weinen,VERB
?,--,PUNCT
Ist,sein,AUX
es,es,PRON
denn,denn,ADV
nicht,nicht,PART
traurig,traurig,ADV
genug,genug,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
erst,erst,ADV
einen,ein,DET
Blick,Blick,NOUN
in,in,ADP
alle,aller,PRON
Schönheiten,Schönheit,NOUN
dieser,dieser,DET
Welt,Welt,NOUN
thun,thun,VERB
durfte,dürfen,AUX
",",--,PUNCT
seit,seit,SCONJ
ich,ich,PRON
weiß,wissen,VERB
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
ein,ein,DET
Abschiedsblick,Abschiedsblick,NOUN
ist,sein,AUX
?,--,PUNCT
–,--,PUNCT
Es,es,PRON
wäre,sein,AUX
wohl,wohl,ADV
besser,gut,ADV
",",--,PUNCT
ich,ich,PRON
verschlösse,verschlössen,VERB
dieses,dieser,DET
Heft,Heft,NOUN
und,und,CCONJ
ließe,lassen,VERB
die,der,DET
Blätter,Blatt,NOUN
leer,leer,ADV
.,--,PUNCT
Womit,womit,ADV
kann,können,AUX
ich,ich,PRON
sie,sie,PRON
füllen,füllen,VERB
",",--,PUNCT
als,als,SCONJ
mit,mit,ADP
unfruchtbaren,unfruchtbar,ADJ
Klagen,Klage,NOUN
?,--,PUNCT
Ich,ich,PRON
hatte,haben,VERB
es,es,PRON
mir,mir,PRON
schön,schön,ADV
und,und,CCONJ
tröstlich,tröstlich,ADV
gedacht,denken,VERB
",",--,PUNCT
alles,alle,PRON
niederzuschreiben,niederzuschreiben,VERB
",",--,PUNCT
was,wer,PRON
mir,mir,PRON
in,in,ADP
diesem,dieser,DET
letzten,letzter,ADJ
Winter,Winter,NOUN
",",--,PUNCT
den,der,PRON
ich,ich,PRON
noch,noch,ADV
zu,zu,PART
leben,leben,VERB
habe,haben,AUX
",",--,PUNCT
durch,durch,ADP
den,der,DET
Sinn,Sinn,NOUN
gehen,gehen,VERB
würde,werden,AUX
.,--,PUNCT
Ich,ich,PRON
wollte,wollen,AUX
meinem,mein,DET
geliebten,geliebt,ADJ
Bruder,Bruder,NOUN
",",--,PUNCT
meinem,mein,DET
kleinen,klein,ADJ
Ernst,Ernst,NOUN
",",--,PUNCT
der,der,PRON
jetzt,jetzt,ADV
doch,doch,ADV
noch,noch,ADV
zu,zu,PART
jung,jung,ADV
ist,sein,AUX
",",--,PUNCT
um,um,ADP
das,der,DET
Leben,Leben,NOUN
und,und,CCONJ
den,der,DET
Tod,Tod,NOUN
zu,zu,PART
verstehen,verstehen,VERB
",",--,PUNCT
an,an,ADP
diesem,dieser,DET
Hefte,Hefte,NOUN
ein,ein,DET
Vermächtniß,Vermächtniß,NOUN
hinterlassen,hinterlassen,VERB
",",--,PUNCT
das,der,PRON
ihm,ihm,PRON
theuer,theu,ADV
wäre,sein,AUX
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
später,spät,ADV
einmal,einmal,ADV
nach,nach,ADP
seiner,sein,DET
Schwester,Schwester,NOUN
fragte,fragen,VERB
und,und,CCONJ
Niemand,Niemand,PRON
da,da,ADV
wäre,sein,AUX
",",--,PUNCT
der,der,PRON
ihm,ihm,PRON
antworten,antworten,VERB
könnte,können,AUX
.,--,PUNCT
Aber,aber,CCONJ
ich,ich,PRON
sehe,sehen,VERB
wohl,wohl,ADV
",",--,PUNCT
es,es,PRON
war,sein,AUX
ein,ein,DET
thörichter,thöricht,ADJ
Gedanke,Gedanke,NOUN
.,--,PUNCT
Möchte,Möchten,AUX
man,man,PRON
denn,denn,ADV
in,in,ADP
der,der,DET
Erinnerung,Erinnerung,NOUN
eines,ein,DET
theuren,theur,NOUN
Menschen,Mensch,NOUN
fortleben,fortleben,VERB
unter,unter,ADP
dem,der,DET
Bilde,Bild,NOUN
der,der,DET
letzten,letzter,ADJ
Krankheit,Krankheit,NOUN
?,--,PUNCT
Er,er,PRON
soll,sollen,AUX
mich,mich,PRON
lieber,lieb,ADV
vergessen,vergessen,VERB
",",--,PUNCT
als,als,SCONJ
sich,sich,PRON
diese,dieser,DET
blassen,blass,ADJ
Züge,Zug,NOUN
einprägen,einprägen,VERB
",",--,PUNCT
die,der,PRON
mich,mich,PRON
selber,selber,ADV
erschrecken,erschrecken,VERB
",",--,PUNCT
so,so,ADV
oft,oft,ADV
ich,ich,PRON
in,in,ADP
den,der,DET
Spiegel,Spiegel,NOUN
sehe,sehen,VERB
.,--,PUNCT
Abends,abends,ADV
.,--,PUNCT
Schwüle,Schwüle,PROPN
",",--,PUNCT
bedeckte,bedeckt,ADJ
Luft,Luft,NOUN
.,--,PUNCT
Ich,ich,PRON
habe,haben,AUX
ein,ein,DET
paar,paar,DET
Stunden,Stunde,NOUN
lang,lang,ADV
am,an,ADP
Fenster,Fenster,NOUN
gesessen,sitzen,VERB
.,--,PUNCT
Man,man,PRON
sieht,sehen,VERB
da,da,ADV
weit,weit,ADV
in,in,ADP
das,der,PRON
schöne,schön,ADJ
Etschland,Etschland,NOUN
hinaus,hinaus,ADV
",",--,PUNCT
über,über,ADP
die,der,DET
Stadtmauer,Stadtmauer,NOUN
",",--,PUNCT
die,der,PRON
Allee,Allee,NOUN
mit,mit,ADP
den,der,DET
breitästigen,Breitästig,NOUN
Pappeln,Pappel,NOUN
",",--,PUNCT
die,der,PRON
auf,auf,ADP
dem,der,DET
Steindamme,Steindamm,NOUN
längs,Läng,ADV
der,der,DET
rauschenden,rauschend,ADJ
Passer,Passer,NOUN
stehen,stehen,VERB
",",--,PUNCT
in,in,ADP
die,der,PRON
Niederung,Niederung,NOUN
hinein,hinein,ADV
",",--,PUNCT
