Token,Lemma,POS
Peter,Peter,PROPN
Rosegger,Rosegger,PROPN
Die,der,DET
Wallfahrer,Wallfahrer,NOUN
Wären,Wären,AUX
die,der,DET
Vergnügungsreisen,Vergnügungsreise,NOUN
nicht,nicht,PART
aufgekommen,aufgekommen,VERB
",",--,PUNCT
ich,ich,PRON
ginge,gehen,VERB
selber,selber,ADV
mit,mit,ADP
der,der,DET
Kreuzschar,Kreuzschar,PROPN
nach,nach,ADP
Maria-Einsiedeln,Maria-Einsiedel,NOUN
oder,oder,CCONJ
auf,auf,ADP
den,der,DET
Schutzengelberg,Schutzengelberg,PROPN
oder,oder,CCONJ
nach,nach,ADP
Mariazell,Mariazell,ADV
oder,oder,CCONJ
zu,zu,ADP
einer,ein,DET
anderen,anderer,ADJ
Wallfahrtskirche,Wallfahrtskirche,NOUN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
gerade,gerade,ADV
in,in,ADP
den,der,DET
schönsten,schön,ADJ
Gegenden,Gegende,NOUN
der,der,DET
Alpen,Alpen,NOUN
erbaut,erbauen,VERB
worden,werden,AUX
sind,sein,AUX
.,--,PUNCT
So,so,ADV
mit,mit,ADP
lauter,lauter,DET
guten,gut,ADJ
Bekannten,bekannte,NOUN
hintrotten,hintrotten,NOUN
über,über,ADP
Berg,Berg,NOUN
und,und,CCONJ
Tal,Tal,NOUN
",",--,PUNCT
über,über,ADP
Felder,Feld,NOUN
und,und,CCONJ
Auen,Auen,NOUN
",",--,PUNCT
und,und,CCONJ
durch,durch,ADP
die,der,DET
schönen,schön,NOUN
schattigen,schattigen,ADJ
Wälder,Wald,NOUN
manchmal,manchmal,ADV
ein,ein,DET
Rosenkränzlein,Rosenkränzlein,NOUN
trillern,trillern,VERB
",",--,PUNCT
manchmal,manchmal,ADV
ein,ein,DET
Liedchen,Liedchen,NOUN
singen,singen,VERB
",",--,PUNCT
unterwegs,unterwegs,ADV
keine,kein,DET
Kirche,Kirche,NOUN
übersehen,übersehen,VERB
",",--,PUNCT
weil,weil,SCONJ
nebenan,nebenan,ADV
das,der,DET
Wirtshaus,Wirtshaus,NOUN
steht,stehen,VERB
",",--,PUNCT
mitunter,mitunter,ADV
eine,ein,DET
hübsche,hübsch,ADJ
Kellnerin,Kellnerin,NOUN
in,in,ADP
Ehren,Ehre,NOUN
haben,haben,VERB
",",--,PUNCT
weil,weil,SCONJ
sie,sie,PRON
ein,ein,DET
Geschöpf,Geschöpf,NOUN
Gottes,Gott,NOUN
ist,sein,AUX
",",--,PUNCT
oder,oder,CCONJ
gar,gar,ADV
ein,ein,DET
Wunderbildnis,Wunderbildnis,NOUN
",",--,PUNCT
an,an,ADP
dem,der,PRON
allerlei,allerlei,DET
Mirakel,Mirakel,NOUN
geschehen,geschehen,VERB
können,können,AUX
–,--,PUNCT
bigott,bigott,VERB
ein,ein,DET
solches,solcher,DET
Wallfahrten,Wallfahrten,NOUN
wäre,sein,AUX
meine,mein,DET
Passion,Passion,NOUN
!,--,PUNCT
Und,und,CCONJ
für,für,ADP
eine,ein,DET
solche,solcher,DET
Kirchfahrt,Kirchfahrt,NOUN
täte,täte,VERB
ich,ich,PRON
meine,mein,DET
Kreuzer,Kreuzer,NOUN
zusammensparen,zusammensparen,VERB
Jahr,Jahr,NOUN
und,und,CCONJ
Tag,Tag,NOUN
lang,lang,ADV
–,--,PUNCT
nicht,nicht,PART
anders,anders,ADV
als,als,ADP
wie,wie,SCONJ
es,es,PRON
die,der,DET
Mechtildis,Mechtildis,NOUN
gemacht,machen,VERB
.,--,PUNCT
Die,der,DET
Mechtildis,Mechtildi,NOUN
",",--,PUNCT
wer,wer,PRON
ist,sein,AUX
denn,denn,ADV
dies,dieser,PRON
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
fragen,fragen,VERB
darf,dürfen,AUX
?,--,PUNCT
Nun,nun,ADV
",",--,PUNCT
ein,ein,DET
recht,recht,ADV
brav,brav,ADV
und,und,CCONJ
sauber,saub,ADJ
Mädel,Mädel,NOUN
ist,sein,AUX
sie,sie,PRON
und,und,CCONJ
ist,sein,AUX
auch,auch,ADV
noch,noch,ADV
zu,zu,PART
haben,haben,AUX
.,--,PUNCT
Heißt,Heißt,VERB
das,der,PRON
",",--,PUNCT
‘,--,PUNCT
s,--,PRON
selb,selb,ADV
kann,können,AUX
ich,ich,PRON
nicht,nicht,PART
für,für,ADP
gewiß,gewiß,ADV
sagen,sagen,VERB
;,--,PUNCT
wenn,wenn,SCONJ
’s,’s,NOUN
wahr,wahr,ADV
ist,sein,AUX
",",--,PUNCT
was,wer,PRON
die,der,DET
Leut,Leute,NOUN
’,’,PROPN
