Token,Lemma,POS
Peter,Peter,PROPN
Rosegger,Rosegger,PROPN
Jakob,Jakob,PROPN
der,der,DET
Letzte,Letzter,NOUN
Eine,ein,DET
Waldbauerngeschichte,Waldbauerngeschichte,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
●,●,X
Vorwort,Vorwort,NOUN
●,●,NOUN
Erster,erst,ADJ
Teil,Teil,NOUN
○,○,PROPN
Ein,ein,DET
seltsames,seltsam,ADJ
Pfingstfest,Pfingstfest,NOUN
○,○,PROPN
Das,der,DET
liebe,lieb,ADJ
Altenmoos,Altenmoos,NOUN
○,○,NOUN
Der,der,DET
Mann,Mann,NOUN
mit,mit,ADP
den,der,DET
Tausendern,Tausender,NOUN
siedelt,siedeln,VERB
ab,ab,ADP
○,○,PROPN
Der,der,DET
Kirchgang,Kirchgang,NOUN
nach,nach,ADP
dem,der,DET
Gelde,Gelde,NOUN
○,○,DET
Franz,Franz,PROPN
",",--,PUNCT
bleib,Bleib,PROPN
',--,PUNCT
daheim,daheim,ADV
!,--,PUNCT
○,○,NOUN
Wie,wie,ADP
der,der,DET
Jackerl,Jackerl,NOUN
aus,aus,ADP
Anhänglichkeit,Anhänglichkeit,NOUN
daheim,daheim,ADV
bleibt,bleiben,VERB
○,○,NOUN
Der,der,DET
Waldmeister,Waldmeister,NOUN
schüttelt,schütteln,VERB
den,der,DET
Baum,Baum,NOUN
○,○,NOUN
Der,der,DET
Guldeisner,Guldeisner,NOUN
fällt,fallen,VERB
○,○,NOUN
Der,der,DET
Jackerl,Jackerl,NOUN
ist,sein,AUX
ein,ein,DET
Engerl,Engerl,NOUN
worden,werden,AUX
○,○,NOUN
Kirschenessen,Kirschenesse,NOUN
○,○,PROPN
Das,der,DET
Fest,Fest,NOUN
der,der,DET
Auswanderer,Auswanderer,NOUN
○,○,NOUN
Ein,ein,DET
Weibchen,Weibch,NOUN
und,und,CCONJ
kein,kein,DET
Nest,Nest,NOUN
dazu,dazu,ADV
○,○,NOUN
Wie,wie,SCONJ
der,der,DET
Rodel,Rodel,NOUN
vertrieben,vertreiben,VERB
worden,werden,AUX
ist,sein,AUX
○,○,NOUN
Der,der,DET
Jakob,Jakob,PROPN
besucht,besuchen,VERB
seine,sein,DET
früheren,früh,ADJ
Nachbarn,Nachbar,NOUN
○,○,NOUN
Der,der,DET
Bertl,Bertl,NOUN
wills,wills,ADV
einmal,einmal,ADV
anderswo,anderswo,ADV
probieren,probieren,VERB
●,●,NOUN
Zweiter,zweiter,ADJ
Teil,Teil,NOUN
○,○,NOUN
Sorgenlast,Sorgenlast,PROPN
–,--,PUNCT
Jugendlust,Jugendlust,PROPN
○,○,NOUN
Die,der,DET
Liebe,Liebe,NOUN
ist,sein,AUX
da,da,ADV
!,--,PUNCT
○,○,NOUN
Noch,noch,ADV
einmal,einmal,ADV
paart,paart,ADV
sich's,sich's,ADV
zu,zu,ADP
Altenmoos,Altenmoos,NOUN
○,○,NOUN
Der,der,DET
Kaiser,Kaiser,NOUN
kommt,kommen,VERB
!,--,PUNCT
○,○,NOUN
Mein,mein,DET
Altenmoos,Altenmoos,NOUN
",",--,PUNCT
behüt,behüt,VERB
',--,PUNCT
dich,dich,PRON
Gott,Gott,NOUN
○,○,NOUN
Auch,auch,ADV
die,der,DET
Letzten,Letzter,NOUN
ziehen,ziehen,VERB
fort,fort,ADV
○,○,NOUN
Das,der,DET
fremde,fremd,ADJ
Daheim,Daheim,NOUN
und,und,CCONJ
ein,ein,DET
Gruß,Gruß,NOUN
aus,aus,ADP
