Token,Lemma,POS
Peter,Peter,PROPN
Rosegger,Rosegger,PROPN
Peter,Peter,PROPN
Mayr,Mayr,PROPN
der,der,DET
Wirt,Wirt,NOUN
an,an,ADP
der,der,DET
Mahr,Mahr,PROPN
Eine,ein,DET
Geschichte,Geschichte,NOUN
aus,aus,ADP
deutscher,deutsch,ADJ
Heldenzeit,Heldenzeit,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erster,erst,ADJ
Teil,Teil,NOUN
Herr,Herr,NOUN
",",--,PUNCT
bleib,Bleib,ADV
bei,bei,ADP
uns,uns,PRON
!,--,PUNCT
Als,als,SCONJ
in,in,ADP
der,der,DET
ersten,erster,ADJ
Zeit,Zeit,NOUN
dieses,dieser,DET
Jahrhunderts,Jahrhundert,NOUN
unser,unser,DET
deutsches,deutsch,ADJ
Vaterland,Vaterland,NOUN
zerrissen,zerrissen,VERB
und,und,CCONJ
zertreten,zertreen,VERB
unter,unter,ADP
der,der,DET
Gewalt,Gewalt,NOUN
des,der,DET
Korsen,Kors,NOUN
lag,liegen,VERB
",",--,PUNCT
da,da,ADV
wird,werden,AUX
wohl,wohl,ADV
mancher,mancher,DET
Deutsche,deutsche,NOUN
gegen,gegen,ADP
Süden,Süden,NOUN
geblickt,blicken,VERB
haben,haben,AUX
",",--,PUNCT
wo,wo,SCONJ
in,in,ADP
der,der,DET
Vorzeit,Vorzeit,NOUN
die,der,DET
Helden,Held,NOUN
gestanden,gestehen,VERB
und,und,CCONJ
mit,mit,ADP
unvergänglichem,unvergänglich,ADJ
Ruhme,Ruhm,NOUN
bekränzt,bekränzen,VERB
gefallen,fallen,VERB
sind,sein,AUX
.,--,PUNCT
Vielleicht,vielleicht,ADV
auch,auch,ADV
du,du,PRON
",",--,PUNCT
mein,mein,DET
Leser,Leser,NOUN
",",--,PUNCT
würdest,würdest,VERB
als,als,ADP
Sohn,Sohn,NOUN
jener,jener,DET
Tage,Tag,NOUN
einer,ein,DET
von,von,ADP
denen,der,PRON
gewesen,sein,AUX
sein,sein,AUX
",",--,PUNCT
welche,welcher,PRON
ohnmächtigen,ohnmächtigen,NOUN
Grimmes,Grimme,NOUN
voll,voll,ADP
die,der,DET
geschändete,geschändet,ADJ
Scholle,Scholle,NOUN
der,der,DET
Heimat,Heimat,NOUN
verlassen,verlassen,VERB
haben,haben,AUX
",",--,PUNCT
flüchtend,flüchtend,ADV
unter,unter,ADP
die,der,DET
heldenreifende,heldenreifend,ADJ
Sonne,Sonne,NOUN
Homers,Homer,PROPN
.,--,PUNCT
Und,und,CCONJ
wenn,wenn,SCONJ
du,du,PRON
gewandert,wandern,VERB
wärest,wärest,ADV
gegen,gegen,ADP
die,der,DET
sonnigen,sonnig,ADJ
Lande,Land,NOUN
",",--,PUNCT
wo,wo,SCONJ
in,in,ADP
ewiger,ewig,ADJ
Schöne,Schöne,NOUN
die,der,DET
Rosen,Rose,NOUN
und,und,CCONJ
die,der,DET
Palmen,Palme,NOUN
stehen,stehen,VERB
",",--,PUNCT
so,so,ADV
hätte,haben,AUX
dich,dich,PRON
dein,dein,DET
Weg,Weg,NOUN
vorher,vorher,ADV
durch,durch,ADP
eine,ein,DET
Gegend,Gegend,NOUN
geführt,führen,VERB
",",--,PUNCT
in,in,ADP
welcher,welcher,PRON
dein,dein,DET
Herz,Herz,NOUN
entweder,entweder,CCONJ
geschauert,schauern,VERB
vor,vor,ADP
Grauen,Grauen,NOUN
oder,oder,CCONJ
gebebt,gebeben,VERB
vor,vor,ADP
Wonne,Wonne,NOUN
.,--,PUNCT
Du,du,PRON
