Token,Lemma,POS
Rainer,Rainer,PROPN
Maria,Maria,PROPN
Rilke,Rilke,PROPN
Erzählungen,Erzählung,NOUN
aus,aus,ADP
dem,der,DET
Nachlaß,Nachlaß,NOUN
Das,der,DET
Eine,einer,PRON
Die,der,DET
Kleine,Kleine,NOUN
war,sein,AUX
eingeschlafen,eingeschlafen,VERB
.,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Endlich,endlich,ADV
«,--,PUNCT
seufzte,seufzen,VERB
die,der,DET
junge,jung,ADJ
",",--,PUNCT
blasse,blaß,ADJ
Frau,Frau,NOUN
",",--,PUNCT
die,der,DET
zuseiten,Zuseit,NOUN
des,der,DET
garnvergitterten,garnvergitterten,ADJ
Kinderbettchens,Kinderbettchen,NOUN
saß,sitzen,VERB
.,--,PUNCT
Sie,sie,PRON
faltete,falten,VERB
die,der,DET
Hände,Hand,NOUN
überm,über,ADP
Knie,Knie,NOUN
und,und,CCONJ
schaute,schaut,ADJ
starr,starr,ADV
mit,mit,ADP
den,der,DET
großen,groß,ADJ
",",--,PUNCT
grauen,grau,ADJ
Augen,Auge,NOUN
ins,in,ADP
gelbe,gelb,ADJ
Lampenlicht,Lampenlicht,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ganz,ganz,ADV
still,still,ADV
in,in,ADP
der,der,DET
Stube,Stube,NOUN
.,--,PUNCT
–,--,PUNCT
Um,um,SCONJ
so,so,ADV
lauter,laut,ADV
tönten,Tönt,NOUN
des,der,DET
schlummernden,schlummernd,ADJ
Kindes,Kind,NOUN
regelmäßige,regelmäßig,ADJ
Athemzüge,Athemzug,NOUN
.,--,PUNCT
Einschläfernd,einschläfernd,ADV
–,--,PUNCT
dachte,denken,VERB
die,der,DET
Mutter,Mutter,NOUN
und,und,CCONJ
senkte,senken,VERB
für,für,ADP
einen,ein,DET
Augenblick,Augenblick,NOUN
die,der,DET
breiten,breit,ADJ
Lider,Lider,PROPN
.,--,PUNCT
Dann,dann,ADV
hob,heben,VERB
sie,sie,PRON
den,der,DET
Blick,Blick,NOUN
und,und,CCONJ
sah,sehen,VERB
im,in,ADP
Zimmer,Zimmer,NOUN
umher,umher,ADV
.,--,PUNCT
–,--,PUNCT
Es,es,PRON
war,sein,AUX
vornehm,vornehm,ADV
",",--,PUNCT
aber,aber,CCONJ
nicht,nicht,PART
wohnlich,wohnlich,ADV
",",--,PUNCT
die,der,DET
hohen,hoch,ADJ
Möbel,Möbel,NOUN
mit,mit,ADP
den,der,DET
massigen,massig,ADJ
Füßen,Fuß,NOUN
und,und,CCONJ
verzierten,verziert,ADJ
Platten,Platte,NOUN
schienen,scheinen,VERB
zu,zu,PART
neu,neu,ADV
",",--,PUNCT
die,der,DET
Fenstervorhänge,Fenstervorhänge,NOUN
zu,zu,PART
kostbar,kostbar,ADV
und,und,CCONJ
