Token,Lemma,POS
Richard,Richard,PROPN
Voß,Voß,PROPN
Die,der,DET
Auferstandenen,Auferstandene,NOUN
–,--,PUNCT
Erster,Erster,PROPN
Band,Band,NOUN
Noch,noch,ADV
immer,immer,ADV
war,sein,AUX
es,es,PRON
tiefer,tief,ADJ
Winter,Winter,NOUN
.,--,PUNCT
Die,der,DET
ungeheure,ungeheuer,ADJ
wilde,wild,ADJ
Steppe,Steppe,NOUN
lag,liegen,VERB
verschneit,Verschneit,NOUN
und,und,CCONJ
vereist,vereisen,VERB
mit,mit,ADP
erstarrten,erstarrt,ADJ
Lebensgeistern,Lebensgeister,NOUN
.,--,PUNCT
Nach,nach,ADP
allen,aller,DET
Richtungen,Richtung,NOUN
hin,hin,ADV
erstreckte,erstrecken,VERB
es,es,PRON
sich,sich,PRON
unabsehbar,unabsehbar,ADV
",",--,PUNCT
unendlich,unendlich,ADV
;,--,PUNCT
als,als,ADP
würde,werden,AUX
von,von,ADP
diesem,dieser,DET
Punkt,Punkt,NOUN
der,der,DET
Erde,Erde,NOUN
aus,aus,ADP
die,der,DET
ganze,ganz,ADJ
Welt,Welt,NOUN
mit,mit,ADP
Schnee,Schnee,NOUN
und,und,CCONJ
Eis,Eis,NOUN
überzogen,überzogen,VERB
.,--,PUNCT
Gewaltige,gewaltig,ADJ
graue,grau,ADJ
Dunstwände,Dunstwände,NOUN
hingen,hing,VERB
rings,Ring,NOUN
am,an,ADP
Horizont,Horizont,NOUN
vom,von,ADP
Himmel,Himmel,NOUN
herab,herab,ADV
wie,wie,ADP
die,der,DET
Gardinen,Gardin,NOUN
eines,ein,DET
Riesenamphitheaters,Riesenamphitheater,NOUN
.,--,PUNCT
Jeden,jeder,PRON
Augenblick,Augenblick,NOUN
konnte,können,AUX
der,der,DET
Vorhang,Vorhang,NOUN
aufgehen,aufgehen,VERB
und,und,CCONJ
das,der,DET
Trauerspiel,Trauerspiel,NOUN
»,--,PUNCT
Rußland,Rußland,PROPN
!,--,PUNCT
«,--,PUNCT
beginnen,beginnen,VERB
.,--,PUNCT
Das,der,DET
Personal,Personal,NOUN
zog,ziehen,VERB
bereits,bereits,ADV
auf,auf,ADP
.,--,PUNCT
Lange,lang,ADJ
Kolonnen,Kolonne,NOUN
gespenstiger,gespenstig,ADJ
Nebelgestalten,Nebelgestalt,NOUN
krochen,kriechen,VERB
über,über,ADP
die,der,DET
Bühne,Bühne,NOUN
;,--,PUNCT
ein,ein,DET
Chorus,Chorus,NOUN
von,von,ADP
Elenden,Elend,NOUN
",",--,PUNCT
die,der,PRON
lautlos,lautlos,ADV
litten,leiden,VERB
",",--,PUNCT
lautlos,lautlos,ADV
verzweifelten,verzweifelten,VERB
",",--,PUNCT
lautlos,lautlos,ADV
starben,sterben,VERB
.,--,PUNCT
Ihre,ihr,DET
toten,tot,ADJ
Leiber,Leiber,NOUN
bedeckten,bedecken,VERB
den,der,DET
Boden,Boden,NOUN
.,--,PUNCT
Dunkle,dunkl,ADJ
Dämpfe,Dampf,NOUN
entwickelten,entwickeln,VERB
sich,sich,PRON
",",--,PUNCT
als,als,SCONJ
qualme,qualme,NOUN
