Token,Lemma,POS
Richard,Richard,PROPN
Voß,Voß,PROPN
Die,der,DET
Sabinerin,Sabinerin,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
An,an,ADP
der,der,DET
Tibermündung,Tibermündung,NOUN
",",--,PUNCT
wo,wo,SCONJ
alles,aller,DET
Land,Land,NOUN
ringsum,ringsum,ADV
Sumpf,Sumpf,NOUN
und,und,CCONJ
Wildnis,Wildnis,NOUN
ist,sein,AUX
",",--,PUNCT
erhebt,erheben,VERB
sich,sich,PRON
unmittelbar,unmittelbar,ADV
hinter,hinter,ADP
den,der,DET
Dünen,Dün,NOUN
einer,ein,DET
jener,jener,DET
festen,fest,ADJ
Türme,Turm,NOUN
",",--,PUNCT
von,von,ADP
welchen,welcher,DET
im,in,ADP
Mittelalter,Mittelalter,NOUN
die,der,DET
ganze,ganz,ADJ
Meeresküste,Meeresküst,NOUN
besetzt,besetzen,VERB
war,sein,AUX
.,--,PUNCT
Die,der,DET
meisten,meister,PRON
dieser,dieser,DET
Schutz-,Schutz,X
und,und,CCONJ
Trutzbauten,Trutzbaute,NOUN
sind,sein,AUX
jetzt,jetzt,ADV
entweder,entweder,CCONJ
verfallen,verfallen,VERB
oder,oder,CCONJ
gänzlich,gänzlich,ADV
vom,von,ADP
Erdboden,Erdboden,NOUN
verschwunden,verschwinden,VERB
und,und,CCONJ
zerstört,zerstören,VERB
;,--,PUNCT
nur,nur,ADV
wenige,weniger,PRON
stehen,stehen,VERB
noch,noch,ADV
an,an,ADP
dem,der,DET
schönen,schön,ADJ
",",--,PUNCT
aber,aber,CCONJ
öden,öde,ADJ
Gestade,Gestade,NOUN
",",--,PUNCT
vergessenen,vergessen,ADJ
Wachtposten,Wachtpost,NOUN
gleich,gleich,ADV
",",--,PUNCT
inmitten,inmitten,ADP
von,von,ADP
Morästen,Moräst,NOUN
und,und,CCONJ
Buschwäldern,Buschwälder,NOUN
.,--,PUNCT
So,so,ADV
–,--,PUNCT
um,um,SCONJ
