Token,Lemma,POS
Richard,Richard,PROPN
Voß,Voß,PROPN
Felice,Felice,PROPN
Leste,Leste,PROPN
In,in,ADP
Frascati,Frascati,PROPN
lebte,leben,VERB
zu,zu,ADP
Anfang,Anfang,NOUN
dieses,dieser,DET
Jahrhunderts,Jahrhundert,NOUN
das,der,DET
Ehepaar,Ehepaar,NOUN
Leste,Leste,NOUN
",",--,PUNCT
arme,Arm,NOUN
Feldarbeiter,Feldarbeiter,NOUN
im,in,ADP
Dienste,Dienst,NOUN
des,der,DET
Sor,Sor,PROPN
Sebastiano,Sebastiano,PROPN
Loguenzi,Loguenzi,PROPN
.,--,PUNCT
Dieser,dieser,DET
Sor,Sor,PROPN
Sebastiano,Sebastiano,PROPN
Loguenzi,Loguenzi,PROPN
gehörte,gehören,VERB
zu,zu,ADP
den,der,DET
sogenannten,sogenannter,ADJ
Mercanti,Mercanti,NOUN
der,der,DET
Campagna,Campagna,PROPN
",",--,PUNCT
jener,jener,DET
berüchtigten,berüchtigt,ADJ
Genossenschaft,Genossenschaft,NOUN
von,von,ADP
Pächtern,Pächter,NOUN
des,der,DET
römischen,römisch,ADJ
Landes,Land,NOUN
",",--,PUNCT
welche,welcher,PRON
die,der,DET
ungeheuren,ungeheuer,ADJ
Strecken,Strecke,NOUN
entweder,entweder,CCONJ
von,von,ADP
den,der,DET
Aebten,Aebt,NOUN
oder,oder,CCONJ
den,der,DET
Fürsten,Fürst,NOUN
für,für,ADP
einen,ein,DET
ziemlich,ziemlich,ADV
ansehnlichen,ansehnlich,ADJ
Zins,Zins,NOUN
auf,auf,ADP
eine,ein,DET
Reihe,Reihe,NOUN
von,von,ADP
Jahren,Jahr,NOUN
mieten,mieten,VERB
und,und,CCONJ
nun,nun,ADV
die,der,DET
Kraft,Kraft,NOUN
des,der,DET
Bodens,Boden,NOUN
aussaugen,aussaugen,VERB
wie,wie,ADP
ein,ein,DET
Mörder,Mörder,NOUN
das,der,DET
Blut,Blut,NOUN
seines,sein,DET
Opfers,Opfer,NOUN
.,--,PUNCT
Sor,Sor,PROPN
Sebastiano,Sebastiano,PROPN
war,sein,AUX
jung,jung,ADV
",",--,PUNCT
unverheiratet,unverheiraten,VERB
und,und,CCONJ
so,so,ADV
beutegierig,beutegierig,ADV
wie,wie,ADP
der,der,DET
Gewissenloseste,Gewissenlosest,NOUN
seines,sein,DET
Gewerbes,Gewerbe,NOUN
.,--,PUNCT
Er,er,PRON
galt,gelten,VERB
außerdem,außerdem,ADV
für,für,ADP
einen,ein,DET
Wüstling,Wüstling,NOUN
",",--,PUNCT
ein,ein,DET
Nebencharakter,Nebencharakter,NOUN
",",--,PUNCT
zu,zu,ADP
dem,der,PRON
er,er,PRON
alle,aller,DET
nötigen,nötig,ADJ
innern,innern,NOUN
und,und,CCONJ
äußern,äußern,VERB
Eigenschaften,Eigenschaft,NOUN
mit,mit,ADP
auf,auf,ADP
die,der,DET
Welt,Welt,NOUN
gebracht,bringen,VERB
hatte,haben,AUX
.,--,PUNCT
Was,was,PRON
die,der,DET
letztern,Letzter,NOUN
",",--,PUNCT
die,der,DET
äußern,äußern,ADJ
