Token,Lemma,POS
Richard,Richard,PROPN
Voß,Voß,PROPN
Villa,Villa,NOUN
Falconieri,Falconieri,PROPN
Die,der,DET
Geschichte,Geschichte,NOUN
einer,ein,DET
Leidenschaft,Leidenschaft,NOUN
...,--,PUNCT
Es,es,PRON
gibt,geben,VERB
glühende,glühend,ADJ
Seelen,Seele,NOUN
",",--,PUNCT
psychisch,psychisch,ADV
und,und,CCONJ
sinnlich,sinnlich,ADV
gleich,gleich,ADV
heiße,heiß,ADJ
Naturen,Natur,NOUN
",",--,PUNCT
die,der,PRON
ihren,ihr,DET
ganzen,ganz,ADJ
Einsatz,Einsatz,NOUN
immer,immer,ADV
in,in,ADP
der,der,DET
Hand,Hand,NOUN
tragen,tragen,VERB
",",--,PUNCT
die,der,PRON
ganz,ganz,ADV
gegenwärtig,gegenwärtig,ADV
sind,sein,AUX
in,in,ADP
dem,der,PRON
",",--,PUNCT
was,wer,PRON
sie,sie,PRON
empfinden,empfinden,VERB
und,und,CCONJ
wollen,wollen,AUX
.,--,PUNCT
Ihr,ihr,DET
Weg,Weg,NOUN
ist,sein,AUX
bedeckt,bedeckt,ADV
mit,mit,ADP
Stücken,Stück,NOUN
ihres,ihr,DET
Lebens,leben,NOUN
",",--,PUNCT
die,der,PRON
tot,tot,ADV
abfallen,abfallen,VERB
;,--,PUNCT
und,und,CCONJ
jeder,jeder,DET
Schlag,Schlag,NOUN
",",--,PUNCT
der,der,PRON
sie,sie,PRON
trifft,treffen,VERB
",",--,PUNCT
trifft,treffen,VERB
sie,sie,PRON
in,in,ADP
den,der,DET
Herzpunkt,Herzpunkt,NOUN
.,--,PUNCT
J.,J.,PROPN
Marholm,Marholm,PROPN
.,--,PUNCT
George,George,PROPN
Sand,Sand,PROPN
besang,besingen,VERB
das,der,DET
leuchtende,leuchtend,ADJ
Haus,Haus,NOUN
auf,auf,ADP
den,der,DET
immergrünen,immergrün,ADJ
Abhängen,Abhänge,NOUN
des,der,DET
Albanergebirges,Albanergebirg,NOUN
",",--,PUNCT
hoch,hoch,ADV
über,über,ADP
dem,der,DET
wonnigen,wonnig,ADJ
Frascati,Frascati,PROPN
und,und,CCONJ
der,der,DET
feierlichen,feierlich,ADJ
Campagna,Campagna,PROPN
Roms,Rom,PROPN
;,--,PUNCT
und,und,CCONJ
Paul,Paul,PROPN
Heyse,Heyse,PROPN
dichtete,dichten,VERB
seine,sein,DET
vielbewunderte,vielbewundert,ADJ
»,--,PUNCT
Villa,Villa,NOUN
Falconieri,Falconieri,PROPN
«,--,PUNCT
.,--,PUNCT
Der,der,DET
Herausgeber,Herausgeber,NOUN
dieser,dieser,DET
Blätter,Blatt,NOUN
verträumte,verträumen,VERB
ein,ein,DET
halbes,halb,ADJ
Menschenleben,Menschenleben,NOUN
in,in,ADP
Borrominis,Borrominis,NOUN
köstlichem,köstlich,ADJ
Sommerpalast,Sommerpalast,NOUN
.,--,PUNCT
Das,der,DET
pathologische,pathologisch,ADJ
Lebens-,Leben,X
und,und,CCONJ
Liebesdrama,Liebesdrama,NOUN
",",--,PUNCT
welches,welcher,PRON
daselbst,daselbst,ADV
mit,mit,ADP
