Token,Lemma,POS
Rudolf,Rudolf,PROPN
Lindau,Lindau,PROPN
Liquidiert,Liquidiert,VERB
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I,I,NUM
Die,der,DET
Freundschaft,Freundschaft,NOUN
",",--,PUNCT
welche,welcher,DET
Wilson,Wilson,NOUN
und,und,CCONJ
Irwing,Irwing,PROPN
verband,verbinden,VERB
",",--,PUNCT
hatte,haben,AUX
einen,ein,DET
guten,gut,ADJ
",",--,PUNCT
triftigen,triftig,ADJ
Grund,Grund,NOUN
:,--,PUNCT
–,--,PUNCT
die,der,DET
beiden,beide,PRON
hatten,haben,AUX
sich,sich,PRON
gegenseitig,gegenseitig,ADV
das,der,DET
Leben,Leben,NOUN
gerettet,retten,VERB
.,--,PUNCT
Dies,dieser,PRON
war,sein,AUX
folgendermaßen,folgendermaßen,ADV
zugegangen,zugehen,VERB
.,--,PUNCT
Im,in,ADP
Jahre,Jahr,NOUN
1860,1860,NUM
waren,sein,AUX
die,der,DET
Changmaos,Changmao,NOUN
",",--,PUNCT
die,der,PRON
»,--,PUNCT
langhaarigen,langhaarig,ADJ
«,--,PUNCT
chinesischen,chinesisch,ADJ
Rebellen,Rebell,NOUN
",",--,PUNCT
unter,unter,ADP
Führung,Führung,NOUN
ihres,ihr,DET
»,--,PUNCT
himmlischen,himmlisch,ADJ
Königs,König,NOUN
«,--,PUNCT
Taï-ping-wang,Taï-ping-wang,NUM
",",--,PUNCT
des,der,DET
»,--,PUNCT
Herrschers,Herrscher,NOUN
der,der,DET
allgemeinen,allgemein,ADJ
Glückseligkeit,Glückseligkeit,NOUN
«,--,PUNCT
",",--,PUNCT
von,von,ADP
der,der,DET
Südprovinz,Südprovinz,NOUN
Kwangsi,Kwangsi,PROPN
bis,bis,ADP
hoch,hoch,ADV
nach,nach,ADP
Norden,Norden,NOUN
vorgedrungen,vordringen,VERB
.,--,PUNCT
Sie,sie,PRON
hatten,haben,AUX
Nanking,Nanking,PROPN
",",--,PUNCT
die,der,DET
alte,alt,ADJ
Hauptstadt,Hauptstadt,NOUN
",",--,PUNCT
Hang-tschau,Hang-tschau,PROPN
",",--,PUNCT
»,--,PUNCT
das,der,PRON
Paradies,Paradies,NOUN
auf,auf,ADP
Erden,Erde,NOUN
«,--,PUNCT
",",--,PUNCT
Su-tschau,Su-tschau,NOUN
",",--,PUNCT
die,der,DET
zweitreichste,zweitreichst,ADJ
und,und,CCONJ
größte,groß,ADJ
Stadt,Stadt,NOUN
Chinas,China,PROPN
",",--,PUNCT
erobert,erobern,VERB
und,und,CCONJ
zerstört,zerstören,VERB
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
bedrohten,bedroht,ADJ
Peking,Peking,PROPN
.,--,PUNCT
–,--,PUNCT
Hang-tschau,Hang-tschau,NOUN
war,sein,AUX
",",--,PUNCT
nachdem,nachdem,SCONJ
die,der,DET
Changmaos,Changmaos,NOUN
dort,dort,ADV
ein,ein,DET
furchtbares,furchtbar,ADJ
Blutbad,Blutbad,NOUN
angerichtet,anrichten,VERB
",",--,PUNCT
von,von,ADP
den,der,DET
Kaiserlichen,Kaiserlichen,NOUN
wieder,wieder,ADV
genommen,nehmen,VERB
worden,werden,AUX
;,--,PUNCT
aber,aber,CCONJ
Su-tschau,Su-tschau,NOUN
",",--,PUNCT
die,der,DET
Hauptstadt,Hauptstadt,NOUN
der,der,DET
Seidenprovinz,Seidenprovinz,NOUN
Kiang-su,Kiang-su,VERB
",",--,PUNCT
war,sein,AUX
in,in,ADP
den,der,DET
Händen,Hand,NOUN
der,der,DET
Rebellen,Rebell,NOUN
geblieben,bleiben,VERB
.,--,PUNCT
Die,der,DET
europäischen,europäisch,ADJ
und,und,CCONJ
amerikanischen,amerikanisch,ADJ
Kaufleute,Kaufleute,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
seit,seit,ADP
1844,1844,NUM
in,in,ADP
der,der,DET
Hafenstadt,Hafenstadt,NOUN
Schanghai,Schanghai,PROPN
niedergelassen,niederlassen,VERB
hatten,haben,AUX
",",--,PUNCT
und,und,CCONJ
die,der,PRON
von,von,ADP
dort,dort,ADV
aus,aus,ADP
einen,ein,DET
ergiebigen,ergiebig,DET
Handel,Handel,NOUN
mit,mit,ADP
den,der,DET
Chinesen,Chinese,NOUN
betrieben,betreiben,VERB
",",--,PUNCT
waren,sein,AUX
in,in,ADP
großen,groß,ADJ
Ängsten,Ängst,NOUN
.,--,PUNCT
Für,für,ADP
ihr,ihr,DET
Leben,Leben,NOUN
und,und,CCONJ
ihren,ihr,DET
Reichtum,Reichtum,NOUN
fürchteten,fürchten,VERB
sie,sie,PRON
nicht,nicht,PART
.,--,PUNCT
Es,es,PRON
waren,sein,AUX
ihrer,ihrer,DET
zwar,zwar,ADV
nur,nur,ADV
wenige,weniger,PRON
Hundert,hundert,NUM
",",--,PUNCT
aber,aber,CCONJ
sie,sie,PRON
hatten,haben,AUX
sich,sich,PRON
in,in,ADP
der,der,DET
»,--,PUNCT
fremden,fremd,ADJ
Niederlassung,Niederlassung,NOUN
«,--,PUNCT
verbarrikadiert,verbarrikadieren,VERB
",",--,PUNCT
sie,sie,PRON
waren,sein,AUX
gut,gut,ADV
bewaffnet,bewaffnet,VERB
",",--,PUNCT
sie,sie,PRON
konnten,können,AUX
auf,auf,ADP
die,der,DET
Unterstützung,Unterstützung,NOUN
einiger,einiger,DET
englischer,englisch,ADV
und,und,CCONJ
französischer,französisch,ADJ
Kanonenboote,Kanonenboot,NOUN
rechnen,rechnen,VERB
",",--,PUNCT
die,der,PRON
in,in,ADP
Wusung,Wusung,NOUN
vor,vor,ADP
Anker,Anker,NOUN
lagen,liegen,VERB
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
verachteten,verachteen,VERB
die,der,DET
Chinesen,Chinese,NOUN
",",--,PUNCT
als,als,ADP
Soldaten,Soldat,NOUN
",",--,PUNCT
so,so,ADV
gründlich,gründlich,ADV
",",--,PUNCT
daß,daß,SCONJ
ihnen,ihnen,PRON
eine,ein,DET
Armee,Armee,NOUN
",",--,PUNCT
wo,wo,SCONJ
sie,sie,PRON
einer,ein,DET
gegen,gegen,ADP
zehn,zehn,NUM
zu,zu,PART
kämpfen,kämpfen,VERB
gehabt,haben,VERB
haben,haben,AUX
würden,werden,AUX
",",--,PUNCT
keine,kein,DET
Furcht,Furcht,NOUN
eingeflößt,einflößen,VERB
hätte,haben,AUX
.,--,PUNCT
Dazu,dazu,ADV
kam,kommen,VERB
",",--,PUNCT
daß,daß,SCONJ
verschiedene,verschieden,ADJ
»,--,PUNCT
Taïpingkönige,Taïpingkönig,NOUN
«,--,PUNCT
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
selbst,selbst,ADV
sich,sich,PRON
nannten,nennen,VERB
",",--,PUNCT
–,--,PUNCT
Rebellen-Häuptlinge,Rebellen-Häuptlinge,NOUN
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
sie,sie,PRON
in,in,ADP
Schanghai,Schanghai,PROPN
bezeichnete,bezeichnen,VERB
",",--,PUNCT
jede,jeder,DET
Gelegenheit,Gelegenheit,NOUN
wahrgenommen,wahrnehmen,VERB
hatten,haben,AUX
",",--,PUNCT
um,um,SCONJ
freundliche,freundlich,ADJ
Beziehungen,Beziehung,NOUN
mit,mit,ADP
den,der,DET
Fremden,fremde,NOUN
herzustellen,herstellen,VERB
.,--,PUNCT
Diese,dieser,PRON
durften,dürfen,AUX
deshalb,deshalb,ADV
annehmen,annehmen,VERB
",",--,PUNCT
daß,daß,SCONJ
",",--,PUNCT
für,für,ADP
den,der,DET
Fall,Fall,NOUN
die,der,DET
Changmaos,Changmao,NOUN
bis,bis,ADP
nach,nach,ADP
Schanghai,Schanghai,PROPN
kommen,kommen,VERB
sollten,sollen,AUX
",",--,PUNCT
Leben,Leben,NOUN
und,und,CCONJ
Eigentum,Eigentum,NOUN
der,der,DET
Europäer,Europäer,NOUN
und,und,CCONJ
Amerikaner,Amerikaner,NOUN
dennoch,dennoch,ADV
nicht,nicht,PART
gefährdet,gefährden,VERB
sein,sein,AUX
würden,werden,AUX
.,--,PUNCT
–,--,PUNCT
Was,was,PRON
die,der,DET
Kaufleute,Kaufleute,NOUN
verdroß,verdroß,ADV
",",--,PUNCT
war,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
sich,sich,PRON
die,der,DET
Rebellenarmeen,Rebellenarmee,NOUN
nach,nach,ADP
der,der,DET
Einnahme,Einnahme,NOUN
von,von,ADP
Su-tschau,Su-tschau,NOUN
und,und,CCONJ
Sung-kiang,Sung-kiang,PROPN
zwischen,zwischen,ADP
Schanghai,Schanghai,PROPN
und,und,CCONJ
die,der,DET
Seidendistrikte,Seidendistrikt,NOUN
geschoben,schieben,VERB
hatten,haben,AUX
",",--,PUNCT
und,und,CCONJ
daß,daß,SCONJ
die,der,DET
chinesischen,chinesisch,ADJ
Seidenverkäufer,Seidenverkäufer,PROPN
",",--,PUNCT
die,der,PRON
gleichzeitig,gleichzeitig,ADV
die,der,DET
Hauptkäufer,Hauptkäufer,NOUN
von,von,ADP
indischem,indisch,ADJ
Opium,Opium,NOUN
und,und,CCONJ
englischen,englisch,ADJ
Manufakturen,Manufaktur,NOUN
waren,sein,AUX
",",--,PUNCT
sich,sich,PRON
nun,nun,ADV
nicht,nicht,PART
mehr,mehr,ADV
nach,nach,ADP
Schanghai,Schanghai,PROPN
wagten,wagen,VERB
",",--,PUNCT
aus,aus,ADP
Furcht,Furcht,NOUN
",",--,PUNCT
unterwegs,unterwegs,ADV
ausgeplündert,ausplündern,VERB
oder,oder,CCONJ
ermordet,ermorden,VERB
zu,zu,PART
werden,werden,AUX
.,--,PUNCT
Der,der,DET
Handel,Handel,NOUN
",",--,PUNCT
der,der,PRON
viele,viele,PRON
von,von,ADP
den,der,DET
Fremden,fremde,NOUN
bereits,bereits,ADV
reich,reich,ADV
gemacht,machen,VERB
hatte,haben,AUX
und,und,CCONJ
sämtliche,sämtlicher,DET
Neuangekommene,Neuangekommene,NOUN
in,in,ADP
wenigen,weniger,DET
Jahren,Jahr,NOUN
reich,reich,ADV
machen,machen,VERB
sollte,sollen,AUX
",",--,PUNCT
drohte,drohen,VERB
vollständig,vollständig,ADV
in,in,ADP
Stocken,Stocken,NOUN
zu,zu,PART
geraten,geraten,VERB
.,--,PUNCT
Diese,dieser,DET
Befürchtungen,Befürchtung,NOUN
waren,sein,AUX
jedoch,jedoch,ADV
nur,nur,ADV
von,von,ADP
kurzer,kurz,ADJ
Dauer,Dauer,NOUN
.,--,PUNCT
Unter,unter,ADP
den,der,DET
Einwohnern,Einwohner,NOUN
von,von,ADP
Schanghai,Schanghai,PROPN
fanden,finden,VERB
sich,sich,PRON
bald,bald,ADV
einige,einiger,DET
verwegene,verwegen,ADJ
Abenteurer,Abenteurer,NOUN
",",--,PUNCT
die,der,PRON
es,es,PRON
gegen,gegen,ADP
gute,gut,ADJ
Bezahlung,Bezahlung,NOUN
übernahmen,übernehmen,VERB
",",--,PUNCT
die,der,DET
unterbrochene,unterbrochen,ADJ
Verbindung,Verbindung,NOUN
zwischen,zwischen,ADP
der,der,DET
Hafenstadt,Hafenstadt,NOUN
und,und,CCONJ
den,der,DET
Seidendistrikten,Seidendistrikt,NOUN
wieder,wieder,ADV
herzustellen,herstellen,VERB
.,--,PUNCT
Sie,sie,PRON
wußten,wissen,VERB
sich,sich,PRON
von,von,ADP
dem,der,DET
»,--,PUNCT
Himmlischen,Himmlischen,NOUN
Könige,König,NOUN
«,--,PUNCT
Geleitschreiben,Geleitschreibe,NOUN
und,und,CCONJ
Pässe,Paß,NOUN
zu,zu,PART
verschaffen,verschaffen,VERB
",",--,PUNCT
und,und,CCONJ
mit,mit,ADP
diesen,dieser,DET
Papieren,Papier,NOUN
und,und,CCONJ
ihrem,ihr,DET
waghalsigen,waghalsig,ADJ
Mute,Mute,NOUN
zogen,ziehen,VERB
sie,sie,PRON
vereinzelt,vereinzelt,ADV
oder,oder,CCONJ
in,in,ADP
Gruppen,Gruppe,NOUN
von,von,ADP
dreien,Drei,NOUN
oder,oder,CCONJ
vieren,vieren,VERB
",",--,PUNCT
in,in,ADP
kleinen,klein,ADJ
Booten,Boot,NOUN
",",--,PUNCT
hunderte,Hundert,NOUN
von,von,ADP
Meilen,Meile,NOUN
weit,weit,ADV
