Token,Lemma,POS
Rudolph,Rudolph,PROPN
Stratz,Stratz,PROPN
Unter,unter,ADP
den,der,DET
Linden,Linden,PROPN
Berliner,Berliner,ADJ
Zeitroman,Zeitroman,NOUN
aus,aus,ADP
den,der,DET
neunziger,neunziger,ADJ
Jahren,Jahr,NOUN
1907,1907,NUM
I.,I.,NOUN
Renntag,Renntag,NOUN
in,in,ADP
Charlottenburg,Charlottenburg,PROPN
!,--,PUNCT
...,--,PUNCT
Die,der,DET
blauen,blau,ADJ
Fähnchen,Fähnchen,NOUN
wehen,wehen,VERB
von,von,ADP
den,der,DET
Cigarren-,Cigarre,X
und,und,CCONJ
Friseurläden,Friseurläde,NOUN
",",--,PUNCT
wo,wo,SCONJ
man,man,PRON
die,der,DET
Tribünenplätze,Tribünenplätz,NOUN
verkauft,verkaufen,VERB
",",--,PUNCT
an,an,ADP
den,der,DET
Litfaß-Säulen,Litfaß-Säule,NOUN
prangen,prangen,VERB
die,der,DET
großen,groß,ADJ
blauen,blau,ADJ
Plakate,Plakat,NOUN
des,der,DET
Vereins,Verein,NOUN
für,für,ADP
Hindernis-Rennen,Hindernis-Rennen,NOUN
",",--,PUNCT
›Unter,›Unter,NOUN
den,der,DET
Linden‹,Linden‹,NOUN
und,und,CCONJ
auf,auf,ADP
der,der,DET
Friedrichstraße,Friedrichstraße,PROPN
halten,halten,VERB
die,der,DET
herumziehenden,herumziehend,ADJ
Händler,Händler,NOUN
die,der,DET
neueste,neu,ADJ
Nummer,Nummer,NOUN
der,der,DET
»,--,PUNCT
Sportwelt,Sportwelt,X
«,--,PUNCT
feil,feil,ADV
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
noch,noch,ADV
früh,früh,ADV
.,--,PUNCT
Um,um,ADP
zwölf,zwölf,NUM
Uhr,Uhr,NOUN
fangen,fangen,VERB
erst,erst,ADV
die,der,DET
Rennen,rennen,NOUN
an,an,ADP
.,--,PUNCT
Aber,aber,CCONJ
Berlin,Berlin,PROPN
W,--,PROPN
beginnt,beginnen,VERB
sich,sich,PRON
bereits,bereits,ADV
zu,zu,PART
regen,regen,VERB
.,--,PUNCT
Schon,schon,ADV
rollen,rollen,VERB
vereinzelte,vereinzelt,ADJ
Droschken,Droschk,NOUN
die,der,DET
Charlottenburger,Charlottenburger,NOUN
Chaussee,Chaussee,PROPN
entlang,entlang,ADP
und,und,CCONJ
befördern,befördern,ADJ
Herren,Herr,NOUN
in,in,ADP
grauen,grau,ADJ
Hüten,Hüt,NOUN
und,und,CCONJ
gelben,gelb,ADJ
Paletots,Paletot,NOUN
hinaus,hinaus,ADP
nach,nach,ADP
Westend,Westend,PROPN
.,--,PUNCT
In,in,ADP
immer,immer,ADV
kürzeren,kurz,ADJ
Abständen,Abstand,NOUN
rollen,rollen,VERB
die,der,DET
mächtigen,mächtig,ADJ
Wagen,Wagen,NOUN
der,der,DET
Pferdebahn,Pferdebahn,NOUN
und,und,CCONJ
immer,immer,ADV
dichter,dicht,ADV
wird,werden,AUX
das,der,DET
Gedränge,Gedränge,NOUN
auf,auf,ADP
ihrem,ihr,DET
leinwandüberspannten,leinwandüberspannt,NOUN
Deck,Deck,PROPN
.,--,PUNCT
Die,der,DET
Stadtbahnzüge,Stadtbahnzug,NOUN
füllen,füllen,VERB
sich,sich,PRON
mehr,mehr,ADV
und,und,CCONJ
mehr,mehr,ADV
.,--,PUNCT
Die,der,DET
schwarze,schwarz,ADJ
Menschenwoge,Menschenwoge,NOUN
",",--,PUNCT
die,der,DET
alle,aller,DET
paar,paar,DET
Minuten,Minute,NOUN
aus,aus,ADP
dem,der,DET
Westend-Bahnhof,Westend-Bahnhof,NOUN
herausquillt,herausquillt,VERB
",",--,PUNCT
wächst,wachsen,VERB
mit,mit,ADP
jedem,jeder,PRON
neuen,neu,ADJ
