Token,Lemma,POS
Sir,Sir,NOUN
John,John,PROPN
Retcliffe,Retcliffe,PROPN
Magenta,Magenta,NOUN
und,und,CCONJ
Solferino,Solferino,PROPN
Historisch,historisch,ADV
politischer,politisch,ADJ
Roman,Roman,NOUN
aus,aus,ADP
der,der,DET
Gegenwart,Gegenwart,NOUN
1865,1865,NUM
Vorsatzblatt,Vorsatzblatt,ADV
Dritter,dritter,ADJ
Band,Band,NOUN
Zweiter,zweiter,ADJ
Abschnitt,Abschnitt,NOUN
.,--,PUNCT
Frei,frei,ADV
bis,bis,ADP
zur,zu,ADP
Adria,Adria,PROPN
!,--,PUNCT
1865.,1865.,PUNCT
Im,in,ADP
Schweizer-Saal,Schweizer-Saal,NOUN
!,--,PUNCT
Es,es,PRON
war,sein,AUX
Neujahr,Neujahr,NOUN
–,--,PUNCT
der,der,DET
Abend,Abend,NOUN
des,der,DET
Tages,Tag,NOUN
",",--,PUNCT
mit,mit,ADP
dem,der,PRON
das,der,DET
alte,alt,ADJ
Jahr,Jahr,NOUN
1858,1858,NUM
seinem,sein,DET
Nachfolger,Nachfolger,NOUN
1859,1859,NUM
den,der,DET
Platz,Platz,NOUN
in,in,ADP
der,der,DET
Weltgeschichte,Weltgeschichte,NOUN
und,und,CCONJ
im,in,ADP
Leben,Leben,NOUN
der,der,DET
einzelnen,einzeln,ADJ
Menschen,Mensch,NOUN
räumte,räumen,VERB
",",--,PUNCT
deren,der,DET
Leiden,leiden,NOUN
",",--,PUNCT
Thaten,Thate,NOUN
und,und,CCONJ
Leidenschaften,Leidenschaft,NOUN
eben,eben,ADV
die,der,DET
Geschichte,Geschichte,NOUN
des,der,DET
Ganzen,ganze,NOUN
zusammen,zusammen,ADV
bauen,bauen,VERB
.,--,PUNCT
Der,der,DET
kranke,krank,ADJ
König,König,NOUN
von,von,ADP
Preußen,Preußen,PROPN
",",--,PUNCT
Friedrich,Friedrich,PROPN
Wilhelm,Wilhelm,PROPN
IV.,IV.,PROPN
",",--,PUNCT
verweilte,verweiln,VERB
mit,mit,ADP
seiner,sein,DET
Gemahlin,Gemahlin,NOUN
",",--,PUNCT
dieser,dieser,DET
erhabenen,erhaben,ADJ
Frau,Frau,NOUN
des,der,DET
Duldens,Dulden,NOUN
und,und,CCONJ
der,der,DET
Liebe,Liebe,NOUN
",",--,PUNCT
ähnlich,ähnlich,ADV
der,der,DET
unvergeßlichen,unvergeßlich,ADJ
Luise,Luis,NOUN
",",--,PUNCT
im,in,ADP
Palast,Palast,NOUN
Caffarelli,Caffarelli,PROPN
am,an,ADP
Forum,Forum,NOUN
von,von,ADP
Rom,Rom,PROPN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
das,der,DET
Herz,Herz,NOUN
durchschneidend,durchschneidend,ADV
gewesen,sein,AUX
",",--,PUNCT
als,als,SCONJ
der,der,DET
König,König,NOUN
",",--,PUNCT
das,der,DET
Opfer,Opfer,NOUN
seiner,sein,DET
Treue,Treue,NOUN
für,für,ADP
den,der,DET
vorangegangenen,vorangegangen,ADJ
Schwager,Schwager,NOUN
",",--,PUNCT
von,von,ADP
seinem,sein,DET
Volke,Volke,NOUN
schied,scheiden,VERB
",",--,PUNCT
um,um,SCONJ
schon,schon,ADV
damals,damals,ADV
fast,fast,ADV
willenlos,willenlos,ADV
nach,nach,ADP
dem,der,DET
Süden,Süden,NOUN
geführt,führen,VERB
zu,zu,PART
werden,werden,AUX
",",--,PUNCT
nicht,nicht,PART
Heilung,Heilung,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
nur,nur,ADV
Linderung,Linderung,NOUN
seines,sein,DET
Zustandes,Zustand,NOUN
erhoffend,erhoffend,ADV
",",--,PUNCT
–,--,PUNCT
von,von,ADP
seinem,sein,DET
Volke,Volke,NOUN
",",--,PUNCT
für,für,ADP
das,der,PRON
er,er,PRON
so,so,ADV
viel,viel,PRON
gethan,Gethan,PROPN
",",--,PUNCT
und,und,CCONJ
das,der,PRON
seinem,sein,DET
willigen,willig,ADJ
Herzen,Herz,NOUN
mit,mit,ADP
so,so,ADV
traurigen,traurig,ADJ
Erfahrungen,Erfahrung,NOUN
gelohnt,lohnen,VERB
hatte,haben,AUX
.,--,PUNCT
Sein,sein,DET
größter,groß,ADJ
",",--,PUNCT
fast,fast,ADV
sein,sein,DET
einziger,einzig,ADJ
Fehler,Fehler,NOUN
war,sein,AUX
ja,ja,ADV
doch,doch,ADV
nur,nur,ADV
seine,sein,DET
Güte,Güte,NOUN
und,und,CCONJ
Liebe,Liebe,NOUN
!,--,PUNCT
Wir,wir,PRON
