Token,Lemma,POS
Gerettet,Gerettet,PROPN
aus,aus,ADP
Sibirien,Sibirien,PROPN
.,--,PUNCT
Erlebnisse,Erlebnis,NOUN
und,und,CCONJ
Abenteuer,Abenteuer,NOUN
einer,einer,PRON
verbannten,verbannt,ADJ
deutschen,deutsch,ADJ
Familie,Familie,NOUN
.,--,PUNCT
Auf,auf,ADP
Grund,Grund,NOUN
einer,ein,DET
Erzählung,Erzählung,NOUN
von,von,ADP
Améro,Améro,PROPN
und,und,CCONJ
Tissot,Tissot,PROPN
Les,Les,PROPN
fugitifs,fugitifs,X
en,en,PROPN
Sibérie,Sibérie,PROPN
",",--,PUNCT
par,par,PROPN
Victor,Victor,PROPN
Tissot,Tissot,PROPN
et,et,PROPN
Améro,Améro,PROPN
.,--,PUNCT
für,für,ADP
die,der,DET
reifere,reif,ADJ
deutsche,deutsch,ADJ
Jugend,Jugend,NOUN
bearbeitet,bearbeiten,VERB
von,von,ADP
S.,S.,NOUN
Wörishöffer,Wörishöffer,PROPN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Dritte,dritter,ADJ
Auflage,Auflage,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Leipzig,Leipzig,PROPN
",",--,PUNCT
Ferdinand,Ferdinand,PROPN
Hirt,Hirt,PROPN
&,&,CCONJ
Sohn,Sohn,NOUN
1890.,1890.,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Vorrede,Vorred,NOUN
.,--,PUNCT
In,in,ADP
einem,ein,DET
französischen,französisch,ADJ
Werke,Werk,NOUN
finde,finden,VERB
ich,ich,PRON
die,der,DET
Schilderungen,Schilderung,NOUN
desjenigen,desjenigen,VERB
entsetzlichen,entsetzlich,ADJ
Elends,Elend,NOUN
",",--,PUNCT
welches,welcher,PRON
solche,solcher,DET
Unglückliche,Unglückliche,NOUN
erleiden,erleiden,VERB
",",--,PUNCT
die,der,PRON
von,von,ADP
der,der,DET
russischen,russisch,ADJ
Regierung,Regierung,NOUN
nach,nach,ADP
Sibirien,Sibirien,PROPN
verbannt,verbannen,VERB
werden,werden,AUX
.,--,PUNCT
Ich,ich,PRON
biete,bieten,VERB
sie,sie,PRON
Euch,euch,PRON
",",--,PUNCT
meine,meinen,DET
jungen,jung,ADJ
Leser,Leser,NOUN
",",--,PUNCT
im,in,ADP
Gewande,Gewand,NOUN
einer,ein,DET
Erzählung,Erzählung,NOUN
",",--,PUNCT
nicht,nicht,PART
allein,allein,ADV
",",--,PUNCT
um,um,SCONJ
Eure,euer,DET
Mußestunden,Mußestunde,NOUN
auszufüllen,ausfüllen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
hauptsächlich,hauptsächlich,ADV
