Token,Lemma,POS
Theodor,Theodor,PROPN
Fontane,Fontane,PROPN
Cécile,Cécile,PROPN
Roman,Roman,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
»,--,PUNCT
Thale,Thal,NOUN
.,--,PUNCT
Zweiter,zweiter,NOUN
...,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Letzter,Letzter,ADJ
Wagen,Wagen,NOUN
",",--,PUNCT
mein,mein,DET
Herr,Herr,NOUN
.,--,PUNCT
«,--,PUNCT
Der,der,DET
ältere,alt,ADJ
Herr,Herr,NOUN
",",--,PUNCT
ein,ein,DET
starker,stark,ADJ
Fünfziger,Fünfziger,NOUN
",",--,PUNCT
an,an,ADP
den,der,PRON
sich,sich,PRON
dieser,dieser,DET
Bescheid,Bescheid,NOUN
gerichtet,richten,VERB
hatte,haben,AUX
",",--,PUNCT
reichte,reichen,VERB
seiner,sein,DET
Dame,Dame,NOUN
den,der,DET
Arm,Arm,NOUN
und,und,CCONJ
ging,gehen,VERB
in,in,ADP
langsamem,langsam,ADJ
Tempo,Tempo,NOUN
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
eine,ein,PRON
Rekonvaleszentin,Rekonvaleszentin,NOUN
führt,führen,VERB
",",--,PUNCT
bis,bis,SCONJ
an,an,ADP
das,der,DET
Ende,Ende,NOUN
des,der,DET
Zuges,Zug,NOUN
.,--,PUNCT
Richtig,richtig,ADV
",",--,PUNCT
»,--,PUNCT
Nach,nach,ADP
Thale,Thal,NOUN
«,--,PUNCT
stand,stehen,VERB
hier,hier,ADV
auf,auf,ADP
einer,ein,DET
ausgehängten,ausgehängt,ADJ
Tafel,Tafel,NOUN
.,--,PUNCT
Es,es,PRON
war,sein,AUX
einer,einer,PRON
von,von,ADP
den,der,DET
neuen,neu,ADJ
Waggons,Waggon,NOUN
mit,mit,ADP
Treppenaufgang,Treppenaufgang,NOUN
",",--,PUNCT
und,und,CCONJ
der,der,PRON
mit,mit,ADP
besonderer,Besonderer,ADJ
Adrettheit,Adrettheit,NOUN
gekleidete,gekleidet,ADJ
Herr,Herr,NOUN
:,--,PUNCT
blauer,blau,ADJ
Überrock,Überrock,NOUN
",",--,PUNCT
helles,hell,ADJ
Beinkleid,Beinkleid,NOUN
und,und,CCONJ
Korallentuchnadel,Korallentuchnadel,NOUN
",",--,PUNCT
wandte,wenden,VERB
sich,sich,PRON
",",--,PUNCT
als,als,SCONJ
er,er,PRON
das,der,DET
Waggontreppchen,waggontreppchen,NOUN
hinauf,hinauf,ADV
war,sein,AUX
",",--,PUNCT
wieder,wieder,ADV
um,um,ADP
",",--,PUNCT
um,um,SCONJ
seiner,sein,DET
Dame,Dame,NOUN
beim,bei,ADP
Einsteigen,Einsteigen,NOUN
behülflich,behülflich,ADV
zu,zu,PART
sein,sein,AUX
.,--,PUNCT
Die,der,DET
Compartiments,Compartiment,NOUN
waren,sein,AUX
noch,noch,ADV
leer,leer,ADV
",",--,PUNCT
und,und,CCONJ
so,so,ADV
hatte,haben,AUX
man,man,PRON
denn,denn,ADV
die,der,DET
Wahl,Wahl,NOUN
",",--,PUNCT
aber,aber,CCONJ
freilich,freilich,ADV
auch,auch,ADV
die,der,DET
Qual,Qual,PROPN
",",--,PUNCT
und,und,CCONJ
mehr,mehr,PRON
als,als,ADP
eine,ein,DET
Minute,Minute,NOUN
verging,vergehen,VERB
",",--,PUNCT
ehe,ehe,SCONJ
die,der,DET
schlanke,schlank,ADJ
",",--,PUNCT
schwarzgekleidete,schwarzgekleiden,VERB
Dame,Dame,NOUN
sich,sich,PRON
schlüssig,schlüssig,ADV
gemacht,machen,VERB
und,und,CCONJ
einen,ein,DET
ihr,ihr,DET
zusagenden,zusagend,ADJ
Platz,Platz,NOUN
gefunden,finden,VERB
hatte,haben,AUX
.,--,PUNCT
Von,von,ADP
ähnlicher,ähnlich,ADJ
Unruhe,Unruhe,NOUN
war,sein,AUX
der,der,DET
sie,sie,NOUN
begleitende,begleitend,ADJ
Herr,Herr,NOUN
",",--,PUNCT
dessen,der,DET
Auf-,Auf,X
und,und,CCONJ
Abschreiten,Abschreit,NOUN
jedoch,jedoch,ADV
",",--,PUNCT
allem,alle,PRON
