Token,Lemma,POS
Theodor,Theodor,PROPN
Fontane,Fontane,PROPN
Meine,mein,DET
Kinderjahre,Kinderjahre,NOUN
Autobiographischer,Autobiographischer,ADJ
Roman,Roman,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
Vorwort,Vorwort,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
     ,     ,SPACE
Meine,mein,DET
Eltern,Eltern,NOUN
Zweites,Zweites,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
    ,    ,SPACE
Gascogne,Gascogne,NOUN
und,und,CCONJ
Cevennen,Cevenne,NOUN
–,--,PUNCT
Französische,französisch,ADJ
Vettern,Vettern,NOUN
–,--,PUNCT
Unsere,unser,DET
Ruppiner,Ruppiner,ADJ
Tage,Tag,NOUN
Drittes,dritter,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
    ,    ,SPACE
Unsere,unser,DET
Übersiedelung,Übersiedelung,NOUN
nach,nach,ADP
Swinemünde,Swinemünd,NOUN
–,--,PUNCT
Ankunft,Ankunft,NOUN
daselbst,daselbst,ADV
Viertes,Viertes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
    ,    ,SPACE
Unser,unser,DET
Haus,Haus,NOUN
",",--,PUNCT
wie,wie,SCONJ
wir,wir,PRON
's,'s,PRON
vorfanden,vorfanden,VERB
Fünftes,Fünftes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
    ,    ,SPACE
Unser,unser,DET
Haus,Haus,NOUN
",",--,PUNCT
wie's,wie's,VERB
wurde,werden,AUX
Sechstes,Sechstes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
   ,   ,SPACE
Die,der,DET
Stadt,Stadt,NOUN
;,--,PUNCT
ihre,ihr,DET
Bewohner,Bewohner,NOUN
und,und,CCONJ
ihre,ihr,DET
Honoratioren,Honoratior,NOUN
Siebentes,Siebent,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
  ,  ,SPACE
Die,der,DET
Schönebergs,Schöneberg,NOUN
und,und,CCONJ
die,der,DET
Scherenbergs,Scherenberg,PROPN
Achtes,acht,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
     ,     ,SPACE
Die,der,DET
Krauses,Krauses,NOUN
Neuntes,Neuntes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
    ,    ,SPACE
Wie,wie,SCONJ
wir,wir,PRON
in,in,ADP
unserem,unser,DET
Hause,Haus,NOUN
lebten,leben,VERB
–,--,PUNCT
Sommer-,Sommer,X
und,und,CCONJ
Herbsttage,Herbsttage,NOUN
–,--,PUNCT
Schlacht-,Schlacht,X
und,und,CCONJ
Backfest,Backfest,NOUN
Zehntes,Zehntes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
    ,    ,SPACE
Wie,wie,SCONJ
wir,wir,PRON
in,in,ADP
unserem,unser,DET
Hause,Haus,NOUN
lebten,leben,VERB
(,--,PUNCT
Fortsetzung,Fortsetzung,NOUN
),--,PUNCT
