Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Theodor,Theodor,PROPN,pnc,1,Körner
1,Körner,Körner,PROPN,ROOT,1,Körner
2,Die,der,DET,nk,3,Reise
3,Reise,Reise,NOUN,ROOT,3,Reise
4,nach,nach,ADP,mnr,3,Reise
5,Schandau,Schandau,X,nk,4,nach
6,Eine,ein,DET,nk,7,Erzählung
7,Erzählung,Erzählung,NOUN,ROOT,7,Erzählung
8,in,in,ADP,mnr,7,Erzählung
9,Briefen,Brief,NOUN,nk,8,in
10,1810,1810,NUM,ROOT,10,1810
11,*,*,NOUN,ROOT,11,*
12,Lichtenfels,Lichtenfel,NOUN,ROOT,12,Lichtenfels
13,an,an,ADP,mnr,12,Lichtenfels
14,Willmar,Willmar,PROPN,nk,13,an
15,Schandau,schandau,X,ROOT,15,Schandau
16,",",--,PUNCT,punct,15,Schandau
17,den,der,DET,nk,19,Juni
18,1.,1.,ADJ,nk,19,Juni
19,Juni,Juni,NOUN,app,15,Schandau
20,Ich,ich,PRON,sb,21,versprach
21,versprach,versprechen,VERB,ROOT,21,versprach
22,",",--,PUNCT,punct,21,versprach
23,Liebster,Liebster,NOUN,oa,21,versprach
24,",",--,PUNCT,punct,21,versprach
25,bald,bald,ADV,mo,30,geben
26,Nachricht,Nachricht,NOUN,oa,30,geben
27,von,von,ADP,mo,30,geben
28,mir,mir,PRON,nk,27,von
29,zu,zu,PART,pm,30,geben
30,geben,geben,VERB,oc,21,versprach
31,.,--,PUNCT,punct,21,versprach
32,Kaum,kaum,ADV,mo,33,bin
33,bin,sein,AUX,ROOT,33,bin
34,ich,ich,PRON,sb,33,bin
35,vierundzwanzig,vierundzwanzig,NUM,mo,39,entfernt
36,Stunden,Stunde,NOUN,oa,39,entfernt
37,von,von,ADP,pg,36,Stunden
38,Dir,dir,PRON,nk,37,von
39,entfernt,entfernt,ADV,ROOT,39,entfernt
40,",",--,PUNCT,punct,39,entfernt
41,und,und,CCONJ,cd,39,entfernt
42,schon,schon,ADV,mo,43,erfülle
43,erfülle,erfüllen,VERB,cj,41,und
44,ich,ich,PRON,sb,43,erfülle
45,meine,mein,DET,nk,46,Zusage
46,Zusage,Zusage,NOUN,oa,43,erfülle
47,.,--,PUNCT,punct,39,entfernt
48,Du,du,PRON,ROOT,48,Du
49,musst,Musst,PROPN,ROOT,49,musst
50,gestehn,gestehn,NUM,sb,49,musst
51,",",--,PUNCT,punct,49,musst
52,das,der,PRON,sb,53,heißt
53,heißt,heißen,VERB,cj,49,musst
54,pünktlich,pünktlich,ADV,pd,55,sein
55,sein,sein,AUX,oc,53,heißt
56,.,--,PUNCT,punct,49,musst
57,Diese,dieser,DET,nk,58,Tugend
58,Tugend,Tugend,NOUN,sb,61,kommt
59,der,der,DET,nk,60,Solidität
60,Solidität,Solidität,NOUN,ag,58,Tugend
61,kommt,kommen,VERB,ROOT,61,kommt
62,aber,aber,ADV,mo,61,kommt
63,mir,mir,PRON,da,71,zu
64,",",--,PUNCT,punct,63,mir
65,als,als,ADP,app,63,mir
