Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Theodor,Theodor,PROPN,pnc,1,Körner
1,Körner,Körner,PROPN,ROOT,1,Körner
2,Hans,Hans,PROPN,pnc,3,Heilings
3,Heilings,Heilings,PROPN,ag,4,Felsen
4,Felsen,Felsen,PROPN,ROOT,4,Felsen
5,.,--,PUNCT,punct,4,Felsen
6,Eine,ein,DET,nk,8,Volkssage
7,böhmische,böhmisch,ADJ,nk,8,Volkssage
8,Volkssage,Volkssage,NOUN,ROOT,8,Volkssage
9,.,--,PUNCT,punct,8,Volkssage
10,1811.,1811.,X,ROOT,10,1811.
11,Vor,vor,ADP,mo,16,lebte
12,langen,lang,ADJ,nk,15,Zeiten
13,",",--,PUNCT,punct,12,langen
14,langen,lang,ADJ,cj,12,langen
15,Zeiten,Zeit,NOUN,nk,11,Vor
16,lebte,leben,VERB,ROOT,16,lebte
17,ein,ein,DET,nk,19,Bauer
18,reicher,reich,ADJ,nk,19,Bauer
19,Bauer,Bauer,NOUN,sb,16,lebte
20,in,in,ADP,mo,16,lebte
21,einem,ein,DET,nk,22,Dörfchen
22,Dörfchen,Dörfchen,NOUN,nk,20,in
23,an,an,ADP,mnr,22,Dörfchen
24,der,der,DET,nk,23,an
25,Eger,Eger,NOUN,ROOT,25,Eger
26,.,--,PUNCT,punct,25,Eger
27,Die,der,DET,nk,28,Sage
28,Sage,Sage,NOUN,sb,29,erzählt
29,erzählt,erzählen,VERB,ROOT,29,erzählt
30,uns,uns,PRON,oa,29,erzählt
31,nicht,nicht,PART,ng,29,erzählt
32,",",--,PUNCT,punct,29,erzählt
33,wie,wie,SCONJ,mo,35,geheißen
34,es,es,PRON,sb,35,geheißen
35,geheißen,heißen,VERB,mo,29,erzählt
36,;,--,PUNCT,punct,29,erzählt
37,doch,doch,CCONJ,ju,38,vermutet
38,vermutet,vermuten,VERB,ROOT,38,vermutet
39,man,man,PRON,sb,38,vermutet
40,",",--,PUNCT,punct,38,vermutet
41,daß,daß,SCONJ,mo,38,vermutet
42,es,es,PRON,sb,38,vermutet
43,dem,der,DET,da,38,vermutet
44,allen,aller,DET,nk,45,Karlsbader
45,Karlsbader,Karlsbader,NOUN,da,48,bekannten
46,Kurgästen,Kurgäst,NOUN,nk,45,Karlsbader
47,genugsam,genugsam,ADV,mo,48,bekannten
48,bekannten,bekannt,ADJ,nk,49,Dorfe
49,Dorfe,Dorfe,NOUN,ROOT,49,Dorfe
50,Aich,Aich,NOUN,nk,49,Dorfe
51,gegenüber,gegenüber,ADP,mo,49,Dorfe
52,auf,auf,ADP,op,49,Dorfe
53,dem,der,DET,nk,52,auf
54,linken,linker,ADJ,nk,55,Ufer
55,Ufer,Ufer,NOUN,sb,59,habe
56,der,der,DET,nk,57,Eger
57,Eger,Eger,NOUN,ag,55,Ufer
58,gelegen,liegen,VERB,oc,59,habe
59,habe,haben,AUX,ROOT,59,habe
60,.,--,PUNCT,punct,59,habe
61,Veit,Veit,NOUN,sb,64,hieß
62,",",--,PUNCT,punct,63,so
