Token,Lemma,POS
Theodor,Theodor,PROPN
Meyer-Merian,Meyer-Merian,PROPN
Dienen,dienen,NOUN
und,und,CCONJ
Verdienen,verdienen,NOUN
Eine,ein,DET
Dienstbotengeschichte,Dienstbotengeschichte,NOUN
Leipzig,Leipzig,PROPN
Verlagsbuchhandlung,Verlagsbuchhandlung,NOUN
von,von,ADP
J.,J.,PROPN
J.,J.,PROPN
Weber,Weber,PROPN
1865.,1865.,PUNCT
Titelblatt,Titelblatt,NOUN
Erstes,erster,ADJ
Capitel,Capitel,NOUN
Das,der,DET
Gaißmädchen,Gaißmädchen,NOUN
und,und,CCONJ
die,der,DET
Stiefmutter,Stiefmutter,NOUN
.,--,PUNCT
Annemareili,Annemareili,PROPN
wäre,sein,AUX
eigentlich,eigentlich,ADV
kein,kein,DET
so,so,ADV
übles,übl,ADJ
Kind,Kind,NOUN
gewesen,sein,AUX
",",--,PUNCT
wenn's,wenn's,ADP
auf,auf,ADP
seinem,sein,DET
Kopfe,Kopf,NOUN
nicht,nicht,PART
so,so,ADV
gar,gar,ADV
wie,wie,ADP
in,in,ADP
einer,ein,DET
Brombeerstaude,Brombeerstaude,NOUN
ausgesehen,aussehen,VERB
und,und,CCONJ
man,man,PRON
die,der,DET
natürliche,natürlich,ADJ
Farbe,Farbe,NOUN
seiner,sein,DET
Backen,backen,NOUN
erblickt,erblicken,VERB
hätte,haben,AUX
.,--,PUNCT
Denn,denn,CCONJ
wußte,wissen,VERB
es,es,PRON
wirklich,wirklich,ADV
etwas,etwas,PRON
vom,von,ADP
Kämmen,Kämmen,NOUN
und,und,CCONJ
Waschen,waschen,NOUN
",",--,PUNCT
so,so,ADV
war's,war's,PROPN
höchstens,höchstens,ADV
vom,von,ADP
Hörensagen,Hörensag,NOUN
;,--,PUNCT
jedenfalls,jedenfalls,ADV
hatte,haben,AUX
es,es,PRON
sich,sich,PRON
nie,nie,ADV
erkältet,erkälten,VERB
dabei,dabei,ADV
",",--,PUNCT
noch,noch,ADV
weniger,weniger,PRON
aber,aber,ADV
erhitzt,erhitzen,VERB
.,--,PUNCT
Das,der,DET
Mädchen,Mädchen,NOUN
gehörte,gehören,VERB
einem,ein,DET
armen,arm,ADJ
Weber,Weber,PROPN
",",--,PUNCT
war,sein,AUX
indeß,Indeß,VERB
bei,bei,ADP
noch,noch,ADV
ärmeren,ärmer,ADJ
Leuten,Leute,NOUN
verkostgeldet,verkostgelden,VERB
",",--,PUNCT
weil,weil,SCONJ
ihm,ihm,PRON
die,der,DET
Mutter,Mutter,NOUN
gestorben,sterben,VERB
",",--,PUNCT
noch,noch,ADV
ehe,ehe,SCONJ
es,es,PRON
zwanzig,zwanzig,NUM
Wochen,Woche,NOUN
alt,alt,ADV
gewesen,sein,AUX
und,und,CCONJ
der,der,DET
Vater,Vater,NOUN
