Token,Lemma,POS
Theodor,Theodor,PROPN
Storm,Storm,PROPN
Auf,auf,ADP
der,der,DET
Universität,Universität,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Lore,Lore,PROPN
Ich,ich,PRON
hatte,haben,VERB
keine,kein,DET
Schwester,Schwester,NOUN
",",--,PUNCT
welche,welcher,PRON
mir,mir,PRON
den,der,DET
Verkehr,Verkehr,NOUN
mit,mit,ADP
Mädchen,Mädchen,NOUN
meines,mein,DET
Alters,Alter,NOUN
hätte,haben,AUX
vermitteln,vermitteln,VERB
können,können,AUX
;,--,PUNCT
aber,aber,CCONJ
ich,ich,PRON
ging,gehen,VERB
in,in,ADP
die,der,DET
Tanzschule,Tanzschule,NOUN
.,--,PUNCT
Sie,sie,PRON
wurde,werden,AUX
zweimal,zweimal,ADV
wöchentlich,wöchentlich,ADV
im,in,ADP
Saale,Saale,NOUN
des,der,DET
städtischen,städtisch,ADJ
Rathauses,Rathauses,NOUN
gehalten,halten,VERB
",",--,PUNCT
welches,welcher,PRON
zugleich,zugleich,ADV
die,der,DET
Wohnung,Wohnung,NOUN
des,der,DET
Bürgermeisters,Bürgermeister,NOUN
bildete,bilden,VERB
.,--,PUNCT
Mit,mit,ADP
dessen,der,PRON
Sohn,Sohn,NOUN
",",--,PUNCT
meinem,mein,DET
treuesten,treu,NOUN
Kameraden,Kamerad,NOUN
",",--,PUNCT
waren,sein,AUX
wir,wir,PRON
acht,acht,NUM
Tänzer,Tänzer,NOUN
",",--,PUNCT
sämtlich,sämtlich,ADV
Sekundaner,Sekundaner,NOUN
der,der,DET
Lateinischen,Lateinisch,ADJ
Schule,Schule,NOUN
unsrer,unsr,ADJ
Vaterstadt,Vaterstadt,NOUN
.,--,PUNCT
Nur,nur,ADV
in,in,ADP
betreff,Betreff,PROPN
der,der,DET
Tänzerinnen,Tänzerinn,NOUN
hatte,haben,AUX
sich,sich,PRON
anfänglich,anfänglich,ADV
eine,ein,DET
scheinbar,scheinbar,ADV
unüberwindliche,unüberwindlich,ADJ
Schwierigkeit,Schwierigkeit,NOUN
herausgestellt,herausstellen,VERB
;,--,PUNCT
die,der,DET
achte,achter,ADJ
standesmäßige,standesmäßig,ADJ
Dame,Dame,NOUN
war,sein,AUX
nicht,nicht,PART
zu,zu,PART
beschaffen,beschaffen,VERB
gewesen,sein,AUX
.,--,PUNCT
Allein,allein,ADV
Fritz,Fritz,PROPN
Bürgermeister,Bürgermeister,NOUN
wußte,wissen,VERB
Rat,Rat,NOUN
.,--,PUNCT
Eine,ein,DET
frühere,früh,ADJ
bei,bei,ADP
allen,aller,DET
Festschmäusen,Festschmäusen,NOUN
von,von,ADP
der,der,DET
Frau,Frau,NOUN
Bürgermeisterin,Bürgermeisterin,NOUN
noch,noch,ADV
immer,immer,ADV
zugezogene,zugezogen,ADJ
Köchin,Köchin,NOUN
seiner,sein,DET
Eltern,Eltern,NOUN
war,sein,AUX
an,an,ADP
einen,ein,DET
Flickschneider,Flickschneider,NOUN
verheiratet,verheiraten,VERB
",",--,PUNCT
einen,ein,DET
gelben,gelb,ADJ
hagern,hagern,ADJ
Menschen,Mensch,NOUN
mit,mit,ADP
französischem,französiscch,ADJ
Namen,Name,NOUN
",",--,PUNCT
der,der,PRON
lieber,lieber,ADV
im,in,ADP
Wirtshaus,Wirtshaus,NOUN
das,der,DET
große,groß,ADJ
Wort,Wort,NOUN
",",--,PUNCT
als,als,SCONJ
auf,auf,ADP
seinem,sein,DET
Schneidertisch,Schneidertisch,PROPN
die,der,DET
Nadel,Nadel,NOUN
führte,führen,VERB
.,--,PUNCT
Die,der,DET
Leute,Leute,NOUN
wohnten,wohnen,VERB
am,an,ADP
Ende,Ende,NOUN
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
dort,dort,ADV
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Straße,Straße,NOUN
dem,der,DET
Schloßgarten,Schloßgarten,NOUN
gegenüberliegt,genüberliegen,VERB
.,--,PUNCT
Das,der,DET
schmale,schmal,ADJ
Häuschen,Häuschen,NOUN
mit,mit,ADP
der,der,DET
großen,groß,ADJ
Linde,Linde,PROPN
davor,davor,ADV
",",--,PUNCT
welche,welcher,PRON
das,der,DET
einzige,einzig,ADJ
neben,neben,ADP
der,der,DET
Tür,Tür,NOUN
befindliche,befindlich,ADJ
Fenster,Fenster,NOUN
fast,fast,ADV
ganz,ganz,ADV
beschattete,beschatten,VERB
",",--,PUNCT
war,sein,AUX
uns,uns,PRON
wohlbekannt,wohlbekannt,VERB
;,--,PUNCT
wir,wir,PRON
waren,sein,AUX
oft,oft,ADV
daran,daran,ADV
vorübergegangen,vorübergegangen,VERB
",",--,PUNCT
um,um,SCONJ
einen,ein,DET
Blick,Blick,NOUN
des,der,DET
hübschen,hübsch,ADJ
Mädchens,Mädchen,NOUN
zu,zu,PART
erhaschen,erhaschen,VERB
",",--,PUNCT
das,der,PRON
hinter,hinter,ADP
den,der,DET
Reseda-,Reseda,X
und,und,CCONJ
Geranientöpfen,Geranientöpfen,NOUN
an,an,ADP
einer,ein,DET
Näharbeit,Näharbeit,NOUN
zu,zu,PART
sitzen,sitzen,VERB
pflegte,pflegen,VERB
und,und,CCONJ
in,in,ADP
unsern,unsern,NOUN
Knabenphantasien,Knabenphantasie,NOUN
eine,ein,DET
nicht,nicht,PART
unbedeutende,unbedeutend,ADJ
Rolle,Rolle,NOUN
spielte,spielen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
das,der,DET
einzige,einzig,ADJ
Kind,Kind,NOUN
des,der,DET
französischen,französisch,ADJ
Schneiders,Schneider,NOUN
",",--,PUNCT
ein,ein,DET
dreizehnjähriges,dreizehnjährig,ADJ
zierliches,zierlich,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
das,der,PRON
auch,auch,ADV
in,in,ADP
der,der,DET
Kleidung,Kleidung,NOUN
",",--,PUNCT
trotz,trotz,ADP
der,der,DET
geringen,gering,ADJ
Mittel,Mittel,NOUN
",",--,PUNCT
von,von,ADP
der,der,DET
Mutter,Mutter,NOUN
in,in,ADP
großer,groß,ADJ
Sauberkeit,Sauberkeit,NOUN
gehalten,halten,VERB
wurde,werden,AUX
.,--,PUNCT
Die,der,DET
bräunliche,bräunlich,ADJ
Hautfarbe,Hautfarbe,NOUN
und,und,CCONJ
die,der,DET
großen,groß,ADJ
dunkeln,dunkel,ADJ
Augen,Auge,NOUN
bekundeten,bekunden,VERB
die,der,DET
fremdländische,fremdländisch,ADJ
Abkunft,Abkunft,NOUN
ihres,ihr,DET
Vaters,Vater,NOUN
;,--,PUNCT
und,und,CCONJ
ich,ich,PRON
entsinne,entsinnen,VERB
mich,sich,PRON
noch,noch,ADV
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
ihr,ihr,DET
schwarzes,schwarz,ADJ
Haar,Haar,NOUN
sehr,sehr,ADV
tief,tief,ADV
und,und,CCONJ
schlicht,schlicht,ADV
an,an,ADP
den,der,DET
Schläfen,Schläfe,NOUN
herabgestrichen,herabgestrichen,VERB
trug,tragen,VERB
",",--,PUNCT
was,wer,PRON
dem,der,DET
ohnehin,ohnehin,ADV
kleinen,klein,ADJ
Kopfe,Kopf,NOUN
ein,ein,DET
besonders,besonders,ADV
feines,fein,ADJ
Aussehen,Aussehe,NOUN
gab,geben,VERB
.,--,PUNCT
Fritz,Fritz,PROPN
und,und,CCONJ
ich,ich,PRON
waren,sein,AUX
uns,sich,PRON
bald,bald,ADV
miteinander,miteinander,ADV
einig,einig,ADV
",",--,PUNCT
daß,daß,SCONJ
Leonore,Leonore,PROPN
Beauregard,Beauregard,PROPN
die,der,DET
achte,acht,ADJ
Dame,Dame,NOUN
werden,werden,AUX
müsse,müssen,AUX
.,--,PUNCT
Zwar,zwar,ADV
hatten,haben,AUX
wir,wir,PRON
mit,mit,ADP
Hindernissen,Hindernissen,NOUN
zu,zu,ADP
kämpfen,kämpfen,VERB
;,--,PUNCT
denn,denn,CCONJ
die,der,DET
übrigen,übrig,ADJ
kleinen,klein,ADJ
Fräulein,Fräulein,NOUN
und,und,CCONJ
»,--,PUNCT
gnädigen,gnädig,VERB
«,--,PUNCT
Fräulein,Fräulein,NOUN
wurden,werden,AUX
sehr,sehr,ADV
seriös,seriös,ADV
und,und,CCONJ
einsilbig,einsilbig,ADV
",",--,PUNCT
als,als,SCONJ
wir,wir,PRON
unsern,unsern,ADJ
Vorschlag,Vorschlag,NOUN
mitzuteilen,mitteilen,VERB
wagten,wagen,VERB
;,--,PUNCT
allein,allein,ADV
die,der,DET
Künste,Kunst,NOUN
ihres,ihr,DET
Lieblingssohnes,Lieblingssohn,NOUN
hatten,haben,AUX
die,der,DET
Bürgermeisterin,Bürgermeisterin,NOUN
auf,auf,ADP
unsre,unsr,ADJ
Seite,Seite,NOUN
gebracht,bringen,VERB
",",--,PUNCT
und,und,CCONJ
vor,vor,ADP
dem,der,DET
heitern,heitern,ADJ
und,und,CCONJ
resoluten,resolut,ADJ
Wesen,Wesen,NOUN
dieser,dieser,DET
wackern,wackern,ADJ
Frau,Frau,NOUN
vermochten,vermochn,VERB
weder,weder,CCONJ
die,der,DET
gerümpften,gerümpft,ADJ
Näschen,Näsch,NOUN
der,der,DET
kleinen,klein,ADJ
Damen,Dame,NOUN
",",--,PUNCT
noch,noch,ADV
",",--,PUNCT
was,was,PRON
