Token,Lemma,POS
Theodor,Theodor,PROPN
Storm,Storm,PROPN
In,in,ADP
St.,St.,PROPN
Jürgen,Jürgen,PROPN
Novelle,Novelle,NOUN
(,--,PUNCT
1867,1867,NUM
),--,PUNCT
Es,es,PRON
ist,sein,AUX
nur,nur,ADV
ein,ein,DET
schmuckloses,schmucklos,ADJ
Städtchen,Städtchen,NOUN
",",--,PUNCT
meine,mein,DET
Vaterstadt,Vaterstadt,NOUN
;,--,PUNCT
sie,sie,PRON
liegt,liegen,VERB
in,in,ADP
einer,ein,DET
baumlosen,baumlos,VERB
Küstenebene,Küstenebene,NOUN
",",--,PUNCT
und,und,CCONJ
ihre,ihr,DET
Häuser,Haus,NOUN
sind,sein,AUX
alt,alt,ADV
und,und,CCONJ
finster,finster,ADV
.,--,PUNCT
Dennoch,dennoch,ADV
habe,haben,AUX
ich,ich,PRON
sie,sie,PRON
immer,immer,ADV
für,für,ADP
einen,ein,DET
angenehmen,angenehm,ADJ
Ort,Ort,NOUN
gehalten,halten,VERB
",",--,PUNCT
und,und,CCONJ
zwei,zwei,NUM
den,der,DET
Menschen,Mensch,NOUN
heilige,heilig,ADJ
Vögel,Vogel,NOUN
scheinen,scheinen,VERB
diese,dieser,DET
Meinung,Meinung,NOUN
zu,zu,PART
teilen,teilen,VERB
.,--,PUNCT
Bei,bei,ADP
hoher,hoch,ADJ
Sommerluft,Sommerluft,NOUN
schweben,schweben,VERB
fortwährend,fortwährend,ADV
Störche,Störche,NOUN
über,über,ADP
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
die,der,PRON
ihre,ihr,DET
Nester,Nester,NOUN
unten,unten,ADV
auf,auf,ADP
den,der,DET
Dächern,Dach,NOUN
haben,haben,AUX
;,--,PUNCT
und,und,CCONJ
wenn,wenn,SCONJ
im,in,ADP
April,April,NOUN
die,der,DET
ersten,erster,ADJ
Lüfte,Lüft,NOUN
aus,aus,ADP
dem,der,DET
Süden,Süden,NOUN
wehen,wehen,VERB
",",--,PUNCT
so,so,ADV
bringen,bringen,VERB
sie,sie,PRON
gewiß,gewiß,ADV
die,der,DET
Schwalben,Schwalbe,NOUN
mit,mit,ADP
",",--,PUNCT
und,und,CCONJ
ein,ein,DET
Nachbar,Nachbar,NOUN
sagt's,sagt's,VERB
dem,der,DET
andern,anderer,PRON
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
gekommen,kommen,VERB
sind,sein,AUX
.,--,PUNCT
–,--,PUNCT
So,so,ADV
ist,sein,AUX
es,es,PRON
eben,eben,ADV
jetzt,jetzt,ADV
.,--,PUNCT
Unter,unter,ADP
meinem,mein,DET
Fenster,Fenster,NOUN
im,in,ADP
Garten,Garten,NOUN
blühen,blühen,VERB
die,der,DET
ersten,erster,ADJ
Veilchen,Veilchen,NOUN
",",--,PUNCT
und,und,CCONJ
drüben,drüben,ADV
auf,auf,ADP
der,der,DET
Planke,Planke,NOUN
sitzt,sitzen,VERB
auch,auch,ADV
schon,schon,ADV
die,der,DET
Schwalbe,Schwalbe,NOUN
und,und,CCONJ
zwitschert,zwitschern,VERB
ihr,ihr,DET
altes,alt,ADJ
Lied,Lied,NOUN
:,--,PUNCT
Als,als,SCONJ
ich,ich,PRON
Abschied,Abschied,NOUN
nahm,nehmen,VERB
",",--,PUNCT
als,als,SCONJ
ich,ich,PRON
Abschied,Abschied,NOUN
nahm,nehmen,VERB
;,--,PUNCT
und,und,CCONJ
je,je,ADV
länger,lang,ADV
sie,sie,PRON
singt,singen,VERB
",",--,PUNCT
je,je,ADV
mehr,mehr,PRON
gedenke,gedenken,VERB
ich,ich,PRON
einer,ein,DET
längst,längst,ADV
Verstorbenen,verstorbener,NOUN
",",--,PUNCT
der,der,PRON
ich,ich,PRON
für,für,ADP
manche,mancher,DET
gute,gut,ADJ
Stunde,Stunde,NOUN
meiner,mein,DET
Jugend,Jugend,NOUN
zu,zu,PART
danken,danken,VERB
habe,haben,AUX
.,--,PUNCT
Meine,mein,DET
Gedanken,Gedanke,NOUN
gehen,gehen,VERB
die,der,DET
lange,lang,ADJ
Straße,Straße,NOUN
hinauf,hinauf,ADV
bis,bis,ADP
zum,zu,ADP
äußersten,äußerer,ADJ
Ende,Ende,NOUN
",",--,PUNCT
wo,wo,SCONJ
das,der,PRON
St.-Jürgens-Stift,St.-Jürgens-Stift,PROPN
liegt,liegen,VERB
;,--,PUNCT
denn,denn,CCONJ
auch,auch,ADV
unsere,unser,DET
Stadt,Stadt,NOUN
hat,haben,VERB
ein,ein,DET
solches,solches,PRON
",",--,PUNCT
wie,wie,ADP
im,in,ADP
Norden,Norden,NOUN
die,der,DET
meisten,meister,DET
Städte,Stadt,NOUN
von,von,ADP
einiger,einiger,DET
Bedeutung,Bedeutung,NOUN
.,--,PUNCT
Das,der,DET
jetzige,jetzig,ADJ
Haus,Haus,NOUN
ist,sein,AUX
im,in,ADP
sechzehnten,sechzehnt,ADV
Jahrhundert,Jahrhundert,NOUN
von,von,ADP
einem,ein,DET
unserer,unser,DET
Herzöge,Herzöge,PROPN
erbaut,erbauen,VERB
und,und,CCONJ
durch,durch,ADP
den,der,DET
Wohltätigkeitssinn,Wohltätigkeitssinn,NOUN
der,der,DET
Bürger,Bürger,NOUN
allmählich,allmählich,ADV
zu,zu,ADP
einem,ein,DET
gewissen,gewiß,ADJ
Reichtum,Reichtum,NOUN
gediehen,gedeihen,VERB
",",--,PUNCT
so,so,ADV
daß,daß,SCONJ
es,es,PRON
nun,nun,ADV
für,für,ADP
alte,alt,ADJ
Menschen,Mensch,NOUN
",",--,PUNCT
die,der,PRON
nach,nach,ADP
der,der,DET
Not,Not,NOUN
des,der,DET
Lebens,Leben,NOUN
noch,noch,ADV
vor,vor,ADP
der,der,DET
ewigen,ewig,ADJ
Ruhe,Ruhe,NOUN
den,der,DET
Frieden,Frieden,NOUN
suchen,suchen,VERB
",",--,PUNCT
einen,ein,DET
gar,gar,ADV
behaglichen,behaglich,ADJ
Aufenthaltsort,Aufenthaltsort,NOUN
bildet,bilden,VERB
.,--,PUNCT
–,--,PUNCT
Mit,mit,ADP
der,der,DET
einen,ein,ADJ
Seite,Seite,NOUN
streckt,strecken,VERB
es,es,PRON
sich,sich,PRON
an,an,ADP
dem,der,DET
St.-Jürgens-Kirchhof,St.-Jürgens-Kirchhof,PROPN
entlang,entlang,ADP
",",--,PUNCT
unter,unter,ADP
dessen,der,PRON
mächtigen,mächtig,ADJ
Linden,Linden,PROPN
schon,schon,ADV
die,der,DET
ersten,erster,ADJ
Reformatoren,Reformatore,NOUN
gepredigt,predigen,VERB
haben,haben,AUX
;,--,PUNCT
die,der,DET
andere,anderer,PRON
liegt,liegen,VERB
nach,nach,ADP
dem,der,DET
innern,innern,VERB
Hofe,Hof,NOUN
und,und,CCONJ
einem,ein,DET
angrenzenden,angrenzend,ADJ
schmalen,schmal,ADJ
Gärtchen,Gärtche,NOUN
",",--,PUNCT
aus,aus,ADP
dem,der,PRON
in,in,ADP
meiner,mein,DET
Jugendzeit,Jugendzeit,NOUN
die,der,DET
Pfründnerinnen,Pfründnerinn,NOUN
sich,sich,PRON
ihr,ihr,DET
Sträußchen,Sträußchen,NOUN
zum,zu,ADP
sonntäglichen,sonntäglich,ADJ
Gottesdienste,Gottesdienst,NOUN
pflückten,pflücken,VERB
.,--,PUNCT
Unter,unter,ADP
zwei,zwei,NUM
schweren,schwer,ADJ
gotischen,gotisch,ADJ
Giebeln,Giebel,NOUN
führt,führen,VERB
ein,ein,DET
dunkler,dunkler,ADJ
Torweg,Torweg,NOUN
von,von,ADP
der,der,DET
Straße,Straße,NOUN
her,her,ADV
in,in,ADP
diesen,dieser,DET
Hof,Hof,NOUN
",",--,PUNCT
von,von,ADP
welchem,welcher,PRON
aus,aus,ADP
man,man,PRON
durch,durch,ADP
eine,ein,DET
Reihe,Reihe,NOUN
von,von,ADP
Türen,Tür,NOUN
in,in,ADP
das,der,DET
Innere,innere,NOUN
des,der,DET
Hauses,Haus,NOUN
",",--,PUNCT
zu,zu,ADP
der,der,DET
geräumigen,geräumig,ADJ
Kapelle,Kapelle,NOUN
und,und,CCONJ
zu,zu,ADP
den,der,DET
Zellen,Zelle,NOUN
der,der,DET
Stiftsleute,Stiftsleut,NOUN
gelangt,gelangen,VERB
.,--,PUNCT
Durch,durch,ADP
jenes,jener,DET
Tor,Tor,NOUN
bin,sein,AUX
ich,ich,PRON
als,als,ADP
Knabe,Knabe,NOUN
oft,oft,ADV
gegangen,gehen,VERB
;,--,PUNCT
denn,denn,CCONJ
seitdem,seitdem,ADV
",",--,PUNCT
lange,lange,ADV
vor,vor,ADP
meiner,mein,DET
Erinnerung,Erinnerung,NOUN
",",--,PUNCT
die,der,PRON
große,groß,ADJ
St.-Marien-Kirche,St.-Marien-Kirch,NOUN
wegen,wegen,ADP
Baufälligkeit,Baufälligkeit,NOUN
abgebrochen,abbrechen,VERB
war,sein,AUX
",",--,PUNCT
wurde,werden,AUX
der,der,DET
allgemeine,allgemein,ADJ
Gottesdienst,Gottesdienst,NOUN
viele,vieler,DET
Jahre,Jahr,NOUN
hindurch,hindurch,ADV
in,in,ADP
der,der,DET
Kapelle,Kapelle,NOUN
des,der,DET
St.-Jürgens-Stiftes,St.-Jürgens-Stiftes,PROPN
gehalten,halten,VERB
.,--,PUNCT
Wie,wie,ADV
oft,oft,ADV
zur,zu,ADP
Sommerzeit,Sommerzeit,NOUN
",",--,PUNCT
ehe,ehe,SCONJ
ich,ich,PRON
in,in,ADP
die,der,DET
Kapellentür,Kapellentür,NOUN
trat,treten,VERB
",",--,PUNCT
bin,sein,AUX
ich,ich,PRON
in,in,ADP
der,der,DET
Stille,Stille,NOUN
des,der,DET
Sonntagsmorgens,Sonntagsmorgen,NOUN
zögernd,zögernd,ADV
auf,auf,ADP
dem,der,DET
sonnigen,sonnig,ADJ
Hofe,Hof,NOUN
stehengeblieben,stehengebleiben,VERB
",",--,PUNCT
den,der,DET
von,von,ADP
dem,der,DET
nebenliegenden,nebenliegend,ADJ
Gärtchen,Gärtche,NOUN
her,her,ADV
",",--,PUNCT
je,je,ADV
nach,nach,ADP
der,der,DET
Jahreszeit,Jahreszeit,NOUN
",",--,PUNCT
Goldlack-,Goldlack,X
",",--,PUNCT
Nelken-,Nelk,X
oder,oder,CCONJ
Resedaduft,Resedaduft,VERB
erfüllte,erfüllen,VERB
.,--,PUNCT
–,--,PUNCT
Aber,aber,CCONJ
dies,dieser,PRON
