Token,Lemma,POS
Ulrich,Ulrich,PROPN
Hegner,Hegner,PROPN
Aus,aus,ADP
dem,der,DET
Leben,Leben,NOUN
eines,ein,DET
Geringen,Gering,NOUN
Es,es,PRON
sind,sein,AUX
im,in,ADP
Wintermonat,Wintermonat,NOUN
zwanzig,zwanzig,NUM
Jahre,Jahr,NOUN
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
eines,ein,DET
Abends,Abends,NOUN
",",--,PUNCT
als,als,SCONJ
es,es,PRON
schon,schon,ADV
dunkel,dunkel,ADV
war,sein,AUX
",",--,PUNCT
schwerbeladen,schwerbeladen,VERB
in,in,ADP
dem,der,DET
Marktflecken,Marktflecken,NOUN
R.,R.,PROPN
eintraf,eintreffen,VERB
",",--,PUNCT
um,um,SCONJ
des,der,DET
morgenden,morgend,ADJ
Tages,Tag,NOUN
meinen,meinen,DET
Kram,Kram,NOUN
auf,auf,ADP
dem,der,DET
Jahrmarkte,Jahrmarkt,NOUN
feil,feil,ADV
zu,zu,PART
bieten,bieten,VERB
.,--,PUNCT
Müde,Müde,ADV
",",--,PUNCT
weil,weil,SCONJ
ich,ich,PRON
den,der,DET
ganzen,ganz,ADJ
Tag,Tag,NOUN
gewandert,wandern,VERB
",",--,PUNCT
stellte,stellen,VERB
ich,ich,PRON
meinen,mein,DET
Waarenkasten,Waarenkaste,NOUN
in,in,ADP
eine,ein,DET
Ecke,Ecke,NOUN
der,der,DET
Wirthsstube,Wirthsstube,NOUN
und,und,CCONJ
setzte,setzen,VERB
mich,mich,PRON
an,an,ADP
den,der,DET
runden,rund,ADJ
Tisch,Tisch,NOUN
",",--,PUNCT
wo,wo,SCONJ
ich,ich,PRON
schon,schon,ADV
mehrere,mehrere,DET
Bekannte,bekannte,NOUN
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
Krämern,Krämer,NOUN
zu,zu,PART
gehen,gehen,VERB
pflegt,pflegen,VERB
",",--,PUNCT
antraf,antraf,VERB
.,--,PUNCT
Behaglich,Behaglich,ADV
vom,von,ADP
Ausruhen,ausruhen,NOUN
und,und,CCONJ
erheitert,erheitern,VERB
vom,von,ADP
Weine,Wein,NOUN
",",--,PUNCT
kam,kommen,VERB
man,man,PRON
unter,unter,ADP
allerlei,allerlei,DET
Gesprächen,Gespräch,NOUN
auch,auch,ADV
auf,auf,ADP
die,der,DET
große,groß,ADJ
Lotterie,Lotterie,NOUN
",",--,PUNCT
die,der,PRON
dieser,dieser,DET
Tage,Tag,NOUN
in,in,ADP
W.,W.,NOUN
gezogen,ziehen,VERB
werden,werden,AUX
sollte,sollen,AUX
.,--,PUNCT
Man,man,PRON
sprach,sprechen,VERB
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
der,der,DET
Brauch,Brauch,NOUN
ist,sein,AUX
",",--,PUNCT
von,von,ADP
guten,gut,NOUN
und,und,CCONJ
bösen,böse,ADJ
Zahlen,Zahl,NOUN
",",--,PUNCT
und,und,CCONJ
erzählte,erzählt,VERB
lockende,lockend,ADJ
Glücksgeschichten,Glücksgeschicht,NOUN
;,--,PUNCT
da,da,ADV
fiel,fallen,VERB
mir,mir,PRON
ein,ein,ADV
",",--,PUNCT
woran,woran,SCONJ
ich,ich,PRON
ohne,ohne,ADP
diese,dieser,DET
Reden,Rede,NOUN
kaum,kaum,ADV
mehr,mehr,ADV
gedacht,denken,VERB
hätte,haben,AUX
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
schon,schon,ADV
seit,seit,ADP
geraumer,geraum,ADJ
