Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Ulrich,Ulrich,PROPN,pnc,1,Hegner
1,Hegner,Hegner,PROPN,ROOT,1,Hegner
2,.,--,PUNCT,punct,1,Hegner
3,Saly's,Saly,PROPN,nk,4,Revolutionstage
4,Revolutionstage,Revolutionstage,NOUN,ROOT,4,Revolutionstage
5,.,--,PUNCT,punct,4,Revolutionstage
6,━,━,DET,nk,7,━
7,━,━,PROPN,nk,84,━
8,━,━,PROPN,cj,7,━
9,━,━,DET,app,7,━
10,━,━,DET,app,7,━
11,━,━,DET,app,7,━
12,━,━,DET,app,7,━
13,━,━,DET,app,7,━
14,━,━,DET,app,7,━
15,━,━,DET,app,7,━
16,━,━,DET,app,7,━
17,━,━,DET,app,7,━
18,━,━,DET,app,7,━
19,━,━,DET,app,7,━
20,━,━,DET,app,7,━
21,━,━,DET,app,7,━
22,━,━,DET,app,7,━
23,━,━,DET,app,7,━
24,━,━,DET,app,7,━
25,━,━,DET,app,7,━
26,━,━,DET,app,7,━
27,━,━,DET,app,7,━
28,━,━,DET,app,7,━
29,━,━,DET,app,7,━
30,━,━,DET,app,7,━
31,━,━,DET,app,7,━
32,━,━,DET,app,7,━
33,━,━,DET,app,7,━
34,━,━,DET,app,7,━
35,━,━,DET,app,7,━
36,━,━,DET,app,7,━
37,━,━,DET,app,7,━
38,━,━,DET,app,7,━
39,━,━,DET,app,7,━
40,━,━,DET,app,7,━
41,━,━,DET,app,7,━
42,━,━,DET,app,7,━
43,━,━,DET,app,7,━
44,━,━,DET,app,7,━
45,━,━,DET,app,7,━
46,━,━,DET,app,7,━
47,━,━,DET,app,7,━
48,━,━,DET,app,7,━
49,━,━,DET,app,7,━
50,━,━,DET,app,7,━
51,━,━,DET,app,7,━
52,━,━,DET,app,7,━
53,━,━,DET,app,7,━
54,━,━,DET,app,7,━
55,━,━,DET,app,7,━
56,━,━,DET,app,7,━
57,━,━,DET,app,7,━
58,━,━,DET,app,7,━
59,━,━,DET,app,7,━
60,━,━,DET,app,7,━
61,━,━,DET,app,7,━
62,━,━,DET,app,7,━
63,━,━,DET,app,7,━
64,━,━,DET,app,7,━
65,━,━,DET,app,7,━
66,━,━,DET,app,7,━
67,━,━,DET,app,7,━
68,━,━,DET,app,7,━
69,━,━,DET,app,7,━
70,━,━,DET,app,7,━
71,━,━,DET,app,7,━
72,━,━,DET,app,7,━
73,━,━,DET,app,7,━
74,━,━,DET,app,7,━
75,━,━,DET,app,7,━
76,━,━,DET,app,7,━
77,━,━,DET,app,7,━
78,━,━,DET,app,7,━
79,━,━,DET,app,7,━
80,━,━,DET,app,7,━
81,━,━,PROPN,app,7,━
82,━,━,PROPN,app,7,━
83,━,━,PROPN,app,7,━
84,━,━,PROPN,ROOT,84,━
85,Berlin,Berlin,PROPN,ROOT,85,Berlin
86,",",--,PUNCT,punct,85,Berlin
87,bei,bei,ADP,ROOT,87,bei
88,G.,G.,PROPN,pnc,89,Reimer
89,Reimer,Reimer,PROPN,nk,87,bei
90,.,--,PUNCT,punct,87,bei
91,1828.,1828.,PROPN,ROOT,91,1828.
92,━,━,DET,nk,93,━
93,━,━,PROPN,nk,170,━
94,━,━,PROPN,cj,93,━
95,━,━,DET,app,93,━
96,━,━,DET,app,93,━
97,━,━,DET,app,93,━
98,━,━,DET,app,93,━
99,━,━,DET,app,93,━
100,━,━,DET,app,93,━
101,━,━,DET,app,93,━
102,━,━,DET,app,93,━
103,━,━,DET,app,93,━
104,━,━,DET,app,93,━
105,━,━,DET,app,93,━
106,━,━,DET,app,93,━
107,━,━,DET,app,93,━
108,━,━,DET,app,93,━
109,━,━,DET,app,93,━
110,━,━,DET,app,93,━
111,━,━,DET,app,93,━
112,━,━,DET,app,93,━
113,━,━,DET,app,93,━
114,━,━,DET,app,93,━
115,━,━,DET,app,93,━
116,━,━,DET,app,93,━
117,━,━,DET,app,93,━
118,━,━,DET,app,93,━
119,━,━,DET,app,93,━
120,━,━,DET,app,93,━
121,━,━,DET,app,93,━
122,━,━,DET,app,93,━
123,━,━,DET,app,93,━
124,━,━,DET,app,93,━
125,━,━,DET,app,93,━
126,━,━,DET,app,93,━
127,━,━,DET,app,93,━
128,━,━,DET,app,93,━
129,━,━,DET,app,93,━
130,━,━,DET,app,93,━
131,━,━,DET,app,93,━
132,━,━,DET,app,93,━
133,━,━,DET,app,93,━
134,━,━,DET,app,93,━
135,━,━,DET,app,93,━
136,━,━,DET,app,93,━
137,━,━,DET,app,93,━
138,━,━,DET,app,93,━
139,━,━,DET,app,93,━
140,━,━,DET,app,93,━
141,━,━,DET,app,93,━
142,━,━,DET,app,93,━
143,━,━,DET,app,93,━
144,━,━,DET,app,93,━
145,━,━,DET,app,93,━
146,━,━,DET,app,93,━
147,━,━,DET,app,93,━
148,━,━,DET,app,93,━
149,━,━,DET,app,93,━
150,━,━,DET,app,93,━
151,━,━,DET,app,93,━
152,━,━,DET,app,93,━
153,━,━,DET,app,93,━
154,━,━,DET,app,93,━
155,━,━,DET,app,93,━
156,━,━,DET,app,93,━
157,━,━,DET,app,93,━
158,━,━,DET,app,93,━
159,━,━,DET,app,93,━
160,━,━,DET,app,93,━
161,━,━,DET,app,93,━
162,━,━,DET,app,93,━
163,━,━,DET,app,93,━
164,━,━,DET,app,93,━
165,━,━,DET,app,93,━
166,━,━,DET,app,93,━
167,━,━,PROPN,app,93,━
168,━,━,PROPN,app,93,━
169,━,━,PROPN,app,93,━
170,━,━,PROPN,ROOT,170,━
171,Da,da,ADV,mo,172,hat
172,hat,haben,AUX,oc,177,sagte
173,der,der,DET,nk,175,Unrecht
174,Landvogt,Landvogt,ADJ,nk,175,Unrecht
175,Unrecht,Unrecht,NOUN,sb,172,hat
176,",",--,PUNCT,punct,177,sagte
177,sagte,sagen,VERB,ROOT,177,sagte
178,ich,ich,PRON,sb,177,sagte
179,.,--,PUNCT,punct,177,sagte
180,Der,der,DET,nk,181,Beamte
181,Beamte,Beamter,NOUN,sb,182,schüttelte
182,schüttelte,schütteln,VERB,ROOT,182,schüttelte
183,den,der,DET,nk,184,Kopf
184,Kopf,Kopf,NOUN,oa,182,schüttelte
185,und,und,CCONJ,cd,182,schüttelte
186,sprach,sprechen,VERB,cj,185,und
187,:,--,PUNCT,punct,182,schüttelte
188,Guter,gut,ADJ,nk,189,Freund
189,Freund,Freund,NOUN,ROOT,189,Freund
190,",",--,PUNCT,punct,189,Freund
191,man,man,PRON,sb,192,sollte
192,sollte,sollen,AUX,oc,189,Freund
193,heut,heut,ADV,mo,192,sollte
194,zu,zu,ADP,svp,192,sollte
195,Tage,Tag,NOUN,mo,196,bedenken
196,bedenken,bedenken,VERB,ROOT,196,bedenken
197,",",--,PUNCT,punct,196,bedenken
198,was,was,PRON,oa,200,redet
199,man,man,PRON,sb,200,redet
200,redet,reden,VERB,oc,196,bedenken
201,!,--,PUNCT,punct,196,bedenken
202,Die,der,DET,nk,203,Einen
203,Einen,Einer,PRON,sb,204,lächelten
204,lächelten,lächelen,VERB,ROOT,204,lächelten
205,",",--,PUNCT,punct,204,lächelten
206,die,der,DET,nk,207,Andern
207,Andern,Ander,NOUN,oa,208,erschraken
208,erschraken,erschraken,VERB,oc,204,lächelten
209,;,--,PUNCT,punct,204,lächelten
210,alle,alle,PRON,sb,212,schwiegen
211,aber,aber,ADV,mo,212,schwiegen
212,schwiegen,schwiegen,VERB,ROOT,212,schwiegen
213,.,--,PUNCT,punct,212,schwiegen
214,Mir,mir,PRON,da,215,schien
215,schien,scheinen,VERB,ROOT,215,schien
216,es,es,PRON,sb,215,schien
217,eben,eben,ADV,mo,219,verächtlich
218,so,so,ADV,mo,219,verächtlich
219,verächtlich,verächtlich,ADV,ROOT,219,verächtlich
220,",",--,PUNCT,punct,219,verächtlich
221,daß,daß,SCONJ,cp,231,zum
222,keiner,keiner,PRON,sb,231,zum
223,von,von,ADP,pg,222,keiner
224,denen,der,PRON,nk,223,von
225,",",--,PUNCT,punct,224,denen
226,die,der,PRON,nk,229,Mäuler
227,sonst,sonst,ADV,mo,229,Mäuler
228,die,der,DET,nk,229,Mäuler
229,Mäuler,Mäuler,NOUN,app,222,keiner
230,immer,immer,ADV,mo,231,zum
231,zum,zu,ADP,cc,217,eben
232,Schmählen,Schmähle,NOUN,sb,234,haben
233,offen,offen,ADV,mo,234,haben
234,haben,haben,AUX,ROOT,234,haben
235,",",--,PUNCT,punct,234,haben
236,sich,sich,PRON,oa,244,sagen
237,jetzt,jetzt,ADV,mo,244,sagen
238,vor,vor,ADP,mo,244,sagen
239,dem,der,DET,nk,240,Beamten
240,Beamten,Beamter,NOUN,nk,238,vor
241,ein,ein,DET,nk,242,Wort
242,Wort,Wort,NOUN,oa,244,sagen
243,zu,zu,PART,pm,244,sagen
244,sagen,sagen,VERB,oc,245,getraute
245,getraute,getraute,PROPN,oc,234,haben
246,",",--,PUNCT,punct,234,haben
247,als,als,SCONJ,cp,253,ließ
248,es,es,PRON,ep,253,ließ
249,mich,mich,PRON,oa,252,erwarten
250,nichts,nichts,PRON,nk,251,Gutes
251,Gutes,gute,NOUN,oa,252,erwarten
252,erwarten,erwarten,VERB,oc,253,ließ
253,ließ,lassen,VERB,ROOT,253,ließ
254,",",--,PUNCT,punct,253,ließ
255,daß,daß,SCONJ,cp,261,Rede
256,zu,zu,ADP,op,261,Rede
257,dieser,dieser,DET,nk,258,Zeit
258,Zeit,Zeit,NOUN,nk,256,zu
259,jede,jeder,DET,nk,261,Rede
260,schuldlose,schuldlos,ADJ,nk,261,Rede
261,Rede,Rede,NOUN,sb,253,ließ
262,in,in,ADP,mo,265,genommen
263,bedenklichem,bedenklich,ADJ,nk,264,Sinne
264,Sinne,Sinn,NOUN,nk,262,in
265,genommen,nehmen,VERB,oc,266,werden
266,werden,werden,AUX,oc,267,sollte
267,sollte,sollen,AUX,ROOT,267,sollte
268,.,--,PUNCT,punct,267,sollte
269,Wer,wer,PRON,sb,273,meint
270,es,es,PRON,oa,273,meint
271,nicht,nicht,PART,ng,273,meint
272,böse,böse,ADV,mo,273,meint
273,meint,meinen,VERB,sb,275,sollte
274,",",--,PUNCT,punct,275,sollte
275,sollte,sollen,AUX,ROOT,275,sollte
276,unter,unter,ADP,mo,275,sollte
277,Seinesgleichen,seinesgleiche,NOUN,nk,276,unter
