Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Fischer,Fischer,PROPN
.,--,PUNCT
Wastel,Wastel,NOUN
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Leipzig,Leipzig,PROPN
Georg,Georg,PROPN
Heinrich,Heinrich,PROPN
Meyer,Meyer,PROPN
1898.,1898.,PUNCT
Als,als,SCONJ
die,der,DET
Franzosen,Franzose,NOUN
im,in,ADP
Jahre,Jahr,NOUN
1809,1809,NUM
Graz,Graz,PROPN
besetzt,besetzen,VERB
hielten,halten,VERB
",",--,PUNCT
da,da,ADV
geschah,geschehen,VERB
ein,ein,DET
Ereignis,Ereignis,NOUN
",",--,PUNCT
das,der,PRON
niemals,niemals,ADV
gänzlich,gänzlich,ADV
ruchbar,ruchbar,ADV
wurde,werden,AUX
und,und,CCONJ
doch,doch,ADV
im,in,ADP
geheimen,geheim,NOUN
von,von,ADP
Mund,Mund,NOUN
zu,zu,ADP
Mund,Mund,NOUN
ging,gehen,VERB
.,--,PUNCT
Denn,denn,CCONJ
der,der,DET
Befehlshaber,Befehlshaber,NOUN
der,der,DET
einbrechenden,einbrechend,ADJ
Armee,Armee,NOUN
fand,finden,VERB
es,es,PRON
selber,selber,ADV
für,für,ADP
geboten,geboten,ADV
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
nicht,nicht,PART
verlautbart,verlautbaren,VERB
werde,werden,AUX
",",--,PUNCT
damit,damit,SCONJ
nicht,nicht,PART
das,der,DET
Ansehen,ansehen,NOUN
der,der,DET
siegreichen,siegreich,ADJ
Soldaten,Soldat,NOUN
durch,durch,ADP
das,der,DET
Verbrechen,Verbrechen,NOUN
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
hier,hier,ADV
vorlag,vorliegen,VERB
",",--,PUNCT
vermindert,vermindern,VERB
werde,werden,AUX
.,--,PUNCT
Es,es,PRON
wurde,werden,AUX
nämlich,nämlich,ADV
ein,ein,DET
französischer,französisch,ADJ
Offizier,Offizier,NOUN
",",--,PUNCT
der,der,DET
Maubrun,Maubrun,PROPN
hieß,heißen,VERB
",",--,PUNCT
in,in,ADP
einem,ein,DET
sonst,sonst,ADV
ehrbaren,ehrbar,ADJ
Hause,Haus,NOUN
ermordet,ermorden,VERB
gefunden,finden,VERB
.,--,PUNCT
Der,der,DET
Thäter,Thäter,NOUN
war,sein,AUX
entflohen,entfliehen,VERB
",",--,PUNCT
und,und,CCONJ
man,man,PRON
fahndete,fahnden,VERB
im,in,ADP
stillen,still,ADJ
eifrig,eifrig,ADV
nach,nach,ADP
ihm,ihm,PRON
",",--,PUNCT
um,um,SCONJ
ihn,ihn,PRON
der,der,DET
wohlverdienten,wohlverdient,ADJ
strengsten,strengst,ADJ
Strafe,Strafe,NOUN
zu,zu,PART
überliefern,überliefern,VERB
.,--,PUNCT
Niemand,niemand,PRON
in,in,ADP
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
so,so,ADV
schien,scheinen,VERB
es,es,PRON
",",--,PUNCT
wußte,wissen,VERB
um,um,ADP
die,der,DET
4,4,NUM
näheren,näh,ADJ
Umstände,Umstand,NOUN
",",--,PUNCT
und,und,CCONJ
doch,doch,ADV
wußte,wissen,VERB
jeder,jede,PRON
",",--,PUNCT
daß,daß,SCONJ
etwas,etwas,DET
Unheilvolles,unheilvolle,NOUN
geschehen,geschehen,VERB
war,sein,AUX
:,--,PUNCT
nämlich,nämlich,ADV
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Sieger,Sieger,NOUN
in,in,ADP
der,der,DET
besiegten,besiegt,ADJ
Stadt,Stadt,NOUN
