Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Hauff,Hauff,PROPN
Der,der,DET
Mann,Mann,NOUN
im,in,ADP
Mond,Mond,NOUN
[,[,PROPN
Der,der,DET
Roman,Roman,NOUN
",",--,PUNCT
geschrieben,schreiben,VERB
in,in,ADP
der,der,DET
Manier,Manier,NOUN
des,der,DET
damals,damals,ADV
meistgelesenen,meistgelesen,VERB
Romanciers,Romancier,PROPN
Carl,Carl,PROPN
Heun,Heun,PROPN
",",--,PUNCT
erschien,erscheinen,VERB
1825,1825,NUM
/,--,PUNCT
26,26,NUM
unter,unter,ADP
dessen,der,PRON
Pseudonym,Pseudonym,NOUN
H.,H.,PROPN
Clauren,Claur,NOUN
und,und,CCONJ
war,sein,AUX
als,als,ADP
Persiflage,Persiflage,NOUN
auf,auf,ADP
die,der,DET
Trivialliteratur,Trivialliteratur,NOUN
der,der,DET
Zeit,Zeit,NOUN
gedacht,denken,VERB
",",--,PUNCT
siehe,sehen,VERB
Hauffs,Hauff,NOUN
»,--,PUNCT
Kontrovers-Predigt,Kontrovers-Predigt,PROPN
über,über,ADP
H.,H.,PROPN
Clauren,Claur,NOUN
und,und,CCONJ
den,der,DET
Mann,Mann,NOUN
im,in,ADP
Monde,Monde,NOUN
«,--,PUNCT
.,--,PUNCT
],],NOUN
oder,oder,CCONJ
Der,der,DET
Zug,Zug,NOUN
des,der,DET
Herzens,Herzen,NOUN
ist,sein,AUX
des,der,DET
Schicksals,Schicksal,NOUN
Stimme,Stimme,NOUN
von,von,ADP
H.,H.,PROPN
Clauren,Clauren,PROPN
(,--,PUNCT
Wilhelm,Wilhelm,PROPN
Hauff,Hauff,PROPN
),--,PUNCT
Erster,erst,ADJ
Teil,Teil,NOUN
Der,der,DET
Ball,Ball,NOUN
Über,über,ADP
Freilingen,Freiling,NOUN
lag,liegen,VERB
eine,ein,DET
kalte,kalt,ADJ
",",--,PUNCT
stürmische,stürmisch,ADJ
Novembernacht,Novembernacht,NOUN
;,--,PUNCT
der,der,DET
Wind,Wind,NOUN
rumorte,rumoren,VERB
durch,durch,ADP
die,der,DET
Straßen,Straße,NOUN
",",--,PUNCT
als,als,SCONJ
seie,seien,VERB
er,er,PRON
allein,allein,ADV
hier,hier,ADV
Herr,Herr,NOUN
und,und,CCONJ
Meister,Meister,NOUN
",",--,PUNCT
und,und,CCONJ
eine,ein,DET
löbliche,löblich,ADJ
Polizeiinspektion,Polizeiinspektion,NOUN
habe,haben,AUX
nichts,nichts,PRON
über,über,ADP
den,der,DET
Straßenlärm,Straßenlärm,NOUN
zu,zu,PART
sagen,sagen,VERB
.,--,PUNCT
Dicke,dick,ADJ
Tropfen,Tropfen,NOUN
schlugen,schlagen,VERB
an,an,ADP
die,der,DET
Jalousien,Jalousien,NOUN
und,und,CCONJ
mahnten,mahnen,VERB
die,der,DET
Freilinger,Freilinger,NOUN
",",--,PUNCT
hinter,hinter,ADP
den,der,DET
warmen,warm,ADJ
Ofen,Ofen,NOUN
sich,sich,PRON
zu,zu,PART
setzen,setzen,VERB
",",--,PUNCT
während,während,ADP
des,der,DET
Höllenwetters,Höllenwetter,NOUN
",",--,PUNCT
das,der,PRON
draußen,draußen,ADV
umzog,umziehen,VERB
.,--,PUNCT
Nichtsdestoweniger,Nichtsdestoweniger,PROPN
war,sein,AUX
es,es,PRON
sehr,sehr,ADV
lebhaft,lebhaft,ADV
auf,auf,ADP
den,der,DET
Straßen,Straße,NOUN
;,--,PUNCT
Wagen,Wagen,NOUN
",",--,PUNCT
von,von,ADP
allen,aller,DET
Ecken,Ecke,NOUN
und,und,CCONJ
Enden,Ende,NOUN
der,der,DET
Stadt,Stadt,NOUN
rollten,rollen,VERB
dem,der,DET
Marktplatz,Marktplatz,NOUN
zu,zu,ADP
",",--,PUNCT
auf,auf,ADP
welchem,welcher,PRON
das,der,DET
Museum,Museum,NOUN
",",--,PUNCT
von,von,ADP
oben,oben,ADV
bis,bis,CCONJ
unten,unten,ADV
erleuchtet,erleuchten,VERB
",",--,PUNCT
sich,sich,PRON
ausdehnte,ausdehnen,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
Ball,Ball,NOUN
dort,dort,ADV
",",--,PUNCT
als,als,SCONJ
am,an,ADP
Namensfest,Namensfest,NOUN
des,der,DET
Königs,König,NOUN
",",--,PUNCT
das,der,PRON
die,der,DET
Freilinger,Freilinger,NOUN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
sagten,sagen,VERB
",",--,PUNCT
aus,aus,ADP
purer,pur,ADJ
Gewissenhaftigkeit,Gewissenhaftigkeit,NOUN
",",--,PUNCT
nie,nie,ADV
ungefeiert,ungefeiert,ADV
vorbeiließen,vorbeiließen,VERB
.,--,PUNCT
Morgens,morgens,ADV
waren,sein,AUX
die,der,DET
Milizen,Miliz,NOUN
ausgerückt,ausrücken,VERB
",",--,PUNCT
hatten,haben,AUX
prächtige,prächtig,ADJ
Kirchenparade,Kirchenparade,NOUN
gehalten,halten,VERB
",",--,PUNCT
und,und,CCONJ
kümmerten,kümmern,VERB
sich,sich,PRON
in,in,ADP
ihrem,ihr,DET
Patriotismus,Patriotismus,NOUN
wenig,wenig,ADV
darum,darum,ADV
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Dragoner,Dragoner,NOUN
",",--,PUNCT
welche,welcher,PRON
als,als,ADP
Garnison,Garnison,PROPN
hier,hier,ADV
lagen,liegen,VERB
",",--,PUNCT
sie,sie,PRON
laut,laut,ADP
genug,genug,ADV
bekrittelten,bekritteln,VERB
.,--,PUNCT
Mittags,mittags,ADV
war,sein,AUX
herrliches,herrlich,ADJ
Diner,Diner,NOUN
gewesen,sein,AUX
",",--,PUNCT
an,an,ADP
welchem,welcher,PRON
jedoch,jedoch,ADV
nur,nur,ADV
die,der,DET
Herren,Herr,NOUN
Anteil,Anteil,NOUN
genommen,nehmen,VERB
und,und,CCONJ
so,so,ADV
lange,lange,ADV
getrunken,trinken,VERB
und,und,CCONJ
getollt,tollen,VERB
hatten,haben,AUX
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
kaum,kaum,ADV
mehr,mehr,ADV
mit,mit,ADP
dem,der,DET
Umkleiden,umkleide,NOUN
zum,zu,ADP
Ball,Ball,NOUN
fertig,fertig,ADV
geworden,werden,AUX
waren,sein,AUX
.,--,PUNCT
Auf,auf,ADP
Schlag,Schlag,NOUN
sieben,sieben,NUM
Uhr,Uhr,NOUN
aber,aber,ADV
war,sein,AUX
der,der,DET
Ball,Ball,NOUN
bestellt,bestellen,VERB
",",--,PUNCT
dem,der,PRON
die,der,DET
Freilinger,Freilinger,ADJ
Schönen,schöne,NOUN
und,und,CCONJ
Nicht-Schönen,Nicht-Schön,NOUN
schon,schon,ADV
seit,seit,ADP
sechs,sechs,NUM
Wochen,Woche,NOUN
entgegengeseufzt,entgegengeseufzt,NUM
hatten,haben,VERB
.,--,PUNCT
Schön,Schön,ADV
konnte,können,AUX
er,er,PRON
diesmal,diesmal,ADV
werden,werden,AUX
",",--,PUNCT
dieser,dieser,DET
Ball,Ball,NOUN
;,--,PUNCT
hatte,haben,AUX
ihn,ihn,PRON
doch,doch,ADV
Hofrat,Hofrat,NOUN
Berner,Berner,NOUN
arrangiert,arrangieren,VERB
und,und,CCONJ
das,der,DET
mußte,müssen,AUX
man,man,PRON
ihm,ihm,PRON
lassen,lassen,VERB
",",--,PUNCT
so,so,ADV
viele,vieler,DET
Eigenheiten,Eigenheit,NOUN
er,er,PRON
sonst,sonst,ADV
auch,auch,ADV
haben,haben,VERB
mochte,mögen,VERB
",",--,PUNCT
einen,ein,DET
guten,gut,ADJ
Ball,Ball,NOUN
zu,zu,PART
veranstalten,veranstalten,VERB
",",--,PUNCT
verstand,verstehen,VERB
er,er,PRON
aus,aus,ADP
dem,der,DET
Fundament,Fundament,NOUN
.,--,PUNCT
Die,der,DET
Wagen,Wagen,NOUN
hatten,haben,AUX
nach,nach,ADV
und,und,CCONJ
nach,nach,ADV
alle,aller,DET
ihre,ihr,DET
köstlichen,köstlich,ADJ
Waren,Ware,NOUN
entladen,entladen,VERB
;,--,PUNCT
die,der,DET
Damen,Dame,NOUN
hatten,haben,AUX
sich,sich,PRON
aus,aus,ADP
den,der,DET
neidischen,neidisch,ADJ
Hüllen,Hülle,NOUN
der,der,DET
Pelzmäntel,Pelzmäntel,NOUN
und,und,CCONJ
Shawls,Shawls,PROPN
herausgeschält,herausgeschalten,VERB
und,und,CCONJ
saßen,sitzen,VERB
jetzt,jetzt,ADV
in,in,ADP
langen,lang,ADJ
Reihen,Reihe,NOUN
",",--,PUNCT
alle,aller,PRON
in,in,ADP
unchristlichem,unchristlich,ADJ
Wichs,Wichs,NOUN
",",--,PUNCT
an,an,ADP
den,der,DET
Wänden,Wand,NOUN
hinauf,hinauf,ADV
.,--,PUNCT
Es,es,PRON
war,sein,AUX
der,der,DET
erste,erster,ADJ
Ball,Ball,NOUN
in,in,ADP
dieser,dieser,DET
Saison,Saison,NOUN
.,--,PUNCT
Der,der,DET
Landadel,Landadel,NOUN
hatte,haben,AUX
sich,sich,PRON
in,in,ADP
die,der,DET
Stadt,Stadt,NOUN
gezogen,ziehen,VERB
;,--,PUNCT
Kranke,kranke,NOUN
und,und,CCONJ
Gesunde,Gesunde,NOUN
waren,sein,AUX
aus,aus,ADP
den,der,DET
Bädern,Bäder,NOUN
zurückgekehrt,zurückkehren,VERB
",",--,PUNCT
es,es,PRON
ließ,lassen,VERB
sich,sich,PRON
also,also,ADV
erwarten,erwarten,VERB
",",--,PUNCT
daß,daß,SCONJ
das,der,DET
Neueste,Neueste,NOUN
",",--,PUNCT
was,wer,PRON
man,man,PRON
überall,überall,ADV
an,an,ADP
Haarputz,Haarputz,NOUN
und,und,CCONJ
Kleidern,Kleid,NOUN
bemerkt,bemerken,VERB
und,und,CCONJ
in,in,ADP
feinem,fein,ADJ
aufmerksamem,aufmerksam,ADJ
Herzen,Herz,NOUN
bewahrt,bewahren,VERB
hatte,haben,AUX
",",--,PUNCT
an,an,ADP
diesem,dieser,DET
Abend,Abend,NOUN
zur,zu,ADP
Schau,Schau,NOUN
gestellt,stellen,VERB
werden,werden,AUX
würde,werden,AUX
.,--,PUNCT
Daher,daher,ADV
füllte,füllen,VERB
die,der,DET
erste,erster,ADJ
halbe,halb,ADJ
Stunde,Stunde,NOUN
eine,ein,DET
Musterung,Musterung,NOUN
der,der,DET
Coiffüren,Coiffür,NOUN
und,und,CCONJ
Girlanden,Girland,NOUN
",",--,PUNCT
und,und,CCONJ
das,der,DET
Bebbern,Bebber,NOUN
und,und,CCONJ
Wispern,Wisper,NOUN
der,der,DET
rastlos,rastlos,ADV
gehenden,gehend,ADJ
Mäulchen,mäulchen,NOUN
schnurrte,schnurren,VERB
betäubend,betäubend,ADV
durch,durch,ADP
den,der,DET
Saal,Saal,NOUN
.,--,PUNCT
Endlich,endlich,ADV
aber,aber,ADV
hatte,haben,AUX
man,man,PRON
sich,sich,PRON
satt,satt,ADV
geärgert,ärgern,VERB
und,und,CCONJ
bewundert,bewundern,VERB
",",--,PUNCT
und,und,CCONJ
fragt,fragen,VERB
überall,überall,ADV
",",--,PUNCT
warum,warum,SCONJ
der,der,DET
Hofrat,Hofrat,NOUN
Berner,Berner,PROPN
das,der,DET
Zeichen,Zeichen,NOUN
zum,zu,ADP
Anfang,Anfang,NOUN
noch,noch,ADV
nicht,nicht,PART
geben,geben,VERB
wolle,wollen,AUX
.,--,PUNCT
Das,der,PRON
hatte,haben,VERB
aber,aber,ADV
seine,sein,DET
ganz,ganz,ADV
eigenen,eigen,ADJ
Gründe,Grund,NOUN
;,--,PUNCT
man,man,PRON
sah,sehen,VERB
ihm,ihm,PRON
wohl,wohl,ADV
die,der,DET
Unruhe,Unruhe,NOUN
an,an,ADP
",",--,PUNCT
aber,aber,CCONJ
niemand,niemand,PRON
wußte,wissen,VERB
",",--,PUNCT
warum,warum,SCONJ
er,er,PRON
",",--,PUNCT
ganz,ganz,ADV
gegen,gegen,ADP
seine,sein,DET
Gewohnheit,Gewohnheit,NOUN
",",--,PUNCT
unruhig,unruhig,ADV
hin-,hin,X
und,und,CCONJ
herlaufe,herlaufe,NOUN
",",--,PUNCT
bald,bald,ADV
hinaus,hinaus,ADV
auf,auf,ADP
die,der,DET
Treppe,Treppe,NOUN
",",--,PUNCT
bald,bald,ADV
herein,herein,ADV
ans,an,ADP
Fenster,Fenster,NOUN
renne,rennen,VERB
;,--,PUNCT
sonst,sonst,ADV
war,sein,AUX
er,er,PRON
Punkt,Punkt,NOUN
fünf,fünf,NUM
Uhr,Uhr,NOUN
mit,mit,ADP
seinem,sein,DET
Arrangement,Arrangement,NOUN
fertig,fertig,ADV
gewesen,sein,AUX
und,und,CCONJ
hatte,haben,AUX
dann,dann,ADV
ruhig,ruhig,ADV
und,und,CCONJ
besonnen,besonnen,ADV
den,der,DET
Ball,Ball,NOUN
eröffnet,eröffnen,VERB
",",--,PUNCT
aber,aber,CCONJ
heute,heute,ADV
schien,scheinen,VERB
ein,ein,DET
sonderbarer,sonderbarer,ADJ
Zappel,Zappel,NOUN
das,der,PRON
freundliche,freundlich,ADJ
Männchen,Männche,NOUN
überfallen,überfallen,VERB
zu,zu,PART
haben,haben,AUX
.,--,PUNCT
Nur,nur,ADV
er,er,PRON
wußte,wissen,VERB
",",--,PUNCT
warum,warum,SCONJ
alles,alle,PRON
warten,warten,VERB
mußte,müssen,AUX
;,--,PUNCT
keinem,kein,DET
Menschen,Mensch,NOUN
",",--,PUNCT
soviel,soviel,DET
man,man,PRON
ihn,ihn,PRON
auch,auch,ADV
mit,mit,ADP
Schmeichelwörtchen,Schmeichelwörtchen,NOUN
und,und,CCONJ
schönen,schön,ADJ
Redensarten,Redensart,NOUN
bombardierte,bombardiern,VERB
",",--,PUNCT
vertraute,vertrauen,VERB
er,er,PRON
ein,ein,ADV
Sterbenswörtchen,sterbenswörtch,NOUN
davon,davon,ADV
;,--,PUNCT
er,er,PRON
lächelte,lächelen,VERB
nur,nur,ADV
still,still,ADV
und,und,CCONJ
geheimnisvoll,geheimnisvoll,ADV
vor,vor,ADP
sich,sich,PRON
hin,hin,ADV
und,und,CCONJ
ließ,lassen,VERB
nur,nur,ADV
hie,hie,ADV
und,und,CCONJ
da,da,ADV
ein,ein,ADV
:,--,PUNCT
»,--,PUNCT
Werdet,Werdet,VERB
schon,schon,ADV
sehen,sehen,VERB
«,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Man,man,PRON
kann,können,AUX
nicht,nicht,PART
wissen,wissen,VERB
",",--,PUNCT
was,wer,PRON
kommt,kommen,VERB
«,--,PUNCT
fallen,fallen,VERB
.,--,PUNCT
Wir,wir,PRON
wissen,wissen,VERB
es,es,PRON
übrigens,übrigens,ADV
und,und,CCONJ
können,können,AUX
reinen,rein,ADJ
Wein,Wein,NOUN
darüber,darüber,ADV
einschenken,einschenken,VERB
:,--,PUNCT
Präsidents,Präsident,NOUN
Ida,Ida,PROPN
war,sein,AUX
vor,vor,ADP
wenigen,weniger,DET
Stunden,Stunde,NOUN
aus,aus,ADP
der,der,DET
Pension,Pension,NOUN
zurückgekommen,zurückgekommen,VERB
;,--,PUNCT
er,er,PRON
",",--,PUNCT
der,der,DET
alte,alt,ADJ
Hausfreund,Hausfreund,ADV
war,sein,AUX
zufällig,zufällig,ADV
dort,dort,ADV
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
ankam,ankommen,VERB
",",--,PUNCT
er,er,PRON
hatte,haben,AUX
nicht,nicht,PART
eher,eher,ADV
geruht,ruhen,VERB
",",--,PUNCT
bis,bis,SCONJ
sie,sie,PRON
versprochen,versprechen,VERB
hatte,haben,AUX
",",--,PUNCT
das,der,DET
ganze,ganz,ADJ
Haus,Haus,NOUN
in,in,ADP
Alarm,Alarm,NOUN
zu,zu,PART
setzen,setzen,VERB
",",--,PUNCT
das,der,DET
Blondenkleid,Blondenkleid,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,DET
sie,sie,PRON
bei,bei,ADP
Hofe,Hof,NOUN
war,sein,AUX
präsentiert,präsentieren,VERB
worden,werden,AUX
",",--,PUNCT
ausbiegeln,ausbiegeln,VERB
zu,zu,PART
lassen,lassen,VERB
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
den,der,DET
Ball,Ball,NOUN
zu,zu,PART
kommen,kommen,VERB
.,--,PUNCT
Wie,wie,ADV
spitzte,spitzen,VERB
er,er,PRON
sich,sich,PRON
auf,auf,ADP
die,der,DET
langen,lang,ADJ
Gesichter,Gesicht,NOUN
der,der,DET
Damen,Dame,NOUN
",",--,PUNCT
auf,auf,ADP
die,der,PRON
freundlichen,freundlich,ADJ
Blicke,Blick,NOUN
der,der,DET
Herren,Herr,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
die,der,DET
wunderschöne,wunderschön,ADJ
Dame,Dame,NOUN
in,in,ADP
den,der,DET
Saal,Saal,NOUN
führen,führen,VERB
würde,werden,AUX
;,--,PUNCT
denn,denn,CCONJ
kennen,kennen,VERB
konnte,können,AUX
sie,sie,PRON
im,in,ADP
ersten,erster,ADJ
Augenblick,Augenblick,NOUN
niemand,niemand,PRON
.,--,PUNCT
Wo,wo,ADV
hatte,haben,AUX
nur,nur,ADV
das,der,DET
Mädchen,Mädchen,NOUN
die,der,DET
Zeit,Zeit,NOUN
hergenommen,hergenommen,VERB
",",--,PUNCT
so,so,ADV
recht,recht,ADV
eigentlich,eigentlich,ADV
bildhübsch,bildhübsch,ADV
zu,zu,PART
werden,werden,AUX
?,--,PUNCT
Als,als,SCONJ
sie,sie,PRON
vor,vor,ADP
drei,drei,NUM
Jahren,Jahr,NOUN
abreiste,abreisen,VERB
",",--,PUNCT
wie,wie,ADV
besorglich,besorglich,ADV
schaute,schauten,VERB
da,da,ADV
der,der,DET
