Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Hauff,Hauff,PROPN
Phantasien,Phantasie,NOUN
und,und,CCONJ
Skizzen,Skizze,NOUN
Einleitung,Einleitung,NOUN
des,der,DET
Herausgebers,Herausgeber,NOUN
.,--,PUNCT
Die,der,DET
»,--,PUNCT
Phantasien,Phantasie,NOUN
im,in,ADP
Bremer,Bremer,ADJ
Ratskeller,Ratskeller,PROPN
«,--,PUNCT
verdanken,verdanken,VERB
ihre,ihr,DET
Entstehung,Entstehung,NOUN
dem,der,DET
Aufenthalte,Aufenthalt,NOUN
Hauffs,Hauff,NOUN
in,in,ADP
der,der,DET
altehrwürdigen,altehrwürdig,ADJ
und,und,CCONJ
berühmten,berühmt,ADJ
Hansastadt,Hansastadt,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
auf,auf,ADP
der,der,DET
Rückreise,Rückreise,NOUN
von,von,ADP
Paris,Paris,PROPN
aus,aus,ADP
–,--,PUNCT
über,über,ADP
Aachen,Aachen,PROPN
",",--,PUNCT
Köln,Köln,PROPN
",",--,PUNCT
Kassel,Kassel,PROPN
und,und,CCONJ
Göttingen,Göttingen,PROPN
kommend,kommend,ADV
–,--,PUNCT
im,in,ADP
Sommer,Sommer,NOUN
des,der,DET
Jahres,Jahr,NOUN
1826,1826,NUM
besuchte,besuchen,VERB
.,--,PUNCT
Er,er,PRON
traf,treffen,VERB
dort,dort,ADV
mit,mit,ADP
Freunden,Freund,NOUN
seines,sein,DET
Vetters,Vetter,NOUN
Grüneisen,Grüneisen,PROPN
und,und,CCONJ
mit,mit,ADP
Verwandten,verwandte,NOUN
der,der,DET
Familie,Familie,NOUN
Klaiber,Klaiber,PROPN
zusammen,zusammen,ADV
.,--,PUNCT
Von,von,ADP
allen,aller,DET
Seiten,Seite,NOUN
brachte,bringen,VERB
man,man,PRON
ihm,ihm,PRON
aufrichtige,aufrichtig,ADJ
Sympathie,Sympathie,NOUN
entgegen,entgegen,ADP
;,--,PUNCT
alle,alle,PRON
freuten,freuen,VERB
sich,sich,PRON
",",--,PUNCT
den,der,DET
lebenslustigen,Lebenslustige,NOUN
",",--,PUNCT
gewandten,wandten,ADJ
",",--,PUNCT
jungen,jung,ADJ
Schriftsteller,Schriftsteller,NOUN
",",--,PUNCT
den,der,DET
Verfasser,Verfasser,NOUN
der,der,DET
»,--,PUNCT
Memoiren,Memoire,NOUN
«,--,PUNCT
",",--,PUNCT
den,der,DET
mutigen,mutige,ADJ
Bekämpfer,Bekämpfer,NOUN
des,der,DET
Claurenkultus,Claurenkultus,NOUN
kennen,kennen,VERB
zu,zu,PART
lernen,lernen,VERB
.,--,PUNCT
»,--,PUNCT
Ich,ich,PRON
bin,sein,AUX
unaussprechlich,unaussprechlich,ADV
glücklich,glücklich,ADV
",",--,PUNCT
«,--,PUNCT
schrieb,schreiben,VERB
er,er,PRON
von,von,ADP
hier,hier,ADV
aus,aus,ADP
an,an,ADP
die,der,DET
Seinen,sein,PRON
",",--,PUNCT
»,--,PUNCT
ich,ich,PRON
habe,haben,AUX
etwas,etwas,PRON
geleistet,leisten,VERB
und,und,CCONJ
fühle,fühlen,VERB
",",--,PUNCT
daß,daß,SCONJ
",",--,PUNCT
ich,ich,PRON
noch,noch,ADV
Höheres,Höheres,NOUN
leisten,leisten,VERB
kann,können,AUX
;,--,PUNCT
ich,ich,PRON
bin,sein,AUX
geachtet,achten,VERB
",",--,PUNCT
geehrt,ehren,VERB
",",--,PUNCT
geliebt,lieben,VERB
und,und,CCONJ
",",--,PUNCT
was,was,PRON
das,der,DET
Höchste,Höchste,NOUN
ist,sein,AUX
",",--,PUNCT
ich,ich,PRON
weiß,wissen,VERB
",",--,PUNCT
daß,daß,SCONJ
zu,zu,ADP
Hause,Haus,NOUN
ein,ein,DET
Wesen,Wesen,NOUN
meiner,mein,DET
wartet,warten,VERB
",",--,PUNCT
das,der,PRON
mich,mich,PRON
zum,zu,ADP
Glücklichsten,Glücklichst,NOUN
aller,aller,DET
Sterblichen,sterbliche,NOUN
machen,machen,VERB
wird,werden,AUX
.,--,PUNCT
«,--,PUNCT
In,in,ADP
Gesellschaft,Gesellschaft,NOUN
der,der,DET
vorhin,vorhin,ADV
erwähnten,erwähnt,ADJ
Freunde,Freund,NOUN
hat,haben,AUX
er,er,PRON
natürlich,natürlich,ADV
auch,auch,ADV
dem,der,PRON
schon,schon,ADV
damals,damals,ADV
als,als,ADP
Sehenswürdigkeit,Sehenswürdigkeit,NOUN
bekannten,bekannt,ADJ
Bremer,Bremer,ADJ
Ratskeller,Ratskeller,PROPN
einen,ein,DET
Besuch,Besuch,NOUN
abstatten,abstatten,VERB
müssen,müssen,AUX
",",--,PUNCT
und,und,CCONJ
es,es,PRON
ist,sein,AUX
wohl,wohl,ADV
möglich,möglich,ADV
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
dabei,dabei,ADV
die,der,DET
Bekanntschaft,Bekanntschaft,NOUN
einiger,einiger,DET
der,der,DET
Weingeister,Weingeister,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
später,spät,ADV
in,in,ADP
den,der,DET
Phantasien,Phantasie,NOUN
personifizierte,personifizieren,VERB
und,und,CCONJ
zu,zu,ADP
Worte,Wort,NOUN
kommen,kommen,VERB
ließ,lassen,VERB
",",--,PUNCT
in,in,ADP
der,der,DET
oder,oder,CCONJ
jener,jener,DET
Form,Form,NOUN
wirklich,wirklich,ADV
gemacht,machen,VERB
hat,haben,AUX
.,--,PUNCT
Jedenfalls,jedenfalls,ADV
waren,sein,AUX
es,es,PRON
Erinnerungen,Erinnerung,NOUN
der,der,DET
erfreulichsten,erfreulich,ADJ
Art,Art,NOUN
",",--,PUNCT
die,der,PRON
ihm,ihm,PRON
einige,einiger,DET
Wochen,Woche,NOUN
nach,nach,ADP
seiner,sein,DET
Rückkehr,Rückkehr,NOUN
in,in,ADP
die,der,DET
Heimat,Heimat,NOUN
",",--,PUNCT
die,der,DET
Feder,Feder,NOUN
in,in,ADP
die,der,DET
Hand,Hand,NOUN
drückten,drücken,VERB
und,und,CCONJ
ihn,ihn,PRON
–,--,PUNCT
in,in,ADP
dankbarem,dankbarer,ADJ
Gedenken,gedenken,NOUN
der,der,DET
fröhlichen,fröhlich,ADJ
Stunden,Stunde,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
im,in,ADP
Kreise,Kreis,NOUN
seiner,sein,DET
ehemaligen,ehemalig,ADJ
Gastgeber,Gastgeber,NOUN
verleben,verleben,VERB
durfte,dürfen,AUX
–,--,PUNCT
zum,zu,ADP
Lobe,Lobe,NOUN
des,der,DET
deutschen,deutsch,ADJ
Weines,Wein,NOUN
",",--,PUNCT
zu,zu,ADP
einem,ein,DET
historisch-poetischen,historisch-poetisch,ADJ
Denkmale,Denkmale,NOUN
des,der,DET
Bremer,Bremer,ADJ
Ratskellers,Ratskeller,NOUN
begeisterten,begeisteren,VERB
.,--,PUNCT
Alle,aller,DET
anderen,anderer,ADJ
Werke,Werk,NOUN
Hauffs,Hauff,NOUN
haben,haben,AUX
schon,schon,ADV
zur,zu,ADP
Zeit,Zeit,NOUN
ihres,ihr,DET
Erscheinens,Erscheinen,NOUN
neben,neben,ADP
der,der,DET
meist,meist,ADV
anerkennenden,anerkennend,ADJ
Kritik,Kritik,NOUN
zu,zu,ADP
mancherlei,mancherlei,PRON
Ausstellungen,Ausstellung,NOUN
Anlaß,Anlaß,NOUN
gegeben,geben,VERB
;,--,PUNCT
über,über,ADP
die,der,DET
»,--,PUNCT
Phantasien,Phantasie,NOUN
«,--,PUNCT
ist,sein,AUX
irgend,irgend,ADV
ein,ein,DET
absprechendes,absprechend,ADJ
Urteil,Urteil,NOUN
nie,nie,ADV
laut,laut,ADV
geworden,werden,AUX
.,--,PUNCT
Man,man,PRON
hat,haben,VERB
sogar,sogar,ADV
diese,dieser,DET
an,an,ADP
Umfang,Umfang,NOUN
so,so,ADV
kleine,klein,ADJ
Arbeit,Arbeit,NOUN
die,der,DET
vorzüglichste,vorzüglich,ADJ
unseres,unser,DET
Dichters,Dichter,NOUN
genannt,nennen,VERB
.,--,PUNCT
Ob,ob,SCONJ
mit,mit,ADP
Recht,Recht,NOUN
?,--,PUNCT
In,in,ADP
poetischer,poetisch,ADJ
Beziehung,Beziehung,NOUN
ist,sein,AUX
sie,sie,PRON
zusammen,zusammen,ADV
mit,mit,ADP
jener,jener,DET
kurzen,kurz,NOUN
den,der,DET
Märchen,Märche,NOUN
vorangestellten,vorangestellt,ADJ
Einleitung,Einleitung,NOUN
",",--,PUNCT
der,der,PRON
Erzählung,Erzählung,NOUN
von,von,ADP
dem,der,DET
Walten,Walt,NOUN
der,der,DET
Königin,Königin,NOUN
Phantasie,Phantasie,NOUN
",",--,PUNCT
entschieden,entscheiden,VERB
in,in,ADP
die,der,DET
erste,erster,ADJ
Reihe,Reihe,NOUN
zu,zu,PART
setzen,setzen,VERB
.,--,PUNCT
Es,es,PRON
liegt,liegen,VERB
über,über,ADP
ihr,ihr,PRON
",",--,PUNCT
so,so,ADV
natürlich,natürlich,ADV
sie,sie,PRON
sich,sich,PRON
sonst,sonst,ADV
darstellt,darstellen,VERB
",",--,PUNCT
so,so,ADV
leicht,leicht,ADV
sie,sie,PRON
hingeworfen,hinwerfen,VERB
scheint,scheinen,VERB
",",--,PUNCT
ein,ein,DET
Hauch,Hauch,NOUN
jugendfrischen,jugendfrischen,ADJ
Lebensmutes,Lebensmut,NOUN
",",--,PUNCT
studentisch-fidelen,studentisch-fidelen,NOUN
",",--,PUNCT
urwüchsigen,urwüchsig,ADJ
Treibens,Treiben,NOUN
",",--,PUNCT
aber,aber,CCONJ
auch,auch,ADV
tief-ernster,tief-ernst,ADJ
Wehmut,Wehmut,NOUN
.,--,PUNCT
Mit,mit,ADP
diesem,dieser,DET
Wechsel,Wechsel,NOUN
des,der,DET
Tones,Ton,NOUN
paart,paaren,VERB
sich,sich,PRON
eine,ein,DET
Reihe,Reihe,NOUN
scheinbar,scheinbar,ADV
völlig,völlig,ADV
divergierender,divergierend,ADV
und,und,CCONJ
doch,doch,ADV
mühelos,mühelos,ADV
in,in,ADP
Zusammenhang,Zusammenhang,NOUN
gebrachter,gebracht,ADJ
Gedankenketten,Gedankenkett,NOUN
.,--,PUNCT
Bilder,Bild,NOUN
aus,aus,ADP
der,der,DET
eignen,eign,VERB
Vergangenheit,Vergangenheit,NOUN
",",--,PUNCT
die,der,PRON
der,der,DET
Dichter,Dichter,NOUN
in,in,ADP
stiller,still,ADJ
Einkehr,Einkehr,NOUN
in,in,ADP
sich,sich,PRON
selbst,selbst,ADV
an,an,ADP
seiner,sein,DET
Seele,Seele,NOUN
vorüberziehen,vorüberziehen,VERB
läßt,lassen,VERB
",",--,PUNCT
und,und,CCONJ
Erinnerungen,Erinnerung,NOUN
aus,aus,ADP
der,der,DET
deutschen,deutsch,ADJ
",",--,PUNCT
beziehungsweise,beziehungsweise,CCONJ
Bremer,Bremer,ADJ
Geschichte,Geschichte,NOUN
gehen,gehen,VERB
Hand,Hand,NOUN
in,in,ADP
Hand,Hand,NOUN
mit,mit,ADP
dem,der,DET
Streben,Streben,NOUN
",",--,PUNCT
die,der,PRON
Geister,Geist,NOUN
der,der,DET
verschiedenen,verschieden,ADJ
Weinsorten,Weinsort,NOUN
nach,nach,ADP
Geschmack,Geschmack,NOUN
und,und,CCONJ
Stärke,Stärke,NOUN
zur,zu,ADP
Geltung,Geltung,NOUN
zu,zu,ADP
bringen,bringen,VERB
und,und,CCONJ
die,der,DET
Vorzüge,Vorzug,NOUN
des,der,DET
Rheinweins,Rheinwein,PROPN
gegenüber,gegenüber,ADP
den,der,DET
»,--,PUNCT
gefärbten,gefärbten,ADJ
«,--,PUNCT
",",--,PUNCT
»,--,PUNCT
von,von,ADP
allerlei,Allerlei,PRON
Schnaps,Schnaps,NOUN
und,und,CCONJ
Syrup,Syrup,PROPN
gebrauten,gebraut,VERB
«,--,PUNCT
ausländischen,ausländisch,ADJ
Marken,Marke,NOUN
zu,zu,PART
preisen,preisen,VERB
.,--,PUNCT
Manch,Manch,DET
übermütiges,übermütig,ADJ
Wörtlein,Wörtlein,NOUN
des,der,DET
munteren,munter,ADJ
Bacchus,Bacchu,NOUN
",",--,PUNCT
manch,manch,DET
kräftiges,kräftig,ADJ
Wort,Wort,NOUN
des,der,DET
steinernen,steinern,ADJ
Roland,Roland,NOUN
dringt,dringen,VERB
da,da,ADV
an,an,ADP
das,der,DET
Ohr,Ohr,NOUN
des,der,DET
»,--,PUNCT
zum,zu,ADP
Doktor,Doktor,NOUN
der,der,DET
Philosophie,Philosophie,NOUN
graduierten,graduiert,ADJ
Menschen,Mensch,NOUN
«,--,PUNCT
",",--,PUNCT
der,der,PRON
es,es,PRON
wagte,wagen,VERB
",",--,PUNCT
zur,zu,ADP
Geisterstunde,Geisterstunde,NOUN
des,der,DET
1.,1.,ADJ
September,September,NOUN
in,in,ADP
jenen,jener,DET
geheimnisvollen,geheimnisvoll,ADJ
Räumen,Raum,NOUN
zu,zu,ADP
trinken,trinken,VERB
und,und,CCONJ
–,--,PUNCT
zu,zu,PART
träumen,träumen,VERB
.,--,PUNCT
Ein,ein,DET
buntes,bunt,ADJ
",",--,PUNCT
lustiges,lustig,ADJ
Durcheinander,Durcheinander,NOUN
",",--,PUNCT
der,der,DET
Stimmung,Stimmung,NOUN
",",--,PUNCT
der,der,PRON
die,der,DET
»,--,PUNCT
Phantasien,Phantasie,NOUN
«,--,PUNCT
entsprechen,entsprechen,VERB
sollen,sollen,AUX
",",--,PUNCT
ganz,ganz,ADV
angepaßt,anpassen,VERB
",",--,PUNCT
bieten,bieten,VERB
sie,sie,PRON
in,in,ADP
rascher,rasch,ADV
Aufeinanderfolge,Aufeinanderfolg,NOUN
in,in,ADP
einer,ein,DET
Sprache,Sprache,NOUN
",",--,PUNCT
die,der,PRON
–,--,PUNCT
frei,frei,ADV
von,von,ADP
allem,alle,PRON
unnötigen,unnötig,ADJ
Beiwerk,Beiwerk,NOUN
–,--,PUNCT
sich,sich,PRON
wesentlich,wesentlich,ADV
von,von,ADP
der,der,DET
Ausdrucksweise,Ausdrucksweise,NOUN
der,der,DET
»,--,PUNCT
Memoiren,Memoire,NOUN
«,--,PUNCT
und,und,CCONJ
des,der,DET
»,--,PUNCT
Mannes,Mann,NOUN
im,in,ADP
Mond,Mond,NOUN
«,--,PUNCT
unterscheidet,unterscheiden,VERB
.,--,PUNCT
Hier,hier,ADV
spricht,sprechen,VERB
wieder,wieder,ADV
einmal,einmal,ADV
der,der,DET
echte,echt,ADJ
",",--,PUNCT
unverfälschte,unverfälscht,ADJ
Hauff,Hauff,PROPN
",",--,PUNCT
unbeeinflußt,unbeeinflußt,ADV
von,von,ADP
aller,aller,DET
fremden,fremd,ADJ
Manier,Manier,NOUN
",",--,PUNCT
zu,zu,ADP
uns,uns,PRON
",",--,PUNCT
und,und,CCONJ
das,der,PRON
macht,machen,VERB
uns,uns,PRON
dieses,dieser,DET
kleine,klein,ADJ
",",--,PUNCT
anspruchslose,anspruchslos,ADJ
Kabinettstück,Kabinettstück,NOUN
besonders,besonders,ADV
wertvoll,wertvoll,ADV
.,--,PUNCT
Die,der,DET
»,--,PUNCT
Phantasien,Phantasie,NOUN
im,in,ADP
Bremer,Bremer,ADJ
Ratskeller,Ratskeller,PROPN
«,--,PUNCT
wurden,werden,AUX
zunächst,zunächst,ADV
in,in,ADP
W.,W.,PROPN
Härings,Häring,PROPN
(,--,PUNCT
Wilibald,Wilibald,PROPN
Alexis,Alexis,NOUN
),--,PUNCT
»,--,PUNCT
Berliner,Berliner,ADJ
Konversationsblatt,Konversationsblatt,NOUN
für,für,ADP
Poesie,Poesie,NOUN
",",--,PUNCT
Literatur,Literatur,NOUN
und,und,CCONJ
Kritik,Kritik,NOUN
«,--,PUNCT
(,--,PUNCT
Nummer,Nummer,NOUN
90,90,NUM
bis,bis,CCONJ
103,103,NUM
v.,v.,ADJ
Jahre,Jahr,NOUN
1827,1827,NUM
),--,PUNCT
abgedruckt,abdrucken,VERB
.,--,PUNCT
Als,als,ADP
Buch,Buch,NOUN
erschienen,erscheinen,VERB
sie,sie,PRON
–,--,PUNCT
mehrfach,mehrfach,ADV
verändert,verändern,VERB
–,--,PUNCT
im,in,ADP
Herbst,Herbst,NOUN
1827,1827,NUM
bei,bei,ADP
Gebrüder,Gebrüder,NOUN
Franckh,Franckh,PROPN
in,in,ADP
Stuttgart,Stuttgart,PROPN
.,--,PUNCT
»,--,PUNCT
Die,der,DET
Bücher,Buch,NOUN
und,und,CCONJ
die,der,DET
Leserwelt,Leserwelt,NOUN
«,--,PUNCT
verfaßte,verfaßt,ADJ
Hauff,Hauff,PROPN
im,in,ADP
Sommer,Sommer,NOUN
1826,1826,NUM
für,für,ADP
das,der,DET
»,--,PUNCT
Morgenblatt,Morgenblatt,NOUN
«,--,PUNCT
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Skizze,Skizze,NOUN
unter,unter,ADP
dem,der,DET
Titel,Titel,NOUN
»,--,PUNCT
Bilder,Bild,NOUN
von,von,ADP
W.,W.,PROPN
H.,H.,PROPN
«,--,PUNCT
in,in,ADP
Nr.,Nr.,NOUN
85,85,NUM
bis,bis,CCONJ
90,90,NUM
steht,stehen,VERB
.,--,PUNCT
Nach,nach,ADP
seinem,sein,DET
Tode,Tod,NOUN
veranstalteten,veranstalten,VERB
einige,einige,PRON
seiner,sein,DET
Freunde,Freund,NOUN
eine,ein,DET
Sammlung,Sammlung,NOUN
der,der,DET
in,in,ADP
verschiedenen,verschieden,ADJ
Zeitschriften,Zeitschrift,NOUN
abgedruckten,abgedruckt,ADJ
kleineren,klein,ADJ
Aufsätze,Aufsatz,NOUN
unter,unter,ADP
dem,der,DET
Namen,Name,NOUN
»,--,PUNCT
Phantasien,Phantasie,NOUN
