Token,Lemma,POS
W.,W.,PROPN
H.,H.,PROPN
Riehl,Riehl,PROPN
Die,der,DET
Werke,Werk,NOUN
der,der,DET
Barmherzigkeit,Barmherzigkeit,NOUN
.,--,PUNCT
(,--,PUNCT
1846,1846,NUM
und,und,CCONJ
1856,1856,NUM
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Der,der,DET
junge,jung,ADJ
Grobschmied,Grobschmied,NOUN
Konrad,Konrad,PROPN
vom,von,ADP
Weyher,Weyher,NOUN
stand,stehen,VERB
vor,vor,ADP
dem,der,DET
Amboß,Amboß,NOUN
.,--,PUNCT
»,--,PUNCT
Tummle,Tummle,X
dich,dich,PRON
",",--,PUNCT
Gesell,Gesell,NOUN
!,--,PUNCT
den,der,DET
Takt,Takt,NOUN
gehalten,halten,VERB
!,--,PUNCT
«,--,PUNCT
rief,rufen,VERB
er,er,PRON
lachend,lachend,ADV
",",--,PUNCT
indes,indes,ADV
er,er,PRON
den,der,DET
wuchtigen,wuchtig,ADJ
Hammer,Hammer,NOUN
leicht,leicht,ADV
und,und,CCONJ
sicher,sicher,ADV
durch,durch,ADP
die,der,DET
Luft,Luft,NOUN
schwang,schwingen,VERB
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Funkengarben,Funkengarbe,NOUN
beim,bei,ADP
Niederschlag,Niederschlag,NOUN
den,der,DET
ganzen,ganz,ADJ
dämmerigen,dämmerig,ADJ
Raum,Raum,NOUN
durchsprühten,durchsprühten,VERB
und,und,CCONJ
