Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Heinrich,Heinrich,PROPN
Riehl,Riehl,PROPN
Durch,durch,ADP
tausend,tausend,NUM
Jahre,Jahr,NOUN
–,--,PUNCT
Vierter,Vierter,NOUN
Band,Band,NOUN
Fünfzig,fünfzig,NUM
kulturgeschichtliche,kulturgeschichtlich,ADJ
Novellen,Novellen,NOUN
In,in,ADP
der,der,DET
vom,von,ADP
Dichter,Dichter,NOUN
selbst,selbst,ADV
gewünschten,gewünscht,ADJ
Anordnung,Anordnung,NOUN
zum,zu,ADP
ersten,erster,ADJ
Male,Mal,NOUN
herausgegeben,herausgeben,VERB
von,von,ADP
Hans,Hans,PROPN
Löwe,Löwe,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Seines,sein,DET
Vaters,Vater,NOUN
Sohn,Sohn,NOUN
Der,der,DET
verrückte,verrückt,ADJ
Holländer,Holländer,NOUN
Gradus,Gradus,PROPN
ad,ad,X
Parnassum,Parnassum,PROPN
Der,der,DET
Märzminister,Märzminister,NOUN
Das,der,DET
Theaterkind,Theaterkind,NOUN
Am,an,ADP
Quell,Quell,NOUN
der,der,DET
Genesung,Genesung,NOUN
Das,der,DET
verlorene,verloren,ADJ
Paradies,Paradies,NOUN
Die,der,DET
Dichterprobe,Dichterprobe,NOUN
Der,der,DET
Dichter,Dichter,NOUN
über,über,ADP
sein,sein,DET
Werk,Werk,NOUN
Nachwort,Nachwort,NOUN
des,der,DET
Herausgebers,Herausgeber,NOUN
Die,der,DET
Novellen,Novelle,NOUN
W.,W.,PROPN
H.,H.,PROPN
Riehls,Riehls,PROPN
in,in,ADP
der,der,DET
Reihenfolge,Reihenfolge,NOUN
ihres,ihr,DET
Erscheinens,Erscheinen,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
