Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Heinrich,Heinrich,PROPN
Riehl,Riehl,PROPN
Durch,durch,ADP
tausend,tausend,NUM
Jahre,Jahr,NOUN
–,--,PUNCT
Zweiter,Zweiter,ADJ
Band,Band,NOUN
Fünfzig,fünfzig,NUM
kulturgeschichtliche,kulturgeschichtlich,ADJ
Novellen,Novellen,NOUN
In,in,ADP
der,der,DET
vom,von,ADP
Dichter,Dichter,NOUN
selbst,selbst,ADV
gewünschten,gewünscht,ADJ
Anordnung,Anordnung,NOUN
zum,zu,ADP
ersten,erster,ADJ
Male,Mal,NOUN
herausgegeben,herausgeben,VERB
von,von,ADP
Hans,Hans,PROPN
Löwe,Löwe,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Die,der,DET
Lehrjahre,Lehrjahr,NOUN
eines,ein,DET
Humanisten,Humanist,NOUN
Mein,mein,DET
Recht,Recht,NOUN
Jörg,Jörg,PROPN
Muckenhuber,Muckenhuber,PROPN
Wanda,Wanda,PROPN
Zaluska,Zaluska,PROPN
Der,der,DET
Fluch,Fluch,NOUN
der,der,DET
Schönheit,Schönheit,NOUN
Gräfin,Gräfin,NOUN
Ursula,Ursula,PROPN
Die,der,DET
Werke,Werk,NOUN
der,der,DET
Barmherzigkeit,Barmherzigkeit,NOUN
Die,der,DET
rechte,recht,ADJ
Mutter,Mutter,NOUN
Fürst,Fürst,NOUN
und,und,CCONJ
Kanzler,Kanzler,NOUN
Reiner,Reiner,PROPN
Wein,Wein,NOUN
Die,der,DET
Hochschule,Hochschule,NOUN
der,der,DET
Demut,Demut,NOUN
Ungeschriebene,Ungeschriebene,ADJ
Briefe,Brief,NOUN
Rheingauer,Rheingauer,NOUN
Deutsch,Deutsch,PROPN
Amphion,Amphion,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
