Token,Lemma,POS
W.,W.,PROPN
H.,H.,PROPN
Riehl,Riehl,PROPN
Gräfin,Gräfin,NOUN
Ursula,Ursula,PROPN
.,--,PUNCT
(,--,PUNCT
1856,1856,NUM
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Im,in,ADP
Schlosse,Schloß,NOUN
zu,zu,ADP
Hadamar,Hadamar,PROPN
saß,sitzen,VERB
Frau,Frau,NOUN
Gräfin,Gräfin,PROPN
Ursula,Ursula,PROPN
",",--,PUNCT
des,der,DET
Grafen,Graf,NOUN
Johann,Johann,PROPN
Ludwig,Ludwig,PROPN
von,von,PROPN
Nassau-Hadamar,Nassau-Hadamar,PROPN
Gemahlin,Gemahlin,PROPN
",",--,PUNCT
und,und,CCONJ
führte,führen,VERB
die,der,DET
Nähnadel,Nähnadel,NOUN
so,so,ADV
emsig,emsig,ADV
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Kammerfrau,Kammerfrau,NOUN
",",--,PUNCT
gleich,gleich,ADV
ihr,ihr,PRON
mit,mit,ADP
weiblicher,weiblich,ADJ
Handarbeit,Handarbeit,NOUN
beschäftigt,beschäftigen,VERB
",",--,PUNCT
kaum,kaum,ADV
in,in,ADP
die,der,DET
Wette,Wette,NOUN
nähen,nähen,VERB
konnte,können,AUX
.,--,PUNCT
Der,der,DET
erste,erster,ADJ
Blick,Blick,NOUN
ließ,lassen,VERB
in,in,ADP
der,der,DET
Gräfin,Gräfin,NOUN
die,der,DET
