Token,Lemma,POS
W.,W.,PROPN
H.,H.,PROPN
Riehl,Riehl,PROPN
Meister,Meister,NOUN
Martin,Martin,PROPN
Hildebrand,Hildebrand,PROPN
.,--,PUNCT
(,--,PUNCT
1847.,1847.,PROPN
),--,PUNCT
Einen,ein,DET
würdigeren,würdig,ADJ
Greis,Greis,NOUN
habe,haben,AUX
ich,ich,PRON
niemals,niemals,ADV
gesehen,sehen,VERB
als,als,ADP
den,der,DET
alten,alt,ADJ
Schlossermeister,Schlossermeister,NOUN
Martin,Martin,PROPN
Hildebrand,Hildebrand,PROPN
",",--,PUNCT
den,der,DET
Patriarchen,Patriarch,NOUN
meiner,mein,DET
Vaterstadt,Vaterstadt,NOUN
;,--,PUNCT
in,in,ADP
kräftigeren,kräftig,ADJ
Jahren,Jahr,NOUN
gewaltig,gewaltig,ADV
mit,mit,ADP
Zange,Zange,NOUN
und,und,CCONJ
Hammer,Hammer,NOUN
",",--,PUNCT
in,in,ADP
alten,alt,ADJ
Tagen,Tag,NOUN
gewaltig,gewaltig,ADV
im,in,ADP
Rat,Rat,NOUN
und,und,CCONJ
in,in,ADP
der,der,DET
Rede,Rede,NOUN
und,und,CCONJ
in,in,ADP
traulicher,traulich,ADJ
Erzählung,Erzählung,NOUN
aus,aus,ADP
vergangener,vergangen,ADJ
Zeit,Zeit,NOUN
.,--,PUNCT
Der,der,DET
alte,alt,ADJ
Hildebrand,Hildebrand,NOUN
war,sein,AUX
der,der,DET
letzte,letzter,ADJ
Mann,Mann,NOUN
im,in,ADP
Orte,Ort,NOUN
",",--,PUNCT
der,der,PRON
noch,noch,ADV
einen,ein,DET
Zopf,Zopf,NOUN
trug,tragen,VERB
",",--,PUNCT
den,der,DET
einzigen,einzig,ADJ
echten,echt,ADJ
Zopf,Zopf,NOUN
",",--,PUNCT
den,der,PRON
ich,ich,PRON
noch,noch,ADV
mit,mit,ADP
eigenen,eigen,ADJ
Augen,Auge,NOUN
geschaut,schauen,VERB
.,--,PUNCT
Kein,kein,DET
böser,böse,ADJ
Bube,Bube,NOUN
hätte,haben,AUX
ihn,ihn,PRON
drum,drum,ADV
zu,zu,PART
höhnen,höhnen,VERB
gewagt,wagen,VERB
.,--,PUNCT
Vornehm,Vornehm,PROPN
und,und,CCONJ
Gering,Gering,PROPN
hatten,haben,AUX
Respekt,Respekt,NOUN
vor,vor,ADP
dem,der,DET
Meister,Meister,NOUN
",",--,PUNCT
und,und,CCONJ
unter,unter,ADP
den,der,DET
Handwerksleuten,Handwerksleut,NOUN
galt,gelten,VERB
er,er,PRON
dazu,dazu,ADV
für,für,ADP
ein,ein,DET
Licht,Licht,NOUN
