Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Heinrich,Heinrich,PROPN
Riehl,Riehl,PROPN
Rheingauer,Rheingauer,NOUN
Deutsch,Deutsch,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Von,von,ADP
1708,1708,NUM
auf,auf,ADP
neun,neun,NUM
war,sein,AUX
der,der,DET
kalte,kalt,ADJ
Winter,Winter,NOUN
",",--,PUNCT
der,der,DET
kälteste,kälte,ADJ
des,der,DET
Jahrhunderts,Jahrhundert,NOUN
.,--,PUNCT
Tausend,tausend,NUM
Menschen,Mensch,NOUN
gingen,gehen,VERB
elend,elend,ADV
zu,zu,ADP
Grunde,Grund,NOUN
",",--,PUNCT
die,der,DET
Vögel,Vogel,NOUN
fielen,fallen,VERB
tot,tot,ADV
aus,aus,ADP
der,der,DET
Luft,Luft,NOUN
",",--,PUNCT
das,der,DET
Wild,Wild,NOUN
erfror,erfrieren,VERB
im,in,ADP
Walde,Walde,NOUN
",",--,PUNCT
durch,durch,ADP
lange,lang,ADJ
Wochen,Woche,NOUN
konnte,können,AUX
man,man,PRON
bei,bei,ADP
Mainz,Mainz,PROPN
mit,mit,ADP
vierspännigen,vierspännige,NOUN
Frachtwagen,Frachtwag,NOUN
über,über,ADP
den,der,DET
Rhein,Rhein,PROPN
fahren,fahren,VERB
.,--,PUNCT
Dann,dann,ADV
brachte,bringen,VERB
plötzliches,plötzlich,ADJ
Tauwetter,Tauwetter,NOUN
den,der,DET
verwüstenden,verwüstend,ADJ
Eisgang,Eisgang,NOUN
",",--,PUNCT
ein,ein,DET
voreiliger,voreilig,ADJ
Frühling,Frühling,NOUN
lockte,locken,VERB
die,der,DET
Knospen,Knospe,NOUN
und,und,CCONJ
Blätter,Blatt,NOUN
aus,aus,ADP
den,der,DET
Bäumen,Baum,NOUN
",",--,PUNCT
allein,allein,ADV
der,der,DET
laue,lau,ADJ
Südwest,Südwest,NOUN
wurde,werden,AUX
im,in,ADP
Mai,Mai,NOUN
wieder,wieder,ADV
durch,durch,ADP
eisigen,eisige,VERB
Nordsturm,Nordsturm,PROPN
zurückgeschlagen,zurückschlagen,VERB
