Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Jensen,Jensen,PROPN
Karin,Karin,PROPN
von,von,ADP
Schweden,Schweden,PROPN
Novelle,Novelle,NOUN
1913,1913,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Capitel,Capitel,NOUN
.,--,PUNCT
Das,der,PRON
sind,sein,AUX
die,der,DET
Fälle,Fall,NOUN
von,von,ADP
Trollhätta,Trollhätta,PROPN
.,--,PUNCT
–,--,PUNCT
Sie,sie,PRON
rauschen,rauschen,VERB
seit,seit,ADP
tausend,tausend,NUM
",",--,PUNCT
tausend,tausend,NUM
Jahren,Jahr,NOUN
",",--,PUNCT
ehe,ehe,SCONJ
ein,ein,DET
Ohr,Ohr,NOUN
da,da,ADV
war,sein,AUX
",",--,PUNCT
sie,sie,PRON
zu,zu,PART
vernehmen,vernehmen,VERB
.,--,PUNCT
Weit,weit,ADV
über,über,ADP
die,der,DET
Felsen,Fels,NOUN
sprühen,sprühen,VERB
sie,sie,PRON
ihren,ihr,DET
silbernen,silbern,ADJ
Staub,Staub,NOUN
",",--,PUNCT
darauf,darauf,ADV
die,der,DET
Sonnenlichter,Sonnenlichter,NOUN
in,in,ADP
freudigen,freudig,ADJ
Farben,Farbe,NOUN
glänzen,glänzen,VERB
und,und,CCONJ
gleißen,gleißen,VERB
.,--,PUNCT
Drunten,drunter,NOUN
aber,aber,ADV
unter,unter,ADP
dem,der,DET
blendenden,blendend,ADJ
majestätischen,majestätisch,ADJ
Schleier,Schleier,NOUN
wogen,wogen,VERB
und,und,CCONJ
wallen,wallen,VERB
die,der,DET
stürzenden,stürzende,ADJ
",",--,PUNCT
stürmischen,stürmischen,VERB
Wasser,Wasser,NOUN
.,--,PUNCT
Das,der,PRON
sind,sein,AUX
die,der,DET
