Token,Lemma,POS
Die,der,DET
Bernsteinhexe,Bernsteinhexe,PROPN
Maria,Maria,PROPN
Schweidler,Schweidler,PROPN
Der,der,DET
interessanteste,interessantester,ADJ
aller,aller,DET
bekannten,bekannt,ADJ
Hexenprozesse,Hexenprozesse,NOUN
Nach,nach,ADP
einer,ein,DET
defekten,defekt,ADJ
Handschrift,Handschrift,NOUN
ihres,ihr,DET
Vaters,Vater,NOUN
",",--,PUNCT
des,der,DET
Pfarrers,Pfarrer,NOUN
Abraham,Abraham,PROPN
Schweidler,Schweidler,PROPN
in,in,ADP
Koserow,Koserow,PROPN
auf,auf,ADP
Usedom,Usedom,PROPN
",",--,PUNCT
herausgegeben,herausgeben,VERB
von,von,ADP
Wilhelm,Wilhelm,PROPN
Meinhold,Meinhold,PROPN
Doktor,Doktor,NOUN
der,der,DET
Theologie,Theologie,NOUN
und,und,CCONJ
Pfarrer,Pfarrer,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
:,--,PUNCT
Vorrede,Vorreder,NOUN
7.,7.,ADJ
Kapitel,Kapitel,NOUN
 , ,SPACE
Wie,wie,ADV
die,der,DET
Kaiserlichen,Kaiserlichen,NOUN
mir,mir,PRON
alles,aller,DET
übrige,übrig,ADJ
geraubet,Geraubet,NOUN
",",--,PUNCT
auch,auch,ADV
die,der,DET
Kirchen,Kirche,NOUN
erbrochen,erbrochen,VERB
und,und,CCONJ
die,der,DET
vasa,Vasa,PROPN
sacra,Sacra,PROPN
entwendet,entwenden,VERB
",",--,PUNCT
item,it,NOUN
was,was,PRON
sonsten,sonst,VERB
fürgefallen,fürgefallen,VERB
8.,8.,ADJ
Kapitel,Kapitel,NOUN
 , ,SPACE
Wie,wie,ADV
unsere,unser,DET
Not,Not,NOUN
immer,immer,ADV
größer,groß,ADV
wird,werden,AUX
",",--,PUNCT
ich,ich,PRON
die,der,DET
alte,alt,ADJ
Ilse,Ils,NOUN
mit,mit,ADP
einem,ein,DET
anderen,anderer,ADJ
Schreiben,Schreiben,NOUN
gen,gen,ADP
Pudagla,Pudagla,NOUN
sandte,sanden,VERB
",",--,PUNCT
und,und,CCONJ
was,was,PRON
mir,mir,PRON
daraus,daraus,ADV
noch,noch,ADV
für,für,ADP
ein,ein,DET
größer,größ,ADJ
Leid,Leid,NOUN
erfolget,erfolget,NOUN
9.,9.,ADJ
Kapitel,Kapitel,NOUN
 , ,SPACE
Wie,wie,ADV
mich,mich,PRON
die,der,DET
alte,alt,ADJ
Magd,Magd,NOUN
mit,mit,ADP
ihrem,ihr,DET
Glauben,Glaube,NOUN
demütigt,demütigen,VERB
und,und,CCONJ
der,der,DET
Herr,Herr,NOUN
mich,sich,PRON
unwürdigen,unwürdig,ADJ
Knecht,Knecht,NOUN
dennoch,dennoch,ADV
gesegnet,segnen,VERB
10.,10.,ADJ
Kapitel,Kapitel,NOUN
 , ,SPACE
Wie,wie,SCONJ
wir,wir,PRON
nach,nach,ADP
Wolgast,Wolgast,NOUN
reisen,reisen,VERB
und,und,CCONJ
daselbsten,daselbsten,VERB
gute,gut,ADJ
Kaufmannschaft,Kaufmannschaft,NOUN
halten,halten,VERB
11.,11.,ADJ
Kapitel,Kapitel,NOUN
