Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Das,der,DET
Horn,Horn,NOUN
von,von,ADP
Wanza,Wanza,PROPN
Eine,ein,DET
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Vorwort,Vorwort,NOUN
zur,zu,ADP
zweiten,zweiter,ADJ
Auflage,Auflage,NOUN
Hoffentlich,hoffentlich,ADV
ist,sein,AUX
die,der,DET
Geschichte,Geschichte,NOUN
vom,von,ADP
Horn,Horn,NOUN
von,von,ADP
Wanza,Wanza,PROPN
in,in,ADP
den,der,DET
zwanzig,zwanzig,NUM
Jahren,Jahr,NOUN
seit,seit,ADP
ihrem,ihr,DET
ersten,erster,ADJ
Erscheinen,Erscheinen,NOUN
nicht,nicht,PART
so,so,ADV
sehr,sehr,ADV
veraltet,veralten,VERB
",",--,PUNCT
daß,daß,SCONJ
das,der,DET
heutige,heutig,ADJ
Publikum,Publikum,NOUN
eine,ein,DET
nochmalige,nochmalig,ADJ
Ausgabe,Ausgabe,NOUN
als,als,ADP
eine,ein,DET
Unhöflichkeit,Unhöflichkeit,NOUN
auffassen,auffassen,VERB
könnte,können,AUX
.,--,PUNCT
–,--,PUNCT
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Braunschweig,Braunschweig,PROPN
",",--,PUNCT
im,in,ADP
Brachmond,Brachmond,NOUN
1901,1901,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Den,der,DET
Possenturm,Possenturm,NOUN
bei,bei,ADP
Sondershausen,Sondershausen,PROPN
in,in,ADP
weiter,weit,ADV
Ferne,Ferne,NOUN
vor,vor,ADP
Augen,Auge,NOUN
",",--,PUNCT
wanderte,wanderen,VERB
der,der,DET
Student,Student,NOUN
auf,auf,ADP
der,der,DET
Landstraße,Landstraße,NOUN
dahin,dahin,ADV
.,--,PUNCT
Auf,auf,ADP
einem,einer,PRON
der,der,DET
Berggipfel,Berggipfel,NOUN
des,der,DET
südlichen,südlich,ADJ
Abhanges,abhange,NOUN
des,der,DET
Harzes,Harz,NOUN
hatte,haben,AUX
man,man,PRON
ihm,ihm,PRON
gesagt,sagen,VERB
:,--,PUNCT
»,--,PUNCT
In,in,ADP
der,der,DET
Richtung,Richtung,NOUN
liegt,liegen,VERB
die,der,DET
Ortschaft,Ortschaft,NOUN
;,--,PUNCT
aber,aber,CCONJ
zu,zu,PART
sehen,sehen,VERB
ist,sein,AUX
sie,sie,PRON
von,von,ADP
hier,hier,ADV
nicht,nicht,PART
.,--,PUNCT
Na,na,INTJ
",",--,PUNCT
Sie,sie,PRON
werden,werden,AUX
schon,schon,ADV
hinkommen,hinkommen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
Sie,sie,PRON
sich,sich,PRON
so,so,ADV
in,in,ADP
der,der,DET
Mitte,Mitte,NOUN
zwischen,zwischen,ADP
der,der,DET
Goldenen,golden,ADJ
Aue,Aue,NOUN
und,und,CCONJ
dem,der,DET
Eichsfelde,Eichsfelde,NOUN
halten,halten,VERB
und,und,CCONJ
dann,dann,ADV
und,und,CCONJ
wann,wann,ADV
unterwegs,unterwegs,ADV
nachfragen,nachfragen,VERB
.,--,PUNCT
Da,da,SCONJ
unten,unten,ADV
im,in,ADP
Lande,Land,NOUN
sind,sein,AUX
sie,sie,PRON
ganz,ganz,ADV
bekannt,bekannt,ADV
damit,damit,ADV
.,--,PUNCT
Glückliche,Glückliche,ADJ
Reise,Reise,NOUN
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Wie,wie,ADV
die,der,DET
alte,alt,ADJ
Tante,Tante,NOUN
ausfallen,ausfallen,VERB
wird,werden,AUX
",",--,PUNCT
soll,sollen,AUX
mich,mich,PRON
wundern,wundern,VERB
.,--,PUNCT
An,an,ADP
mir,mir,PRON
soll's,soll's,PRON
nicht,nicht,PART
liegen,liegen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
mich,sich,PRON
nicht,nicht,PART
zum,zu,ADP
Haupterben,Haupterben,NOUN
einsetzt,einsetzen,VERB
oder,oder,CCONJ
