Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Das,der,DET
Odfeld,Odfeld,PROPN
Eine,ein,DET
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
So,so,ADV
ist,sein,AUX
es,es,PRON
also,also,ADV
das,der,DET
Schicksal,Schicksal,NOUN
Deutschlands,Deutschland,PROPN
immer,immer,ADV
gewesen,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
seine,sein,DET
Bewohner,Bewohner,NOUN
",",--,PUNCT
durch,durch,ADP
das,der,DET
Gefühl,Gefühl,NOUN
ihrer,ihr,DET
Tapferkeit,Tapferkeit,NOUN
hingerissen,hingerissen,VERB
",",--,PUNCT
an,an,ADP
allen,aller,DET
Kriegen,Krieg,NOUN
teilnahmen,teilnehmen,VERB
;,--,PUNCT
oder,oder,CCONJ
daß,daß,SCONJ
es,es,PRON
selbst,selbst,ADV
der,der,DET
Schauplatz,Schauplatz,NOUN
blutiger,blutig,ADJ
Auftritte,Auftritt,NOUN
war,sein,AUX
.,--,PUNCT
Daß,daß,SCONJ
",",--,PUNCT
wenn,wenn,SCONJ
über,über,ADP
die,der,PRON
Grenzen,Grenze,NOUN
am,an,ADP
Oronoco,Oronoco,NOUN
Zwist,Zwist,PROPN
entstand,entstehen,VERB
",",--,PUNCT
er,er,PRON
in,in,ADP
Deutschland,Deutschland,PROPN
mußte,müssen,AUX
ausgemacht,ausmachen,VERB
",",--,PUNCT
Canada,Canada,PROPN
auf,auf,ADP
unserm,unserm,ADJ
Boden,Boden,NOUN
erobert,erobern,VERB
werden,werden,AUX
.,--,PUNCT
Holzmindisches,Holzmindisches,ADJ
Wochenblatt,Wochenblatt,NOUN
",",--,PUNCT
45.,45.,ADJ
Stück,Stück,NOUN
",",--,PUNCT
den,der,DET
10.,10.,ADJ
November,November,NOUN
1787,1787,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Dicht,dicht,ADV
am,an,ADP
Odfelde,Odfelde,NOUN
",",--,PUNCT
in,in,ADP
der,der,DET
angenehmsten,angenehmst,ADJ
Mitte,Mitte,NOUN
des,der,DET
Tilithi-,Tilithi,X
oder,oder,CCONJ
auch,auch,ADV
Wikanafeldistan-Gaus,Wikanafeldistan-Gaus,NOUN
",",--,PUNCT
liegt,liegen,VERB
auf,auf,ADP
dem,der,DET
Auerberge,Auerberg,NOUN
über,über,ADP
dem,der,DET
romantischen,romantisch,ADJ
",",--,PUNCT
vom,von,ADP
lustigen,lustig,ADJ
Forstbach,Forstbach,NOUN
durchrauschten,durchrauscht,VERB
",",--,PUNCT
heute,heute,ADV
freilich,freilich,ADV
arg,arg,ADV
durch,durch,ADP
Steinbrecherfäuste,Steinbrecherfäust,NOUN
verwüsteten,verwüstet,ADJ
Hooptal,Hooptal,PROPN
das,der,DET
uralte,uralt,ADJ
Kloster,Kloster,NOUN
Amelungsborn,Amelungsborn,NOUN
.,--,PUNCT
Will,Wollen,AUX
man,man,PRON
die,der,DET
Geschichten,Geschichte,NOUN
",",--,PUNCT
die,der,DET
ich,ich,PRON
hiervon,hiervon,ADV
erzählen,erzählen,VERB
kann,können,AUX
",",--,PUNCT
anhören,anhören,VERB
",",--,PUNCT
so,so,ADV
ist,sein,AUX
es,es,PRON
mir,mir,PRON
recht,Recht,NOUN
.,--,PUNCT
Wenn,wenn,SCONJ
nicht,nicht,PART
",",--,PUNCT
muß,müssen,AUX
ich,ich,PRON
mir,sich,PRON
das,der,PRON
auch,auch,ADV
gefallen,gefallen,VERB
lassen,lassen,VERB
und,und,CCONJ
rede,Rede,NOUN
von,von,ADP
den,der,DET
alten,alt,ADJ
Sachen,Sache,NOUN
",",--,PUNCT
wie,wie,ADP
schon,schon,ADV
recht,recht,ADV
häufig,häufig,ADV
",",--,PUNCT
zu,zu,ADP
mir,mir,PRON
selber,selber,ADV
allein,allein,ADV
.,--,PUNCT
Ist,sein,AUX
nämlich,nämlich,ADV
unter,unter,ADP
Umständen,Umstand,NOUN
auch,auch,ADV
ein,ein,DET
Vergnügen,Vergnügen,NOUN
