Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Der,der,DET
Hungerpastor,Hungerpastor,NOUN
Ein,ein,DET
Roman,Roman,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Vom,von,ADP
Hunger,Hunger,NOUN
will,wollen,AUX
ich,ich,PRON
in,in,ADP
diesem,dieser,DET
schönen,schön,ADJ
Buche,Buch,NOUN
handeln,handeln,VERB
",",--,PUNCT
von,von,ADP
dem,der,PRON
",",--,PUNCT
was,wer,PRON
er,er,PRON
bedeutet,bedeuten,VERB
",",--,PUNCT
was,was,PRON
er,er,PRON
will,wollen,VERB
und,und,CCONJ
was,was,PRON
er,er,PRON
vermag,vermögen,VERB
.,--,PUNCT
Wie,wie,SCONJ
er,er,PRON
für,für,ADP
die,der,DET
Welt,Welt,NOUN
im,in,ADP
ganzen,ganz,ADJ
Schiwa,Schiwa,NOUN
und,und,CCONJ
Wischnu,Wischnu,PROPN
",",--,PUNCT
Zerstörer,Zerstörer,NOUN
und,und,CCONJ
Erhalter,Erhalter,NOUN
in,in,ADP
einer,ein,DET
Person,Person,NOUN
ist,sein,AUX
",",--,PUNCT
kann,können,AUX
ich,ich,PRON
freilich,freilich,ADV
nicht,nicht,PART
auseinandersetzen,auseinandersetzen,VERB
",",--,PUNCT
denn,denn,CCONJ
das,der,PRON
ist,sein,AUX
die,der,DET
Sache,Sache,NOUN
der,der,DET
Geschichte,Geschichte,NOUN
;,--,PUNCT
aber,aber,CCONJ
schildern,schildern,VERB
kann,können,AUX
ich,ich,PRON
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
im,in,ADP
einzelnen,einzeln,ADJ
zerstörend,zerstörend,ADV
und,und,CCONJ
erhaltend,erhaltend,ADV
wirkt,wirken,VERB
und,und,CCONJ
wirken,wirken,VERB
wird,werden,AUX
bis,bis,ADP
an,an,ADP
der,der,DET
Welt,Welt,NOUN
Ende,Ende,NOUN
.,--,PUNCT
Dem,der,DET
Hunger,Hunger,NOUN
",",--,PUNCT
der,der,DET
heiligen,heilig,ADJ
Macht,Macht,NOUN
des,der,DET
echten,echt,ADJ
",",--,PUNCT
wahren,wahr,ADJ
Hungers,Hunger,NOUN
widme,widme,VERB
ich,ich,PRON
diese,dieser,PRON
Blätter,Blatt,NOUN
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
gehören,gehören,VERB
ihm,ihm,PRON
auch,auch,ADV
von,von,ADP
Rechts,Rechts,NOUN
wegen,wegen,ADP
",",--,PUNCT
was,wer,PRON
am,an,ADP
Schluß,Schluß,NOUN
hoffentlich,hoffentlich,ADV
vollkommen,vollkommen,ADV
klargeworden,klargeworden,ADV
sein,sein,AUX
wird,werden,AUX
.,--,PUNCT
Mit,mit,ADP
letzterer,letzterer,DET
Versicherung,Versicherung,NOUN
bin,sein,AUX
ich,ich,PRON
in,in,ADP
einer,ein,DET
weiteren,weit,ADJ
Vorrede,Vorred,NOUN
",",--,PUNCT
welche,welcher,PRON
zur,zu,ADP
Gemütlichkeit,Gemütlichkeit,NOUN
",",--,PUNCT
Erregung,Erregung,NOUN
und,und,CCONJ
Aufregung,Aufregung,NOUN
des,der,DET
Lesers,Leser,NOUN
doch,doch,ADV
nur,nur,ADV
das,der,DET
wenigste,wenig,ADJ
beitragen,beitragen,VERB
würde,werden,AUX
",",--,PUNCT
überhoben,überhoben,VERB
und,und,CCONJ
beginne,beginnen,VERB
meine,mein,DET
Geschichte,Geschichte,NOUN
mit,mit,ADP
unbegrenztem,unbegrenzt,ADJ
Wohlwollen,Wohlwollen,NOUN
sowohl,sowohl,CCONJ
gegen,gegen,ADP
die,der,DET
Mitwelt,Mitwelt,NOUN
und,und,CCONJ
Nachwelt,Nachwelt,NOUN
als,als,CCONJ
auch,auch,ADV
gegen,gegen,ADP
mich,mich,PRON
selber,selber,ADV
und,und,CCONJ
alle,aller,PRON
mir,mir,PRON
im,in,ADP
Lauf,Lauf,NOUN
der,der,DET
Erzählung,Erzählung,NOUN
vorübergleitenden,vorübergleitenden,VERB
Schattenbilder,Schattenbilder,NOUN
des,der,DET
großen,groß,ADJ
Entstehens,Entstehen,NOUN
",",--,PUNCT
Seins,Sein,PROPN
und,und,CCONJ
Vergehens,Vergehen,PROPN
–,--,PUNCT
des,der,DET
unendlichen,unendlich,ADJ
Werdens,werden,PROPN
",",--,PUNCT
welches,welcher,PRON
man,man,PRON
Weltentwicklung,Weltentwicklung,NOUN
nennt,nennen,VERB
",",--,PUNCT
welches,welcher,PRON
freilich,freilich,ADV
ein,ein,DET
wenig,wenig,PRON
interessanter,interessant,NOUN
und,und,CCONJ
reicher,reich,ADV
als,als,ADP
dieses,dieser,DET
Buch,Buch,NOUN
ist,sein,AUX
",",--,PUNCT
das,der,PRON
aber,aber,ADV
auch,auch,ADV
nicht,nicht,PART
wie,wie,ADP
dieses,dieser,PRON
Buch,Buch,NOUN
in,in,ADP
drei,drei,NUM
Teilen,Teil,NOUN
zu,zu,ADP
einem,ein,DET
befriedigenden,befriedigend,ADJ
Abschluß,Abschluß,NOUN
kommen,kommen,VERB
muß,müssen,AUX
.,--,PUNCT
»,--,PUNCT
Da,da,ADV
haben,haben,AUX
wir,wir,PRON
den,der,DET
Jungen,junge,NOUN
!,--,PUNCT
Da,da,ADV
haben,haben,AUX
wir,wir,PRON
ihn,ihn,PRON
endlich,endlich,ADV
–,--,PUNCT
endlich,endlich,ADV
!,--,PUNCT
«,--,PUNCT
rief,rufen,VERB
der,der,DET
Vater,Vater,NOUN
meines,mein,DET
Helden,Held,NOUN
und,und,CCONJ
tat,tun,VERB
einen,ein,DET
langen,lang,ADJ
",",--,PUNCT
erleichternden,erleichternd,ADJ
Atemzug,Atemzug,NOUN
",",--,PUNCT
wie,wie,SCONJ
ein,ein,DET
Mann,Mann,NOUN
",",--,PUNCT
der,der,PRON
langes,lang,ADJ
",",--,PUNCT
vergebliches,vergeblich,ADJ
Sehnen,sehnen,NOUN
",",--,PUNCT
schwere,schwer,ADJ
Arbeit,Arbeit,NOUN
",",--,PUNCT
viele,vieler,DET
Mühen,Mühe,NOUN
und,und,CCONJ
Sorgen,Sorge,NOUN
getragen,tragen,VERB
hat,haben,AUX
und,und,CCONJ
endlich,endlich,ADV
glücklich,glücklich,ADV
