Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Der,der,DET
Schüdderump,Schüdderump,NOUN
Roman,Roman,NOUN
Vorwort,Vorwort,NOUN
zur,zu,ADP
zweiten,zweiter,ADJ
Auflage,Auflage,NOUN
Im,in,ADP
Jahre,Jahr,NOUN
1869,1869,NUM
wurde,werden,AUX
dieses,dieser,DET
Buch,Buch,NOUN
zum,zu,ADP
erstenmal,erstenmal,ADV
gelesen,lesen,VERB
und,und,CCONJ
von,von,ADP
den,der,DET
meisten,meister,PRON
der,der,DET
Leser,Leser,NOUN
beiseite,beiseite,ADV
geschoben,schieben,VERB
.,--,PUNCT
Jetzt,jetzt,ADV
",",--,PUNCT
nach,nach,ADP
fünfundzwanzig,fünfundzwanzig,ADV
Jahren,Jahr,NOUN
",",--,PUNCT
gewährt,gewähren,VERB
es,es,PRON
mir,mir,PRON
eine,ein,DET
Genugtuung,Genugtuung,NOUN
",",--,PUNCT
es,es,PRON
Mitlebenden,Mitlebenden,NOUN
noch,noch,ADV
einmal,einmal,ADV
–,--,PUNCT
zwar,zwar,ADV
durchgesehen,durchgesehen,VERB
",",--,PUNCT
aber,aber,CCONJ
nicht,nicht,PART
verschönert,verschöneren,VERB
–,--,PUNCT
anbieten,anbieten,VERB
zu,zu,PART
dürfen,dürfen,AUX
.,--,PUNCT
In,in,ADP
dem,der,DET
Zeitraum,Zeitraum,NOUN
ist,sein,AUX
wieder,wieder,ADV
manches,mancher,PRON
",",--,PUNCT
was,wer,PRON
gut,gut,ADV
",",--,PUNCT
edel,Edel,NOUN
und,und,CCONJ
lieb,Lieb,NOUN
war,sein,AUX
",",--,PUNCT
und,und,CCONJ
manches,mancher,PRON
",",--,PUNCT
was,was,PRON
sich,sich,PRON
für,für,ADP
bedeutend,bedeutend,ADV
",",--,PUNCT
epochemachend,epochemachend,ADV
",",--,PUNCT
unverwüstlich,unverwüstlich,ADV
hielt,halten,VERB
",",--,PUNCT
oder,oder,CCONJ
dafür,dafür,ADV
gehalten,halten,VERB
wurde,werden,AUX
",",--,PUNCT
auf,auf,ADP
den,der,DET
Schüdderump,Schüdderump,NOUN
geraten,geraten,VERB
;,--,PUNCT
er,er,PRON
aber,aber,ADV
rollt,rollen,VERB
weiter,weiter,ADV
durch,durch,ADP
die,der,DET
Welt,Welt,NOUN
.,--,PUNCT
Es,es,PRON
läßt,lassen,VERB
sich,sich,PRON
daran,daran,ADV
nichts,nichts,PRON
ändern,ändern,VERB
",",--,PUNCT
Herrschaften,Herrschaft,NOUN
.,--,PUNCT
Diese,dieser,DET
Räder,Rad,NOUN
lassen,lassen,VERB
sich,sich,PRON
nicht,nicht,PART
aufhalten,aufhalten,VERB
.,--,PUNCT
1894,1894,NUM
                                                         ,                                                         ,SPACE
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Ergötztet,Ergötztet,VERB
ihr,ihr,PRON
Nicht,nicht,PART
lieber,lieber,ADV
euch,euch,PRON
am,an,ADP
lächerlichen,lächerlich,ADJ
Tand,Tand,NOUN
Der,der,DET
Torheit,Torheit,NOUN
?,--,PUNCT
Oder,oder,CCONJ
an,an,ADP
dem,der,DET
heitern,heitern,ADJ
Glück,Glück,NOUN
",",--,PUNCT
Womit,womit,SCONJ
am,an,ADP
Schluß,Schluß,NOUN
des,der,DET
drolligen,drollig,ADJ
Romans,Roman,NOUN
Die,der,DET
Lieb,Lieb,NOUN
ein,ein,DET
leichtgenecktes,leichtgeneckt,ADJ
Paar,Paar,NOUN
belohnt,belohnen,VERB
?,--,PUNCT
–,--,PUNCT
Vielleicht,vielleicht,ADV
!,--,PUNCT
–,--,PUNCT
Gottfr,Gottfr,NOUN
.,--,PUNCT
Aug.,Aug.,PROPN
Bürger,Bürger,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Ich,ich,PRON
eröffne,eröffnen,VERB
dieses,dieser,DET
Buch,Buch,NOUN
recht,recht,ADV
passend,passend,ADV
mit,mit,ADP
einer,ein,DET
kleinen,klein,ADJ
Reiseerinnerung,Reiseerinnerung,NOUN
und,und,CCONJ
durch,durch,ADP
dieselbe,derselbe,DET
mit,mit,ADP
einer,ein,DET
Erklärung,Erklärung,NOUN
und,und,CCONJ
Rechtfertigung,Rechtfertigung,NOUN
des,der,DET
Titels,Titel,NOUN
",",--,PUNCT
um,um,SCONJ
nicht,nicht,PART
späterhin,Späterhin,PROPN
",",--,PUNCT
d.,der,PRON
h.,heißen,VERB
im,in,ADP
Laufe,Lauf,NOUN
der,der,DET
Erzählung,Erzählung,NOUN
",",--,PUNCT
allzuoft,allzuoft,ADV
über,über,ADP
diesen,dieser,DET
Titel,Titel,NOUN
zu,zu,ADP
stolpern,stolpern,VERB
oder,oder,CCONJ
mit,mit,ADP
Vergleichen,Vergleich,NOUN
",",--,PUNCT
Folgerungen,Folgerung,NOUN
und,und,CCONJ
Nutzanwendungen,Nutzanwendung,NOUN
an,an,ADP
demselben,derselbe,DET
hängenzubleiben,hängenbleiben,VERB
.,--,PUNCT
Einige,einiger,DET
Male,Mal,NOUN
wird,werden,AUX
das,der,DET
letztere,letzterer,PRON
freilich,freilich,ADV
doch,doch,ADV
wohl,wohl,ADV
geschehen,geschehen,VERB
.,--,PUNCT
Ich,ich,PRON
war,sein,AUX
mit,mit,ADP
dem,der,DET
Postwagen,Postwag,NOUN
in,in,ADP
einem,ein,DET
hellen,hell,ADJ
",",--,PUNCT
lustigen,lustig,ADJ
norddeutschen,norddeutsch,ADJ
Städtchen,Städtche,NOUN
",",--,PUNCT
dessen,der,DET
Namen,Name,NOUN
ich,ich,PRON
deshalb,deshalb,ADV
verschweige,verschweigen,VERB
",",--,PUNCT
um,um,SCONJ
nicht,nicht,PART
den,der,DET
Neid,Neid,NOUN
und,und,CCONJ
die,der,DET
Eifersucht,Eifersucht,NOUN
anderer,anderer,ADJ
Gemeinwesen,Gemeinwesen,NOUN
zu,zu,PART
erregen,erregen,VERB
",",--,PUNCT
angekommen,ankommen,VERB
",",--,PUNCT
hatte,haben,AUX
zu,zu,ADP
Mittag,Mittag,NOUN
gegessen,gegessen,VERB
und,und,CCONJ
zwei,zwei,NUM
bis,bis,CCONJ
drei,drei,NUM
Stunden,Stunde,NOUN
zur,zu,ADP
