Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Der,der,DET
gute,gut,ADJ
Tag,Tag,NOUN
oder,oder,CCONJ
die,der,DET
Geschichte,Geschichte,NOUN
eines,ein,DET
ersten,erster,ADJ
Aprils,April,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I.,I.,NOUN
Es,es,PRON
ist,sein,AUX
eine,ein,DET
Redensart,Redensart,NOUN
:,--,PUNCT
er,er,PRON
",",--,PUNCT
sie,sie,PRON
oder,oder,CCONJ
es,es,PRON
hat,haben,VERB
seinen,sein,DET
guten,gut,ADJ
Tag,Tag,NOUN
;,--,PUNCT
und,und,CCONJ
es,es,PRON
ist,sein,AUX
eine,ein,DET
bedenkliche,bedenklich,ADJ
Redensart,Redensart,NOUN
",",--,PUNCT
denn,denn,CCONJ
es,es,PRON
ist,sein,AUX
immer,immer,ADV
anzunehmen,annehmen,VERB
",",--,PUNCT
daß,daß,SCONJ
das,der,PRON
",",--,PUNCT
was,wer,PRON
dann,dann,ADV
und,und,CCONJ
wann,wann,ADV
seinen,sein,DET
guten,gut,ADJ
Tag,Tag,NOUN
hat,haben,VERB
",",--,PUNCT
im,in,ADP
Laufe,Lauf,NOUN
der,der,DET
Woche,Woche,NOUN
oder,oder,CCONJ
gar,gar,ADV
des,der,DET
Jahres,Jahr,NOUN
recht,recht,ADV
viele,vieler,PRON
böse,böse,ADV
Tage,Tag,NOUN
habe,haben,VERB
.,--,PUNCT
Erörtern,erörtern,NOUN
wir,wir,PRON
dieses,dieser,PRON
lieber,lieber,ADV
nicht,nicht,PART
;,--,PUNCT
–,--,PUNCT
ich,ich,PRON
besaß,besitzen,VERB
einen,ein,DET
Freund,Freund,NOUN
",",--,PUNCT
der,der,PRON
das,der,DET
kitzlige,kitzlig,ADJ
psycholo-physiolo-philosophische,psycholo-physiolo-philosophische,ADJ
Fragen,Frage,NOUN
nannte,nennen,VERB
und,und,CCONJ
sich,sich,PRON
auch,auch,ADV
nicht,nicht,PART
darauf,darauf,ADV
einließ,einlassen,VERB
.,--,PUNCT
Er,er,PRON
war,sein,AUX
glücklich,glücklich,ADV
verheiratet,verheiraten,VERB
und,und,CCONJ
bekam,bekommen,VERB
jedesmal,jedesmal,ADV
seine,sein,DET
böse,bös,ADJ
Stunde,Stunde,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
ihn,ihn,PRON
jemand,jemand,PRON
der,der,DET
gesellschaftlichen,gesellschaftlich,ADJ
Unterhaltung,Unterhaltung,NOUN
wegen,wegen,ADP
aufforderte,auffordert,VERB
",",--,PUNCT
doch,doch,CCONJ
einmal,einmal,ADV
darüber,darüber,ADV
nachzudenken,nachdenken,VERB
und,und,CCONJ
seinen,sein,DET
Gedanken,Gedanke,NOUN
zum,zu,ADP
Besten,beste,NOUN
der,der,DET
Menschheit,Menschheit,NOUN
Worte,Wort,NOUN
zu,zu,PART
leihen,leihen,VERB
.,--,PUNCT
Nehmen,nehmen,VERB
wir,wir,PRON
also,also,ADV
die,der,DET
Redensart,Redensart,PROPN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
sich,sich,PRON
gibt,geben,VERB
!,--,PUNCT
–,--,PUNCT
Adelgunde,Adelgunde,PROPN
–,--,PUNCT
Fräulein,Fräulein,NOUN
Adelgunde,Adelgunde,PROPN
(,--,PUNCT
wir,wir,PRON
bohrten,bohrn,VERB
mit,mit,ADP
einer,ein,DET
Nadel,Nadel,NOUN
in,in,ADP
den,der,DET
Kalender,Kalender,NOUN
und,und,CCONJ
trafen,treffen,VERB
mit,mit,ADP
der,der,DET
Spitze,Spitze,NOUN
den,der,DET
30.,30.,ADJ
Januar,Januar,NOUN
und,und,CCONJ
diesen,dieser,DET
wohlklingenden,wohlklingend,ADJ
Heiligen-Namen,Heiligen-Nam,NOUN
),--,PUNCT
hatte,haben,AUX
ihren,ihr,DET
guten,gut,ADJ
Tag,Tag,NOUN
",",--,PUNCT
und,und,CCONJ
der,der,DET
Bäckerjunge,Bäckerjunge,NOUN
war,sein,AUX
der,der,DET
erste,erster,ADJ
",",--,PUNCT
der's,der's,VERB
merkte,merken,VERB
und,und,CCONJ
die,der,DET
liebliche,lieblich,ADJ
Nachricht,Nachricht,NOUN
mit,mit,ADP
seinen,sein,DET
frischen,frisch,ADJ
Semmeln,Semmel,NOUN
durch,durch,ADP
das,der,DET
Haus,Haus,NOUN
verbreitete,verbreiten,VERB
",",--,PUNCT
d.,der,PRON
h.,heißen,VERB
grinsend,grinsend,ADV
sie,sie,PRON
auf,auf,ADP
seine,sein,DET
Semmeln,Semmel,NOUN
zugab,zugeben,VERB
.,--,PUNCT
»,--,PUNCT
Hu,Hu,PROPN
",",--,PUNCT
heute,heute,ADV
ist,sein,AUX
sie,sie,PRON
aber,aber,ADV
mal,mal,ADV
gnädig,gnädig,ADV
!,--,PUNCT
«,--,PUNCT
verkündigte,verkündigen,VERB
er,er,PRON
von,von,ADP
Stockwerk,Stockwerk,NOUN
zu,zu,ADP
Stockwerk,Stockwerk,NOUN
und,und,CCONJ
hatte,haben,AUX
es,es,PRON
leider,leider,ADV
nur,nur,ADV
zu,zu,PART
eilig,eilig,ADV
",",--,PUNCT
