Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Deutscher,deutsch,ADJ
Adel,Adel,NOUN
Eine,ein,DET
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Karl,Karl,PROPN
Achtermannsche,Achtermannsche,ADJ
Leihbibliothek,Leihbibliothek,PROPN
gehört,gehören,VERB
nicht,nicht,PART
zu,zu,ADP
den,der,DET
ersten,erster,ADJ
der,der,DET
Stadt,Stadt,NOUN
.,--,PUNCT
In,in,ADP
einer,ein,DET
verhältnismäßig,verhältnismäßig,ADV
engen,eng,ADJ
und,und,CCONJ
wenig,wenig,ADV
belebten,belebt,ADJ
Nebenstraße,Nebenstraße,NOUN
belegen,belegen,VERB
",",--,PUNCT
macht,machen,VERB
sie,sie,PRON
nicht,nicht,PART
den,der,DET
geringsten,gering,ADJ
Anspruch,Anspruch,NOUN
auf,auf,ADP
äußerliche,äußerlich,ADJ
Eleganz,Eleganz,NOUN
",",--,PUNCT
polierte,poliert,ADJ
Ladentische,Ladentisch,NOUN
und,und,CCONJ
Bücherbretter,Bücherbrett,NOUN
",",--,PUNCT
Plüschsessel,Plüschsessel,NOUN
und,und,CCONJ
Büsten,Büst,NOUN
berühmter,berühmt,ADJ
Unterhaltungsschriftsteller,Unterhaltungsschriftsteller,NOUN
vom,von,ADP
alten,alt,ADJ
Homer,Homer,NOUN
bis,bis,ADP
zum,zu,ADP
jüngsten,jung,ADJ
–,--,PUNCT
dem,der,DET
jüngsten,jung,ADJ
–,--,PUNCT
nun,nun,ADV
ja,ja,PART
",",--,PUNCT
lassen,lassen,VERB
auch,auch,ADV
wir,wir,PRON
den,der,DET
Platz,Platz,NOUN
offen,offen,ADV
und,und,CCONJ
allen,aller,DET
noch,noch,ADV
mitstrebenden,mitstrebend,ADJ
Kollegen,Kollege,NOUN
die,der,DET
Gelegenheit,Gelegenheit,NOUN
",",--,PUNCT
sich,sich,PRON
in,in,ADP
Gips,Gips,NOUN
oder,oder,CCONJ
Biskuit,Biskuit,NOUN
an,an,ADP
die,der,DET
Wand,Wand,NOUN
hinzuimaginieren,hinzuimaginieren,VERB
!,--,PUNCT
»,--,PUNCT
Einen,ein,DET
recht,recht,ADV
schönen,schön,ADJ
Sokrates,Sokrat,NOUN
hatte,haben,VERB
ich,ich,PRON
da,da,ADV
oben,oben,ADV
;,--,PUNCT
aber,aber,CCONJ
geschrieben,schreiben,VERB
hat,haben,AUX
der,der,DET
Mann,Mann,NOUN
ja,ja,ADV
eigentlich,eigentlich,ADV
gar,gar,ADV
nichts,nichts,PRON
",",--,PUNCT
und,und,CCONJ
als,als,SCONJ
er,er,PRON
vor,vor,ADP
anderthalb,anderthalb,NUM
Jahren,Jahr,NOUN
nächtlicherweile,nächtlicherweile,VERB
mit,mit,ADP
Nagel,Nagel,PROPN
und,und,CCONJ
Konsole,Konsole,NOUN
herunterkam,herunterkommen,VERB
",",--,PUNCT
habe,haben,AUX
ich,ich,PRON
es,es,PRON
noch,noch,ADV
für,für,ADP
ein,ein,DET
Glück,Glück,NOUN
halten,halten,VERB
müssen,müssen,AUX
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
das,der,DET
Attentat,Attentat,NOUN
nicht,nicht,PART
bei,bei,ADP
Tage,Tag,NOUN
verübte,verüben,VERB
und,und,CCONJ
mir,mir,PRON
auf,auf,ADP
den,der,DET
Kopf,Kopf,NOUN
fiel,fallen,VERB
.,--,PUNCT
Die,der,DET
augenblicklich,augenblicklich,ADV
beliebten,beliebt,ADJ
Autoren,Autor,NOUN
von,von,ADP
beiden,beide,DET
Geschlechtern,Geschlechter,NOUN
halte,halten,VERB
ich,ich,PRON
mir,mir,PRON
immer,immer,ADV
der,der,DET
Bequemlichkeit,Bequemlichkeit,NOUN
wegen,wegen,ADP
handgerecht,handgerechen,ADV
;,--,PUNCT
und,und,CCONJ
jetzt,jetzt,ADV
",",--,PUNCT
bitte,bitte,ADV
",",--,PUNCT
kommen,kommen,VERB
Sie,sie,PRON
einmal,einmal,ADV
selbst,selbst,ADV
hier,hier,ADV
hinter,hinter,ADP
den,der,DET
Ladentisch,Ladentisch,NOUN
und,und,CCONJ
sehen,sehen,VERB
Sie,sie,PRON
selber,selber,ADV
",",--,PUNCT
in,in,ADP
was,was,PRON
für,für,ADP
einer,ein,DET
literarhistorischen,literarhistorisch,ADJ
Gefahr,Gefahr,NOUN
ich,ich,PRON
geschwebt,schweben,VERB
habe,haben,AUX
.,--,PUNCT
Er,er,PRON
hing,hing,VERB
gerade,gerade,ADV
drüber,drüber,ADV
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
mir,mir,PRON
der,der,DET
alte,alt,ADJ
Achtermann,Achtermann,NOUN
;,--,PUNCT
ich,ich,PRON
aber,aber,ADV
hatte,haben,AUX
ihm,ihm,PRON
sogar,sogar,ADV
noch,noch,ADV
dankbar,dankbar,ADV
dafür,dafür,ADV
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
hinzufügte,hinzufügen,VERB
:,--,PUNCT
»,--,PUNCT
Sie,sie,PRON
