Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Die,der,DET
Gänse,Gans,NOUN
von,von,ADP
Bützow,Bützow,PROPN
Eine,ein,DET
obotritische,obotritisch,ADJ
Historia,Historia,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Auctor,Auctor,NOUN
stellt,stellen,VERB
sich,sich,PRON
der,der,DET
Nachwelt,Nachwelt,NOUN
vor,vor,ADP
.,--,PUNCT
Der,der,DET
Herr,Herr,NOUN
Doktor,Doktor,NOUN
Wübbke,Wübbke,PROPN
verläßt,verlassen,VERB
die,der,DET
Herrenstube,Herrenstube,NOUN
im,in,ADP
Erbherzog,Erbherzog,NOUN
zu,zu,ADP
Bützow,Bützow,NOUN
.,--,PUNCT
Möge,Möge,PROPN
ein,ein,DET
anderer,anderer,PRON
den,der,DET
Zorn,Zorn,NOUN
des,der,DET
göttlichen,göttlich,ADJ
Helden,Held,NOUN
Achilleus,Achilleus,PROPN
oder,oder,CCONJ
die,der,DET
Irrfahrten,Irrfahrte,NOUN
des,der,DET
klugen,klug,ADJ
Dulders,Dulder,NOUN
Odysseus,Odysseus,PROPN
",",--,PUNCT
ein,ein,DET
anderer,anderer,PRON
die,der,DET
Leiden,leiden,NOUN
und,und,CCONJ
Freuden,Freude,NOUN
des,der,DET
tapferen,tapfere,ADJ
Aeneas,Aenea,PROPN
",",--,PUNCT
des,der,DET
alten,alt,ADJ
oder,oder,CCONJ
neuen,neu,ADJ
Amadis,Amadis,NOUN
",",--,PUNCT
die,der,PRON
Leiden,leiden,NOUN
des,der,DET
jungen,jung,ADJ
Werthers,Werther,NOUN
oder,oder,CCONJ
der,der,DET
sündigen,sündig,ADJ
Menschen,Mensch,NOUN
Erlösung,Erlösung,NOUN
singen,singen,VERB
;,--,PUNCT
ich,ich,PRON
",",--,PUNCT
J.,J.,PROPN
W.,W.,PROPN
Eyring,Eyring,PROPN
",",--,PUNCT
in,in,ADP
wohlverdienter,wohlverdient,ADJ
Ruhe,Ruhe,NOUN
nach,nach,ADP
langen,lang,ADJ
",",--,PUNCT
kläglichen,kläglich,NOUN
",",--,PUNCT
staubigen,staubig,ADJ
",",--,PUNCT
ärgerlichen,ärgerlich,ADJ
Jahren,Jahr,NOUN
des,der,DET
Schuldienstes,Schuldienst,NOUN
",",--,PUNCT
singe,singen,VERB
im,in,ADP
hohen,hoch,ADJ
",",--,PUNCT
höhern,höhern,NOUN
und,und,CCONJ
höchsten,hoch,ADJ
Ton,Ton,NOUN
mich,mich,PRON
selbst,selbst,ADV
und,und,CCONJ
die,der,DET
große,groß,ADJ
Revolution,Revolution,NOUN
zu,zu,ADP
Bützow,Bützow,NOUN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
mit,mit,ADP
Gemurmel,Gemurmel,PROPN
begann,beginnen,VERB
",",--,PUNCT
mit,mit,ADP
Pauken,pauken,NOUN
und,und,CCONJ
Posaunen,Posaun,NOUN
ihren,ihr,DET
Fortgang,Fortgang,NOUN
nahm,nehmen,VERB
und,und,CCONJ
glücklich,glücklich,ADV
zu,zu,ADP
Ende,Ende,NOUN
geführt,führen,VERB
wurde,werden,AUX
.,--,PUNCT
Der,der,DET
Gänse,Gänse,NOUN
und,und,CCONJ
des,der,DET
Volkes,Volk,NOUN
Geschrei,Geschrei,NOUN
singe,singen,VERB
ich,ich,PRON
",",--,PUNCT
der,der,PRON
Mamsell,Mamsell,NOUN
Hornborstel,Hornborstel,PROPN
Zorn,Zorn,PROPN
",",--,PUNCT
Unterdrückung,Unterdrückung,NOUN
",",--,PUNCT
Rache,Rache,NOUN
und,und,CCONJ
Sühne,Sühne,NOUN
",",--,PUNCT
Grävedünkels,Grävedünkel,PROPN
entsetzliches,entsetzlich,ADJ
Geschick,Geschick,NOUN
",",--,PUNCT
der,der,DET
wilden,wild,ADJ
Führer,Führer,NOUN
Mut,Mut,NOUN
und,und,CCONJ
jakobinische,jakobinisch,NOUN
Reden,Rede,NOUN
",",--,PUNCT
des,der,DET
Magister,Magister,NOUN
Albus,Albus,NOUN
und,und,CCONJ
des,der,DET
Doktor,Doktor,NOUN
Wübbke,Wübbke,PROPN
Jubilationes,Jubilationes,PROPN
und,und,CCONJ
Tribulationes,Tribulatione,PROPN
",",--,PUNCT
eines,ein,DET
hohen,hoch,ADJ
Senati,Senati,PROPN
und,und,CCONJ
regierenden,regierend,ADJ
Bürgermeisters,Bürgermeister,NOUN
altrömische,altrömisch,ADJ
Tapferkeit,Tapferkeit,NOUN
",",--,PUNCT
Herzoglicher,Herzoglicher,NOUN
Justizkanzlei,Justizkanzlei,PROPN
und,und,CCONJ
Serenissimi,Serenissimi,NOUN
",",--,PUNCT
meines,mein,DET
Durchlauchtigsten,Durchlauchtigst,ADJ
Fürsten,Fürst,NOUN
und,und,CCONJ
Herrn,Herr,NOUN
",",--,PUNCT
gnadenreiches,gnadenreich,ADJ
Edikt,Edikt,NOUN
",",--,PUNCT
einer,ein,DET
hochgelahrten,hochgelahrt,ADJ
höllischen,höllisch,VERB
Juristen-Fakultät,Juristen-Fakultät,PROPN
treffliches,trefflich,ADJ
Gutachten,Gutachten,NOUN
