Token,Lemma,POS
Wilhelm,Wilhelm,PROPN
Raabe,Raabe,PROPN
Die,der,DET
Leute,Leute,NOUN
aus,aus,ADP
dem,der,DET
Walde,Walde,NOUN
Ihre,ihr,DET
Sterne,Stern,NOUN
",",--,PUNCT
Wege,Weg,NOUN
und,und,CCONJ
Schicksale,Schicksal,NOUN
Ein,ein,DET
Messer,Messer,NOUN
wetzet,wetzet,VERB
das,der,DET
andere,anderer,PRON
und,und,CCONJ
ein,ein,DET
Mann,Mann,NOUN
den,der,DET
andern,anderer,PRON
.,--,PUNCT
Sprüche,sprüch,ADJ
Salomonis,Salomonis,NOUN
",",--,PUNCT
27.,27.,ADJ
Kap,Kap,NOUN
.,--,PUNCT
17.V,17.V,ADV
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
1.,1.,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
hohe,hoch,ADJ
Polizei,Polizei,NOUN
nimmt,nehmen,VERB
ein,ein,DET
Protokoll,Protokoll,NOUN
auf,auf,ADP
2.,2.,ADJ
Kapitel,Kapitel,NOUN
Der,der,DET
Polizeischreiber,Polizeischreiber,ADJ
Fiebiger,Fiebiger,NOUN
setzt,setzen,VERB
seinen,sein,DET
Chef,Chef,NOUN
in,in,ADP
Erstaunen,erstaunen,NOUN
;,--,PUNCT
Julius,Julius,PROPN
Schminkert,Schminkert,PROPN
wird,werden,AUX
gebeten,bitten,VERB
",",--,PUNCT
sich,sich,PRON
nützlich,nützlich,ADV
zu,zu,PART
machen,machen,VERB
3.,3.,ADJ
Kapitel,Kapitel,NOUN
Julius,Julius,PROPN
Schminken,Schminken,PROPN
macht,machen,VERB
sich,sich,PRON
nützlich,nützlich,ADV
;,--,PUNCT
Robert,Robert,PROPN
Wolf,Wolf,PROPN
macht,machen,VERB
die,der,DET
Bekanntschaft,Bekanntschaft,NOUN
eines,ein,DET
Wagenrades,Wagenrad,NOUN
und,und,CCONJ
einer,ein,DET
jungen,jung,ADJ
Dame,Dame,NOUN
4.,4.,ADJ
Kapitel,Kapitel,NOUN
Treffliche,trefflich,ADJ
Beschreibung,Beschreibung,NOUN
des,der,DET
Hauses,Haus,NOUN
in,in,ADP
der,der,DET
Musikantengasse,Musikantengasse,NOUN
und,und,CCONJ
des,der,DET
Polizeischreibers,Polizeischreiber,PROPN
Fiebiger,Fiebiger,NOUN
im,in,ADP
Schlafrocke,Schlafrock,NOUN
5.,5.,ADJ
Kapitel,Kapitel,NOUN
Große,groß,ADJ
Gesellschaft,Gesellschaft,NOUN
bei,bei,ADP
dem,der,DET
Bankier,Bankier,NOUN
Wienand,Wienand,NOUN
Mr.,Mr.,NOUN
Warner,Warner,PROPN
aus,aus,ADP
New-Orleans,New-Orlean,PROPN
wird,werden,AUX
dem,der,DET
Freifräulein,Freifräulein,NOUN
Juliane,Juliane,PROPN
von,von,ADP
Poppen,Poppen,NOUN
vorgestellt,vorstellen,VERB
6.,6.,NUM
Kapitel,Kapitel,NOUN
Expektoration,Expektoration,NOUN
des,der,DET
Autors,Autor,NOUN
über,über,ADP
die,der,DET
Einsamkeit,Einsamkeit,NOUN
;,--,PUNCT
Lebensläufe,Lebenslauf,NOUN
aus,aus,ADP
vergangenen,vergangen,ADJ
Tagen,Tag,NOUN
werden,werden,AUX
erzählt,erzählen,VERB
7.,7.,ADJ
Kapitel,Kapitel,NOUN
Auf,auf,ADP
dem,der,DET
Observatorium,Observatorium,NOUN
des,der,DET
Sternsehers,Sternseher,NOUN
Heinrich,Heinrich,PROPN
Ulex,Ulex,PROPN
;,--,PUNCT
Fräulein,Fräulein,NOUN
Juliane,Juliane,PROPN
von,von,ADP
Poppen,Poppen,NOUN
bat,bitten,VERB
eine,ein,DET
Entdeckung,Entdeckung,NOUN
gemacht,machen,VERB
8.,8.,ADJ
Kapitel,Kapitel,NOUN
Herr,Herr,NOUN
Leon,Leon,PROPN
von,von,ADP
Poppen,Poppen,PROPN
wundert,wundern,VERB
sich,sich,PRON
ganz,ganz,ADV
ungemein,ungemein,ADV
9.,9.,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Sterne,Stern,NOUN
Eva,Eva,PROPN
Dornbluths,Dornbluth,PROPN
;,--,PUNCT
Was,was,PRON
sie,sie,PRON
sagten,sagen,VERB
",",--,PUNCT
wie,wie,SCONJ
man,man,PRON
ihnen,ihnen,PRON
folgte,folgen,VERB
und,und,CCONJ
wozu,wozu,SCONJ
sie,sie,PRON
führten,führen,VERB
10.,10.,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Sterne,Stern,NOUN
Friedrich,Friedrich,PROPN
Wolfs,Wolfs,PROPN
aus,aus,ADP
Poppenhagen,Poppenhag,PROPN
;,--,PUNCT
Ein,ein,DET
Stein,Stein,NOUN
des,der,DET
Anstoßes,Anstoß,NOUN
wird,werden,AUX
aus,aus,ADP
dem,der,DET
Wege,Weg,NOUN
geräumt,räumen,VERB
;,--,PUNCT
Westward,Westward,PROPN
ho,ho,VERB
!,--,PUNCT
11.,11.,ADJ
Kapitel,Kapitel,NOUN
Das,der,DET
Hinterhaus,Hinterhaus,NOUN
von,von,ADP
Nummer,Nummer,NOUN
zwölf,zwölf,NUM
in,in,ADP
